Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
DASH,DASH_CALL_Aug 22_145.00,Call,2025-08-22,145.0,1.73,102.55,105.4,0,1,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_165.00,Call,2025-08-22,165.0,1.52,82.4,85.35,0,6,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_170.00,Call,2025-08-22,170.0,1.48,77.6,80.4,0,1,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_180.00,Call,2025-08-22,180.0,1.4,67.6,69.9,0,11,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_185.00,Call,2025-08-22,185.0,1.36,62.45,65.4,0,1,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_190.00,Call,2025-08-22,190.0,1.32,57.7,60.4,0,2,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_200.00,Call,2025-08-22,200.0,1.26,47.8,49.9,0,12,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_205.00,Call,2025-08-22,205.0,1.23,42.9,45.45,0,1,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_210.00,Call,2025-08-22,210.0,1.2,38.1,39.5,3,2,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_215.00,Call,2025-08-22,215.0,1.17,32.9,35.5,0,14,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_220.00,Call,2025-08-22,220.0,1.14,27.7,30.55,0,34,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_220.00,Put,2025-08-22,220.0,1.14,0.01,0.5,16,31,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_222.50,Call,2025-08-22,222.5,1.13,25.15,28.05,0,7,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_225.00,Call,2025-08-22,225.0,1.12,22.55,25.65,0,4,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_225.00,Put,2025-08-22,225.0,1.12,0.04,0.66,15,26,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_230.00,Call,2025-08-22,230.0,1.09,17.8,20.75,0,48,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_232.50,Call,2025-08-22,232.5,1.08,15.3,18.4,0,5,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_232.50,Put,2025-08-22,232.5,1.08,0.33,0.55,73,63,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_235.00,Call,2025-08-22,235.0,1.07,13.8,14.65,0,10,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_235.00,Put,2025-08-22,235.0,1.07,0.38,1.02,382,300,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_237.50,Call,2025-08-22,237.5,1.06,11.5,13.4,1,21,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_237.50,Put,2025-08-22,237.5,1.06,0.6,0.96,103,58,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_240.00,Call,2025-08-22,240.0,1.05,9.3,10.05,2,21,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_240.00,Put,2025-08-22,240.0,1.05,1.15,1.36,156,167,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_242.50,Call,2025-08-22,242.5,1.04,7.5,8.1,1,13,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_242.50,Put,2025-08-22,242.5,1.04,1.73,1.9,145,324,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_245.00,Call,2025-08-22,245.0,1.03,5.75,6.15,2,79,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_245.00,Put,2025-08-22,245.0,1.03,2.51,2.6,1313,550,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_247.50,Call,2025-08-22,247.5,1.01,4.25,4.6,49,164,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_247.50,Put,2025-08-22,247.5,1.01,3.35,3.6,94,406,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_250.00,Call,2025-08-22,250.0,1.0,3.05,3.3,136,447,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_250.00,Put,2025-08-22,250.0,1.0,4.55,4.85,157,393,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_252.50,Call,2025-08-22,252.5,0.99,2.02,2.29,77,456,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_252.50,Put,2025-08-22,252.5,0.99,6.05,6.45,105,76,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_255.00,Call,2025-08-22,255.0,0.99,1.34,1.67,225,1283,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_255.00,Put,2025-08-22,255.0,0.99,7.65,8.3,12,108,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_257.50,Call,2025-08-22,257.5,0.98,0.82,1.04,86,226,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_257.50,Put,2025-08-22,257.5,0.98,9.7,10.8,6,57,230.89,271.49,248.3699951171875,
DASH,DASH_CALL_Aug 22_260.00,Call,2025-08-22,260.0,0.97,0.53,0.68,71,1072,230.89,271.49,248.3699951171875,
DASH,DASH_PUT_Aug 22_260.00,Put,2025-08-22,260.0,0.97,11.7,12.45,2,57,230.89,271.49,248.3699951171875,
