Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
BXSL,BXSL251017P00027500,Put,2025-10-17,27.5,1.09,0.25,0.4,2,9,29.9,29.93,29.924999237060547,0.273444765625
BXSL,BXSL260220C00035000,Call,2026-02-20,35.0,0.85,0.05,0.15,2,298,29.9,29.93,29.924999237060547,0.16211775390625
BXSL,BXSL260220P00025000,Put,2026-02-20,25.0,1.2,0.35,0.6,11,51,29.9,29.93,29.924999237060547,0.2907785766601561
BXSL,BXSL260220C00032500,Call,2026-02-20,32.5,0.92,0.25,0.4,1,276,29.9,29.93,29.924999237060547,0.1469811865234375
BXSL,BXSL251121P00025000,Put,2025-11-21,25.0,1.2,0.2,0.3,3,262,29.9,29.93,29.924999237060547,0.3203192968749999
BXSL,BXSL251017C00030000,Call,2025-10-17,30.0,1.0,0.6,0.75,7,24,29.9,29.93,29.924999237060547,0.1635825830078125
BXSL,BXSL251121C00032500,Call,2025-11-21,32.5,0.92,0.15,0.25,8,3419,29.9,29.93,29.924999237060547,0.17188328125
BXSL,BXSL260220P00027500,Put,2026-02-20,27.5,1.09,0.95,1.15,7,50,29.9,29.93,29.924999237060547,0.2641675146484374
BXSL,BXSL260220P00032500,Put,2026-02-20,32.5,0.92,3.7,4.2,2,24,29.9,29.93,29.924999237060547,0.3078682495117187
BXSL,BXSL251121P00035000,Put,2025-11-21,35.0,0.85,4.8,5.5,1,33,29.9,29.93,29.924999237060547,0.309577216796875
BXSL,BXSL250919C00030000,Call,2025-09-19,30.0,1.0,0.55,0.7,53,586,29.9,29.93,29.924999237060547,0.2114336669921874
BXSL,BXSL250919P00032500,Put,2025-09-19,32.5,0.92,2.4,2.65,15,30,29.9,29.93,29.924999237060547,0.2080157324218749
BXSL,BXSL251017P00030000,Put,2025-10-17,30.0,1.0,1.1,1.3,15,344,29.9,29.93,29.924999237060547,0.262702685546875
BXSL,BXSL260220P00030000,Put,2026-02-20,30.0,1.0,2.0,2.3,2,173,29.9,29.93,29.924999237060547,0.2663647583007812
BXSL,BXSL251121C00030000,Call,2025-11-21,30.0,1.0,0.9,1.05,37,334,29.9,29.93,29.924999237060547,0.1792074267578124
BXSL,BXSL260220P00047500,Put,2026-02-20,47.5,0.63,18.3,19.3,0,12,29.9,29.93,29.924999237060547,0.6167030517578126
BXSL,BXSL251121P00030000,Put,2025-11-21,30.0,1.0,1.4,1.6,6,681,29.9,29.93,29.924999237060547,0.257819921875
BXSL,BXSL251121P00027500,Put,2025-11-21,27.5,1.09,0.55,0.65,7,5783,29.9,29.93,29.924999237060547,0.2712475219726562
BXSL,BXSL251121P00032500,Put,2025-11-21,32.5,0.92,3.2,3.5,1,131,29.9,29.93,29.924999237060547,0.3088448022460937
BXSL,BXSL260220C00027500,Call,2026-02-20,27.5,1.09,2.75,2.95,10,48,29.9,29.93,29.924999237060547,0.1743246630859375
BXSL,BXSL250919P00030000,Put,2025-09-19,30.0,1.0,0.55,0.6,6,600,29.9,29.93,29.924999237060547,0.161141201171875
BXSL,BXSL260220C00030000,Call,2026-02-20,30.0,1.0,1.15,1.25,33,738,29.9,29.93,29.924999237060547,0.1511315356445313
BXSL,BXSL251121C00025000,Call,2025-11-21,25.0,1.2,6.6,6.9,29,163,29.9,29.93,29.924999237060547,0.6865265722656251
