Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
ATEC,ATEC250919C00002500,Call,2025-09-19,2.5,6.57,13.2,13.5,0,1,12.6,20.26,15.78499984741211,3.3593766015624995
ATEC,ATEC250919C00010000,Call,2025-09-19,10.0,1.64,5.8,6.0,1,123,12.6,20.26,15.78499984741211,1.05078599609375
ATEC,ATEC250919C00012500,Call,2025-09-19,12.5,1.31,3.3,3.5,3,95,12.6,20.26,15.78499984741211,0.6171913281250001
ATEC,ATEC250919C00015000,Call,2025-09-19,15.0,1.1,1.3,1.4,4,2289,12.6,20.26,15.78499984741211,0.50586431640625
ATEC,ATEC250919C00017500,Call,2025-09-19,17.5,0.94,0.25,0.3,20,4863,12.6,20.26,15.78499984741211,0.4726615234375
ATEC,ATEC250919P00010000,Put,2025-09-19,10.0,1.64,0.0,0.75,18,341,12.6,20.26,15.78499984741211,1.453127734375
ATEC,ATEC250919P00012500,Put,2025-09-19,12.5,1.31,0.05,0.1,5,87,12.6,20.26,15.78499984741211,0.5546919531250001
ATEC,ATEC250919P00015000,Put,2025-09-19,15.0,1.1,0.45,0.5,1,70,12.6,20.26,15.78499984741211,0.46680220703125
ATEC,ATEC250919P00017500,Put,2025-09-19,17.5,0.94,1.85,1.95,10,9,12.6,20.26,15.78499984741211,0.4257869921875
ATEC,ATEC250919P00020000,Put,2025-09-19,20.0,0.8200000000000001,4.1,4.3,0,89,12.6,20.26,15.78499984741211,0.5468795312500001
ATEC,ATEC251017C00005000,Call,2025-10-17,5.0,3.29,5.6,6.9,5,5,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC251017C00007500,Call,2025-10-17,7.5,2.19,8.2,8.6,1,11,12.6,20.26,15.78499984741211,1.15625421875
ATEC,ATEC251017C00010000,Call,2025-10-17,10.0,1.64,5.8,6.0,3,56,12.6,20.26,15.78499984741211,0.7617211328125001
ATEC,ATEC251017C00012500,Call,2025-10-17,12.5,1.31,3.5,3.6,1,785,12.6,20.26,15.78499984741211,0.5751995605468749
ATEC,ATEC251017C00015000,Call,2025-10-17,15.0,1.1,1.55,1.7,13,893,12.6,20.26,15.78499984741211,0.514653291015625
ATEC,ATEC251017C00017500,Call,2025-10-17,17.5,0.94,0.45,0.55,4,1401,12.6,20.26,15.78499984741211,0.4580132324218751
ATEC,ATEC251017C00020000,Call,2025-10-17,20.0,0.8200000000000001,0.1,0.2,10,22,12.6,20.26,15.78499984741211,0.49414568359375
ATEC,ATEC251017P00010000,Put,2025-10-17,10.0,1.64,0.0,0.75,47,251,12.6,20.26,15.78499984741211,1.052739111328125
ATEC,ATEC251017P00012500,Put,2025-10-17,12.5,1.31,0.1,0.2,1,212,12.6,20.26,15.78499984741211,0.52539537109375
ATEC,ATEC251017P00015000,Put,2025-10-17,15.0,1.1,0.65,0.75,20,23,12.6,20.26,15.78499984741211,0.445318046875
ATEC,ATEC251017P00017500,Put,2025-10-17,17.5,0.94,2.05,2.15,1,4,12.6,20.26,15.78499984741211,0.4067442138671875
ATEC,ATEC251017P00020000,Put,2025-10-17,20.0,0.8200000000000001,4.1,4.4,0,1,12.6,20.26,15.78499984741211,0.48242705078125
ATEC,ATEC260116C00005000,Call,2026-01-16,5.0,3.29,6.8,8.5,0,4,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC260116C00007500,Call,2026-01-16,7.5,2.19,8.2,8.7,2,8,12.6,20.26,15.78499984741211,0.7851583984375
ATEC,ATEC260116C00010000,Call,2026-01-16,10.0,1.64,5.9,6.4,5,190,12.6,20.26,15.78499984741211,0.6543003320312502
ATEC,ATEC260116C00012500,Call,2026-01-16,12.5,1.31,4.2,4.4,50,4245,12.6,20.26,15.78499984741211,0.6411168701171875
ATEC,ATEC260116C00015000,Call,2026-01-16,15.0,1.1,2.6,2.8,5,11262,12.6,20.26,15.78499984741211,0.5839885351562499
ATEC,ATEC260116C00017500,Call,2026-01-16,17.5,0.94,1.5,1.7,6,950,12.6,20.26,15.78499984741211,0.5576216113281252
ATEC,ATEC260116C00020000,Call,2026-01-16,20.0,0.8200000000000001,0.8,0.95,1,377,12.6,20.26,15.78499984741211,0.534184345703125
ATEC,ATEC260116C00022500,Call,2026-01-16,22.5,0.73,0.4,0.5,40,69,12.6,20.26,15.78499984741211,0.516606396484375
ATEC,ATEC260116P00007500,Put,2026-01-16,7.5,2.19,0.0,0.75,5,1076,12.6,20.26,15.78499984741211,0.97460962890625
ATEC,ATEC260116P00010000,Put,2026-01-16,10.0,1.64,0.2,0.3,1,796,12.6,20.26,15.78499984741211,0.5839885351562499
ATEC,ATEC260116P00012500,Put,2026-01-16,12.5,1.31,0.6,0.8,1,133,12.6,20.26,15.78499984741211,0.53320779296875
ATEC,ATEC260116P00015000,Put,2026-01-16,15.0,1.1,1.55,1.75,10,24,12.6,20.26,15.78499984741211,0.5151415673828125
ATEC,ATEC260116P00017500,Put,2026-01-16,17.5,0.94,2.9,3.1,133,209,12.6,20.26,15.78499984741211,0.5039112109375
ATEC,ATEC260417C00005000,Call,2026-04-17,5.0,3.29,10.7,11.2,0,2,12.6,20.26,15.78499984741211,0.914063359375
ATEC,ATEC260417C00007500,Call,2026-04-17,7.5,2.19,5.4,6.4,0,1,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC260417C00010000,Call,2026-04-17,10.0,1.64,6.4,6.7,5,22,12.6,20.26,15.78499984741211,0.6748079394531252
ATEC,ATEC260417C00012500,Call,2026-04-17,12.5,1.31,4.6,4.9,2,36,12.6,20.26,15.78499984741211,0.6215858154296876
ATEC,ATEC260417C00015000,Call,2026-04-17,15.0,1.1,3.2,3.6,2,343,12.6,20.26,15.78499984741211,0.6054726953125001
ATEC,ATEC260417C00017500,Call,2026-04-17,17.5,0.94,2.15,2.5,1,252,12.6,20.26,15.78499984741211,0.5817912915039063
ATEC,ATEC260417C00020000,Call,2026-04-17,20.0,0.8200000000000001,1.35,1.7,5,11,12.6,20.26,15.78499984741211,0.5590864404296876
ATEC,ATEC260417C00022500,Call,2026-04-17,22.5,0.73,0.9,1.1,0,350,12.6,20.26,15.78499984741211,0.5478560839843751
ATEC,ATEC260417P00007500,Put,2026-04-17,7.5,2.19,1.3,1.6,0,1,12.6,20.26,15.78499984741211,1.276370805664062
ATEC,ATEC260417P00012500,Put,2026-04-17,12.5,1.31,2.1,2.6,3,3,12.6,20.26,15.78499984741211,0.8413101806640625
ATEC,ATEC260417P00015000,Put,2026-04-17,15.0,1.1,2.0,2.6,1,8,12.6,20.26,15.78499984741211,0.5405319384765627
ATEC,ATEC260417P00017500,Put,2026-04-17,17.5,0.94,6.7,8.8,0,1,12.6,20.26,15.78499984741211,1.335208402099609
ATEC,ATEC260417P00020000,Put,2026-04-17,20.0,0.8200000000000001,8.4,9.0,2,6,12.6,20.26,15.78499984741211,1.1435589697265625
ATEC,ATEC260717C00007500,Call,2026-07-17,7.5,2.19,8.3,9.4,3,3,12.6,20.26,15.78499984741211,0.745119736328125
ATEC,ATEC260717C00012500,Call,2026-07-17,12.5,1.31,0.0,0.0,0,2,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC260717C00015000,Call,2026-07-17,15.0,1.1,3.8,5.9,3,88,12.6,20.26,15.78499984741211,0.7768577001953125
ATEC,ATEC260717C00017500,Call,2026-07-17,17.5,0.94,2.7,3.6,3,465,12.6,20.26,15.78499984741211,0.6335485864257813
ATEC,ATEC260717C00020000,Call,2026-07-17,20.0,0.8200000000000001,1.9,2.65,4,45,12.6,20.26,15.78499984741211,0.6040078662109377
ATEC,ATEC260717C00022500,Call,2026-07-17,22.5,0.73,0.55,0.75,7,9,12.6,20.26,15.78499984741211,0.4155331884765625
ATEC,ATEC260717P00007500,Put,2026-07-17,7.5,2.19,0.0,1.75,2,2,12.6,20.26,15.78499984741211,0.8740246972656249
ATEC,ATEC260717P00012500,Put,2026-07-17,12.5,1.31,0.0,1.8,1,38,12.6,20.26,15.78499984741211,0.6010782080078126
ATEC,ATEC260717P00015000,Put,2026-07-17,15.0,1.1,5.3,5.6,7,107,12.6,20.26,15.78499984741211,1.037358328857422
ATEC,ATEC261218C00005000,Call,2026-12-18,5.0,3.29,5.2,5.7,1,2,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC261218C00007500,Call,2026-12-18,7.5,2.19,4.2,6.2,1,4,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC261218C00012500,Call,2026-12-18,12.5,1.31,5.6,6.3,0,1,12.6,20.26,15.78499984741211,0.6472203247070312
ATEC,ATEC261218C00015000,Call,2026-12-18,15.0,1.1,1.85,2.3,1,7,12.6,20.26,15.78499984741211,0.266608896484375
ATEC,ATEC261218C00017500,Call,2026-12-18,17.5,0.94,2.6,3.7,2,3,12.6,20.26,15.78499984741211,0.523442265625
ATEC,ATEC261218C00020000,Call,2026-12-18,20.0,0.8200000000000001,0.0,1.95,1,3,12.6,20.26,15.78499984741211,0.4538628833007812
ATEC,ATEC261218C00025000,Call,2026-12-18,25.0,0.66,1.5,1.85,0,1,12.6,20.26,15.78499984741211,0.5493209130859377
ATEC,ATEC270115C00002500,Call,2027-01-15,2.5,6.57,9.1,12.5,35,18,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC270115C00005000,Call,2027-01-15,5.0,3.29,5.9,7.1,1,20,12.6,20.26,15.78499984741211,1.0000000000000004e-05
ATEC,ATEC270115C00007500,Call,2027-01-15,7.5,2.19,8.8,9.4,1,77,12.6,20.26,15.78499984741211,0.6831086376953126
ATEC,ATEC270115C00010000,Call,2027-01-15,10.0,1.64,7.2,7.7,1,169,12.6,20.26,15.78499984741211,0.6655306884765627
