Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
CFLT,CFLT250919C00008000,Call,2025-09-19,8.0,2.13,8.9,9.4,0,1,15.8,18.29,17.1299991607666,1.1875040625
CFLT,CFLT250919C00009000,Call,2025-09-19,9.0,1.89,7.8,9.7,1,2,15.8,18.29,17.1299991607666,2.1796920507812496
CFLT,CFLT250919C00010000,Call,2025-09-19,10.0,1.7,5.5,7.5,1,1,15.8,18.29,17.1299991607666,1.6015644921875
CFLT,CFLT250919C00011000,Call,2025-09-19,11.0,1.55,5.8,7.5,1,1,15.8,18.29,17.1299991607666,1.54297103515625
CFLT,CFLT250919C00012000,Call,2025-09-19,12.0,1.42,5.0,5.3,1,5,15.8,18.29,17.1299991607666,0.6015664843750002
CFLT,CFLT250919C00013000,Call,2025-09-19,13.0,1.31,4.0,4.3,1,5,15.8,18.29,17.1299991607666,0.7617211328125001
CFLT,CFLT250919C00014000,Call,2025-09-19,14.0,1.22,3.1,3.4,2,1,15.8,18.29,17.1299991607666,0.5468795312500001
CFLT,CFLT250919C00015000,Call,2025-09-19,15.0,1.14,2.25,2.4,1,477,15.8,18.29,17.1299991607666,0.532231240234375
CFLT,CFLT250919C00016000,Call,2025-09-19,16.0,1.07,1.55,1.65,28,2329,15.8,18.29,17.1299991607666,0.5117236328125
CFLT,CFLT250919C00017000,Call,2025-09-19,17.0,1.0,0.95,1.05,52,1196,15.8,18.29,17.1299991607666,0.4960987890625
CFLT,CFLT250919C00018000,Call,2025-09-19,18.0,0.95,0.6,0.7,69,2046,15.8,18.29,17.1299991607666,0.5029346582031251
CFLT,CFLT250919C00019000,Call,2025-09-19,19.0,0.9,0.4,0.45,35,2138,15.8,18.29,17.1299991607666,0.534184345703125
CFLT,CFLT250919C00020000,Call,2025-09-19,20.0,0.85,0.25,0.3,1211,14773,15.8,18.29,17.1299991607666,0.5585981640625001
CFLT,CFLT250919C00021000,Call,2025-09-19,21.0,0.81,0.2,0.25,26,11821,15.8,18.29,17.1299991607666,0.62305064453125
CFLT,CFLT250919C00022000,Call,2025-09-19,22.0,0.77,0.1,0.2,17,565,15.8,18.29,17.1299991607666,0.64062859375
CFLT,CFLT250919C00023000,Call,2025-09-19,23.0,0.74,0.05,0.15,45,648,15.8,18.29,17.1299991607666,0.6543003320312502
CFLT,CFLT250919C00024000,Call,2025-09-19,24.0,0.71,0.05,0.3,1,305,15.8,18.29,17.1299991607666,0.82226740234375
CFLT,CFLT250919C00025000,Call,2025-09-19,25.0,0.68,0.0,0.2,61,658,15.8,18.29,17.1299991607666,0.789064609375
CFLT,CFLT250919C00026000,Call,2025-09-19,26.0,0.66,0.0,0.15,1,51,15.8,18.29,17.1299991607666,0.804689453125
CFLT,CFLT250919C00027000,Call,2025-09-19,27.0,0.63,0.0,0.5,53,1096,15.8,18.29,17.1299991607666,1.111332568359375
CFLT,CFLT250919C00028000,Call,2025-09-19,28.0,0.61,0.0,0.5,17,143,15.8,18.29,17.1299991607666,1.171879140625
CFLT,CFLT250919C00029000,Call,2025-09-19,29.0,0.59,0.0,0.45,6,642,15.8,18.29,17.1299991607666,1.203128984375
CFLT,CFLT250919C00030000,Call,2025-09-19,30.0,0.5700000000000001,0.0,0.2,20,496,15.8,18.29,17.1299991607666,1.0703171484375005
