Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
PSN,PSN251017C00135000,Call,2025-10-17,135.0,1.74709082255949,0.0,0.95,10,156,75.0,78.51,77.93000030517578,0.7690452783203126,2025-10-17,0.1560574948665297,77.27131197577059,0.5579520175278454,,0.9127288848116724,0.7941250250305268,,0.0524346306991243,2.5335991095067083,0.7941250250305268,0.0984152488888292,0.0,,0.313437521370594
PSN,PSN251017C00090000,Call,2025-10-17,90.0,1.16472721503966,0.0,0.7,1,156,75.0,78.51,77.93000030517578,0.3183661914062499,2025-10-17,0.1560574948665297,77.27131197577059,0.152486909419681,,0.3384442043469611,0.2796496618865965,,0.0925737587013381,0.8922022502722375,0.2796496618865964,0.0122043099340654,0.0055405191633169,,0.313437521370594
PSN,PSN250919P00070000,Put,2025-09-19,70.0,0.908887265449446,0.0,0.75,2,241,75.0,78.51,77.93000030517578,0.3852600537109374,2025-09-19,0.0793976728268309,77.01725248112582,-0.0955342129034752,,0.3713131869720358,0.2942766876191196,,-0.1163203798581398,0.9388687299858416,0.2942766876191196,0.0068757407184294,0.004929584482164,0.0,0.313437521370594
PSN,PSN251219C00095000,Call,2025-12-19,95.0,1.2203579194109402,0.3,1.8,20,51,75.0,78.51,77.93000030517578,0.3732972827148437,2025-12-19,0.3285420944558521,77.84601426264842,0.1991441922850198,0.2268323384514434,0.3799917271902305,0.3157988576150803,0.1531593887387871,0.1563270011735014,1.0075336744438277,0.3157988576150803,0.0327651477522758,0.0256451317905193,0.0,0.313437521370594
PSN,PSN251017P00040000,Put,2025-10-17,40.0,0.5176565400176266,0.0,2.15,1,348,75.0,78.51,77.93000030517578,1.2202187426757811,2025-10-17,0.1560574948665297,77.27131197577059,-0.6584433067966478,,1.5035693125307577,1.233496473619425,,-0.0553674617787008,3.93538229955882,1.233496473619425,0.2374435930858281,,0.0,0.313437521370594
PSN,PSN250919C00090000,Call,2025-09-19,90.0,1.1685693412921447,0.0,0.8,2,430,75.0,78.51,77.93000030517578,0.4582573706054688,2025-09-19,0.0793976728268309,77.01725248112582,0.1557802153774309,,0.5016096981843622,0.411880811809612,,0.0995304683961569,1.3140762790892009,0.411880811809612,0.0134694819739121,0.0148436410012637,,0.313437521370594
PSN,PSN250919P00050000,Put,2025-09-19,50.0,0.649205189606747,0.0,0.2,2,479,75.0,78.51,77.93000030517578,0.7421900781249999,2025-09-19,0.0793976728268309,77.01725248112582,-0.4320064495246882,,0.8437790182450068,0.7522518208777834,,-0.0160135591681488,2.400005645745124,0.7522518208777834,0.0449297775726332,,0.0083503684214307,0.313437521370594
PSN,PSN250919P00065000,Put,2025-09-19,65.0,0.8439667464887711,0.0,0.5,4,517,75.0,78.51,77.93000030517578,0.492192578125,2025-09-19,0.0793976728268309,77.01725248112582,-0.1696421850571971,,0.4862061846520531,0.4076973063500622,,-0.0624977122022115,1.300729104056498,0.4076973063500622,0.0131972504162841,0.0242712594640205,0.0,0.313437521370594
PSN,PSN250919P00055000,Put,2025-09-19,55.0,0.7141257085674217,0.0,0.45,2,879,75.0,78.51,77.93000030517578,0.692385888671875,2025-09-19,0.0793976728268309,77.01725248112582,-0.3366962697203632,,0.8071835203057177,0.6975255204847679,,-0.0350441325874001,2.225405297472494,0.6975255204847679,0.0386302907600242,0.0381525261118604,0.0,0.313437521370594
PSN,PSN260320P00060000,Put,2026-03-20,60.0,0.7625468105832169,1.35,2.7,10,11,75.0,78.51,77.93000030517578,0.4301814794921875,2026-03-20,0.5776865160848734,78.68369412509946,-0.2710913814561072,0.3437423921133395,0.4453451588533942,0.3971561302889562,0.1016027667400547,-0.1470898008991212,1.2670982355663067,0.3971561302889562,0.0911202225196625,,0.011748311437133,0.313437521370594
