Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
LRN,LRN250919C00060000,Call,2025-09-19,60.0,2.71,98.7,103.0,10,20,160.02,165.1,163.3300018310547,1.0000000000000004e-05
LRN,LRN250919C00080000,Call,2025-09-19,80.0,2.03,72.1,75.1,5,4,160.02,165.1,163.3300018310547,1.0000000000000004e-05
LRN,LRN250919C00085000,Call,2025-09-19,85.0,1.91,54.5,58.1,0,1,160.02,165.1,163.3300018310547,1.0000000000000004e-05
LRN,LRN250919C00100000,Call,2025-09-19,100.0,1.63,62.3,65.7,1,2,160.02,165.1,163.3300018310547,0.99023447265625
LRN,LRN250919C00105000,Call,2025-09-19,105.0,1.55,57.4,60.9,1,6,160.02,165.1,163.3300018310547,0.9438482177734374
LRN,LRN250919C00110000,Call,2025-09-19,110.0,1.48,52.4,55.8,2,28,160.02,165.1,163.3300018310547,0.848634326171875
LRN,LRN250919C00120000,Call,2025-09-19,120.0,1.35,30.0,31.7,22,20,160.02,165.1,163.3300018310547,1.0000000000000004e-05
LRN,LRN250919C00125000,Call,2025-09-19,125.0,1.3,37.6,41.1,2,32,160.02,165.1,163.3300018310547,0.6589389575195312
LRN,LRN250919C00130000,Call,2025-09-19,130.0,1.25,32.3,35.4,2,55,160.02,165.1,163.3300018310547,0.7121610815429689
LRN,LRN250919C00135000,Call,2025-09-19,135.0,1.2,28.3,31.1,2,27,160.02,165.1,163.3300018310547,0.5505416040039064
LRN,LRN250919C00140000,Call,2025-09-19,140.0,1.16,24.0,25.0,7,75,160.02,165.1,163.3300018310547,0.5029346582031251
LRN,LRN250919C00145000,Call,2025-09-19,145.0,1.12,18.7,21.3,5,73,160.02,165.1,163.3300018310547,0.527470545654297
LRN,LRN250919C00150000,Call,2025-09-19,150.0,1.08,14.9,15.5,4,465,160.02,165.1,163.3300018310547,0.377813839111328
LRN,LRN250919C00155000,Call,2025-09-19,155.0,1.05,10.8,11.4,2,171,160.02,165.1,163.3300018310547,0.3454655297851562
LRN,LRN250919C00160000,Call,2025-09-19,160.0,1.02,7.4,7.9,23,358,160.02,165.1,163.3300018310547,0.324103438720703
LRN,LRN250919C00165000,Call,2025-09-19,165.0,0.99,4.7,5.0,6,247,160.02,165.1,163.3300018310547,0.3037789349365234
LRN,LRN250919C00170000,Call,2025-09-19,170.0,0.96,2.65,2.9,74,490,160.02,165.1,163.3300018310547,0.289924093017578
LRN,LRN250919C00175000,Call,2025-09-19,175.0,0.93,1.4,1.75,2,132,160.02,165.1,163.3300018310547,0.295905478515625
LRN,LRN250919C00180000,Call,2025-09-19,180.0,0.9,0.65,0.95,4,37,160.02,165.1,163.3300018310547,0.294806856689453
LRN,LRN250919C00185000,Call,2025-09-19,185.0,0.88,0.1,1.35,1,4,160.02,165.1,163.3300018310547,0.38867798828125
LRN,LRN250919C00190000,Call,2025-09-19,190.0,0.86,0.0,0.95,1,43,160.02,165.1,163.3300018310547,0.4012511047363281
LRN,LRN250919C00195000,Call,2025-09-19,195.0,0.8300000000000001,0.0,0.95,1,21,160.02,165.1,163.3300018310547,0.4497125341796875
LRN,LRN250919C00200000,Call,2025-09-19,200.0,0.81,0.0,0.75,1,328,160.02,165.1,163.3300018310547,0.4685111743164062
LRN,LRN250919C00210000,Call,2025-09-19,210.0,0.77,0.0,0.95,4,22,160.02,165.1,163.3300018310547,0.5024463818359376
LRN,LRN250919C00220000,Call,2025-09-19,220.0,0.74,0.0,0.75,1,1,160.02,165.1,163.3300018310547,0.5502974658203126
LRN,LRN250919P00060000,Put,2025-09-19,60.0,2.71,0.0,0.0,0,0,160.02,165.1,163.3300018310547,0.500005
LRN,LRN250919P00065000,Put,2025-09-19,65.0,2.5,0.0,1.7,0,14,160.02,165.1,163.3300018310547,1.8046884765625
LRN,LRN250919P00070000,Put,2025-09-19,70.0,2.32,0.0,1.7,5,6,160.02,165.1,163.3300018310547,1.6728531982421877
LRN,LRN250919P00075000,Put,2025-09-19,75.0,2.17,0.0,1.55,0,0,160.02,165.1,163.3300018310547,1.5234398828124998
LRN,LRN250919P00080000,Put,2025-09-19,80.0,2.03,0.0,1.0,1,3,160.02,165.1,163.3300018310547,1.303714418945312
LRN,LRN250919P00085000,Put,2025-09-19,85.0,1.91,0.15,1.0,15,433,160.02,165.1,163.3300018310547,1.234378828125
LRN,LRN250919P00090000,Put,2025-09-19,90.0,1.81,0.0,0.45,5,14,160.02,165.1,163.3300018310547,0.976562734375
LRN,LRN250919P00095000,Put,2025-09-19,95.0,1.71,0.1,0.35,1,9,160.02,165.1,163.3300018310547,0.8964854101562498
LRN,LRN250919P00100000,Put,2025-09-19,100.0,1.63,0.0,0.6,3,6,160.02,165.1,163.3300018310547,0.858399853515625
LRN,LRN250919P00105000,Put,2025-09-19,105.0,1.55,0.0,0.9,1,13,160.02,165.1,163.3300018310547,0.8398453515625
LRN,LRN250919P00110000,Put,2025-09-19,110.0,1.48,0.0,0.95,10,100,160.02,165.1,163.3300018310547,0.77148666015625
LRN,LRN250919P00115000,Put,2025-09-19,115.0,1.41,0.0,0.95,7,33,160.02,165.1,163.3300018310547,0.6972686523437501
LRN,LRN250919P00120000,Put,2025-09-19,120.0,1.35,0.0,0.95,3,75,160.02,165.1,163.3300018310547,0.6254920263671876
LRN,LRN250919P00125000,Put,2025-09-19,125.0,1.3,0.0,0.75,1,159,160.02,165.1,163.3300018310547,0.5307664111328125
