Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
ALKT,ALKT251017C00027500,Call,2025-10-17,27.5,0.86,0.0,0.65,1,107,23.65,23.76,23.700000762939453,0.4931691308593751
ALKT,ALKT250919C00035000,Call,2025-09-19,35.0,0.68,0.0,0.2,1,153,23.65,23.76,23.700000762939453,0.773439765625
ALKT,ALKT260320C00037500,Call,2026-03-20,37.5,0.63,0.35,0.85,0,30,23.65,23.76,23.700000762939453,0.549076774902344
ALKT,ALKT251219P00017500,Put,2025-12-19,17.5,1.35,0.4,0.65,4,33,23.65,23.76,23.700000762939453,0.5317429638671876
ALKT,ALKT251017C00022500,Call,2025-10-17,22.5,1.05,1.6,2.7,1,46,23.65,23.76,23.700000762939453,0.5576216113281252
ALKT,ALKT260320C00015000,Call,2026-03-20,15.0,1.58,8.4,11.4,4,9,23.65,23.76,23.700000762939453,0.7338893798828124
ALKT,ALKT260116C00022500,Call,2026-01-16,22.5,1.05,2.5,3.8,1,39,23.65,23.76,23.700000762939453,0.5400436621093752
ALKT,ALKT260116C00032500,Call,2026-01-16,32.5,0.73,0.55,0.85,2,113,23.65,23.76,23.700000762939453,0.5229539892578124
ALKT,ALKT251017P00020000,Put,2025-10-17,20.0,1.19,0.4,0.55,1,36,23.65,23.76,23.700000762939453,0.500005
ALKT,ALKT260320C00030000,Call,2026-03-20,30.0,0.79,1.3,1.65,2,16,23.65,23.76,23.700000762939453,0.5004932763671875
ALKT,ALKT260320C00027500,Call,2026-03-20,27.5,0.86,2.0,2.55,2,17,23.65,23.76,23.700000762939453,0.5026905200195313
ALKT,ALKT250919C00030000,Call,2025-09-19,30.0,0.79,0.1,0.15,6,199,23.65,23.76,23.700000762939453,0.5507857421875001
ALKT,ALKT260116C00015000,Call,2026-01-16,15.0,1.58,8.4,10.0,6,10,23.65,23.76,23.700000762939453,0.63867548828125
ALKT,ALKT250919C00027500,Call,2025-09-19,27.5,0.86,0.2,0.3,8,292,23.65,23.76,23.700000762939453,0.5097705273437501
ALKT,ALKT251017C00020000,Call,2025-10-17,20.0,1.19,4.2,4.7,0,7,23.65,23.76,23.700000762939453,0.6074258007812501
ALKT,ALKT260320C00020000,Call,2026-03-20,20.0,1.19,5.6,6.2,2,6,23.65,23.76,23.700000762939453,0.5722699023437501
ALKT,ALKT250919P00032500,Put,2025-09-19,32.5,0.73,8.4,9.5,1,10,23.65,23.76,23.700000762939453,0.7148466015625
ALKT,ALKT250919C00022500,Call,2025-09-19,22.5,1.05,1.9,2.6,21,467,23.65,23.76,23.700000762939453,0.5981485498046876
ALKT,ALKT250919P00027500,Put,2025-09-19,27.5,0.86,3.6,4.1,2,13,23.65,23.76,23.700000762939453,0.5097705273437501
ALKT,ALKT251017P00022500,Put,2025-10-17,22.5,1.05,1.05,1.2,19,17,23.65,23.76,23.700000762939453,0.4731497998046875
ALKT,ALKT260320C00022500,Call,2026-03-20,22.5,1.05,4.0,4.6,12,20,23.65,23.76,23.700000762939453,0.5258836474609375
ALKT,ALKT260116P00017500,Put,2026-01-16,17.5,1.35,0.6,0.75,5,137,23.65,23.76,23.700000762939453,0.5249070947265625
ALKT,ALKT251219C00027500,Call,2025-12-19,27.5,0.86,1.25,1.5,1,94,23.65,23.76,23.700000762939453,0.5178270874023438
ALKT,ALKT250919P00022500,Put,2025-09-19,22.5,1.05,0.65,0.8,28,332,23.65,23.76,23.700000762939453,0.49805189453125
ALKT,ALKT250919P00030000,Put,2025-09-19,30.0,0.79,6.0,6.6,12,18,23.65,23.76,23.700000762939453,0.6894562304687502
ALKT,ALKT260116C00027500,Call,2026-01-16,27.5,0.86,1.45,1.7,15,161,23.65,23.76,23.700000762939453,0.5014698291015626
ALKT,ALKT260116P00022500,Put,2026-01-16,22.5,1.05,1.95,2.15,1,22,23.65,23.76,23.700000762939453,0.4616753051757813
ALKT,ALKT251219C00030000,Call,2025-12-19,30.0,0.79,0.8,0.95,2,286,23.65,23.76,23.700000762939453,0.5141650146484374
ALKT,ALKT251219P00025000,Put,2025-12-19,25.0,0.95,3.1,3.3,15,7,23.65,23.76,23.700000762939453,0.4663139306640625
ALKT,ALKT260116C00030000,Call,2026-01-16,30.0,0.79,0.95,1.1,1,156,23.65,23.76,23.700000762939453,0.4936574072265626
ALKT,ALKT251017C00025000,Call,2025-10-17,25.0,0.95,1.15,1.3,40,79,23.65,23.76,23.700000762939453,0.4858449853515625
