Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
GBDC,GBDC260220P00012500,Put,2026-02-20,12.5,1.17,0.0,0.45,20,51,14.58,14.65,14.619999885559082,0.3217841259765625
GBDC,GBDC251121P00012500,Put,2025-11-21,12.5,1.17,0.0,0.55,2,95,14.58,14.65,14.619999885559082,0.49805189453125
GBDC,GBDC250919P00015000,Put,2025-09-19,15.0,0.97,0.0,0.75,1,118,14.58,14.65,14.619999885559082,0.3183661914062499
GBDC,GBDC251121P00017500,Put,2025-11-21,17.5,0.84,2.05,5.2,11,12,14.58,14.65,14.619999885559082,0.5712933496093751
GBDC,GBDC251121C00017500,Call,2025-11-21,17.5,0.84,0.0,0.1,3,420,14.58,14.65,14.619999885559082,0.273444765625
GBDC,GBDC260220C00012500,Call,2026-02-20,12.5,1.17,1.45,2.75,2,6,14.58,14.65,14.619999885559082,0.3794007373046875
GBDC,GBDC260220C00017500,Call,2026-02-20,17.5,0.84,0.0,0.05,2,1010,14.58,14.65,14.619999885559082,0.164070859375
GBDC,GBDC251121C00015000,Call,2025-11-21,15.0,0.97,0.1,0.25,3,773,14.58,14.65,14.619999885559082,0.1381922119140625
GBDC,GBDC250919C00015000,Call,2025-09-19,15.0,0.97,0.05,0.1,10,278,14.58,14.65,14.619999885559082,0.1445398046875
GBDC,GBDC260220C00015000,Call,2026-02-20,15.0,0.97,0.2,0.35,2,116,14.58,14.65,14.619999885559082,0.1235439208984375
GBDC,GBDC260220C00005000,Call,2026-02-20,5.0,2.92,8.3,10.5,1,8,14.58,14.65,14.619999885559082,1.650392373046875
GBDC,GBDC251121P00015000,Put,2025-11-21,15.0,0.97,0.7,0.85,5,100,14.58,14.65,14.619999885559082,0.215828154296875
