Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
AKAM,AKAM250822C00050000,Call,2025-08-22,50.0,1.5,26.0,26.8,0,1,71.25,79.2,76.31999969482422,2.718753203125
AKAM,AKAM250822C00066000,Call,2025-08-22,66.0,1.14,10.1,10.8,10,13,71.25,79.2,76.31999969482422,1.19141029296875
AKAM,AKAM250822C00070000,Call,2025-08-22,70.0,1.07,5.9,7.0,1,3,71.25,79.2,76.31999969482422,0.789064609375
AKAM,AKAM250822C00071000,Call,2025-08-22,71.0,1.06,5.1,6.0,10,8,71.25,79.2,76.31999969482422,0.7949239257812499
AKAM,AKAM250822C00072000,Call,2025-08-22,72.0,1.04,3.8,4.7,19,23,71.25,79.2,76.31999969482422,0.8027363476562499
AKAM,AKAM250822C00073000,Call,2025-08-22,73.0,1.03,2.95,3.7,3,22,71.25,79.2,76.31999969482422,0.6738313867187502
AKAM,AKAM250822C00074000,Call,2025-08-22,74.0,1.02,0.35,3.5,3,22,71.25,79.2,76.31999969482422,0.965820654296875
AKAM,AKAM250822C00075000,Call,2025-08-22,75.0,1.0,1.05,2.55,8,81,71.25,79.2,76.31999969482422,0.8125018749999999
AKAM,AKAM250822C00076000,Call,2025-08-22,76.0,0.99,0.45,0.85,15,67,71.25,79.2,76.31999969482422,0.301764794921875
AKAM,AKAM250822C00077000,Call,2025-08-22,77.0,0.98,0.0,0.8,8,98,71.25,79.2,76.31999969482422,0.4892629199218751
AKAM,AKAM250822C00078000,Call,2025-08-22,78.0,0.96,0.0,0.35,8,72,71.25,79.2,76.31999969482422,0.42383388671875
AKAM,AKAM250822C00079000,Call,2025-08-22,79.0,0.95,0.0,0.05,62,160,71.25,79.2,76.31999969482422,0.3086006640625
AKAM,AKAM250822C00080000,Call,2025-08-22,80.0,0.94,0.0,1.0,3,125,71.25,79.2,76.31999969482422,0.76367423828125
AKAM,AKAM250822C00081000,Call,2025-08-22,81.0,0.93,0.0,1.3,10,24,71.25,79.2,76.31999969482422,0.973633076171875
AKAM,AKAM250822C00082000,Call,2025-08-22,82.0,0.92,0.0,1.35,2,2,71.25,79.2,76.31999969482422,1.1035201074218752
AKAM,AKAM250822C00083000,Call,2025-08-22,83.0,0.91,0.0,2.15,1,7,71.25,79.2,76.31999969482422,1.4589870800781248
AKAM,AKAM250822C00084000,Call,2025-08-22,84.0,0.9,0.0,2.15,12,12,71.25,79.2,76.31999969482422,1.5732443212890623
AKAM,AKAM250822C00085000,Call,2025-08-22,85.0,0.88,0.0,0.15,1,19,71.25,79.2,76.31999969482422,0.8203142968749999
AKAM,AKAM250822C00087000,Call,2025-08-22,87.0,0.86,0.0,1.2,16,6,71.25,79.2,76.31999969482422,1.5585959570312498
AKAM,AKAM250822C00088000,Call,2025-08-22,88.0,0.85,0.0,1.05,1,1,71.25,79.2,76.31999969482422,1.5859395703124997
AKAM,AKAM250822C00090000,Call,2025-08-22,90.0,0.84,0.0,1.1,1,13,71.25,79.2,76.31999969482422,1.7792979785156249
AKAM,AKAM250822C00091000,Call,2025-08-22,91.0,0.8300000000000001,0.0,1.1,2,5,71.25,79.2,76.31999969482422,1.86328193359375
AKAM,AKAM250822C00092000,Call,2025-08-22,92.0,0.8200000000000001,0.0,0.65,7,7,71.25,79.2,76.31999969482422,1.70703271484375
AKAM,AKAM250822C00095000,Call,2025-08-22,95.0,0.79,0.0,0.65,0,4,71.25,79.2,76.31999969482422,1.921875390625
AKAM,AKAM250822P00060000,Put,2025-08-22,60.0,1.25,,0.65,2,3,71.25,79.2,76.31999969482422,2.593753515625
AKAM,AKAM250822P00065000,Put,2025-08-22,65.0,1.16,0.0,0.05,1,132,71.25,79.2,76.31999969482422,0.98437515625
AKAM,AKAM250822P00066000,Put,2025-08-22,66.0,1.14,0.0,1.15,1,8,71.25,79.2,76.31999969482422,1.724610751953125
AKAM,AKAM250822P00067000,Put,2025-08-22,67.0,1.12,0.0,0.3,1,8,71.25,79.2,76.31999969482422,1.125004375
AKAM,AKAM250822P00068000,Put,2025-08-22,68.0,1.11,0.0,0.55,1,20,71.25,79.2,76.31999969482422,1.1816447167968749
AKAM,AKAM250822P00069000,Put,2025-08-22,69.0,1.09,0.0,0.05,1,14,71.25,79.2,76.31999969482422,0.6562534375000001
AKAM,AKAM250822P00070000,Put,2025-08-22,70.0,1.07,0.0,0.05,5,66,71.25,79.2,76.31999969482422,0.57812921875
AKAM,AKAM250822P00071000,Put,2025-08-22,71.0,1.06,0.0,0.3,1,46,71.25,79.2,76.31999969482422,0.710940390625
AKAM,AKAM250822P00072000,Put,2025-08-22,72.0,1.04,0.0,0.25,3,85,71.25,79.2,76.31999969482422,0.57617611328125
AKAM,AKAM250822P00073000,Put,2025-08-22,73.0,1.03,0.0,0.4,2,39,71.25,79.2,76.31999969482422,0.5410202148437502
AKAM,AKAM250822P00074000,Put,2025-08-22,74.0,1.02,0.0,0.3,29,50,71.25,79.2,76.31999969482422,0.49023947265625
AKAM,AKAM250822P00075000,Put,2025-08-22,75.0,1.0,0.1,0.25,4,29,71.25,79.2,76.31999969482422,0.3252020605468749
AKAM,AKAM250822P00076000,Put,2025-08-22,76.0,0.99,0.0,0.55,8,11,71.25,79.2,76.31999969482422,0.3105537695312499
AKAM,AKAM250822P00077000,Put,2025-08-22,77.0,0.98,0.0,1.15,3,5,71.25,79.2,76.31999969482422,0.336920693359375
AKAM,AKAM250822P00078000,Put,2025-08-22,78.0,0.96,0.4,2.3,10,20,71.25,79.2,76.31999969482422,0.5664105859375
AKAM,AKAM250822P00079000,Put,2025-08-22,79.0,0.95,1.75,3.3,4,1,71.25,79.2,76.31999969482422,0.7060576269531251
AKAM,AKAM250822P00080000,Put,2025-08-22,80.0,0.94,3.4,4.0,1,20,71.25,79.2,76.31999969482422,0.6455113574218749
AKAM,AKAM250822P00081000,Put,2025-08-22,81.0,0.93,4.0,4.8,3,2,71.25,79.2,76.31999969482422,0.570316796875
AKAM,AKAM250822P00090000,Put,2025-08-22,90.0,0.84,13.0,14.1,0,0,71.25,79.2,76.31999969482422,1.65625171875
AKAM,AKAM250829C00070000,Call,2025-08-29,70.0,1.07,5.9,7.0,1,61,71.25,79.2,76.31999969482422,0.6035195898437502
AKAM,AKAM250829C00071000,Call,2025-08-29,71.0,1.06,5.1,5.9,14,53,71.25,79.2,76.31999969482422,0.506840869140625
AKAM,AKAM250829C00072000,Call,2025-08-29,72.0,1.04,4.5,4.8,1,92,71.25,79.2,76.31999969482422,0.4116269775390625
AKAM,AKAM250829C00073000,Call,2025-08-29,73.0,1.03,3.6,3.9,1,31,71.25,79.2,76.31999969482422,0.3774476318359374
AKAM,AKAM250829C00074000,Call,2025-08-29,74.0,1.02,2.85,3.1,2,28,71.25,79.2,76.31999969482422,0.3598696826171874
AKAM,AKAM250829C00075000,Call,2025-08-29,75.0,1.0,2.15,2.3,4,31,71.25,79.2,76.31999969482422,0.327155166015625
AKAM,AKAM250829C00076000,Call,2025-08-29,76.0,0.99,1.5,1.65,23,326,71.25,79.2,76.31999969482422,0.3110420458984374
AKAM,AKAM250829C00077000,Call,2025-08-29,77.0,0.98,1.0,1.15,6,1023,71.25,79.2,76.31999969482422,0.3051827294921875
AKAM,AKAM250829C00078000,Call,2025-08-29,78.0,0.96,0.65,0.8,2,37,71.25,79.2,76.31999969482422,0.3086006640625
AKAM,AKAM250829C00079000,Call,2025-08-29,79.0,0.95,0.4,0.5,22,7,71.25,79.2,76.31999969482422,0.301764794921875
AKAM,AKAM250829C00080000,Call,2025-08-29,80.0,0.94,0.2,0.35,21,165,71.25,79.2,76.31999969482422,0.3144599804687499
AKAM,AKAM250829C00081000,Call,2025-08-29,81.0,0.93,0.1,0.25,2,27,71.25,79.2,76.31999969482422,0.3281317187499999
AKAM,AKAM250829C00082000,Call,2025-08-29,82.0,0.92,0.05,0.2,8,7,71.25,79.2,76.31999969482422,0.352545537109375
AKAM,AKAM250829C00083000,Call,2025-08-29,83.0,0.91,0.0,1.4,0,1,71.25,79.2,76.31999969482422,0.5800823242187501
AKAM,AKAM250829C00084000,Call,2025-08-29,84.0,0.9,0.0,1.6,0,1,71.25,79.2,76.31999969482422,0.6616244775390626
AKAM,AKAM250829C00085000,Call,2025-08-29,85.0,0.88,0.0,0.05,13,11,71.25,79.2,76.31999969482422,0.35938140625
AKAM,AKAM250829C00086000,Call,2025-08-29,86.0,0.87,0.0,1.35,2,3,71.25,79.2,76.31999969482422,0.71679970703125
AKAM,AKAM250829C00087000,Call,2025-08-29,87.0,0.86,0.0,1.85,2,7,71.25,79.2,76.31999969482422,0.8457046679687499
AKAM,AKAM250829C00088000,Call,2025-08-29,88.0,0.85,0.0,1.35,1,3,71.25,79.2,76.31999969482422,0.805666005859375
AKAM,AKAM250829C00090000,Call,2025-08-29,90.0,0.84,0.0,1.55,1,3,71.25,79.2,76.31999969482422,0.9272468212890624
