Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
LEVI,LEVI250919C00014000,Call,2025-09-19,14.0,1.48,6.7,7.1,2,2,0.0,0.0,20.75,0.945313046875
LEVI,LEVI250919C00017000,Call,2025-09-19,17.0,1.22,3.8,3.9,1,3,0.0,0.0,20.75,0.500005
LEVI,LEVI250919C00018000,Call,2025-09-19,18.0,1.15,2.85,2.95,1,4,0.0,0.0,20.75,0.47461462890625
LEVI,LEVI250919C00019000,Call,2025-09-19,19.0,1.09,1.95,2.05,7,13,0.0,0.0,20.75,0.4062559375
LEVI,LEVI250919C00020000,Call,2025-09-19,20.0,1.04,1.15,1.25,4,98,0.0,0.0,20.75,0.352545537109375
LEVI,LEVI250919C00021000,Call,2025-09-19,21.0,0.99,0.55,0.65,3,290,0.0,0.0,20.75,0.3222724023437499
LEVI,LEVI250919C00022000,Call,2025-09-19,22.0,0.94,0.2,0.3,109,279,0.0,0.0,20.75,0.3144599804687499
LEVI,LEVI250919C00023000,Call,2025-09-19,23.0,0.9,0.05,0.15,61,308,0.0,0.0,20.75,0.33399103515625
LEVI,LEVI250919C00024000,Call,2025-09-19,24.0,0.86,0.0,0.15,21,24,0.0,0.0,20.75,0.42188078125
LEVI,LEVI250919C00025000,Call,2025-09-19,25.0,0.8300000000000001,0.0,0.65,1,23,0.0,0.0,20.75,0.631839619140625
LEVI,LEVI250919P00015000,Put,2025-09-19,15.0,1.38,0.0,0.1,10,15,0.0,0.0,20.75,0.64062859375
LEVI,LEVI250919P00017000,Put,2025-09-19,17.0,1.22,0.0,0.05,1,27,0.0,0.0,20.75,0.4257869921875
LEVI,LEVI250919P00018000,Put,2025-09-19,18.0,1.15,0.05,0.15,21,79,0.0,0.0,20.75,0.4335994140625
LEVI,LEVI250919P00019000,Put,2025-09-19,19.0,1.09,0.15,0.2,10,56,0.0,0.0,20.75,0.344733115234375
LEVI,LEVI250919P00020000,Put,2025-09-19,20.0,1.04,0.35,0.45,10,52,0.0,0.0,20.75,0.3291082714843749
LEVI,LEVI250919P00021000,Put,2025-09-19,21.0,0.99,0.75,0.85,23,374,0.0,0.0,20.75,0.3007882421875
LEVI,LEVI250919P00022000,Put,2025-09-19,22.0,0.94,1.4,1.5,4,6,0.0,0.0,20.75,0.2890696093749999
LEVI,LEVI250919P00024000,Put,2025-09-19,24.0,0.86,3.2,3.4,0,0,0.0,0.0,20.75,0.42188078125
LEVI,LEVI251017C00001000,Call,2025-10-17,1.0,20.75,18.5,21.2,26,0,0.0,0.0,20.75,4.375004531249999
LEVI,LEVI251017C00002000,Call,2025-10-17,2.0,10.38,17.5,20.2,16,0,0.0,0.0,20.75,3.250001875
LEVI,LEVI251017C00003000,Call,2025-10-17,3.0,6.92,16.5,19.2,8,0,0.0,0.0,20.75,2.6562533593750004
LEVI,LEVI251017C00004000,Call,2025-10-17,4.0,5.19,15.6,18.2,5,0,0.0,0.0,20.75,2.43750390625
LEVI,LEVI251017C00005000,Call,2025-10-17,5.0,4.15,15.7,17.0,2,0,0.0,0.0,20.75,2.972658818359375
LEVI,LEVI251017C00007000,Call,2025-10-17,7.0,2.96,13.6,14.7,0,0,0.0,0.0,20.75,2.0546923632812497
LEVI,LEVI251017C00008000,Call,2025-10-17,8.0,2.59,12.6,14.0,0,0,0.0,0.0,20.75,1.998046884765625
LEVI,LEVI251017C00009000,Call,2025-10-17,9.0,2.31,8.0,9.5,0,1,0.0,0.0,20.75,1.0000000000000004e-05
LEVI,LEVI251017C00010000,Call,2025-10-17,10.0,2.08,10.7,11.2,2,11,0.0,0.0,20.75,1.21875390625
LEVI,LEVI251017C00012000,Call,2025-10-17,12.0,1.73,0.0,0.0,9,15,0.0,0.0,20.75,1.0000000000000004e-05
