Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
DDOG,DDOG251017P00100000,Put,2025-10-17,100.0,1.3,0.17,0.91,1,1530,124.47,136.42,131.22000122070312,0.5051319018554687
DDOG,DDOG260618P00075000,Put,2026-06-18,75.0,1.74,0.76,2.44,2,316,124.47,136.42,131.22000122070312,0.5069629382324219
DDOG,DDOG260116P00070000,Put,2026-01-16,70.0,1.86,0.25,0.91,17,541,124.47,136.42,131.22000122070312,0.5698285205078125
DDOG,DDOG261218P00070000,Put,2026-12-18,70.0,1.86,1.65,3.3,10,39,124.47,136.42,131.22000122070312,0.4803518762207031
DDOG,DDOG250822P00134000,Put,2025-08-22,134.0,0.97,1.77,3.25,5,26,124.47,136.42,131.22000122070312,0.526371923828125
DDOG,DDOG250905C00145000,Call,2025-09-05,145.0,0.9,0.33,0.77,1,87,124.47,136.42,131.22000122070312,0.4328669995117187
DDOG,DDOG251121C00190000,Call,2025-11-21,190.0,0.6900000000000001,0.46,0.83,1,26,124.47,136.42,131.22000122070312,0.45898978515625
DDOG,DDOG260116C00190000,Call,2026-01-16,190.0,0.6900000000000001,0.54,1.75,2,492,124.47,136.42,131.22000122070312,0.4299373413085938
DDOG,DDOG260918C00210000,Call,2026-09-18,210.0,0.62,2.76,4.85,29,25,124.47,136.42,131.22000122070312,0.4133359448242187
DDOG,DDOG250912P00127000,Put,2025-09-12,127.0,1.03,1.58,2.58,2,17,124.47,136.42,131.22000122070312,0.3457096679687499
DDOG,DDOG260320C00195000,Call,2026-03-20,195.0,0.67,1.17,2.67,2,109,124.47,136.42,131.22000122070312,0.4224911267089843
DDOG,DDOG260116C00220000,Call,2026-01-16,220.0,0.59,0.23,0.86,2,1073,124.47,136.42,131.22000122070312,0.4694877270507813
DDOG,DDOG251121C00180000,Call,2025-11-21,180.0,0.72,0.79,2.15,1,277,124.47,136.42,131.22000122070312,0.5173388110351562
DDOG,DDOG250905P00128000,Put,2025-09-05,128.0,1.02,1.57,2.51,2,19,124.47,136.42,131.22000122070312,0.3732972827148437
DDOG,DDOG260116C00230000,Call,2026-01-16,230.0,0.5700000000000001,0.23,0.72,15,886,124.47,136.42,131.22000122070312,0.4841360180664062
DDOG,DDOG260618C00200000,Call,2026-06-18,200.0,0.65,1.43,3.9,10,461,124.47,136.42,131.22000122070312,0.4119321502685547
DDOG,DDOG260320P00080000,Put,2026-03-20,80.0,1.63,0.53,1.68,1,1055,124.47,136.42,131.22000122070312,0.4950001672363281
DDOG,DDOG250912C00150000,Call,2025-09-12,150.0,0.87,0.21,0.36,52,33,124.47,136.42,131.22000122070312,0.3618227880859375
DDOG,DDOG261218P00055000,Put,2026-12-18,55.0,2.37,0.9,2.58,100,685,124.47,136.42,131.22000122070312,0.5300339965820313
DDOG,DDOG270115P00055000,Put,2027-01-15,55.0,2.37,1.0,2.68,100,526,124.47,136.42,131.22000122070312,0.522343643798828
DDOG,DDOG250822C00129000,Call,2025-08-22,129.0,1.01,1.21,2.73,143,206,124.47,136.42,131.22000122070312,0.492192578125
DDOG,DDOG250905C00144000,Call,2025-09-05,144.0,0.91,0.36,0.5,2,9,124.47,136.42,131.22000122070312,0.3632876171875
DDOG,DDOG260116C00195000,Call,2026-01-16,195.0,0.67,1.02,2.63,15,669,124.47,136.42,131.22000122070312,0.5023243127441408
DDOG,DDOG250912P00128000,Put,2025-09-12,128.0,1.02,1.76,2.84,1,33,124.47,136.42,131.22000122070312,0.3354558642578125
DDOG,DDOG250829P00132000,Put,2025-08-29,132.0,0.99,1.93,3.1,28,32,124.47,136.42,131.22000122070312,0.3464420825195312
DDOG,DDOG260116P00092500,Put,2026-01-16,92.5,1.41,0.8,1.97,1,599,124.47,136.42,131.22000122070312,0.4708304870605468
DDOG,DDOG260320C00185000,Call,2026-03-20,185.0,0.71,1.81,3.15,17,63,124.47,136.42,131.22000122070312,0.4042417974853516
DDOG,DDOG260618P00080000,Put,2026-06-18,80.0,1.63,1.47,2.9,2,156,124.47,136.42,131.22000122070312,0.4846242944335938
DDOG,DDOG260618P00090000,Put,2026-06-18,90.0,1.45,1.91,4.45,1,517,124.47,136.42,131.22000122070312,0.45898978515625
DDOG,DDOG250829P00128000,Put,2025-08-29,128.0,1.02,1.23,2.23,21,95,124.47,136.42,131.22000122070312,0.4721732470703125
DDOG,DDOG250822C00130000,Call,2025-08-22,130.0,1.0,0.83,1.95,380,585,124.47,136.42,131.22000122070312,0.4570366796875
DDOG,DDOG250829C00145000,Call,2025-08-29,145.0,0.9,0.09,0.24,67,1420,124.47,136.42,131.22000122070312,0.438482177734375
DDOG,DDOG260116P00075000,Put,2026-01-16,75.0,1.74,0.42,1.11,40,1420,124.47,136.42,131.22000122070312,0.5444381494140625
DDOG,DDOG250926P00123000,Put,2025-09-26,123.0,1.06,1.85,2.69,1,19,124.47,136.42,131.22000122070312,0.3717103845214844
DDOG,DDOG260320C00210000,Call,2026-03-20,210.0,0.62,0.88,1.72,13,202,124.47,136.42,131.22000122070312,0.424810439453125
DDOG,DDOG250829C00144000,Call,2025-08-29,144.0,0.91,0.14,0.21,1,29,124.47,136.42,131.22000122070312,0.4028380029296875
DDOG,DDOG250822C00127000,Call,2025-08-22,127.0,1.03,2.8,5.1,57,147,124.47,136.42,131.22000122070312,0.901368173828125
DDOG,DDOG260618C00195000,Call,2026-06-18,195.0,0.67,2.96,4.35,1,27,124.47,136.42,131.22000122070312,0.4103452520751953
DDOG,DDOG260618P00095000,Put,2026-06-18,95.0,1.37,2.53,5.0,101,320,124.47,136.42,131.22000122070312,0.4322566540527344
DDOG,DDOG250912P00129000,Put,2025-09-12,129.0,1.01,2.25,3.25,1,24,124.47,136.42,131.22000122070312,0.3350896569824219
DDOG,DDOG250829C00139000,Call,2025-08-29,139.0,0.94,0.45,0.87,890,353,124.47,136.42,131.22000122070312,0.432622861328125
DDOG,DDOG260320P00085000,Put,2026-03-20,85.0,1.53,1.18,2.32,1,413,124.47,136.42,131.22000122070312,0.4887746435546876
DDOG,DDOG250829P00133000,Put,2025-08-29,133.0,0.98,2.37,3.65,20,51,124.47,136.42,131.22000122070312,0.34180345703125
DDOG,DDOG250829P00122000,Put,2025-08-29,122.0,1.07,0.33,0.59,13,194,124.47,136.42,131.22000122070312,0.45117736328125
DDOG,DDOG251121C00170000,Call,2025-11-21,170.0,0.77,0.97,2.08,1,890,124.47,136.42,131.22000122070312,0.4484918432617187
DDOG,DDOG250829P00131000,Put,2025-08-29,131.0,1.0,1.7,2.58,177,50,124.47,136.42,131.22000122070312,0.3471744970703124
DDOG,DDOG260320C00180000,Call,2026-03-20,180.0,0.72,2.05,3.6,3,218,124.47,136.42,131.22000122070312,0.4005186901855468
DDOG,DDOG250905P00116000,Put,2025-09-05,116.0,1.12,0.24,0.32,15,16,124.47,136.42,131.22000122070312,0.4126035302734374
DDOG,DDOG250912C00148000,Call,2025-09-12,148.0,0.88,0.41,0.52,1,10,124.47,136.42,131.22000122070312,0.36524072265625
DDOG,DDOG260320C00230000,Call,2026-03-20,230.0,0.5700000000000001,0.54,0.87,24,117,124.47,136.42,131.22000122070312,0.4196835375976562
DDOG,DDOG250912P00130000,Put,2025-09-12,130.0,1.0,2.89,4.4,13,72,124.47,136.42,131.22000122070312,0.3898986791992188
DDOG,DDOG250829P00125000,Put,2025-08-29,125.0,1.04,0.6,0.95,14,113,124.47,136.42,131.22000122070312,0.4128476684570312
DDOG,DDOG250912P00125000,Put,2025-09-12,125.0,1.04,1.61,2.27,20,37,124.47,136.42,131.22000122070312,0.3784241845703124
DDOG,DDOG270115P00080000,Put,2027-01-15,80.0,1.63,3.65,5.3,1,61,124.47,136.42,131.22000122070312,0.4569146105957031
DDOG,DDOG250822P00135000,Put,2025-08-22,135.0,0.97,2.69,4.0,12,81,124.47,136.42,131.22000122070312,0.48242705078125
DDOG,DDOG250829C00142000,Call,2025-08-29,142.0,0.92,0.22,0.3,242,33,124.47,136.42,131.22000122070312,0.3867248828124999
DDOG,DDOG250905P00131000,Put,2025-09-05,131.0,1.0,2.48,3.35,10,33,124.47,136.42,131.22000122070312,0.3263006823730469
DDOG,DDOG250829P00119000,Put,2025-08-29,119.0,1.1,0.18,0.23,2,18,124.47,136.42,131.22000122070312,0.436529072265625
DDOG,DDOG260320P00095000,Put,2026-03-20,95.0,1.37,2.5,3.35,2,36,124.47,136.42,131.22000122070312,0.4427545959472656
DDOG,DDOG250912P00135000,Put,2025-09-12,135.0,0.97,5.15,6.35,6,13,124.47,136.42,131.22000122070312,0.3216620568847655
DDOG,DDOG250829P00138000,Put,2025-08-29,138.0,0.95,5.8,7.6,10,33,124.47,136.42,131.22000122070312,0.3901428173828125
DDOG,DDOG251121P00100000,Put,2025-11-21,100.0,1.3,1.42,1.88,2,38,124.47,136.42,131.22000122070312,0.4877980908203125
DDOG,DDOG270115P00065000,Put,2027-01-15,65.0,2.01,1.83,2.72,1,192,124.47,136.42,131.22000122070312,0.4830373962402344
DDOG,DDOG250905P00118000,Put,2025-09-05,118.0,1.11,0.36,0.43,0,10,124.47,136.42,131.22000122070312,0.395513857421875
