Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
LRN,LRN251121P00120000,Put,2025-11-21,120.0,1.38,1.35,2.7,1,24,165.15,165.24,165.1699981689453,0.5255174401855469
LRN,LRN251017P00055000,Put,2025-10-17,55.0,3.0,0.6,1.7,2,101,165.15,165.24,165.1699981689453,1.65625171875
LRN,LRN251017P00140000,Put,2025-10-17,140.0,1.18,0.65,1.35,1,31,165.15,165.24,165.1699981689453,0.3634096862792969
LRN,LRN251121P00130000,Put,2025-11-21,130.0,1.27,2.6,5.0,1,27,165.15,165.24,165.1699981689453,0.5250901983642577
LRN,LRN251017P00135000,Put,2025-10-17,135.0,1.22,0.25,0.85,2,317,165.15,165.24,165.1699981689453,0.3715883154296875
LRN,LRN251219P00095000,Put,2025-12-19,95.0,1.74,0.3,1.15,5,590,165.15,165.24,165.1699981689453,0.5654340332031251
LRN,LRN251219P00115000,Put,2025-12-19,115.0,1.44,1.15,2.25,1,33,165.15,165.24,165.1699981689453,0.5218553674316406
LRN,LRN250919C00180000,Call,2025-09-19,180.0,0.92,0.6,1.2,10,44,165.15,165.24,165.1699981689453,0.3020089331054688
LRN,LRN251219P00130000,Put,2025-12-19,130.0,1.27,2.4,5.2,1,132,165.15,165.24,165.1699981689453,0.5205126074218749
LRN,LRN251017P00080000,Put,2025-10-17,80.0,2.06,0.1,0.35,1,2200,165.15,165.24,165.1699981689453,0.858399853515625
LRN,LRN251121P00125000,Put,2025-11-21,125.0,1.32,1.95,2.85,1,20,165.15,165.24,165.1699981689453,0.527470545654297
LRN,LRN251017C00190000,Call,2025-10-17,190.0,0.87,0.8,1.25,1,35,165.15,165.24,165.1699981689453,0.3020089331054688
LRN,LRN250919C00175000,Call,2025-09-19,175.0,0.94,1.15,2.1,6,129,165.15,165.24,165.1699981689453,0.2993234130859374
LRN,LRN251121P00135000,Put,2025-11-21,135.0,1.22,3.5,4.9,21,16,165.15,165.24,165.1699981689453,0.520390538330078
LRN,LRN251219C00210000,Call,2025-12-19,210.0,0.79,3.0,3.8,2,7,165.15,165.24,165.1699981689453,0.422308023071289
LRN,LRN250919P00155000,Put,2025-09-19,155.0,1.07,1.05,1.55,9,31,165.15,165.24,165.1699981689453,0.2835765002441405
LRN,LRN251219C00230000,Call,2025-12-19,230.0,0.72,1.35,1.85,2,23,165.15,165.24,165.1699981689453,0.4223690576171874
LRN,LRN251121C00195000,Call,2025-11-21,195.0,0.85,4.5,5.7,4,12,165.15,165.24,165.1699981689453,0.4594780615234375
LRN,LRN250919P00150000,Put,2025-09-19,150.0,1.1,0.6,0.85,4,47,165.15,165.24,165.1699981689453,0.3006661730957031
LRN,LRN250919P00170000,Put,2025-09-19,170.0,0.97,7.0,8.2,5,6,165.15,165.24,165.1699981689453,0.2891916784667968
LRN,LRN260320C00195000,Call,2026-03-20,195.0,0.85,10.9,13.6,0,18,165.15,165.24,165.1699981689453,0.476293078918457
LRN,LRN260320P00130000,Put,2026-03-20,130.0,1.27,6.0,8.2,1,66,165.15,165.24,165.1699981689453,0.4815115325927734
LRN,LRN251219P00120000,Put,2025-12-19,120.0,1.38,1.75,2.75,1,420,165.15,165.24,165.1699981689453,0.5045215563964844
LRN,LRN251017P00145000,Put,2025-10-17,145.0,1.14,1.2,1.6,2,51,165.15,165.24,165.1699981689453,0.3243475769042968
LRN,LRN260320C00200000,Call,2026-03-20,200.0,0.8300000000000001,9.4,11.9,9,28,165.15,165.24,165.1699981689453,0.4667411724853516
LRN,LRN251219P00125000,Put,2025-12-19,125.0,1.32,2.4,3.3,1,137,165.15,165.24,165.1699981689453,0.4852346398925781
LRN,LRN251121C00190000,Call,2025-11-21,190.0,0.87,5.8,6.7,1,10,165.15,165.24,165.1699981689453,0.4564263342285156
LRN,LRN251219C00180000,Call,2025-12-19,180.0,0.92,9.5,10.9,2,9,165.15,165.24,165.1699981689453,0.4399470068359374
LRN,LRN251121P00140000,Put,2025-11-21,140.0,1.18,4.5,5.7,1,51,165.15,165.24,165.1699981689453,0.4950612017822265
LRN,LRN251219C00220000,Call,2025-12-19,220.0,0.75,2.15,2.6,20,26,165.15,165.24,165.1699981689453,0.4193173303222656
LRN,LRN251121P00145000,Put,2025-11-21,145.0,1.14,5.6,6.7,4,25,165.15,165.24,165.1699981689453,0.4726615234375
LRN,LRN251017P00150000,Put,2025-10-17,150.0,1.1,1.9,2.35,21,63,165.15,165.24,165.1699981689453,0.3088448022460937
LRN,LRN251017C00185000,Call,2025-10-17,185.0,0.89,1.4,1.85,10,257,165.15,165.24,165.1699981689453,0.298713067626953
LRN,LRN260320P00135000,Put,2026-03-20,135.0,1.22,7.6,8.6,1,12,165.15,165.24,165.1699981689453,0.4474847732543945
LRN,LRN260320P00145000,Put,2026-03-20,145.0,1.14,10.7,12.1,0,13,165.15,165.24,165.1699981689453,0.4414423532104492
LRN,LRN250919P00160000,Put,2025-09-19,160.0,1.03,2.45,2.9,19,41,165.15,165.24,165.1699981689453,0.2774730456542968
LRN,LRN251219P00135000,Put,2025-12-19,135.0,1.22,4.2,5.0,1,54,165.15,165.24,165.1699981689453,0.4596001306152344
LRN,LRN251121P00160000,Put,2025-11-21,160.0,1.03,10.6,12.0,3,17,165.15,165.24,165.1699981689453,0.4444025286865234
LRN,LRN251219P00140000,Put,2025-12-19,140.0,1.18,5.3,6.2,7,41,165.15,165.24,165.1699981689453,0.4514215014648438
LRN,LRN251121C00165000,Call,2025-11-21,165.0,1.0,14.3,17.4,10,122,165.15,165.24,165.1699981689453,0.5251512329101562
LRN,LRN251017P00165000,Put,2025-10-17,165.0,1.0,6.5,7.1,1,8,165.15,165.24,165.1699981689453,0.276252354736328
LRN,LRN251017P00170000,Put,2025-10-17,170.0,0.97,8.9,10.2,2,31,165.15,165.24,165.1699981689453,0.2856516748046874
LRN,LRN260320C00155000,Call,2026-03-20,155.0,1.07,28.3,30.8,8,8,165.15,165.24,165.1699981689453,0.5264939929199219
LRN,LRN251017P00155000,Put,2025-10-17,155.0,1.07,2.95,3.5,1,84,165.15,165.24,165.1699981689453,0.2981027221679687
LRN,LRN251219C00195000,Call,2025-12-19,195.0,0.85,5.8,6.5,1,19,165.15,165.24,165.1699981689453,0.4273738903808594
LRN,LRN260320P00140000,Put,2026-03-20,140.0,1.18,9.2,10.1,2,11,165.15,165.24,165.1699981689453,0.4405268350219726
LRN,LRN251017C00180000,Call,2025-10-17,180.0,0.92,2.3,2.75,1,121,165.15,165.24,165.1699981689453,0.2978585839843749
LRN,LRN251219P00150000,Put,2025-12-19,150.0,1.1,8.1,9.2,1,30,165.15,165.24,165.1699981689453,0.4350642431640625
LRN,LRN251121P00155000,Put,2025-11-21,155.0,1.07,8.7,9.8,2,24,165.15,165.24,165.1699981689453,0.4475763250732422
LRN,LRN251017C00175000,Call,2025-10-17,175.0,0.94,3.6,4.1,11,33,165.15,165.24,165.1699981689453,0.3016427258300781
LRN,LRN250919C00145000,Call,2025-09-19,145.0,1.14,19.7,23.0,5,73,165.15,165.24,165.1699981689453,0.5620160986328125
LRN,LRN251219P00145000,Put,2025-12-19,145.0,1.14,6.7,7.7,3,50,165.15,165.24,165.1699981689453,0.4465997723388671
LRN,LRN250919C00170000,Call,2025-09-19,170.0,0.97,2.75,3.4,8,459,165.15,165.24,165.1699981689453,0.290900645751953
LRN,LRN260320C00150000,Call,2026-03-20,150.0,1.1,30.9,33.5,4,10,165.15,165.24,165.1699981689453,0.5023243127441408
LRN,LRN251121C00185000,Call,2025-11-21,185.0,0.89,7.2,8.1,3,35,165.15,165.24,165.1699981689453,0.4608818560791016
LRN,LRN251219C00200000,Call,2025-12-19,200.0,0.8300000000000001,4.8,5.4,1,40,165.15,165.24,165.1699981689453,0.4235897485351562
LRN,LRN251017P00160000,Put,2025-10-17,160.0,1.03,4.5,5.0,1,27,165.15,165.24,165.1699981689453,0.2847971911621093
LRN,LRN251017C00170000,Call,2025-10-17,170.0,0.97,5.4,6.1,6,47,165.15,165.24,165.1699981689453,0.3140327386474609
LRN,LRN251219C00120000,Call,2025-12-19,120.0,1.38,47.7,51.1,3,8,165.15,165.24,165.1699981689453,0.5830119824218749
LRN,LRN251121P00150000,Put,2025-11-21,150.0,1.1,7.1,8.0,10,44,165.15,165.24,165.1699981689453,0.4552666778564453
LRN,LRN250919C00105000,Call,2025-09-19,105.0,1.57,59.0,62.6,1,6,165.15,165.24,165.1699981689453,0.9428716650390624
LRN,LRN250919C00135000,Call,2025-09-19,135.0,1.22,29.3,32.4,2,27,165.15,165.24,165.1699981689453,0.6882355395507813
LRN,LRN251121C00120000,Call,2025-11-21,120.0,1.38,41.4,44.2,5,8,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN251017C00130000,Call,2025-10-17,130.0,1.27,35.0,38.6,2,26,165.15,165.24,165.1699981689453,0.5043994873046875
LRN,LRN260320C00160000,Call,2026-03-20,160.0,1.03,25.4,27.0,2,7,165.15,165.24,165.1699981689453,0.4961903408813477
LRN,LRN250919P00165000,Put,2025-09-19,165.0,1.0,4.4,4.8,15,19,165.15,165.24,165.1699981689453,0.2631909619140625
LRN,LRN251017P00180000,Put,2025-10-17,180.0,0.92,44.6,48.5,1,18,165.15,165.24,165.1699981689453,1.441958356628418
LRN,LRN251219P00160000,Put,2025-12-19,160.0,1.03,12.1,13.0,6,12,165.15,165.24,165.1699981689453,0.4164487066650389
LRN,LRN251219P00155000,Put,2025-12-19,155.0,1.07,10.0,10.9,15,21,165.15,165.24,165.1699981689453,0.423284575805664
LRN,LRN251219C00110000,Call,2025-12-19,110.0,1.5,56.4,60.2,1,10,165.15,165.24,165.1699981689453,0.6290320300292969
LRN,LRN251219C00100000,Call,2025-12-19,100.0,1.65,65.7,69.5,2,7,165.15,165.24,165.1699981689453,0.6888458850097658
LRN,LRN251219C00135000,Call,2025-12-19,135.0,1.22,35.1,37.8,1,15,165.15,165.24,165.1699981689453,0.5087329400634766
LRN,LRN251017P00175000,Put,2025-10-17,175.0,0.94,31.9,35.0,0,34,165.15,165.24,165.1699981689453,1.0621384783935548
LRN,LRN251121C00150000,Call,2025-11-21,150.0,1.1,24.0,26.8,1,72,165.15,165.24,165.1699981689453,0.5320481365966796
LRN,LRN251121C00145000,Call,2025-11-21,145.0,1.14,26.3,28.9,2,43,165.15,165.24,165.1699981689453,0.5477340148925782
LRN,LRN251121C00135000,Call,2025-11-21,135.0,1.22,34.8,37.2,20,14,165.15,165.24,165.1699981689453,0.5615888568115235
LRN,LRN250919C00125000,Call,2025-09-19,125.0,1.32,39.1,42.6,2,32,165.15,165.24,165.1699981689453,0.6391637646484375
LRN,LRN250919C00165000,Call,2025-09-19,165.0,1.0,4.9,5.6,34,245,165.15,165.24,165.1699981689453,0.2971261694335937
LRN,LRN250919C00130000,Call,2025-09-19,130.0,1.27,34.2,37.7,2,55,165.15,165.24,165.1699981689453,0.5835002587890624
LRN,LRN251017C00105000,Call,2025-10-17,105.0,1.57,59.4,62.9,6,10,165.15,165.24,165.1699981689453,0.73633076171875
LRN,LRN251121C00155000,Call,2025-11-21,155.0,1.07,20.8,22.8,2,46,165.15,165.24,165.1699981689453,0.5070239727783203
LRN,LRN251219C00145000,Call,2025-12-19,145.0,1.14,27.8,30.4,2,43,165.15,165.24,165.1699981689453,0.5269822692871093
LRN,LRN251219C00170000,Call,2025-12-19,170.0,0.97,13.9,15.1,5,34,165.15,165.24,165.1699981689453,0.4553887469482421
LRN,LRN251017C00110000,Call,2025-10-17,110.0,1.5,36.6,40.5,25,80,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN260320C00125000,Call,2026-03-20,125.0,1.32,47.8,50.7,1,12,165.15,165.24,165.1699981689453,0.5529219512939454
LRN,LRN251219C00190000,Call,2025-12-19,190.0,0.87,7.1,7.7,1,35,165.15,165.24,165.1699981689453,0.4292049267578125
LRN,LRN251017C00135000,Call,2025-10-17,135.0,1.22,30.5,33.2,4,48,165.15,165.24,165.1699981689453,0.5462691857910158
LRN,LRN251017C00140000,Call,2025-10-17,140.0,1.18,26.3,29.0,6,96,165.15,165.24,165.1699981689453,0.5266160620117188
LRN,LRN251121C00170000,Call,2025-11-21,170.0,0.97,12.6,13.7,4,53,165.15,165.24,165.1699981689453,0.4777884252929688
LRN,LRN251121C00085000,Call,2025-11-21,85.0,1.94,79.7,83.4,21,9,165.15,165.24,165.1699981689453,0.8640150317382812
LRN,LRN251017C00165000,Call,2025-10-17,165.0,1.0,7.8,8.5,31,79,165.15,165.24,165.1699981689453,0.3234930932617186
LRN,LRN251121C00180000,Call,2025-11-21,180.0,0.92,9.0,9.7,8,45,165.15,165.24,165.1699981689453,0.4652153088378906
LRN,LRN251219C00130000,Call,2025-12-19,130.0,1.27,39.9,42.6,1,29,165.15,165.24,165.1699981689453,0.556217816772461
LRN,LRN250919C00120000,Call,2025-09-19,120.0,1.38,30.0,31.7,22,20,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN251219C00140000,Call,2025-12-19,140.0,1.18,32.3,34.4,2,34,165.15,165.24,165.1699981689453,0.5198412274169921
LRN,LRN250919C00110000,Call,2025-09-19,110.0,1.5,54.4,57.7,2,28,165.15,165.24,165.1699981689453,0.92187578125
LRN,LRN251121C00175000,Call,2025-11-21,175.0,0.94,10.9,11.6,5,41,165.15,165.24,165.1699981689453,0.4719901434326171
LRN,LRN251121C00160000,Call,2025-11-21,160.0,1.03,17.8,19.1,6,80,165.15,165.24,165.1699981689453,0.5045215563964844
LRN,LRN251219C00160000,Call,2025-12-19,160.0,1.03,19.3,20.4,2,33,165.15,165.24,165.1699981689453,0.4772391143798828
LRN,LRN251219C00070000,Call,2025-12-19,70.0,2.36,94.7,98.0,1,8,165.15,165.24,165.1699981689453,0.9157723266601564
LRN,LRN251219C00155000,Call,2025-12-19,155.0,1.07,22.3,23.6,2,38,165.15,165.24,165.1699981689453,0.4949696499633789
LRN,LRN251219C00080000,Call,2025-12-19,80.0,2.06,85.0,88.4,2,12,165.15,165.24,165.1699981689453,0.834718449707031
LRN,LRN250919C00140000,Call,2025-09-19,140.0,1.18,25.5,27.2,7,73,165.15,165.24,165.1699981689453,0.5805706005859376
LRN,LRN260320C00135000,Call,2026-03-20,135.0,1.22,41.1,42.7,2,12,165.15,165.24,165.1699981689453,0.5288743402099609
LRN,LRN251017C00085000,Call,2025-10-17,85.0,1.94,54.0,56.8,10,31,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN251017C00150000,Call,2025-10-17,150.0,1.1,17.9,18.9,1,45,165.15,165.24,165.1699981689453,0.3804993591308593
LRN,LRN251121C00110000,Call,2025-11-21,110.0,1.5,55.7,58.7,1,40,165.15,165.24,165.1699981689453,0.6335485864257813
LRN,LRN250919C00060000,Call,2025-09-19,60.0,2.75,98.7,103.0,10,20,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN251017C00160000,Call,2025-10-17,160.0,1.03,10.7,11.6,6,355,165.15,165.24,165.1699981689453,0.3425358715820312
LRN,LRN251017C00125000,Call,2025-10-17,125.0,1.32,39.9,43.4,1,478,165.15,165.24,165.1699981689453,0.5507857421875001
LRN,LRN251121C00140000,Call,2025-11-21,140.0,1.18,31.1,32.7,1,47,165.15,165.24,165.1699981689453,0.5367477966308594
LRN,LRN251017C00090000,Call,2025-10-17,90.0,1.84,44.7,48.2,1,344,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN251219C00150000,Call,2025-12-19,150.0,1.1,25.3,27.1,3,218,165.15,165.24,165.1699981689453,0.5164232928466796
LRN,LRN251017C00075000,Call,2025-10-17,75.0,2.2,35.6,37.7,0,100,165.15,165.24,165.1699981689453,1.0000000000000004e-05
LRN,LRN250919C00160000,Call,2025-09-19,160.0,1.03,8.2,8.8,10,361,165.15,165.24,165.1699981689453,0.3203192968749999
