Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
DAY,DAY250919C00090000,Call,2025-09-19,90.0,1.2974263045724157,0.0,0.05,14,29,69.15,69.15,69.19999694824219,0.429693203125,2025-09-19,0.0739219712525667,69.36810182036561,0.260382536427432,,0.4410701738702515,0.4026608221008655,,0.0100717135711633,0.695531208436844,0.4026608221008655,0.0119853933379425,0.0,,0.5789255999106303
DAY,DAY260320P00045000,Put,2026-03-20,45.0,0.6350879742117442,0.0,0.15,20,30,69.15,69.15,69.19999694824219,0.301764794921875,2026-03-20,0.5722108145106092,70.85632515062643,-0.4539917476197721,,0.3177862038937743,0.2848517408809413,,-0.013391290328409,0.4920351439371731,0.2848517408809413,0.0464294797676295,,0.0,0.5789255999106303
DAY,DAY251219P00050000,Put,2025-12-19,50.0,0.7131826785613581,0.0,0.1,21,41,69.15,69.15,69.19999694824219,0.2929758203124999,2025-12-19,0.3230663928815879,70.10826468873401,-0.3380176802183166,,0.3060386219212112,0.2754094598703853,,-0.0126242845074826,0.4757251362055861,0.2754094598703853,0.0245047056239821,,0.0228611968360891,0.5789255999106303
DAY,DAY251219P00045000,Put,2025-12-19,45.0,0.6418644107052223,0.0,0.05,20,43,69.15,69.15,69.19999694824219,0.33789724609375,2025-12-19,0.3230663928815879,70.10826468873401,-0.4433781958761429,,0.3505578140590826,0.320971879695575,,-0.005842330988181,0.554426820553667,0.320971879695575,0.0332832520507232,,0.0173465697500708,0.5789255999106303
DAY,DAY250919C00105000,Call,2025-09-19,105.0,1.5136640220011517,0.0,0.05,72,73,69.15,69.15,69.19999694824219,0.5820354296875,2025-09-19,0.0739219712525667,69.36810182036561,0.4145332162546903,,0.6534089908316159,0.6016232786260045,,0.0070942628488417,1.039206555590007,0.6016232786260045,0.0267560995849061,0.0,,0.5789255999106303
DAY,DAY250919P00045000,Put,2025-09-19,45.0,0.6487131522862077,0.0,0.05,72,146,69.15,69.15,69.19999694824219,0.632816171875,2025-09-19,0.0739219712525667,69.36810182036561,-0.4327646441325133,,0.7171367071045381,0.6564133137636524,,-0.0059668278960911,1.1338474475217264,0.6564133137636524,0.0318513835431261,,0.0,0.5789255999106303
DAY,DAY250919C00080000,Call,2025-09-19,80.0,1.1532678262865916,0.0,0.05,100,318,69.15,69.15,69.19999694824219,0.260749580078125,2025-09-19,0.0739219712525667,69.36810182036561,0.1425995007710486,,0.2667370019024421,0.2404359462688628,,0.0158292137604946,0.4153140685193043,0.2404359462688628,0.0042733880765817,0.0,,0.5789255999106303
DAY,DAY250919P00055000,Put,2025-09-19,55.0,0.7928716305720317,0.0,0.05,19,398,69.15,69.15,69.19999694824219,0.39649041015625,2025-09-19,0.0739219712525667,69.36810182036561,-0.2320939486703621,,0.4143680782797204,0.3757933214448916,,-0.0100985451463136,0.6491219623089797,0.3757933214448916,0.0104393066446263,0.0,0.0045920267418345,0.5789255999106303
DAY,DAY250919P00050000,Put,2025-09-19,50.0,0.7207923914291197,0.0,0.05,20,835,69.15,69.15,69.19999694824219,0.5351608984375,2025-09-19,0.0739219712525667,69.36810182036561,-0.3274041284746871,,0.5597735224158008,0.5104337459292974,,-0.007579600904723,0.8816914401575847,0.5104337459292974,0.0192598232513407,,0.0096331424801422,0.5789255999106303
DAY,DAY260320P00050000,Put,2026-03-20,50.0,0.7056533046797158,0.05,0.2,21,66,69.15,69.15,69.19999694824219,0.2504957763671874,2026-03-20,0.5722108145106092,70.85632515062643,-0.3486312319619459,0.2126733197552403,0.2668766408860973,0.2451520571177854,0.0542033211308569,-0.0242648785301405,0.4234603844701806,0.2451520571177854,0.0343896016476334,,0.0,0.5789255999106303
