Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
BE,BE250829C00037000,Call,2025-08-29,37.0,1.31,11.5,13.0,1,62,48.65,48.57,48.540000915527344,1.7792979785156249
BE,BE250926P00042000,Put,2025-09-26,42.0,1.16,1.85,2.05,4,33,48.65,48.57,48.540000915527344,0.804689453125
BE,BE250829C00022000,Call,2025-08-29,22.0,2.21,26.4,28.6,5,15,48.65,48.57,48.540000915527344,4.505863742675781
BE,BE250829C00025000,Call,2025-08-29,25.0,1.94,23.4,25.5,10,19,48.65,48.57,48.540000915527344,3.8281254296875
BE,BE250829P00044000,Put,2025-08-29,44.0,1.1,0.6,0.7,106,216,48.65,48.57,48.540000915527344,0.86914193359375
BE,BE260220P00031000,Put,2026-02-20,31.0,1.57,2.1,2.35,2,52,48.65,48.57,48.540000915527344,0.7500025
BE,BE260220P00027000,Put,2026-02-20,27.0,1.8,1.25,1.4,16,55,48.65,48.57,48.540000915527344,0.7607445800781252
BE,BE250829C00025500,Call,2025-08-29,25.5,1.91,22.8,25.1,5,31,48.65,48.57,48.540000915527344,3.7343756640625
BE,BE250912P00042500,Put,2025-09-12,42.5,1.14,1.25,1.35,5,17,48.65,48.57,48.540000915527344,0.8125018749999999
BE,BE260320P00030000,Put,2026-03-20,30.0,1.62,2.25,2.45,2,24,48.65,48.57,48.540000915527344,0.7504907763671875
BE,BE250829C00023000,Call,2025-08-29,23.0,2.11,25.4,27.4,5,17,48.65,48.57,48.540000915527344,4.162114172363281
BE,BE260220P00032000,Put,2026-02-20,32.0,1.52,2.4,2.65,1,45,48.65,48.57,48.540000915527344,0.7512231909179687
BE,BE250905P00043000,Put,2025-09-05,43.0,1.13,0.85,0.95,124,75,48.65,48.57,48.540000915527344,0.799806689453125
BE,BE260618P00028000,Put,2026-06-18,28.0,1.74,2.6,2.8,16,17,48.65,48.57,48.540000915527344,0.7316921362304687
BE,BE250912P00045000,Put,2025-09-12,45.0,1.08,2.0,2.15,2,16,48.65,48.57,48.540000915527344,0.7993184130859375
BE,BE250905C00052000,Call,2025-09-05,52.0,0.93,1.65,1.8,23,30,48.65,48.57,48.540000915527344,0.8051777294921875
BE,BE250829C00051000,Call,2025-08-29,51.0,0.95,1.2,1.35,30,105,48.65,48.57,48.540000915527344,0.8369156933593749
BE,BE260220P00034000,Put,2026-02-20,34.0,1.43,3.0,3.3,0,44,48.65,48.57,48.540000915527344,0.7490259472656251
BE,BE250829C00053000,Call,2025-08-29,53.0,0.92,0.75,0.85,868,149,48.65,48.57,48.540000915527344,0.8564467480468749
BE,BE250829C00020000,Call,2025-08-29,20.0,2.43,28.3,30.5,8,20,48.65,48.57,48.540000915527344,4.824222719726562
BE,BE260116P00031000,Put,2026-01-16,31.0,1.57,1.7,1.9,20,91,48.65,48.57,48.540000915527344,0.7685570019531252
BE,BE250905P00045000,Put,2025-09-05,45.0,1.08,1.4,1.55,72,62,48.65,48.57,48.540000915527344,0.7973653076171875
BE,BE250829C00034000,Call,2025-08-29,34.0,1.43,14.5,15.8,3,32,48.65,48.57,48.540000915527344,2.0839891650390623
BE,BE260220P00029000,Put,2026-02-20,29.0,1.68,1.6,1.85,30,396,48.65,48.57,48.540000915527344,0.752932158203125
BE,BE250926P00045000,Put,2025-09-26,45.0,1.08,2.95,3.2,27,31,48.65,48.57,48.540000915527344,0.8042011767578124
BE,BE250919C00065000,Call,2025-09-19,65.0,0.75,0.8,0.9,160,153,48.65,48.57,48.540000915527344,0.9072274902343748
BE,BE260220P00033000,Put,2026-02-20,33.0,1.47,2.7,2.95,1,44,48.65,48.57,48.540000915527344,0.7497583618164063
BE,BE260116P00025000,Put,2026-01-16,25.0,1.94,0.65,0.8,179,7386,48.65,48.57,48.540000915527344,0.7856466748046875
BE,BE250919P00037000,Put,2025-09-19,37.0,1.31,0.5,0.6,1015,2701,48.65,48.57,48.540000915527344,0.823243955078125
BE,BE251121P00032000,Put,2025-11-21,32.0,1.52,1.2,1.35,10,169,48.65,48.57,48.540000915527344,0.8183611914062499
BE,BE250919P00038000,Put,2025-09-19,38.0,1.28,0.65,0.75,50,540,48.65,48.57,48.540000915527344,0.8212908496093749
BE,BE251121P00030000,Put,2025-11-21,30.0,1.62,0.85,0.95,9,151,48.65,48.57,48.540000915527344,0.8173846386718748
BE,BE250829C00024500,Call,2025-08-29,24.5,1.98,23.9,26.0,4,44,48.65,48.57,48.540000915527344,3.925781435546875
BE,BE251017P00035000,Put,2025-10-17,35.0,1.39,0.9,1.0,120,127,48.65,48.57,48.540000915527344,0.7915059912109376
BE,BE250829P00046000,Put,2025-08-29,46.0,1.06,1.1,1.2,123,58,48.65,48.57,48.540000915527344,0.8388687988281249
BE,BE250926P00044000,Put,2025-09-26,44.0,1.1,2.55,2.75,3,34,48.65,48.57,48.540000915527344,0.8012715185546875
BE,BE270115C00032000,Call,2027-01-15,32.0,1.52,21.6,24.2,2,233,48.65,48.57,48.540000915527344,0.7136259106445313
BE,BE260116P00027000,Put,2026-01-16,27.0,1.8,0.95,1.1,20,1132,48.65,48.57,48.540000915527344,0.782228740234375
BE,BE250905C00055000,Call,2025-09-05,55.0,0.88,1.0,1.1,33,116,48.65,48.57,48.540000915527344,0.8251970605468748
BE,BE260320C00035000,Call,2026-03-20,35.0,1.39,18.2,19.5,2,31,48.65,48.57,48.540000915527344,0.8737805590820311
BE,BE250926P00043000,Put,2025-09-26,43.0,1.13,2.2,2.35,9,28,48.65,48.57,48.540000915527344,0.8015156567382812
BE,BE250905P00050000,Put,2025-09-05,50.0,0.97,3.7,3.9,15,14,48.65,48.57,48.540000915527344,0.7836935693359376
BE,BE250912C00055000,Call,2025-09-12,55.0,0.88,1.6,1.75,31,100,48.65,48.57,48.540000915527344,0.8349625878906248
BE,BE260116P00029000,Put,2026-01-16,29.0,1.68,1.3,1.45,8,293,48.65,48.57,48.540000915527344,0.7746604565429689
BE,BE250829P00051000,Put,2025-08-29,51.0,0.95,3.6,3.8,15,16,48.65,48.57,48.540000915527344,0.82226740234375
BE,BE250919P00039000,Put,2025-09-19,39.0,1.25,0.8,0.9,14,487,48.65,48.57,48.540000915527344,0.8105487695312499
BE,BE260618P00025000,Put,2026-06-18,25.0,1.94,1.85,2.0,200,61,48.65,48.57,48.540000915527344,0.7409693872070311
BE,BE250905C00049000,Call,2025-09-05,49.0,0.99,2.75,2.9,63,16,48.65,48.57,48.540000915527344,0.8012715185546875
BE,BE250919C00060000,Call,2025-09-19,60.0,0.81,1.3,1.5,644,2132,48.65,48.57,48.540000915527344,0.8823253955078124
BE,BE260320P00036000,Put,2026-03-20,36.0,1.35,4.2,4.5,0,40,48.65,48.57,48.540000915527344,0.7428004235839842
BE,BE251121P00031000,Put,2025-11-21,31.0,1.57,1.05,1.15,17,143,48.65,48.57,48.540000915527344,0.8237322314453124
BE,BE260220P00028000,Put,2026-02-20,28.0,1.74,1.45,1.6,2,241,48.65,48.57,48.540000915527344,0.7583031982421876
