Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
CNX,CNX251219P00018000,Put,2025-12-19,18.0,1.59,0.05,2.35,81,227,27.95,29.32,28.8700008392334,0.9262702685546876
CNX,CNX251219C00040000,Call,2025-12-19,40.0,0.72,0.0,1.35,5,351,27.95,29.32,28.8700008392334,0.516606396484375
CNX,CNX251017C00035000,Call,2025-10-17,35.0,0.8200000000000001,0.0,0.2,10,706,27.95,29.32,28.8700008392334,0.3711000390625
CNX,CNX260116C00038000,Call,2026-01-16,38.0,0.75,0.0,0.35,1,10000,27.95,29.32,28.8700008392334,0.34180345703125
CNX,CNX261218P00023000,Put,2026-12-18,23.0,1.24,1.4,1.95,1,7,27.95,29.32,28.8700008392334,0.3618227880859375
CNX,CNX250919C00027000,Call,2025-09-19,27.0,1.06,1.95,2.65,4,6,27.95,29.32,28.8700008392334,0.4985401708984375
CNX,CNX260116C00036000,Call,2026-01-16,36.0,0.8,0.35,0.5,1,10,27.95,29.32,28.8700008392334,0.3286199951171874
CNX,CNX260116C00037000,Call,2026-01-16,37.0,0.77,0.25,0.4,1,33,27.95,29.32,28.8700008392334,0.331061376953125
CNX,CNX250919C00032000,Call,2025-09-19,32.0,0.89,0.1,0.15,10,31,27.95,29.32,28.8700008392334,0.3125068749999999
CNX,CNX250919P00027000,Put,2025-09-19,27.0,1.06,0.25,0.4,10,63,27.95,29.32,28.8700008392334,0.3530338134765625
CNX,CNX251017C00033000,Call,2025-10-17,33.0,0.87,0.2,0.3,10,52,27.95,29.32,28.8700008392334,0.32617861328125
CNX,CNX260116P00035000,Put,2026-01-16,35.0,0.8200000000000001,3.3,4.2,1,10,27.95,29.32,28.8700008392334,1.0000000000000004e-05
CNX,CNX251219C00037000,Call,2025-12-19,37.0,0.77,0.15,0.3,1,912,27.95,29.32,28.8700008392334,0.3393620751953125
CNX,CNX251017P00037000,Put,2025-10-17,37.0,0.77,3.6,4.4,2,8,27.95,29.32,28.8700008392334,1.0000000000000004e-05
CNX,CNX251017C00032000,Call,2025-10-17,32.0,0.89,0.35,0.5,2,56,27.95,29.32,28.8700008392334,0.3374089697265625
CNX,CNX260116P00037000,Put,2026-01-16,37.0,0.77,7.1,9.2,1,19,27.95,29.32,28.8700008392334,0.4648491015625
CNX,CNX250919C00031000,Call,2025-09-19,31.0,0.92,0.25,0.35,11,67,27.95,29.32,28.8700008392334,0.33399103515625
CNX,CNX251219P00037000,Put,2025-12-19,37.0,0.77,7.2,8.7,1,14,27.95,29.32,28.8700008392334,0.411138701171875
CNX,CNX251017P00035000,Put,2025-10-17,35.0,0.8200000000000001,5.4,6.4,1,13,27.95,29.32,28.8700008392334,0.403326279296875
CNX,CNX251219P00042000,Put,2025-12-19,42.0,0.68,13.3,16.6,0,32,27.95,29.32,28.8700008392334,0.8012715185546875
CNX,CNX260116C00020000,Call,2026-01-16,20.0,1.43,9.0,10.3,0,8,27.95,29.32,28.8700008392334,0.5927775097656252
CNX,CNX251017P00026000,Put,2025-10-17,26.0,1.1,0.4,0.5,8,42,27.95,29.32,28.8700008392334,0.3564517480468749
CNX,CNX251017P00034000,Put,2025-10-17,34.0,0.84,4.9,5.9,8,25,27.95,29.32,28.8700008392334,0.5229539892578124
CNX,CNX260116C00033000,Call,2026-01-16,33.0,0.87,0.95,1.1,4,13,27.95,29.32,28.8700008392334,0.3422917333984374
CNX,CNX251219P00035000,Put,2025-12-19,35.0,0.8200000000000001,4.9,6.3,5,200,27.95,29.32,28.8700008392334,0.245124736328125
CNX,CNX260116P00027000,Put,2026-01-16,27.0,1.06,1.25,1.5,4,51,27.95,29.32,28.8700008392334,0.3281317187499999
CNX,CNX260116C00029000,Call,2026-01-16,29.0,0.99,2.45,2.7,1,8,27.95,29.32,28.8700008392334,0.3781800463867187
CNX,CNX260116P00028000,Put,2026-01-16,28.0,1.02,1.6,1.85,5,26,27.95,29.32,28.8700008392334,0.3144599804687499
CNX,CNX250919P00028000,Put,2025-09-19,28.0,1.02,0.5,0.65,8,397,27.95,29.32,28.8700008392334,0.327155166015625
CNX,CNX260116C00039000,Call,2026-01-16,39.0,0.73,0.25,0.3,30,69,27.95,29.32,28.8700008392334,0.3496158789062499
CNX,CNX251219C00020000,Call,2025-12-19,20.0,1.43,12.2,13.7,1,18,27.95,29.32,28.8700008392334,1.441653182373047
CNX,CNX260116C00031000,Call,2026-01-16,31.0,0.92,1.55,1.75,1,22,27.95,29.32,28.8700008392334,0.3547427807617186
CNX,CNX260116P00030000,Put,2026-01-16,30.0,0.95,2.5,2.95,1,74,27.95,29.32,28.8700008392334,0.3149482568359374
CNX,CNX260116C00032000,Call,2026-01-16,32.0,0.89,1.2,1.4,26,55,27.95,29.32,28.8700008392334,0.348639326171875
CNX,CNX250919C00030000,Call,2025-09-19,30.0,0.95,0.5,0.6,7,159,27.95,29.32,28.8700008392334,0.3295965478515624
CNX,CNX251017P00027000,Put,2025-10-17,27.0,1.06,0.6,0.7,14,77,27.95,29.32,28.8700008392334,0.3320379296875
CNX,CNX260116C00030000,Call,2026-01-16,30.0,0.95,1.95,2.15,7,17,27.95,29.32,28.8700008392334,0.3598696826171874
CNX,CNX251017C00028000,Call,2025-10-17,28.0,1.02,1.95,2.1,1,8,27.95,29.32,28.8700008392334,0.3667055517578125
CNX,CNX251219C00035000,Call,2025-12-19,35.0,0.8200000000000001,0.4,0.5,6,1134,27.95,29.32,28.8700008392334,0.3354558642578125
CNX,CNX250919C00029000,Call,2025-09-19,29.0,0.99,0.9,1.0,8,31,27.95,29.32,28.8700008392334,0.333014482421875
CNX,CNX250919P00031000,Put,2025-09-19,31.0,0.92,2.2,2.4,2,19,27.95,29.32,28.8700008392334,0.299811689453125
CNX,CNX251017P00029000,Put,2025-10-17,29.0,0.99,1.3,1.45,4,45,27.95,29.32,28.8700008392334,0.3061592822265625
CNX,CNX260116P00025000,Put,2026-01-16,25.0,1.15,0.75,0.9,2,857,27.95,29.32,28.8700008392334,0.3452213916015625
CNX,CNX251017P00028000,Put,2025-10-17,28.0,1.02,0.9,1.0,7,52,27.95,29.32,28.8700008392334,0.313483427734375
CNX,CNX251017C00027000,Call,2025-10-17,27.0,1.06,2.65,2.8,2,7,27.95,29.32,28.8700008392334,0.39063109375
CNX,CNX251017C00029000,Call,2025-10-17,29.0,0.99,1.4,1.55,1,50,27.95,29.32,28.8700008392334,0.35742830078125
CNX,CNX260116C00025000,Call,2026-01-16,25.0,1.15,5.0,5.3,2,9,27.95,29.32,28.8700008392334,0.4379939013671875
CNX,CNX251017C00030000,Call,2025-10-17,30.0,0.95,0.95,1.05,2,62,27.95,29.32,28.8700008392334,0.3374089697265625
CNX,CNX251219P00025000,Put,2025-12-19,25.0,1.15,0.65,0.75,6,431,27.95,29.32,28.8700008392334,0.352545537109375
CNX,CNX260417P00031000,Put,2026-04-17,31.0,0.92,3.7,3.9,4,11,27.95,29.32,28.8700008392334,0.2810130493164062
CNX,CNX250919P00030000,Put,2025-09-19,30.0,0.95,1.5,1.65,4,120,27.95,29.32,28.8700008392334,0.30274134765625
CNX,CNX251219P00027000,Put,2025-12-19,27.0,1.06,1.15,1.3,5,587,27.95,29.32,28.8700008392334,0.3313055151367187
CNX,CNX250919P00029000,Put,2025-09-19,29.0,0.99,0.95,1.05,2,240,27.95,29.32,28.8700008392334,0.3076241113281249
CNX,CNX251017P00030000,Put,2025-10-17,30.0,0.95,1.85,2.0,1,72,27.95,29.32,28.8700008392334,0.2963937548828125
CNX,CNX250919C00028000,Call,2025-09-19,28.0,1.02,1.5,1.6,21,35,27.95,29.32,28.8700008392334,0.3535220898437499
CNX,CNX260116P00031000,Put,2026-01-16,31.0,0.92,3.2,3.4,3,45,27.95,29.32,28.8700008392334,0.2871165039062499
CNX,CNX251219C00030000,Call,2025-12-19,30.0,0.95,1.75,1.9,2,321,27.95,29.32,28.8700008392334,0.3620669262695312
