Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
LEU,LEU260320C00350000,Call,2026-03-20,350.0,0.54,12.2,13.9,1,53,187.39,191.6,186.47000122070312,0.8314836187744139
LEU,LEU251121P00135000,Put,2025-11-21,135.0,1.4,7.7,8.5,1,20,187.39,191.6,186.47000122070312,0.8303239624023437
LEU,LEU251121C00270000,Call,2025-11-21,270.0,0.7000000000000001,9.4,10.6,1,48,187.39,191.6,186.47000122070312,0.8524184680175781
LEU,LEU260320C00300000,Call,2026-03-20,300.0,0.63,18.0,19.8,7,21,187.39,191.6,186.47000122070312,0.8317582742309569
LEU,LEU261218P00150000,Put,2026-12-18,150.0,1.26,39.0,42.1,8,11,187.39,191.6,186.47000122070312,0.7644371701049805
LEU,LEU260116C00290000,Call,2026-01-16,290.0,0.65,12.3,13.9,26,52,187.39,191.6,186.47000122070312,0.8206499868774414
LEU,LEU251219P00105000,Put,2025-12-19,105.0,1.8,3.5,4.1,1,169,187.39,191.6,186.47000122070312,0.8458267370605468
LEU,LEU251017P00145000,Put,2025-10-17,145.0,1.31,5.2,5.9,2,60,187.39,191.6,186.47000122070312,0.7686790710449221
LEU,LEU260116P00120000,Put,2026-01-16,120.0,1.58,7.7,8.7,2,53,187.39,191.6,186.47000122070312,0.8109149768066406
LEU,LEU250919P00140000,Put,2025-09-19,140.0,1.35,1.15,1.35,58,187,187.39,191.6,186.47000122070312,0.7453638745117188
LEU,LEU251121C00185000,Call,2025-11-21,185.0,1.02,30.1,33.6,3,36,187.39,191.6,186.47000122070312,0.8470474279785156
LEU,LEU260320C00310000,Call,2026-03-20,310.0,0.61,16.6,18.3,1,24,187.39,191.6,186.47000122070312,0.8301103414916992
LEU,LEU260116C00280000,Call,2026-01-16,280.0,0.68,13.8,15.4,1,38,187.39,191.6,186.47000122070312,0.8227556787109375
LEU,LEU251017P00140000,Put,2025-10-17,140.0,1.35,4.2,4.8,4,90,187.39,191.6,186.47000122070312,0.774538387451172
LEU,LEU251017P00150000,Put,2025-10-17,150.0,1.26,6.1,7.0,28,116,187.39,191.6,186.47000122070312,0.7521997436523438
LEU,LEU251219C00310000,Call,2025-12-19,310.0,0.61,7.9,8.9,12,63,187.39,191.6,186.47000122070312,0.8397843170166015
LEU,LEU251219P00130000,Put,2025-12-19,130.0,1.46,8.4,9.5,1,75,187.39,191.6,186.47000122070312,0.8148822222900391
LEU,LEU250919C00230000,Call,2025-09-19,230.0,0.8200000000000001,3.0,3.6,46,628,187.39,191.6,186.47000122070312,0.7348659326171875
LEU,LEU260116P00125000,Put,2026-01-16,125.0,1.52,9.1,9.9,1,20,187.39,191.6,186.47000122070312,0.8057880749511719
LEU,LEU260116P00130000,Put,2026-01-16,130.0,1.46,10.4,11.4,1,27,187.39,191.6,186.47000122070312,0.8002949658203125
LEU,LEU251219C00210000,Call,2025-12-19,210.0,0.9,26.3,29.0,20,35,187.39,191.6,186.47000122070312,0.8569045071411132
LEU,LEU251219C00300000,Call,2025-12-19,300.0,0.63,8.9,10.0,3,78,187.39,191.6,186.47000122070312,0.8404556970214843
LEU,LEU251017C00240000,Call,2025-10-17,240.0,0.79,7.2,8.1,15,82,187.39,191.6,186.47000122070312,0.7920553021240235
LEU,LEU251219C00250000,Call,2025-12-19,250.0,0.76,15.7,17.3,1,38,187.39,191.6,186.47000122070312,0.8302629278564453
LEU,LEU251121P00120000,Put,2025-11-21,120.0,1.58,4.5,5.1,1,116,187.39,191.6,186.47000122070312,0.847535704345703
LEU,LEU260116P00185000,Put,2026-01-16,185.0,1.02,33.4,35.7,4,12,187.39,191.6,186.47000122070312,0.7576013009643555
LEU,LEU251121P00145000,Put,2025-11-21,145.0,1.31,10.5,11.3,1,16,187.39,191.6,186.47000122070312,0.8175067077636717
LEU,LEU260320C00280000,Call,2026-03-20,280.0,0.68,21.0,23.0,2,33,187.39,191.6,186.47000122070312,0.8316972396850585
LEU,LEU250919C00125000,Call,2025-09-19,125.0,1.52,61.2,65.3,0,12,187.39,191.6,186.47000122070312,1.0610398510742187
LEU,LEU251219C00240000,Call,2025-12-19,240.0,0.79,17.8,19.5,1,36,187.39,191.6,186.47000122070312,0.8319108605957031
LEU,LEU260320P00120000,Put,2026-03-20,120.0,1.58,12.0,13.2,6,46,187.39,191.6,186.47000122070312,0.815736705932617
