Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
TAP,TAP270115P00067500,Put,2027-01-15,67.5,0.78,8.5,13.5,0,10,52.0,53.4,52.810001373291016,1.0000000000000004e-05
TAP,TAP270115P00057500,Put,2027-01-15,57.5,0.92,6.1,9.5,1,9,52.0,53.4,52.810001373291016,0.266608896484375
TAP,TAP270115P00042500,Put,2027-01-15,42.5,1.24,1.6,2.65,1,16,52.0,53.4,52.810001373291016,0.2941965112304687
TAP,TAP260618P00032500,Put,2026-06-18,32.5,1.62,0.35,0.5,3,7,52.0,53.4,52.810001373291016,0.3786683227539062
TAP,TAP260618C00057500,Call,2026-06-18,57.5,0.92,1.15,3.0,4,250,52.0,53.4,52.810001373291016,0.2512281909179687
TAP,TAP260618P00035000,Put,2026-06-18,35.0,1.51,0.5,0.7,5,9,52.0,53.4,52.810001373291016,0.3618227880859375
TAP,TAP250919P00047500,Put,2025-09-19,47.5,1.11,0.1,0.2,16,198,52.0,53.4,52.810001373291016,0.3002999658203125
TAP,TAP270115P00060000,Put,2027-01-15,60.0,0.88,10.5,15.5,8,27,52.0,53.4,52.810001373291016,0.4395807995605468
TAP,TAP270115P00037500,Put,2027-01-15,37.5,1.41,1.25,1.65,1,10,52.0,53.4,52.810001373291016,0.3193427441406249
TAP,TAP270115C00035000,Call,2027-01-15,35.0,1.51,16.0,20.5,3,9,52.0,53.4,52.810001373291016,0.4401911450195312
TAP,TAP260116P00040000,Put,2026-01-16,40.0,1.32,0.3,0.5,3,136,52.0,53.4,52.810001373291016,0.3476627734374999
TAP,TAP260116C00065000,Call,2026-01-16,65.0,0.81,0.15,0.25,9,152,52.0,53.4,52.810001373291016,0.2207109179687499
TAP,TAP250919P00050000,Put,2025-09-19,50.0,1.05,0.3,0.55,3,386,52.0,53.4,52.810001373291016,0.2768627001953124
TAP,TAP260116C00080000,Call,2026-01-16,80.0,0.66,0.9,1.1,1,7,52.0,53.4,52.810001373291016,0.5122119091796875
TAP,TAP260618P00055000,Put,2026-06-18,55.0,0.96,4.7,6.0,1,12,52.0,53.4,52.810001373291016,0.2482374981689453
TAP,TAP251017P00045000,Put,2025-10-17,45.0,1.17,0.15,0.3,41,1207,52.0,53.4,52.810001373291016,0.3222724023437499
TAP,TAP260116C00062500,Call,2026-01-16,62.5,0.84,0.3,0.5,2,300,52.0,53.4,52.810001373291016,0.2277909252929687
TAP,TAP260116P00065000,Put,2026-01-16,65.0,0.81,9.3,12.3,1,25,52.0,53.4,52.810001373291016,0.1870198486328125
TAP,TAP270115C00070000,Call,2027-01-15,70.0,0.75,1.2,1.7,5,57,52.0,53.4,52.810001373291016,0.2539137109375
TAP,TAP260116P00067500,Put,2026-01-16,67.5,0.78,15.8,19.5,8,11,52.0,53.4,52.810001373291016,0.5522505712890625
TAP,TAP260618C00062500,Call,2026-06-18,62.5,0.84,1.3,1.6,1,12,52.0,53.4,52.810001373291016,0.2420730090332031
TAP,TAP270115C00072500,Call,2027-01-15,72.5,0.73,0.9,1.3,1,98,52.0,53.4,52.810001373291016,0.2487868090820312
TAP,TAP260618P00037500,Put,2026-06-18,37.5,1.41,0.8,0.95,4,9,52.0,53.4,52.810001373291016,0.3442448388671875
TAP,TAP260618P00060000,Put,2026-06-18,60.0,0.88,8.6,10.0,5,7,52.0,53.4,52.810001373291016,0.2806468420410155
TAP,TAP250919C00055000,Call,2025-09-19,55.0,0.96,0.25,0.4,81,691,52.0,53.4,52.810001373291016,0.1992267578125
TAP,TAP251017C00057500,Call,2025-10-17,57.5,0.92,0.2,0.3,12,333,52.0,53.4,52.810001373291016,0.1992267578125
TAP,TAP260618P00040000,Put,2026-06-18,40.0,1.32,1.0,1.25,1,29,52.0,53.4,52.810001373291016,0.3252020605468749
TAP,TAP260618C00065000,Call,2026-06-18,65.0,0.81,0.85,1.05,2,30,52.0,53.4,52.810001373291016,0.2321854125976562
TAP,TAP260618C00060000,Call,2026-06-18,60.0,0.88,1.85,2.3,9,36,52.0,53.4,52.810001373291016,0.2513502600097655
TAP,TAP260618P00057500,Put,2026-06-18,57.5,0.92,6.9,7.9,8,9,52.0,53.4,52.810001373291016,0.2628247546386719
TAP,TAP270115C00030000,Call,2027-01-15,30.0,1.76,20.8,25.5,1,43,52.0,53.4,52.810001373291016,0.551762294921875
TAP,TAP260116C00075000,Call,2026-01-16,75.0,0.7000000000000001,0.3,0.4,4,211,52.0,53.4,52.810001373291016,0.3627993408203125
TAP,TAP260618C00042500,Call,2026-06-18,42.5,1.24,11.6,13.0,1,8,52.0,53.4,52.810001373291016,0.3864807446289062
TAP,TAP250919C00047500,Call,2025-09-19,47.5,1.11,5.3,5.9,2,7,52.0,53.4,52.810001373291016,0.424810439453125
TAP,TAP270115C00065000,Call,2027-01-15,65.0,0.81,2.0,2.35,2,23,52.0,53.4,52.810001373291016,0.245124736328125
TAP,TAP260116P00042500,Put,2026-01-16,42.5,1.24,0.55,0.7,5,139,52.0,53.4,52.810001373291016,0.3203192968749999
TAP,TAP270115P00047500,Put,2027-01-15,47.5,1.11,3.8,4.2,1,7,52.0,53.4,52.810001373291016,0.2767406311035155
TAP,TAP260618P00042500,Put,2026-06-18,42.5,1.24,1.4,1.7,1,60,52.0,53.4,52.810001373291016,0.3125068749999999
TAP,TAP260618P00045000,Put,2026-06-18,45.0,1.17,1.9,2.25,2,41,52.0,53.4,52.810001373291016,0.2988351367187499
TAP,TAP270115C00025000,Call,2027-01-15,25.0,2.11,25.9,29.5,12,18,52.0,53.4,52.810001373291016,0.5808147387695313
TAP,TAP260116C00040000,Call,2026-01-16,40.0,1.32,12.9,14.6,2,17,52.0,53.4,52.810001373291016,0.5334519311523438
TAP,TAP260618P00047500,Put,2026-06-18,47.5,1.11,2.55,2.85,1,17,52.0,53.4,52.810001373291016,0.2805247729492187
TAP,TAP270115C00050000,Call,2027-01-15,50.0,1.05,7.6,9.0,2,89,52.0,53.4,52.810001373291016,0.3112861840820312
TAP,TAP260116C00060000,Call,2026-01-16,60.0,0.88,0.65,0.8,5,488,52.0,53.4,52.810001373291016,0.2233964379882812
TAP,TAP270115P00045000,Put,2027-01-15,45.0,1.17,3.0,3.4,1,44,52.0,53.4,52.810001373291016,0.2871775384521483
TAP,TAP251017P00047500,Put,2025-10-17,47.5,1.11,0.4,0.5,55,949,52.0,53.4,52.810001373291016,0.2827220166015625
TAP,TAP270115C00057500,Call,2027-01-15,57.5,0.92,4.1,4.6,1,36,52.0,53.4,52.810001373291016,0.257819921875
TAP,TAP270115C00060000,Call,2027-01-15,60.0,0.88,3.2,3.6,1,46,52.0,53.4,52.810001373291016,0.2482374981689453
TAP,TAP260116P00070000,Put,2026-01-16,70.0,0.75,11.7,12.5,2,10,52.0,53.4,52.810001373291016,1.0000000000000004e-05
TAP,TAP270115C00052500,Call,2027-01-15,52.5,1.0,6.3,6.8,12,16,52.0,53.4,52.810001373291016,0.2683178637695312
TAP,TAP250919P00052500,Put,2025-09-19,52.5,1.0,1.15,1.3,7,96,52.0,53.4,52.810001373291016,0.2492750854492187
TAP,TAP251017C00045000,Call,2025-10-17,45.0,1.17,7.7,8.4,1,26,52.0,53.4,52.810001373291016,0.395513857421875
TAP,TAP260116P00047500,Put,2026-01-16,47.5,1.11,1.3,1.5,19,242,52.0,53.4,52.810001373291016,0.2794261511230468
TAP,TAP260618C00055000,Call,2026-06-18,55.0,0.96,3.6,4.0,3,58,52.0,53.4,52.810001373291016,0.2579419909667969
TAP,TAP270115P00050000,Put,2027-01-15,50.0,1.05,4.7,5.2,1,52,52.0,53.4,52.810001373291016,0.2695995892333984
TAP,TAP251017C00040000,Call,2025-10-17,40.0,1.32,12.6,13.4,1,11,52.0,53.4,52.810001373291016,0.5898478515625001
TAP,TAP251017C00055000,Call,2025-10-17,55.0,0.96,0.7,0.85,42,2991,52.0,53.4,52.810001373291016,0.2053302124023437
TAP,TAP260116C00035000,Call,2026-01-16,35.0,1.51,17.5,19.0,10,31,52.0,53.4,52.810001373291016,0.6059609716796877
TAP,TAP270115P00055000,Put,2027-01-15,55.0,0.96,6.9,7.5,2,33,52.0,53.4,52.810001373291016,0.2504957763671874
TAP,TAP251017P00050000,Put,2025-10-17,50.0,1.05,0.75,0.9,19,2294,52.0,53.4,52.810001373291016,0.249030947265625
TAP,TAP260618P00050000,Put,2026-06-18,50.0,1.05,3.4,3.7,5,55,52.0,53.4,52.810001373291016,0.2686840710449218
TAP,TAP260618P00052500,Put,2026-06-18,52.5,1.0,4.4,4.8,46,62,52.0,53.4,52.810001373291016,0.2608716491699219
TAP,TAP250919P00055000,Put,2025-09-19,55.0,0.96,2.7,2.9,1,30,52.0,53.4,52.810001373291016,0.2631909619140625
TAP,TAP260116P00062500,Put,2026-01-16,62.5,0.84,10.8,11.7,5,46,52.0,53.4,52.810001373291016,0.3831848791503905
TAP,TAP270115C00055000,Call,2027-01-15,55.0,0.96,5.0,5.6,2,330,52.0,53.4,52.810001373291016,0.2618482019042969
TAP,TAP260618C00052500,Call,2026-06-18,52.5,1.0,4.8,5.2,2,65,52.0,53.4,52.810001373291016,0.2653882055664062
TAP,TAP260116C00057500,Call,2026-01-16,57.5,0.92,1.25,1.4,20,413,52.0,53.4,52.810001373291016,0.2305985144042968
TAP,TAP250919C00052500,Call,2025-09-19,52.5,1.0,1.2,1.35,18,671,52.0,53.4,52.810001373291016,0.2041095214843749
TAP,TAP260116P00052500,Put,2026-01-16,52.5,1.0,2.95,3.2,15,102,52.0,53.4,52.810001373291016,0.2518385363769531
TAP,TAP270115P00040000,Put,2027-01-15,40.0,1.32,1.9,2.1,1,320,52.0,53.4,52.810001373291016,0.3061592822265625
