Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
FIZZ,FIZZ250919C00022500,Call,2025-09-19,22.5,1.93,20.2,22.8,2,4,43.25,43.53,43.369998931884766,1.8378914355468747
FIZZ,FIZZ250919C00025000,Call,2025-09-19,25.0,1.74,17.5,20.4,0,1,43.25,43.53,43.369998931884766,1.5566428417968747
FIZZ,FIZZ250919C00030000,Call,2025-09-19,30.0,1.45,12.5,15.3,7,5,43.25,43.53,43.369998931884766,1.1025435498046878
FIZZ,FIZZ250919C00035000,Call,2025-09-19,35.0,1.24,7.6,10.5,1,5,43.25,43.53,43.369998931884766,0.797853583984375
FIZZ,FIZZ250919C00040000,Call,2025-09-19,40.0,1.08,3.2,4.4,1,2,43.25,43.53,43.369998931884766,0.5278367529296876
FIZZ,FIZZ250919C00045000,Call,2025-09-19,45.0,0.96,0.6,1.3,1,5,43.25,43.53,43.369998931884766,0.42774009765625
FIZZ,FIZZ250919C00050000,Call,2025-09-19,50.0,0.87,0.0,2.05,1,81,43.25,43.53,43.369998931884766,0.6752962158203126
FIZZ,FIZZ250919C00055000,Call,2025-09-19,55.0,0.79,0.0,0.95,2,9,43.25,43.53,43.369998931884766,0.7148466015625
FIZZ,FIZZ250919C00060000,Call,2025-09-19,60.0,0.72,0.0,1.45,0,5,43.25,43.53,43.369998931884766,0.9960937890625
FIZZ,FIZZ250919P00035000,Put,2025-09-19,35.0,1.24,0.0,1.45,0,3,43.25,43.53,43.369998931884766,0.8159198095703124
FIZZ,FIZZ250919P00040000,Put,2025-09-19,40.0,1.08,0.45,0.75,1514,7,43.25,43.53,43.369998931884766,0.45117736328125
FIZZ,FIZZ250919P00045000,Put,2025-09-19,45.0,0.96,2.1,4.6,4,5,43.25,43.53,43.369998931884766,0.5210008837890624
FIZZ,FIZZ251017C00020000,Call,2025-10-17,20.0,2.17,22.8,25.5,0,2,43.25,43.53,43.369998931884766,1.5507834960937497
FIZZ,FIZZ251017C00040000,Call,2025-10-17,40.0,1.08,4.1,5.7,2,2,43.25,43.53,43.369998931884766,0.5922892333984376
FIZZ,FIZZ251017C00045000,Call,2025-10-17,45.0,0.96,1.35,1.75,4,16,43.25,43.53,43.369998931884766,0.366217275390625
FIZZ,FIZZ251017C00050000,Call,2025-10-17,50.0,0.87,0.0,0.75,3,90,43.25,43.53,43.369998931884766,0.4135800830078124
FIZZ,FIZZ251017C00055000,Call,2025-10-17,55.0,0.79,0.0,2.3,4,85,43.25,43.53,43.369998931884766,0.6579624047851562
FIZZ,FIZZ251017P00020000,Put,2025-10-17,20.0,2.17,0.0,1.75,0,1,43.25,43.53,43.369998931884766,1.6005879345703122
FIZZ,FIZZ251017P00030000,Put,2025-10-17,30.0,1.45,0.0,0.55,3,4,43.25,43.53,43.369998931884766,0.648441015625
FIZZ,FIZZ251017P00035000,Put,2025-10-17,35.0,1.24,0.0,2.05,2,3,43.25,43.53,43.369998931884766,0.6435582519531251
FIZZ,FIZZ251017P00040000,Put,2025-10-17,40.0,1.08,0.65,1.6,3,11,43.25,43.53,43.369998931884766,0.4680228979492187
FIZZ,FIZZ251017P00045000,Put,2025-10-17,45.0,0.96,2.0,3.6,2,26,43.25,43.53,43.369998931884766,0.3999083447265625
FIZZ,FIZZ251219C00025000,Call,2025-12-19,25.0,1.74,18.2,21.8,1,2,43.25,43.53,43.369998931884766,1.0078174609375
FIZZ,FIZZ251219C00030000,Call,2025-12-19,30.0,1.45,0.0,0.0,2,0,43.25,43.53,43.369998931884766,1.0000000000000004e-05
FIZZ,FIZZ251219C00035000,Call,2025-12-19,35.0,1.24,9.6,13.8,2,1,43.25,43.53,43.369998931884766,0.7656273437500001
FIZZ,FIZZ251219C00040000,Call,2025-12-19,40.0,1.08,5.1,6.2,1,36,43.25,43.53,43.369998931884766,0.45898978515625
FIZZ,FIZZ251219C00045000,Call,2025-12-19,45.0,0.96,3.1,3.8,3,12,43.25,43.53,43.369998931884766,0.45898978515625
FIZZ,FIZZ251219C00050000,Call,2025-12-19,50.0,0.87,0.95,3.6,2,29,43.25,43.53,43.369998931884766,0.6084023535156251
FIZZ,FIZZ251219C00055000,Call,2025-12-19,55.0,0.79,0.0,0.0,2,4,43.25,43.53,43.369998931884766,0.12500875
FIZZ,FIZZ251219C00060000,Call,2025-12-19,60.0,0.72,0.0,1.35,1,16,43.25,43.53,43.369998931884766,0.5705609350585938
FIZZ,FIZZ251219P00020000,Put,2025-12-19,20.0,2.17,0.0,0.75,0,1,43.25,43.53,43.369998931884766,0.8818371191406249
FIZZ,FIZZ251219P00025000,Put,2025-12-19,25.0,1.74,0.0,2.55,0,5,43.25,43.53,43.369998931884766,0.9257819921875
FIZZ,FIZZ251219P00030000,Put,2025-12-19,30.0,1.45,0.0,0.0,2,9,43.25,43.53,43.369998931884766,0.12500875
FIZZ,FIZZ251219P00035000,Put,2025-12-19,35.0,1.24,0.4,0.75,1,2,43.25,43.53,43.369998931884766,0.3891662646484375
FIZZ,FIZZ251219P00040000,Put,2025-12-19,40.0,1.08,1.25,1.9,1,2,43.25,43.53,43.369998931884766,0.3530338134765625
FIZZ,FIZZ251219P00050000,Put,2025-12-19,50.0,0.87,6.7,7.5,0,17,43.25,43.53,43.369998931884766,0.2978585839843749
FIZZ,FIZZ260116C00050000,Call,2026-01-16,50.0,0.87,0.0,0.0,10,15,43.25,43.53,43.369998931884766,0.062509375
FIZZ,FIZZ260116C00055000,Call,2026-01-16,55.0,0.79,0.0,2.45,1,11,43.25,43.53,43.369998931884766,0.549076774902344
FIZZ,FIZZ260116C00060000,Call,2026-01-16,60.0,0.72,0.0,0.0,0,30,43.25,43.53,43.369998931884766,0.12500875
FIZZ,FIZZ260116C00065000,Call,2026-01-16,65.0,0.67,0.0,1.8,2,2,43.25,43.53,43.369998931884766,0.5197801928710937
FIZZ,FIZZ260116P00030000,Put,2026-01-16,30.0,1.45,0.0,0.0,1,2,43.25,43.53,43.369998931884766,0.12500875
FIZZ,FIZZ260116P00035000,Put,2026-01-16,35.0,1.24,0.0,2.25,1,1,43.25,43.53,43.369998931884766,0.5573774731445313
FIZZ,FIZZ260116P00040000,Put,2026-01-16,40.0,1.08,0.55,3.1,0,1,43.25,43.53,43.369998931884766,0.4395807995605468
