Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
TDOC,TDOC250912C00009500,Call,2025-09-12,9.5,0.8200000000000001,0.03,0.06,60,106,7.74,7.75,7.735000133514404,0.6796907031250001
TDOC,TDOC250919C00012500,Call,2025-09-19,12.5,0.62,0.01,0.04,3,5073,7.74,7.75,7.735000133514404,0.9687503125
TDOC,TDOC251219C00020000,Call,2025-12-19,20.0,0.39,0.04,0.13,2,2310,7.74,7.75,7.735000133514404,0.929688203125
TDOC,TDOC260116C00022500,Call,2026-01-16,22.5,0.34,0.05,0.14,1,1026,7.74,7.75,7.735000133514404,0.9257819921875
TDOC,TDOC250926C00010000,Call,2025-09-26,10.0,0.77,0.06,0.1,5,76,7.74,7.75,7.735000133514404,0.6796907031250001
TDOC,TDOC251219C00017500,Call,2025-12-19,17.5,0.44,0.07,0.15,1,919,7.74,7.75,7.735000133514404,0.8710950390625
TDOC,TDOC270115P00002500,Put,2027-01-15,2.5,3.1,0.1,0.19,400,481,7.74,7.75,7.735000133514404,0.7148466015625
TDOC,TDOC250905P00007000,Put,2025-09-05,7.0,1.11,0.03,0.06,3,778,7.74,7.75,7.735000133514404,0.5468795312500001
TDOC,TDOC250905C00009000,Call,2025-09-05,9.0,0.86,0.03,0.05,53,176,7.74,7.75,7.735000133514404,0.6875031250000001
TDOC,TDOC250919P00006500,Put,2025-09-19,6.5,1.19,0.04,0.07,2,464,7.74,7.75,7.735000133514404,0.5585981640625001
TDOC,TDOC251017C00011000,Call,2025-10-17,11.0,0.7000000000000001,0.09,0.13,2,78,7.74,7.75,7.735000133514404,0.710940390625
TDOC,TDOC250912C00009000,Call,2025-09-12,9.0,0.86,0.06,0.09,71,151,7.74,7.75,7.735000133514404,0.6289099609375001
TDOC,TDOC251017P00006000,Put,2025-10-17,6.0,1.29,0.07,0.1,100,89,7.74,7.75,7.735000133514404,0.570316796875
TDOC,TDOC250905C00008500,Call,2025-09-05,8.5,0.91,0.05,0.08,11,376,7.74,7.75,7.735000133514404,0.5742230078125
TDOC,TDOC250829C00008500,Call,2025-08-29,8.5,0.91,0.01,0.02,1449,8826,7.74,7.75,7.735000133514404,0.6875031250000001
TDOC,TDOC250926C00009500,Call,2025-09-26,9.5,0.8200000000000001,0.1,0.13,6,34,7.74,7.75,7.735000133514404,0.6523472265625001
TDOC,TDOC251219C00014000,Call,2025-12-19,14.0,0.55,0.16,0.21,1,64,7.74,7.75,7.735000133514404,0.7851583984375
TDOC,TDOC250926P00006500,Put,2025-09-26,6.5,1.19,0.07,0.1,1008,490,7.74,7.75,7.735000133514404,0.5625043750000001
TDOC,TDOC250829C00008000,Call,2025-08-29,8.0,0.97,0.05,0.08,244,3860,7.74,7.75,7.735000133514404,0.57812921875
TDOC,TDOC250829P00007500,Put,2025-08-29,7.5,1.03,0.04,0.06,24,1551,7.74,7.75,7.735000133514404,0.500005
TDOC,TDOC260417C00014000,Call,2026-04-17,14.0,0.55,0.43,0.49,4,10,7.74,7.75,7.735000133514404,0.719729365234375
TDOC,TDOC250926P00007500,Put,2025-09-26,7.5,1.03,0.32,0.37,2,15,7.74,7.75,7.735000133514404,0.5117236328125
TDOC,TDOC250926C00009000,Call,2025-09-26,9.0,0.86,0.15,0.18,6,37,7.74,7.75,7.735000133514404,0.6132851171875001
TDOC,TDOC250926P00007000,Put,2025-09-26,7.0,1.11,0.16,0.2,9,125,7.74,7.75,7.735000133514404,0.5351608984375
TDOC,TDOC260116C00020000,Call,2026-01-16,20.0,0.39,0.1,0.15,1,6795,7.74,7.75,7.735000133514404,0.8945323046874999
TDOC,TDOC251219C00011000,Call,2025-12-19,11.0,0.7000000000000001,0.34,0.38,3,12,7.74,7.75,7.735000133514404,0.6982452050781252
TDOC,TDOC260116C00014000,Call,2026-01-16,14.0,0.55,0.21,0.27,300,500,7.74,7.75,7.735000133514404,0.7539087109375
TDOC,TDOC251219C00015000,Call,2025-12-19,15.0,0.52,0.13,0.19,17,13237,7.74,7.75,7.735000133514404,0.8164080859374999
TDOC,TDOC260116C00017500,Call,2026-01-16,17.5,0.44,0.11,0.15,23,2704,7.74,7.75,7.735000133514404,0.8085956640624999
TDOC,TDOC251219P00005000,Put,2025-12-19,5.0,1.55,0.1,0.13,15,1138,7.74,7.75,7.735000133514404,0.632816171875
TDOC,TDOC250926C00008500,Call,2025-09-26,8.5,0.91,0.23,0.27,2,82,7.74,7.75,7.735000133514404,0.5839885351562499
TDOC,TDOC250926P00008500,Put,2025-09-26,8.5,0.91,0.91,0.99,3,10,7.74,7.75,7.735000133514404,0.500005
TDOC,TDOC251003C00008000,Call,2025-10-03,8.0,0.97,0.42,0.49,74,80,7.74,7.75,7.735000133514404,0.5722699023437501
TDOC,TDOC250919C00010000,Call,2025-09-19,10.0,0.77,0.05,0.07,106,18406,7.74,7.75,7.735000133514404,0.7187528125
TDOC,TDOC260116P00005000,Put,2026-01-16,5.0,1.55,0.14,0.18,201,1707,7.74,7.75,7.735000133514404,0.6250037500000001
TDOC,TDOC250919C00009000,Call,2025-09-19,9.0,0.86,0.1,0.12,5,224,7.74,7.75,7.735000133514404,0.6015664843750002
TDOC,TDOC251003C00009000,Call,2025-10-03,9.0,0.86,0.18,0.23,1014,1509,7.74,7.75,7.735000133514404,0.6054726953125001
TDOC,TDOC271217C00015000,Call,2027-12-17,15.0,0.52,1.68,2.01,4,215,7.74,7.75,7.735000133514404,0.725588681640625
TDOC,TDOC270115C00025000,Call,2027-01-15,25.0,0.31,0.5,0.64,1,1901,7.74,7.75,7.735000133514404,0.780275634765625
TDOC,TDOC250919P00008000,Put,2025-09-19,8.0,0.97,0.51,0.56,3,17,7.74,7.75,7.735000133514404,0.51562984375
TDOC,TDOC250919C00008500,Call,2025-09-19,8.5,0.91,0.17,0.2,2,174,7.74,7.75,7.735000133514404,0.570316796875
TDOC,TDOC250912P00007500,Put,2025-09-12,7.5,1.03,0.21,0.24,11,75,7.74,7.75,7.735000133514404,0.5019581054687501
TDOC,TDOC270115C00022500,Call,2027-01-15,22.5,0.34,0.58,0.74,1,3064,7.74,7.75,7.735000133514404,0.770510107421875
TDOC,TDOC250905C00008000,Call,2025-09-05,8.0,0.97,0.15,0.19,19,2908,7.74,7.75,7.735000133514404,0.5468795312500001
TDOC,TDOC260417C00013000,Call,2026-04-17,13.0,0.6,0.53,0.57,20,12,7.74,7.75,7.735000133514404,0.7128934960937501
TDOC,TDOC271217C00017500,Call,2027-12-17,17.5,0.44,1.41,1.74,5,2056,7.74,7.75,7.735000133514404,0.7270535107421875
TDOC,TDOC250912C00008500,Call,2025-09-12,8.5,0.91,0.13,0.15,1,202,7.74,7.75,7.735000133514404,0.5937540625000001
TDOC,TDOC250926C00007000,Call,2025-09-26,7.0,1.11,0.9,1.03,3,149,7.74,7.75,7.735000133514404,0.6054726953125001
TDOC,TDOC260417P00006000,Put,2026-04-17,6.0,1.29,0.6,0.65,15,19,7.74,7.75,7.735000133514404,0.6084023535156251
TDOC,TDOC270115C00017500,Call,2027-01-15,17.5,0.44,0.83,1.0,50,1056,7.74,7.75,7.735000133514404,0.745119736328125
TDOC,TDOC250926C00008000,Call,2025-09-26,8.0,0.97,0.38,0.43,4,121,7.74,7.75,7.735000133514404,0.57617611328125
TDOC,TDOC271217C00012500,Call,2027-12-17,12.5,0.62,2.05,2.36,1,280,7.74,7.75,7.735000133514404,0.726565234375
TDOC,TDOC270115P00005000,Put,2027-01-15,5.0,1.55,0.67,0.83,10,6334,7.74,7.75,7.735000133514404,0.62305064453125
TDOC,TDOC271217C00010000,Call,2027-12-17,10.0,0.77,2.37,2.74,50,425,7.74,7.75,7.735000133514404,0.6999541723632813
TDOC,TDOC260116P00006000,Put,2026-01-16,6.0,1.29,0.34,0.39,149,362,7.74,7.75,7.735000133514404,0.5918009570312501
TDOC,TDOC251219C00012500,Call,2025-12-19,12.5,0.62,0.23,0.27,1,1483,7.74,7.75,7.735000133514404,0.7421900781249999
TDOC,TDOC250905P00007500,Put,2025-09-05,7.5,1.03,0.13,0.15,4,756,7.74,7.75,7.735000133514404,0.4960987890625
TDOC,TDOC250919P00007000,Put,2025-09-19,7.0,1.11,0.12,0.14,4,1276,7.74,7.75,7.735000133514404,0.523442265625
TDOC,TDOC250912P00007000,Put,2025-09-12,7.0,1.11,0.08,0.09,1,303,7.74,7.75,7.735000133514404,0.523442265625
TDOC,TDOC250905P00008000,Put,2025-09-05,8.0,0.97,0.37,0.41,1,147,7.74,7.75,7.735000133514404,0.492192578125
TDOC,TDOC250919C00006500,Call,2025-09-19,6.5,1.19,1.3,1.38,1,18,7.74,7.75,7.735000133514404,0.6835969140625001
TDOC,TDOC250912P00010000,Put,2025-09-12,10.0,0.77,2.22,2.33,4,10,7.74,7.75,7.735000133514404,0.5937540625000001
TDOC,TDOC250926C00007500,Call,2025-09-26,7.5,1.03,0.62,0.67,1,53,7.74,7.75,7.735000133514404,0.585941640625
