Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
PENN,PENN250829C00007500,Call,2025-08-29,7.5,2.65,10.5,13.95,0,3,18.26,21.47,19.690000534057617,5.062503671875
PENN,PENN250829C00010000,Call,2025-08-29,10.0,1.99,9.7,9.9,1,11,18.26,21.47,19.690000534057617,4.4687544140624995
PENN,PENN250829C00012500,Call,2025-08-29,12.5,1.59,7.2,7.4,0,6,18.26,21.47,19.690000534057617,3.1718770703125
PENN,PENN250829C00013000,Call,2025-08-29,13.0,1.53,6.7,6.9,1,8,18.26,21.47,19.690000534057617,2.94531513671875
PENN,PENN250829C00015000,Call,2025-08-29,15.0,1.32,4.7,4.9,2,9,18.26,21.47,19.690000534057617,2.0937547656249995
PENN,PENN250829C00015500,Call,2025-08-29,15.5,1.28,4.2,4.4,10,12,18.26,21.47,19.690000534057617,1.890625546875
PENN,PENN250829C00016000,Call,2025-08-29,16.0,1.24,3.7,3.9,0,7,18.26,21.47,19.690000534057617,1.6875015625
PENN,PENN250829C00016500,Call,2025-08-29,16.5,1.2,3.2,3.4,4,9,18.26,21.47,19.690000534057617,1.4921900390624998
PENN,PENN250829C00017000,Call,2025-08-29,17.0,1.17,2.76,2.87,15,4,18.26,21.47,19.690000534057617,1.3515657421874998
PENN,PENN250829C00017500,Call,2025-08-29,17.5,1.1400000000000001,2.23,2.4,12,89,18.26,21.47,19.690000534057617,1.1484417578125
PENN,PENN250829C00018000,Call,2025-08-29,18.0,1.1,1.77,1.86,4,136,18.26,21.47,19.690000534057617,0.9531254687499999
PENN,PENN250829C00018500,Call,2025-08-29,18.5,1.07,1.24,1.42,12,42,18.26,21.47,19.690000534057617,0.7812521875
PENN,PENN250829C00019000,Call,2025-08-29,19.0,1.05,0.84,0.93,366,571,18.26,21.47,19.690000534057617,0.6562534375000001
PENN,PENN250829C00019500,Call,2025-08-29,19.5,1.02,0.47,0.71,26,296,18.26,21.47,19.690000534057617,0.6914093359375001
PENN,PENN250829C00020000,Call,2025-08-29,20.0,0.99,0.22,0.28,57,1324,18.26,21.47,19.690000534057617,0.5371140039062501
PENN,PENN250829C00020500,Call,2025-08-29,20.5,0.97,0.1,0.11,249,2628,18.26,21.47,19.690000534057617,0.523442265625
PENN,PENN250829C00021000,Call,2025-08-29,21.0,0.9500000000000001,0.02,0.07,5,245,18.26,21.47,19.690000534057617,0.5468795312500001
PENN,PENN250829C00021500,Call,2025-08-29,21.5,0.92,0.0,0.02,150,128,18.26,21.47,19.690000534057617,0.500005
PENN,PENN250829C00022000,Call,2025-08-29,22.0,0.9,0.0,0.03,25,89,18.26,21.47,19.690000534057617,0.6562534375000001
PENN,PENN250829C00022500,Call,2025-08-29,22.5,0.88,0.0,0.2,2,67,18.26,21.47,19.690000534057617,1.1367230664062502
PENN,PENN250829C00023000,Call,2025-08-29,23.0,0.86,0.0,0.03,10,25,18.26,21.47,19.690000534057617,0.87500125
