Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
RPD,RPD250919C00015000,Call,2025-09-19,15.0,1.36,5.4,5.8,10,10,14.74,25.98,20.6299991607666,0.92187578125
RPD,RPD250919C00017000,Call,2025-09-19,17.0,1.2,3.6,3.9,2,0,14.74,25.98,20.6299991607666,0.5722699023437501
RPD,RPD250919C00018000,Call,2025-09-19,18.0,1.1300000000000001,2.75,2.95,4,5,14.74,25.98,20.6299991607666,0.53320779296875
RPD,RPD250919C00019000,Call,2025-09-19,19.0,1.07,1.95,2.05,2,15,14.74,25.98,20.6299991607666,0.5127001855468749
RPD,RPD250919C00020000,Call,2025-09-19,20.0,1.02,1.3,1.4,6,217,14.74,25.98,20.6299991607666,0.507817421875
RPD,RPD250919C00021000,Call,2025-09-19,21.0,0.97,0.75,0.85,4,33,14.74,25.98,20.6299991607666,0.481450498046875
RPD,RPD250919C00022000,Call,2025-09-19,22.0,0.93,0.4,0.5,5,60,14.74,25.98,20.6299991607666,0.47949739257812496
RPD,RPD250919C00023000,Call,2025-09-19,23.0,0.89,0.2,0.3,11,4033,14.74,25.98,20.6299991607666,0.495122236328125
RPD,RPD250919C00024000,Call,2025-09-19,24.0,0.85,0.1,0.2,1,126,14.74,25.98,20.6299991607666,0.5293015820312501
RPD,RPD250919C00025000,Call,2025-09-19,25.0,0.81,0.05,0.15,1,761,14.74,25.98,20.6299991607666,0.5195360546875
RPD,RPD250919C00026000,Call,2025-09-19,26.0,0.78,0.0,0.2,21,48,14.74,25.98,20.6299991607666,0.59570716796875
RPD,RPD250919C00027000,Call,2025-09-19,27.0,0.75,0.0,0.75,4,72,14.74,25.98,20.6299991607666,0.93945373046875
RPD,RPD250919C00028000,Call,2025-09-19,28.0,0.73,0.0,0.75,6,9,14.74,25.98,20.6299991607666,1.0205127099609377
RPD,RPD250919C00029000,Call,2025-09-19,29.0,0.7000000000000001,0.0,0.75,1,26,14.74,25.98,20.6299991607666,1.0976607617187502
RPD,RPD250919C00030000,Call,2025-09-19,30.0,0.68,0.0,0.2,20,109,14.74,25.98,20.6299991607666,0.85937640625
RPD,RPD250919C00031000,Call,2025-09-19,31.0,0.66,0.0,0.75,6,13,14.74,25.98,20.6299991607666,1.2373085009765623
RPD,RPD250919C00032000,Call,2025-09-19,32.0,0.64,0.0,0.05,0,1,14.74,25.98,20.6299991607666,0.7812521875
RPD,RPD250919C00035000,Call,2025-09-19,35.0,0.58,0.15,1.45,50,51,14.74,25.98,20.6299991607666,1.8261727441406248
RPD,RPD250919C00040000,Call,2025-09-19,40.0,0.51,0.0,0.0,3,0,14.74,25.98,20.6299991607666,0.500005
RPD,RPD250919C00045000,Call,2025-09-19,45.0,0.45,0.0,0.45,2,2,14.74,25.98,20.6299991607666,1.751954365234375
RPD,RPD250919C00055000,Call,2025-09-19,55.0,0.37,0.0,0.95,0,10,14.74,25.98,20.6299991607666,2.4023477441406245
RPD,RPD250919P00015000,Put,2025-09-19,15.0,1.36,0.0,0.75,7,7,14.74,25.98,20.6299991607666,1.158207333984375
RPD,RPD250919P00016000,Put,2025-09-19,16.0,1.27,0.0,0.75,1,3,14.74,25.98,20.6299991607666,0.98437515625
RPD,RPD250919P00017000,Put,2025-09-19,17.0,1.2,0.05,0.15,4,13,14.74,25.98,20.6299991607666,0.5468795312500001
RPD,RPD250919P00018000,Put,2025-09-19,18.0,1.1300000000000001,0.15,0.25,3,27,14.74,25.98,20.6299991607666,0.51562984375
RPD,RPD250919P00019000,Put,2025-09-19,19.0,1.07,0.3,0.4,7,140,14.74,25.98,20.6299991607666,0.500005
RPD,RPD250919P00020000,Put,2025-09-19,20.0,1.02,0.6,0.75,2,118,14.74,25.98,20.6299991607666,0.49805189453125004
RPD,RPD250919P00021000,Put,2025-09-19,21.0,0.97,1.1,1.25,7,17,14.74,25.98,20.6299991607666,0.49609878906250005
RPD,RPD250919P00022000,Put,2025-09-19,22.0,0.93,1.75,1.9,1,31,14.74,25.98,20.6299991607666,0.49609878906250005
RPD,RPD250919P00023000,Put,2025-09-19,23.0,0.89,2.55,2.7,1,19,14.74,25.98,20.6299991607666,0.5136767382812499
RPD,RPD250919P00024000,Put,2025-09-19,24.0,0.85,3.4,3.8,1,13,14.74,25.98,20.6299991607666,0.55273884765625
RPD,RPD250919P00025000,Put,2025-09-19,25.0,0.81,4.3,4.8,1,11,14.74,25.98,20.6299991607666,0.6035195898437502
RPD,RPD250919P00026000,Put,2025-09-19,26.0,0.78,3.8,4.2,6,20,14.74,25.98,20.6299991607666,1.0000000000000003e-05
RPD,RPD250919P00027000,Put,2025-09-19,27.0,0.75,3.9,4.4,4,10,14.74,25.98,20.6299991607666,1.0000000000000003e-05
RPD,RPD250919P00028000,Put,2025-09-19,28.0,0.73,5.0,6.6,41,41,14.74,25.98,20.6299991607666,1.0000000000000003e-05
RPD,RPD250919P00030000,Put,2025-09-19,30.0,0.68,5.3,7.5,3,8,14.74,25.98,20.6299991607666,1.0000000000000003e-05
RPD,RPD250919P00035000,Put,2025-09-19,35.0,0.58,5.6,9.7,1,21,14.74,25.98,20.6299991607666,1.0000000000000003e-05
RPD,RPD251017C00017000,Call,2025-10-17,17.0,1.2,3.9,4.1,0,0,14.74,25.98,20.6299991607666,0.551762294921875
RPD,RPD251017C00018000,Call,2025-10-17,18.0,1.1300000000000001,3.1,3.3,1,1,14.74,25.98,20.6299991607666,0.5312546875
RPD,RPD251017C00019000,Call,2025-10-17,19.0,1.07,2.4,2.55,1,10,14.74,25.98,20.6299991607666,0.5117236328125
