Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
EVH,EVH251219C00027500,Call,2025-12-19,27.5,0.35,0.0,5.0,1,48,9.67,9.69,9.770000457763672,2.4169961450195308
EVH,EVH251219C00007500,Call,2025-12-19,7.5,1.29,0.5,3.1,11,19,9.67,9.69,9.770000457763672,0.91211025390625
EVH,EVH251017P00007500,Put,2025-10-17,7.5,1.29,0.15,0.45,1,7,9.67,9.69,9.770000457763672,0.8339860351562498
EVH,EVH251219C00032500,Call,2025-12-19,32.5,0.3,0.0,2.6,2,63,9.67,9.69,9.770000457763672,1.9931640966796875
EVH,EVH270115P00007500,Put,2027-01-15,7.5,1.29,0.0,5.0,15,63,9.67,9.69,9.770000457763672,0.914063359375
EVH,EVH250919C00015000,Call,2025-09-19,15.0,0.65,0.0,1.25,1,67,9.67,9.69,9.770000457763672,1.92578162109375
EVH,EVH270115C00017500,Call,2027-01-15,17.5,0.55,0.05,3.0,5,63,9.67,9.69,9.770000457763672,0.7163114306640624
EVH,EVH251219C00012500,Call,2025-12-19,12.5,0.77,0.0,0.75,14,76,9.67,9.69,9.770000457763672,0.5312546875
EVH,EVH260116P00007500,Put,2026-01-16,7.5,1.29,0.0,0.85,10,80,9.67,9.69,9.770000457763672,0.5839885351562499
EVH,EVH251219C00020000,Call,2025-12-19,20.0,0.48,0.0,2.9,1,86,9.67,9.69,9.770000457763672,1.6103535107421876
EVH,EVH250919C00012500,Call,2025-09-19,12.5,0.77,0.0,0.2,35,87,9.67,9.69,9.770000457763672,0.7500025
EVH,EVH251219P00012500,Put,2025-12-19,12.5,0.77,0.65,3.1,8,20,9.67,9.69,9.770000457763672,0.5283250292968751
EVH,EVH251219C00010000,Call,2025-12-19,10.0,0.97,0.0,1.55,1,111,9.67,9.69,9.770000457763672,0.7568383691406251
EVH,EVH250919C00017500,Call,2025-09-19,17.5,0.55,0.0,0.4,95,120,9.67,9.69,9.770000457763672,1.6289081054687498
EVH,EVH260116C00012500,Call,2026-01-16,12.5,0.77,0.0,0.9,10,155,9.67,9.69,9.770000457763672,0.5136767382812499
EVH,EVH250919C00010000,Call,2025-09-19,10.0,0.97,0.0,0.65,7,191,9.67,9.69,9.770000457763672,0.75195560546875
EVH,EVH270115C00020000,Call,2027-01-15,20.0,0.48,0.3,4.7,1,140,9.67,9.69,9.770000457763672,0.9997558618164062
EVH,EVH270115P00010000,Put,2027-01-15,10.0,0.97,1.35,3.1,1,10,9.67,9.69,9.770000457763672,0.65820654296875
EVH,EVH271217C00012500,Call,2027-12-17,12.5,0.77,1.4,4.9,30,29,9.67,9.69,9.770000457763672,0.6811555322265627
EVH,EVH250919P00010000,Put,2025-09-19,10.0,0.97,0.0,0.9,9,540,9.67,9.69,9.770000457763672,0.77148666015625
EVH,EVH251017P00010000,Put,2025-10-17,10.0,0.97,0.75,1.3,0,6,9.67,9.69,9.770000457763672,0.6093789062500001
EVH,EVH251219C00030000,Call,2025-12-19,30.0,0.32,0.0,0.1,37,2710,9.67,9.69,9.770000457763672,0.9335944140625
EVH,EVH251017C00007500,Call,2025-10-17,7.5,1.29,2.25,3.4,0,4,9.67,9.69,9.770000457763672,1.0976607617187502
EVH,EVH251219P00032500,Put,2025-12-19,32.5,0.3,7.0,12.0,10,10,9.67,9.69,9.770000457763672,1.0000000000000004e-05
