Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
PEP,PEP251017C00175000,Call,2025-10-17,175.0,0.84,0.08,0.3,411,696,139.08,154.73,146.97000122070312,0.2719799365234374
PEP,PEP250912C00155000,Call,2025-09-12,155.0,0.95,0.14,0.37,5,183,139.08,154.73,146.97000122070312,0.2050860742187499
PEP,PEP251017P00100000,Put,2025-10-17,100.0,1.47,0.09,0.2,1,121,139.08,154.73,146.97000122070312,0.5107470800781251
PEP,PEP251003C00150000,Call,2025-10-03,150.0,0.98,1.66,2.5,4,12,139.08,154.73,146.97000122070312,0.2005695178222656
PEP,PEP250926P00135000,Put,2025-09-26,135.0,1.09,0.42,0.68,6,20,139.08,154.73,146.97000122070312,0.2572095764160156
PEP,PEP250919C00165000,Call,2025-09-19,165.0,0.89,0.08,0.28,5,2330,139.08,154.73,146.97000122070312,0.2863840893554687
PEP,PEP260618P00080000,Put,2026-06-18,80.0,1.84,0.25,0.72,1,1103,139.08,154.73,146.97000122070312,0.399420068359375
PEP,PEP260618P00095000,Put,2026-06-18,95.0,1.55,0.62,1.2,1,100,139.08,154.73,146.97000122070312,0.3370427624511719
PEP,PEP270115P00075000,Put,2027-01-15,75.0,1.96,0.52,1.06,1,148,139.08,154.73,146.97000122070312,0.3604800280761718
PEP,PEP260116P00105000,Put,2026-01-16,105.0,1.4,0.3,0.78,1,671,139.08,154.73,146.97000122070312,0.3547427807617186
PEP,PEP260116C00195000,Call,2026-01-16,195.0,0.75,0.15,0.39,1,673,139.08,154.73,146.97000122070312,0.2524488818359375
PEP,PEP250912P00149000,Put,2025-09-12,149.0,0.99,3.1,5.05,1,37,139.08,154.73,146.97000122070312,0.3093330786132812
PEP,PEP260417C00160000,Call,2026-04-17,160.0,0.92,3.15,4.95,2,29,139.08,154.73,146.97000122070312,0.2077715942382812
PEP,PEP250919C00144000,Call,2025-09-19,144.0,1.02,2.98,5.2,1,65,139.08,154.73,146.97000122070312,0.2373123144531249
PEP,PEP250926P00145000,Put,2025-09-26,145.0,1.01,2.29,3.85,6,50,139.08,154.73,146.97000122070312,0.2806468420410155
PEP,PEP270115P00090000,Put,2027-01-15,90.0,1.63,1.15,2.03,5,93,139.08,154.73,146.97000122070312,0.3234930932617186
PEP,PEP260618C00200000,Call,2026-06-18,200.0,0.73,0.51,0.95,2,165,139.08,154.73,146.97000122070312,0.2241288525390624
PEP,PEP251003C00152500,Call,2025-10-03,152.5,0.96,1.4,1.93,1,14,139.08,154.73,146.97000122070312,0.2139971179199218
PEP,PEP250926P00144000,Put,2025-09-26,144.0,1.02,2.53,3.8,6,30,139.08,154.73,146.97000122070312,0.3040841076660155
PEP,PEP250919P00125000,Put,2025-09-19,125.0,1.18,0.07,0.21,25,5513,139.08,154.73,146.97000122070312,0.3632876171875
PEP,PEP250919P00130000,Put,2025-09-19,130.0,1.13,0.15,0.42,3575,5124,139.08,154.73,146.97000122070312,0.336920693359375
