Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
GRPN,GRPN250829C00024000,Call,2025-08-29,24.0,1.09,1.75,3.1,5,12,22.23,30.27,26.190000534057617,1.0546922265625
GRPN,GRPN250829C00025000,Call,2025-08-29,25.0,1.05,1.15,1.4,6,12,22.23,30.27,26.190000534057617,0.6875031250000001
GRPN,GRPN250829C00025500,Call,2025-08-29,25.5,1.03,0.85,1.05,3,3,22.23,30.27,26.190000534057617,0.5742230078125
GRPN,GRPN250829C00026000,Call,2025-08-29,26.0,1.01,0.55,0.7,2,46,22.23,30.27,26.190000534057617,0.5566450585937501
GRPN,GRPN250829C00026500,Call,2025-08-29,26.5,0.99,0.3,0.4,1,35,22.23,30.27,26.190000534057617,0.5136767382812499
GRPN,GRPN250829C00027000,Call,2025-08-29,27.0,0.97,0.15,0.25,3,17,22.23,30.27,26.190000534057617,0.52539537109375
GRPN,GRPN250829C00027500,Call,2025-08-29,27.5,0.9500000000000001,0.05,0.15,1,17,22.23,30.27,26.190000534057617,0.523442265625
GRPN,GRPN250829C00028000,Call,2025-08-29,28.0,0.9400000000000001,0.0,0.1,3,44,22.23,30.27,26.190000534057617,0.5312546875
GRPN,GRPN250829C00028500,Call,2025-08-29,28.5,0.92,0.0,0.1,2,37,22.23,30.27,26.190000534057617,0.6367223828125
GRPN,GRPN250829C00029000,Call,2025-08-29,29.0,0.91,0.0,0.25,30,184,22.23,30.27,26.190000534057617,0.92187578125
GRPN,GRPN250829C00029500,Call,2025-08-29,29.5,0.89,0.0,0.7,58,31,22.23,30.27,26.190000534057617,1.4296903515625
GRPN,GRPN250829C00030000,Call,2025-08-29,30.0,0.88,0.0,0.15,90,116,22.23,30.27,26.190000534057617,1.000005
GRPN,GRPN250829C00030500,Call,2025-08-29,30.5,0.86,0.0,0.55,0,18,22.23,30.27,26.190000534057617,1.5390648046875
GRPN,GRPN250829C00031000,Call,2025-08-29,31.0,0.85,0.0,0.05,1,31,22.23,30.27,26.190000534057617,0.9609378906249999
GRPN,GRPN250829C00031500,Call,2025-08-29,31.5,0.8300000000000001,0.0,0.7,1,5,22.23,30.27,26.190000534057617,1.88671931640625
GRPN,GRPN250829C00032000,Call,2025-08-29,32.0,0.8200000000000001,0.0,0.7,4,34,22.23,30.27,26.190000534057617,1.9882813085937499
GRPN,GRPN250829C00032500,Call,2025-08-29,32.5,0.81,0.0,0.1,2,21,22.23,30.27,26.190000534057617,1.3203158984374999
GRPN,GRPN250829C00033000,Call,2025-08-29,33.0,0.8,0.0,0.7,10,61,22.23,30.27,26.190000534057617,2.1875045312499997
GRPN,GRPN250829C00033500,Call,2025-08-29,33.5,0.78,0.0,0.7,0,20,22.23,30.27,26.190000534057617,2.281254296875
GRPN,GRPN250829C00034000,Call,2025-08-29,34.0,0.77,0.0,0.7,1,19,22.23,30.27,26.190000534057617,2.3750040624999995
GRPN,GRPN250829C00035000,Call,2025-08-29,35.0,0.75,0.0,0.7,6,220,22.23,30.27,26.190000534057617,2.550784873046875
GRPN,GRPN250829C00036000,Call,2025-08-29,36.0,0.73,0.0,0.7,1,32,22.23,30.27,26.190000534057617,2.718753203125
GRPN,GRPN250829C00037000,Call,2025-08-29,37.0,0.71,0.0,0.7,6,6,22.23,30.27,26.190000534057617,2.8789090527343753
GRPN,GRPN250829C00038000,Call,2025-08-29,38.0,0.6900000000000001,0.0,0.7,1,1,22.23,30.27,26.190000534057617,3.0351586621093753
GRPN,GRPN250829C00039000,Call,2025-08-29,39.0,0.67,0.0,0.7,11,11,22.23,30.27,26.190000534057617,3.1796895507812497
GRPN,GRPN250829C00040000,Call,2025-08-29,40.0,0.66,0.0,0.7,10,10,22.23,30.27,26.190000534057617,3.3203141992187497
GRPN,GRPN250829C00041000,Call,2025-08-29,41.0,0.64,0.0,0.0,0,22,22.23,30.27,26.190000534057617,0.500005
GRPN,GRPN250829C00042000,Call,2025-08-29,42.0,0.62,0.0,0.0,15,13,22.23,30.27,26.190000534057617,0.500005
GRPN,GRPN250829C00043000,Call,2025-08-29,43.0,0.61,0.0,0.7,35,111,22.23,30.27,26.190000534057617,3.718750703125
GRPN,GRPN250829C00044000,Call,2025-08-29,44.0,0.6,0.0,0.7,0,45,22.23,30.27,26.190000534057617,3.8398441503906247
GRPN,GRPN250829C00045000,Call,2025-08-29,45.0,0.58,0.0,0.7,1,38,22.23,30.27,26.190000534057617,3.957031357421875
GRPN,GRPN250829C00046000,Call,2025-08-29,46.0,0.5700000000000001,0.0,0.7,1,25,22.23,30.27,26.190000534057617,4.070317412109375
GRPN,GRPN250829C00047000,Call,2025-08-29,47.0,0.56,0.0,0.7,1,23,22.23,30.27,26.190000534057617,4.183598520507813
GRPN,GRPN250829C00048000,Call,2025-08-29,48.0,0.55,0.0,0.7,2,69,22.23,30.27,26.190000534057617,4.292973383789063
GRPN,GRPN250829P00024000,Put,2025-08-29,24.0,1.09,0.0,0.55,1,5,22.23,30.27,26.190000534057617,1.12109814453125
GRPN,GRPN250829P00025000,Put,2025-08-29,25.0,1.05,0.05,0.15,11,89,22.23,30.27,26.190000534057617,0.51562984375
GRPN,GRPN250829P00025500,Put,2025-08-29,25.5,1.03,0.15,0.25,6,25,22.23,30.27,26.190000534057617,0.56055126953125
GRPN,GRPN250829P00026000,Put,2025-08-29,26.0,1.01,0.3,0.45,10,68,22.23,30.27,26.190000534057617,0.5722699023437501
GRPN,GRPN250829P00026500,Put,2025-08-29,26.5,0.99,0.55,0.7,44,233,22.23,30.27,26.190000534057617,0.5566450585937501
GRPN,GRPN250829P00027000,Put,2025-08-29,27.0,0.97,0.9,1.05,1,65,22.23,30.27,26.190000534057617,0.5742230078125
GRPN,GRPN250829P00027500,Put,2025-08-29,27.5,0.9500000000000001,1.15,1.45,2,9,22.23,30.27,26.190000534057617,0.5898478515625001
GRPN,GRPN250829P00028000,Put,2025-08-29,28.0,0.9400000000000001,1.75,1.9,36,169,22.23,30.27,26.190000534057617,0.6250037500000001
GRPN,GRPN250829P00028500,Put,2025-08-29,28.5,0.92,1.5,3.4,4,5,22.23,30.27,26.190000534057617,0.8398453515625
GRPN,GRPN250829P00029000,Put,2025-08-29,29.0,0.91,2.2,3.3,1,55,22.23,30.27,26.190000534057617,1.4980493847656249
GRPN,GRPN250829P00029500,Put,2025-08-29,29.5,0.89,2.5,3.9,2,4,22.23,30.27,26.190000534057617,1.765626171875
GRPN,GRPN250829P00030000,Put,2025-08-29,30.0,0.88,2.95,4.3,3,96,22.23,30.27,26.190000534057617,1.759766826171875
GRPN,GRPN250829P00030500,Put,2025-08-29,30.5,0.86,3.5,4.9,1,60,22.23,30.27,26.190000534057617,2.025395561523437
GRPN,GRPN250829P00031000,Put,2025-08-29,31.0,0.85,4.3,5.4,3,87,22.23,30.27,26.190000534057617,1.0468797656250002
GRPN,GRPN250829P00031500,Put,2025-08-29,31.5,0.8300000000000001,4.7,5.9,0,20,22.23,30.27,26.190000534057617,2.2617230957031245
GRPN,GRPN250829P00032000,Put,2025-08-29,32.0,0.8200000000000001,5.0,6.5,1,52,22.23,30.27,26.190000534057617,2.5195349511718748
GRPN,GRPN250829P00032500,Put,2025-08-29,32.5,0.81,4.4,8.1,1,1,22.23,30.27,26.190000534057617,4.007817490234375
GRPN,GRPN250829P00033000,Put,2025-08-29,33.0,0.8,5.4,8.8,10,8,22.23,30.27,26.190000534057617,2.07031732421875
GRPN,GRPN250829P00034000,Put,2025-08-29,34.0,0.77,5.9,9.8,1,5,22.23,30.27,26.190000534057617,1.484377578125
GRPN,GRPN250829P00034500,Put,2025-08-29,34.5,0.76,7.1,9.2,1,2,22.23,30.27,26.190000534057617,3.339845400390624
GRPN,GRPN250829P00035000,Put,2025-08-29,35.0,0.75,6.7,10.6,3,0,22.23,30.27,26.190000534057617,4.5937542578125
GRPN,GRPN250829P00035500,Put,2025-08-29,35.5,0.74,6.9,10.0,0,8,22.23,30.27,26.190000534057617,3.2363300341796872
GRPN,GRPN250829P00036000,Put,2025-08-29,36.0,0.73,7.9,11.1,1,4,22.23,30.27,26.190000534057617,4.179692275390625
GRPN,GRPN250829P00036500,Put,2025-08-29,36.5,0.72,9.5,11.0,0,2,22.23,30.27,26.190000534057617,3.4179702050781247
GRPN,GRPN250829P00038000,Put,2025-08-29,38.0,0.6900000000000001,10.6,13.0,3,0,22.23,30.27,26.190000534057617,4.421879472656249
GRPN,GRPN250829P00039000,Put,2025-08-29,39.0,0.67,11.6,14.0,1,0,22.23,30.27,26.190000534057617,4.595707380371094
GRPN,GRPN250829P00041000,Put,2025-08-29,41.0,0.64,13.6,16.2,1,0,22.23,30.27,26.190000534057617,2.6250034375
GRPN,GRPN250905C00025000,Call,2025-09-05,25.0,1.05,1.55,1.7,1,2,22.23,30.27,26.190000534057617,0.5380905566406251
GRPN,GRPN250905C00026000,Call,2025-09-05,26.0,1.01,0.9,1.05,0,1,22.23,30.27,26.190000534057617,0.508793974609375
GRPN,GRPN250905C00027000,Call,2025-09-05,27.0,0.97,0.45,0.6,20,25,22.23,30.27,26.190000534057617,0.5410202148437502
GRPN,GRPN250905C00028000,Call,2025-09-05,28.0,0.9400000000000001,0.2,0.35,5,19,22.23,30.27,26.190000534057617,0.507817421875
GRPN,GRPN250905C00029000,Call,2025-09-05,29.0,0.91,0.05,0.2,3,34,22.23,30.27,26.190000534057617,0.50586431640625
GRPN,GRPN250905C00030000,Call,2025-09-05,30.0,0.88,0.0,0.15,2,145,22.23,30.27,26.190000534057617,0.5468795312500001
