Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
MGNI,MGNI250919C00005000,Call,2025-09-19,5.0,5.0600000000000005,9.2,10.8,2,0,18.44,32.12,25.56999969482422,1.0000000000000003e-05
MGNI,MGNI250919C00008000,Call,2025-09-19,8.0,3.16,15.9,19.0,3,3,18.44,32.12,25.56999969482422,4.773441533203124
MGNI,MGNI250919C00009000,Call,2025-09-19,9.0,2.81,15.0,18.5,1,366,18.44,32.12,25.56999969482422,2.43750390625
MGNI,MGNI250919C00010000,Call,2025-09-19,10.0,2.5300000000000002,14.0,17.5,17,51,18.44,32.12,25.56999969482422,2.2109419726562494
MGNI,MGNI250919C00011000,Call,2025-09-19,11.0,2.3000000000000003,11.2,14.6,1,1085,18.44,32.12,25.56999969482422,1.484377578125
MGNI,MGNI250919C00012000,Call,2025-09-19,12.0,2.11,12.1,15.5,5,274,18.44,32.12,25.56999969482422,1.92578162109375
MGNI,MGNI250919C00013000,Call,2025-09-19,13.0,1.94,11.1,13.6,1,205,18.44,32.12,25.56999969482422,2.673831440429688
MGNI,MGNI250919C00014000,Call,2025-09-19,14.0,1.81,10.1,13.5,1,120,18.44,32.12,25.56999969482422,1.5820333398437496
MGNI,MGNI250919C00015000,Call,2025-09-19,15.0,1.69,10.6,10.8,1,1598,18.44,32.12,25.56999969482422,1.26172244140625
MGNI,MGNI250919C00016000,Call,2025-09-19,16.0,1.58,9.6,9.8,1,194,18.44,32.12,25.56999969482422,1.12891060546875
MGNI,MGNI250919C00017000,Call,2025-09-19,17.0,1.49,8.6,8.8,1,3062,18.44,32.12,25.56999969482422,1.0078174609375
MGNI,MGNI250919C00018000,Call,2025-09-19,18.0,1.4000000000000001,7.6,7.9,1,372,18.44,32.12,25.56999969482422,0.9570316796874999
MGNI,MGNI250919C00019000,Call,2025-09-19,19.0,1.33,6.5,6.9,12,235,18.44,32.12,25.56999969482422,0.7753928710937501
MGNI,MGNI250919C00020000,Call,2025-09-19,20.0,1.26,5.4,5.9,2,884,18.44,32.12,25.56999969482422,0.5976602734375001
MGNI,MGNI250919C00021000,Call,2025-09-19,21.0,1.2,4.7,4.9,17,553,18.44,32.12,25.56999969482422,0.6543003320312502
MGNI,MGNI250919C00022000,Call,2025-09-19,22.0,1.1500000000000001,3.8,4.0,8,557,18.44,32.12,25.56999969482422,0.6084023535156251
MGNI,MGNI250919C00023000,Call,2025-09-19,23.0,1.1,2.95,3.1,39,1388,18.44,32.12,25.56999969482422,0.5537154003906251
MGNI,MGNI250919C00024000,Call,2025-09-19,24.0,1.05,2.2,2.35,41,822,18.44,32.12,25.56999969482422,0.5317429638671876
MGNI,MGNI250919C00025000,Call,2025-09-19,25.0,1.01,1.6,1.65,38,3760,18.44,32.12,25.56999969482422,0.5107470800781251
MGNI,MGNI250919C00026000,Call,2025-09-19,26.0,0.97,1.1,1.2,22,517,18.44,32.12,25.56999969482422,0.5136767382812499
