Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Call Local Vol,Put Local Vol,Realised Vol 100d
PR,PR270115C00022000,Call,2027-01-15,22.0,1.4525414380760193,0.25,2.2,1,403,14.0,14.28,14.149999618530272,0.637698935546875,2027-01-15,1.374401095140315,15.145867390289641,0.37331473813287336,0.2532118779546741,0.6017935816441725,0.4469396100543697,0.3485817036894984,0.3261784520436076,0.8754856867099974,,,0.510504759631116
PR,PR251017C00019000,Call,2025-10-17,19.0,1.3350882163717404,0.05,0.55,8,657,14.0,14.28,14.149999618530272,0.709963837890625,2025-10-17,0.12867898699520877,14.231269340115023,0.28899736934825326,0.472705679550179,0.9127209596009287,0.737992421347458,0.4400152800507497,0.16870478356114865,1.445613204234808,,,0.510504759631116
PR,PR270115P00012000,Put,2027-01-15,12.0,0.7922953298596468,0.0,1.55,1,2911,14.0,14.28,14.149999618530272,0.4079649047851562,2027-01-15,1.374401095140315,15.145867390289641,-0.2328210654374423,,0.4764195202501972,0.32256519363936376,,-0.21048213573688157,0.6318554088946108,,,0.510504759631116
PR,PR260320P00013000,Put,2026-03-20,13.0,0.8944254667602022,0.7,1.3,0,17,14.0,14.28,14.149999618530272,0.4492242578124999,2026-03-20,0.5503080082135524,14.534469872697994,-0.11157370341756767,0.3326068102307846,0.4968950006459787,0.41566774983641813,0.1642881904151941,-0.3029224660140669,0.8142289410519389,,,0.510504759631116
PR,PR251121P00010000,Put,2025-11-21,10.0,0.6993193628855499,0.05,0.15,15,150,14.0,14.28,14.149999618530272,0.500005,2025-11-21,0.2245037645448323,14.299618358538991,-0.35764775570162266,0.45272478236314906,0.5836228992335668,0.5267038552205457,0.13089811687041775,-0.05963046231033575,1.0317315270500809,,,0.510504759631116
PR,PR251017P00010000,Put,2025-10-17,10.0,0.7026780086167054,0.05,0.15,1,183,14.0,14.28,14.149999618530272,0.6445348046875,2025-10-17,0.12867898699520877,14.231269340115023,-0.3528565168241416,0.5912719558840206,0.7627901398420215,0.688184531243184,0.1715181839580009,-0.06023725171400407,1.3480472380717021,,,0.510504759631116
PR,PR270115C00025000,Call,2027-01-15,25.0,1.650615270540931,0.2,0.5,5,167,14.0,14.28,14.149999618530272,0.40430283203125,2027-01-15,1.374401095140315,15.145867390289641,0.5011481096427582,0.2934922747018496,0.375436969084071,0.33842994175788327,0.0819446943822214,0.1434992180047278,0.6629320008738573,,,0.510504759631116
PR,PR260320C00016000,Call,2026-03-20,16.0,1.1008313437048642,0.6,0.9,0,11,14.0,14.28,14.149999618530272,0.3696352099609374,2026-03-20,0.5503080082135524,14.534469872697994,0.09606566136067685,0.2686840763144834,0.3439824128996929,0.3067223202517466,0.07529833658520951,0.37887602574768986,0.60082166613565,,,0.510504759631116
PR,PR260116C00019000,Call,2026-01-16,19.0,1.3185598895493307,0.1,0.2,1,110,14.0,14.28,14.149999618530272,0.379889013671875,2026-01-16,0.37782340862423,14.409660229004835,0.2765401482668021,0.3093472021450286,0.3702049911328684,0.3421346978818865,0.060857788987839834,0.1131736290812344,0.6701890460905958,,,0.510504759631116
PR,PR251121P00020000,Put,2025-11-21,20.0,1.3986387257710997,8.4,10.8,0,5,14.0,14.28,14.149999618530272,1.969726713867188,2025-11-21,0.2245037645448323,14.299618358538991,0.3354994248583226,1.644320176982805,2.5581571491469948,2.0948950189733124,0.9138369721641897,-0.43711059802874086,4.103575881421862,,,0.510504759631116
PR,PR260320C00017000,Call,2026-03-20,17.0,1.1696333026864183,0.45,0.65,1,14,14.0,14.28,14.149999618530272,0.3686586572265625,2026-03-20,0.5503080082135524,14.534469872697994,0.15669028317711173,0.29103862418699394,0.3465447294657047,0.31930773536463797,0.05550610527871075,0.2935428133192548,0.6254745510999066,,,0.510504759631116
