Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
GBX,GBX250919C00020000,Call,2025-09-19,20.0,2.34,25.6,29.7,0,1,44.64,49.0,47.16999816894531,2.2109419726562494
GBX,GBX250919C00030000,Call,2025-09-19,30.0,1.56,15.4,18.3,1,1,44.64,49.0,47.16999816894531,1.6435564697265623
GBX,GBX250919C00032500,Call,2025-09-19,32.5,1.44,0.0,0.0,1,0,44.64,49.0,47.16999816894531,1.0000000000000003e-05
GBX,GBX250919C00035000,Call,2025-09-19,35.0,1.34,8.7,10.1,1,1,44.64,49.0,47.16999816894531,1.0000000000000003e-05
GBX,GBX250919C00040000,Call,2025-09-19,40.0,1.17,6.5,7.7,3,8,44.64,49.0,47.16999816894531,0.6181678808593751
GBX,GBX250919C00042500,Call,2025-09-19,42.5,1.1,4.5,5.3,1,30,44.64,49.0,47.16999816894531,0.48633326171875
GBX,GBX250919C00045000,Call,2025-09-19,45.0,1.04,2.8,3.2,20,69,44.64,49.0,47.16999816894531,0.40820904296875
GBX,GBX250919C00047500,Call,2025-09-19,47.5,0.99,1.2,1.4,1,50,44.64,49.0,47.16999816894531,0.32227240234374993
GBX,GBX250919C00050000,Call,2025-09-19,50.0,0.9400000000000001,0.25,0.55,1,359,44.64,49.0,47.16999816894531,0.317389638671875
GBX,GBX250919C00052500,Call,2025-09-19,52.5,0.89,0.0,0.75,5,162,44.64,49.0,47.16999816894531,0.5083056982421875
GBX,GBX250919C00055000,Call,2025-09-19,55.0,0.85,0.0,0.1,1,68,44.64,49.0,47.16999816894531,0.36524072265625
GBX,GBX250919C00057500,Call,2025-09-19,57.5,0.81,0.0,1.2,1,32,44.64,49.0,47.16999816894531,0.6875031250000001
GBX,GBX250919C00060000,Call,2025-09-19,60.0,0.78,0.0,0.1,50,142,44.64,49.0,47.16999816894531,0.5195360546875
GBX,GBX250919C00062500,Call,2025-09-19,62.5,0.75,0.0,1.2,1,20,44.64,49.0,47.16999816894531,0.8720715917968749
GBX,GBX250919C00065000,Call,2025-09-19,65.0,0.72,0.0,1.3,8,18,44.64,49.0,47.16999816894531,0.97460962890625
GBX,GBX250919C00067500,Call,2025-09-19,67.5,0.6900000000000001,2.25,3.5,0,1,44.64,49.0,47.16999816894531,1.7177748486328124
GBX,GBX250919C00070000,Call,2025-09-19,70.0,0.67,0.0,1.3,4,27,44.64,49.0,47.16999816894531,1.1264692114257815
GBX,GBX250919C00072500,Call,2025-09-19,72.5,0.65,0.0,1.35,116,118,44.64,49.0,47.16999816894531,1.2070352148437498
GBX,GBX250919C00075000,Call,2025-09-19,75.0,0.62,0.0,0.2,1,4,44.64,49.0,47.16999816894531,0.8828136718749999
GBX,GBX250919C00080000,Call,2025-09-19,80.0,0.59,0.0,0.75,6,6,44.64,49.0,47.16999816894531,1.2314491552734375
GBX,GBX250919C00085000,Call,2025-09-19,85.0,0.55,0.0,0.75,0,1,44.64,49.0,47.16999816894531,1.3359408203124996
GBX,GBX250919P00022500,Put,2025-09-19,22.5,2.08,0.05,0.75,0,1,44.64,49.0,47.16999816894531,1.865235048828125
GBX,GBX250919P00025000,Put,2025-09-19,25.0,1.87,0.05,0.5,2,0,44.64,49.0,47.16999816894531,1.5078149609375
GBX,GBX250919P00027500,Put,2025-09-19,27.5,1.7,0.05,1.35,2,7,44.64,49.0,47.16999816894531,1.6376971240234375
GBX,GBX250919P00030000,Put,2025-09-19,30.0,1.56,0.45,1.05,12,14,44.64,49.0,47.16999816894531,1.451174619140625
GBX,GBX250919P00032500,Put,2025-09-19,32.5,1.44,0.6,1.35,0,10,44.64,49.0,47.16999816894531,1.3544954150390622
GBX,GBX250919P00037500,Put,2025-09-19,37.5,1.25,0.0,0.05,11,26,44.64,49.0,47.16999816894531,0.46094289062500005
GBX,GBX250919P00040000,Put,2025-09-19,40.0,1.17,0.0,0.2,6,26,44.64,49.0,47.16999816894531,0.46680220703125
GBX,GBX250919P00042500,Put,2025-09-19,42.5,1.1,0.15,0.3,3,85,44.64,49.0,47.16999816894531,0.37305314453125
