Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
SPR,SPR250919C00030000,Call,2025-09-19,30.0,1.3800000000000001,11.0,13.5,25,0,41.22,41.85,41.7400016784668,1.0537156689453124
SPR,SPR250919C00034000,Call,2025-09-19,34.0,1.22,7.7,9.6,1,0,41.22,41.85,41.7400016784668,0.9082040429687499
SPR,SPR250919C00035000,Call,2025-09-19,35.0,1.19,6.8,7.4,2,10,41.22,41.85,41.7400016784668,0.59570716796875
SPR,SPR250919C00036000,Call,2025-09-19,36.0,1.1500000000000001,5.8,6.5,5,12,41.22,41.85,41.7400016784668,0.5478560839843751
SPR,SPR250919C00037000,Call,2025-09-19,37.0,1.12,4.7,5.2,2,393,41.22,41.85,41.7400016784668,0.49609878906250005
SPR,SPR250919C00038000,Call,2025-09-19,38.0,1.09,3.8,4.5,0,4,41.22,41.85,41.7400016784668,0.5224657128906249
SPR,SPR250919C00040000,Call,2025-09-19,40.0,1.04,1.6,3.7,2,18,41.22,41.85,41.7400016784668,0.6567417138671876
SPR,SPR250919C00041000,Call,2025-09-19,41.0,1.01,1.2,2.4,1,18,41.22,41.85,41.7400016784668,0.47461462890625
SPR,SPR250919C00042000,Call,2025-09-19,42.0,0.99,0.0,1.8,3,4,41.22,41.85,41.7400016784668,0.450200810546875
SPR,SPR250919C00043000,Call,2025-09-19,43.0,0.97,0.0,0.75,1,1,41.22,41.85,41.7400016784668,0.295905478515625
SPR,SPR250919C00045000,Call,2025-09-19,45.0,0.92,0.0,0.5,0,5,41.22,41.85,41.7400016784668,0.370123486328125
SPR,SPR250919C00046000,Call,2025-09-19,46.0,0.9,0.0,2.15,0,5,41.22,41.85,41.7400016784668,0.5991251025390626
SPR,SPR250919C00047000,Call,2025-09-19,47.0,0.88,0.0,1.15,0,77,41.22,41.85,41.7400016784668,0.5107470800781251
SPR,SPR250919C00048000,Call,2025-09-19,48.0,0.87,0.0,1.15,0,52,41.22,41.85,41.7400016784668,0.5644574804687501
SPR,SPR250919C00050000,Call,2025-09-19,50.0,0.8300000000000001,0.0,0.1,1,55,41.22,41.85,41.7400016784668,0.42383388671875
SPR,SPR250919P00033000,Put,2025-09-19,33.0,1.26,0.0,0.45,10,35,41.22,41.85,41.7400016784668,0.6523472265625001
SPR,SPR250919P00034000,Put,2025-09-19,34.0,1.22,0.0,0.25,7,60,41.22,41.85,41.7400016784668,0.5117236328125
SPR,SPR250919P00035000,Put,2025-09-19,35.0,1.19,0.0,0.05,7,46,41.22,41.85,41.7400016784668,0.37695935546875
SPR,SPR250919P00036000,Put,2025-09-19,36.0,1.1500000000000001,0.0,0.05,5,50,41.22,41.85,41.7400016784668,0.32617861328125
SPR,SPR250919P00037000,Put,2025-09-19,37.0,1.12,0.0,0.1,5,135,41.22,41.85,41.7400016784668,0.31836619140624994
SPR,SPR250919P00038000,Put,2025-09-19,38.0,1.09,0.0,0.75,1,14,41.22,41.85,41.7400016784668,0.5190477783203125
SPR,SPR250919P00039000,Put,2025-09-19,39.0,1.06,0.0,0.95,0,2,41.22,41.85,41.7400016784668,0.49268085449218757
SPR,SPR250919P00040000,Put,2025-09-19,40.0,1.04,0.0,2.25,1,4,41.22,41.85,41.7400016784668,0.72851833984375
SPR,SPR250919P00041000,Put,2025-09-19,41.0,1.01,0.0,2.8,1,0,41.22,41.85,41.7400016784668,0.747072841796875
SPR,SPR251017C00032000,Call,2025-10-17,32.0,1.3,5.3,7.9,4,256,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR251017C00035000,Call,2025-10-17,35.0,1.19,5.5,7.7,21,47,41.22,41.85,41.7400016784668,0.5717816259765626
SPR,SPR251017C00036000,Call,2025-10-17,36.0,1.1500000000000001,5.4,6.9,2,43,41.22,41.85,41.7400016784668,0.5583540258789064
SPR,SPR251017C00037000,Call,2025-10-17,37.0,1.12,4.9,6.8,2,23,41.22,41.85,41.7400016784668,0.6757844921875001
SPR,SPR251017C00038000,Call,2025-10-17,38.0,1.09,3.7,4.2,1,30,41.22,41.85,41.7400016784668,0.28711650390624993
SPR,SPR251017C00039000,Call,2025-10-17,39.0,1.06,2.75,3.9,1,5,41.22,41.85,41.7400016784668,0.37402969726562496
SPR,SPR251017C00040000,Call,2025-10-17,40.0,1.04,2.5,2.75,4,72,41.22,41.85,41.7400016784668,0.2834544311523437
SPR,SPR251017C00041000,Call,2025-10-17,41.0,1.01,1.75,2.05,1,16,41.22,41.85,41.7400016784668,0.26563234375
SPR,SPR251017C00042000,Call,2025-10-17,42.0,0.99,0.0,0.0,1,14,41.22,41.85,41.7400016784668,0.007822421875
SPR,SPR251017C00043000,Call,2025-10-17,43.0,0.97,0.8,1.15,10,34,41.22,41.85,41.7400016784668,0.26758544921875
SPR,SPR251017C00045000,Call,2025-10-17,45.0,0.92,0.0,0.5,3,10,41.22,41.85,41.7400016784668,0.2512281909179687
SPR,SPR251017C00046000,Call,2025-10-17,46.0,0.9,0.0,0.7,0,8,41.22,41.85,41.7400016784668,0.33447931152343746
SPR,SPR251017C00050000,Call,2025-10-17,50.0,0.8300000000000001,0.0,0.75,1,5,41.22,41.85,41.7400016784668,0.4936574072265626
SPR,SPR251017P00015000,Put,2025-10-17,15.0,2.77,0.0,2.15,0,5,41.22,41.85,41.7400016784668,2.2285200537109366
SPR,SPR251017P00020000,Put,2025-10-17,20.0,2.08,0.0,0.1,5,472,41.22,41.85,41.7400016784668,0.8945323046874999
SPR,SPR251017P00022000,Put,2025-10-17,22.0,1.8900000000000001,0.0,2.15,1500,5,41.22,41.85,41.7400016784668,1.4990259423828123
SPR,SPR251017P00024000,Put,2025-10-17,24.0,1.73,0.0,2.15,0,5,41.22,41.85,41.7400016784668,1.334964262695312
SPR,SPR251017P00025000,Put,2025-10-17,25.0,1.6600000000000001,0.0,2.2,2,5,41.22,41.85,41.7400016784668,1.267093508300781
SPR,SPR251017P00026000,Put,2025-10-17,26.0,1.6,0.0,2.25,0,5,41.22,41.85,41.7400016784668,1.201175869140625
SPR,SPR251017P00028000,Put,2025-10-17,28.0,1.48,0.0,0.05,8,18,41.22,41.85,41.7400016784668,0.51758294921875
SPR,SPR251017P00030000,Put,2025-10-17,30.0,1.3800000000000001,0.0,0.05,5,17,41.22,41.85,41.7400016784668,0.437505625
SPR,SPR251017P00031000,Put,2025-10-17,31.0,1.34,0.0,2.45,0,2,41.22,41.85,41.7400016784668,0.8872081591796874
SPR,SPR251017P00032000,Put,2025-10-17,32.0,1.3,0.0,2.65,0,3,41.22,41.85,41.7400016784668,0.848634326171875
SPR,SPR251017P00033000,Put,2025-10-17,33.0,1.26,0.0,0.25,1,149,41.22,41.85,41.7400016784668,0.45508357421875
SPR,SPR251017P00034000,Put,2025-10-17,34.0,1.22,0.0,0.35,2,5,41.22,41.85,41.7400016784668,0.44922425781249997
SPR,SPR251017P00035000,Put,2025-10-17,35.0,1.19,0.0,0.2,1,164,41.22,41.85,41.7400016784668,0.3437565625
SPR,SPR251017P00036000,Put,2025-10-17,36.0,1.1500000000000001,0.0,0.3,22,140,41.22,41.85,41.7400016784668,0.33789724609375
SPR,SPR251017P00037000,Put,2025-10-17,37.0,1.12,0.0,0.3,1,34,41.22,41.85,41.7400016784668,0.2919992675781249
SPR,SPR251017P00038000,Put,2025-10-17,38.0,1.09,0.0,0.4,1,7,41.22,41.85,41.7400016784668,0.27197993652343744
SPR,SPR251017P00039000,Put,2025-10-17,39.0,1.06,0.3,0.7,1,15,41.22,41.85,41.7400016784668,0.28613995117187496
SPR,SPR251017P00040000,Put,2025-10-17,40.0,1.04,0.4,0.8,1,18,41.22,41.85,41.7400016784668,0.2461012890625
SPR,SPR251017P00041000,Put,2025-10-17,41.0,1.01,0.7,1.35,1,8,41.22,41.85,41.7400016784668,0.2722240747070312
SPR,SPR251017P00042000,Put,2025-10-17,42.0,0.99,0.0,0.0,0,1,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR251017P00043000,Put,2025-10-17,43.0,0.97,1.2,5.4,1,1,41.22,41.85,41.7400016784668,0.7460962890625
SPR,SPR260116C00003000,Call,2026-01-16,3.0,13.84,0.0,0.0,20,0,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00005000,Call,2026-01-16,5.0,8.31,25.0,30.0,1,2,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00010000,Call,2026-01-16,10.0,4.15,30.4,34.2,18,33,41.22,41.85,41.7400016784668,1.5449241503906248
SPR,SPR260116C00013000,Call,2026-01-16,13.0,3.2,22.4,26.7,30,87,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00015000,Call,2026-01-16,15.0,2.77,20.7,24.7,10,92,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00017000,Call,2026-01-16,17.0,2.44,16.0,20.0,1,60,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00020000,Call,2026-01-16,20.0,2.08,17.0,21.0,4,41,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00022000,Call,2026-01-16,22.0,1.8900000000000001,13.5,17.8,50,156,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00025000,Call,2026-01-16,25.0,1.6600000000000001,12.3,16.2,15,72,41.22,41.85,41.7400016784668,1.0000000000000003e-05
SPR,SPR260116C00027000,Call,2026-01-16,27.0,1.54,14.3,17.8,5,262,41.22,41.85,41.7400016784668,0.717776259765625
SPR,SPR260116C00030000,Call,2026-01-16,30.0,1.3800000000000001,10.8,12.4,1,597,41.22,41.85,41.7400016784668,0.46582565429687506
SPR,SPR260116C00032000,Call,2026-01-16,32.0,1.3,8.9,12.4,1,73,41.22,41.85,41.7400016784668,0.7028838305664062
SPR,SPR260116C00035000,Call,2026-01-16,35.0,1.19,5.9,9.0,1,199,41.22,41.85,41.7400016784668,0.5161181201171875
SPR,SPR260116C00036000,Call,2026-01-16,36.0,1.1500000000000001,5.0,9.0,1,0,41.22,41.85,41.7400016784668,0.5888712988281251
