Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
TGT,TGT250829C00075000,Call,2025-08-29,75.0,1.3,20.9,24.95,0,0,97.65,97.94,97.95999908447266,2.9960962597656247
TGT,TGT250829C00080000,Call,2025-08-29,80.0,1.22,16.1,19.15,1,0,97.65,97.94,97.95999908447266,2.0732470043945312
TGT,TGT250829C00085000,Call,2025-08-29,85.0,1.1500000000000001,12.7,13.55,2,19,97.65,97.94,97.95999908447266,0.9531254687499999
TGT,TGT250829C00087000,Call,2025-08-29,87.0,1.12,10.85,11.4,1,3,97.65,97.94,97.95999908447266,0.8242205078124999
TGT,TGT250829C00088000,Call,2025-08-29,88.0,1.11,9.85,10.2,2,3,97.65,97.94,97.95999908447266,0.6347692773437501
TGT,TGT250829C00089000,Call,2025-08-29,89.0,1.1,8.95,9.35,110,296,97.65,97.94,97.95999908447266,0.7187528125
TGT,TGT250829C00090000,Call,2025-08-29,90.0,1.09,7.95,9.15,136,225,97.65,97.94,97.95999908447266,0.8984385156249999
TGT,TGT250829C00091000,Call,2025-08-29,91.0,1.07,6.95,7.15,6,36,97.65,97.94,97.95999908447266,0.585941640625
TGT,TGT250829C00092000,Call,2025-08-29,92.0,1.06,5.75,6.6,5,52,97.65,97.94,97.95999908447266,0.5371140039062501
TGT,TGT250829C00093000,Call,2025-08-29,93.0,1.05,4.95,5.65,2,96,97.65,97.94,97.95999908447266,0.5371140039062501
TGT,TGT250829C00094000,Call,2025-08-29,94.0,1.04,4.0,4.85,119,79,97.65,97.94,97.95999908447266,0.51562984375
TGT,TGT250829C00095000,Call,2025-08-29,95.0,1.03,3.1,3.2,165,337,97.65,97.94,97.95999908447266,0.334967587890625
TGT,TGT250829C00096000,Call,2025-08-29,96.0,1.02,2.23,2.34,882,874,97.65,97.94,97.95999908447266,0.3110420458984374
TGT,TGT250829C00097000,Call,2025-08-29,97.0,1.01,1.48,1.55,1039,977,97.65,97.94,97.95999908447266,0.2827220166015625
TGT,TGT250829C00098000,Call,2025-08-29,98.0,1.0,0.89,0.97,975,771,97.65,97.94,97.95999908447266,0.27930408203124996
TGT,TGT250829C00099000,Call,2025-08-29,99.0,0.99,0.49,0.54,1429,1047,97.65,97.94,97.95999908447266,0.27295648925781246
TGT,TGT250829C00100000,Call,2025-08-29,100.0,0.98,0.25,0.27,1255,2154,97.65,97.94,97.95999908447266,0.2695385546875
TGT,TGT250829C00101000,Call,2025-08-29,101.0,0.97,0.12,0.14,313,1183,97.65,97.94,97.95999908447266,0.27930408203124996
TGT,TGT250829C00102000,Call,2025-08-29,102.0,0.96,0.07,0.08,457,1043,97.65,97.94,97.95999908447266,0.29883513671874995
TGT,TGT250829C00103000,Call,2025-08-29,103.0,0.9500000000000001,0.04,0.05,185,541,97.65,97.94,97.95999908447266,0.32031929687499994
TGT,TGT250829C00104000,Call,2025-08-29,104.0,0.9400000000000001,0.02,0.03,119,663,97.65,97.94,97.95999908447266,0.3398503515625
TGT,TGT250829C00105000,Call,2025-08-29,105.0,0.93,0.01,0.02,118,1298,97.65,97.94,97.95999908447266,0.35938140625
TGT,TGT250829C00106000,Call,2025-08-29,106.0,0.92,0.01,0.03,62,631,97.65,97.94,97.95999908447266,0.42578699218750005
TGT,TGT250829C00107000,Call,2025-08-29,107.0,0.91,0.01,0.02,46,739,97.65,97.94,97.95999908447266,0.445318046875
TGT,TGT250829C00108000,Call,2025-08-29,108.0,0.91,0.01,0.02,34,1054,97.65,97.94,97.95999908447266,0.48438015625
TGT,TGT250829C00109000,Call,2025-08-29,109.0,0.9,0.0,0.01,1,183,97.65,97.94,97.95999908447266,0.476567734375
TGT,TGT250829C00110000,Call,2025-08-29,110.0,0.89,0.0,0.01,68,757,97.65,97.94,97.95999908447266,0.51562984375
TGT,TGT250829C00111000,Call,2025-08-29,111.0,0.88,0.0,0.01,1,189,97.65,97.94,97.95999908447266,0.500005
TGT,TGT250829C00112000,Call,2025-08-29,112.0,0.87,0.0,0.01,42,354,97.65,97.94,97.95999908447266,0.5312546875
TGT,TGT250829C00113000,Call,2025-08-29,113.0,0.87,0.0,0.01,7,436,97.65,97.94,97.95999908447266,0.5625043750000001
TGT,TGT250829C00114000,Call,2025-08-29,114.0,0.86,0.0,0.01,168,345,97.65,97.94,97.95999908447266,0.5937540625000001
TGT,TGT250829C00115000,Call,2025-08-29,115.0,0.85,0.0,0.01,10,1601,97.65,97.94,97.95999908447266,0.6250037500000001
TGT,TGT250829C00116000,Call,2025-08-29,116.0,0.84,0.0,0.04,439,622,97.65,97.94,97.95999908447266,0.773439765625
TGT,TGT250829C00117000,Call,2025-08-29,117.0,0.84,0.0,0.01,205,367,97.65,97.94,97.95999908447266,0.6875031250000001
TGT,TGT250829C00118000,Call,2025-08-29,118.0,0.8300000000000001,0.0,0.01,1,170,97.65,97.94,97.95999908447266,0.7187528125
TGT,TGT250829C00119000,Call,2025-08-29,119.0,0.8200000000000001,0.0,0.01,290,357,97.65,97.94,97.95999908447266,0.7500025
TGT,TGT250829C00120000,Call,2025-08-29,120.0,0.81,0.0,0.01,5,733,97.65,97.94,97.95999908447266,0.7812521875
TGT,TGT250829C00121000,Call,2025-08-29,121.0,0.81,0.0,0.18,4,117,97.65,97.94,97.95999908447266,1.15234798828125
TGT,TGT250829C00122000,Call,2025-08-29,122.0,0.8,0.0,0.01,16,133,97.65,97.94,97.95999908447266,0.8437515624999999
TGT,TGT250829C00123000,Call,2025-08-29,123.0,0.8,0.0,0.01,0,363,97.65,97.94,97.95999908447266,0.87500125
TGT,TGT250829C00124000,Call,2025-08-29,124.0,0.79,0.0,0.01,0,206,97.65,97.94,97.95999908447266,0.9062509375
TGT,TGT250829C00125000,Call,2025-08-29,125.0,0.78,0.0,0.01,10,1040,97.65,97.94,97.95999908447266,0.937500625
TGT,TGT250829C00126000,Call,2025-08-29,126.0,0.78,0.0,0.01,4,219,97.65,97.94,97.95999908447266,0.937500625
TGT,TGT250829C00127000,Call,2025-08-29,127.0,0.77,0.0,0.89,0,18,97.65,97.94,97.95999908447266,1.8125009374999999
TGT,TGT250829C00128000,Call,2025-08-29,128.0,0.76,0.0,0.7,0,7,97.65,97.94,97.95999908447266,1.765626171875
TGT,TGT250829C00129000,Call,2025-08-29,129.0,0.76,0.0,0.25,0,322,97.65,97.94,97.95999908447266,1.5078149609375
TGT,TGT250829C00130000,Call,2025-08-29,130.0,0.75,0.0,0.01,6,349,97.65,97.94,97.95999908447266,1.0625046875000002
TGT,TGT250829C00131000,Call,2025-08-29,131.0,0.75,0.0,0.01,0,13,97.65,97.94,97.95999908447266,1.09375453125
TGT,TGT250829C00132000,Call,2025-08-29,132.0,0.74,0.0,1.27,0,2,97.65,97.94,97.95999908447266,2.1738326904296876
TGT,TGT250829C00133000,Call,2025-08-29,133.0,0.74,0.0,1.27,0,1,97.65,97.94,97.95999908447266,2.214848212890624
TGT,TGT250829C00135000,Call,2025-08-29,135.0,0.72,0.0,0.12,2,81,97.65,97.94,97.95999908447266,1.54297103515625
TGT,TGT250829C00140000,Call,2025-08-29,140.0,0.7000000000000001,0.0,0.01,1,184,97.65,97.94,97.95999908447266,1.3125034374999998
TGT,TGT250829P00060000,Put,2025-08-29,60.0,1.6300000000000001,0.0,1.45,1,2,97.65,97.94,97.95999908447266,3.60156349609375
TGT,TGT250829P00070000,Put,2025-08-29,70.0,1.4000000000000001,0.0,0.01,1,270,97.65,97.94,97.95999908447266,1.2500037499999999
TGT,TGT250829P00075000,Put,2025-08-29,75.0,1.3,0.0,0.01,1,179,97.65,97.94,97.95999908447266,1.0312548437500002
TGT,TGT250829P00080000,Put,2025-08-29,80.0,1.22,0.0,0.05,4,1369,97.65,97.94,97.95999908447266,0.9531254687499999
TGT,TGT250829P00081000,Put,2025-08-29,81.0,1.21,0.0,0.03,2,9,97.65,97.94,97.95999908447266,0.8437515624999999
TGT,TGT250829P00082000,Put,2025-08-29,82.0,1.19,0.0,0.01,3,37,97.65,97.94,97.95999908447266,0.7187528125
TGT,TGT250829P00083000,Put,2025-08-29,83.0,1.18,0.0,0.2,0,89,97.65,97.94,97.95999908447266,0.98437515625
TGT,TGT250829P00084000,Put,2025-08-29,84.0,1.16,0.0,0.2,1,363,97.65,97.94,97.95999908447266,0.9257819921875
TGT,TGT250829P00085000,Put,2025-08-29,85.0,1.1500000000000001,0.0,0.01,102,1846,97.65,97.94,97.95999908447266,0.57812921875
TGT,TGT250829P00086000,Put,2025-08-29,86.0,1.1400000000000001,0.0,0.01,17,364,97.65,97.94,97.95999908447266,0.5312546875
TGT,TGT250829P00087000,Put,2025-08-29,87.0,1.12,0.0,0.01,3,633,97.65,97.94,97.95999908447266,0.500005
TGT,TGT250829P00088000,Put,2025-08-29,88.0,1.11,0.0,0.01,53,3835,97.65,97.94,97.95999908447266,0.48438015625
TGT,TGT250829P00089000,Put,2025-08-29,89.0,1.1,0.0,0.01,128,331,97.65,97.94,97.95999908447266,0.437505625
TGT,TGT250829P00090000,Put,2025-08-29,90.0,1.09,0.01,0.02,99,1666,97.65,97.94,97.95999908447266,0.42969320312500003
TGT,TGT250829P00091000,Put,2025-08-29,91.0,1.07,0.01,0.03,138,627,97.65,97.94,97.95999908447266,0.4062559375
