Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
UPWK,UPWK250919C00007500,Call,2025-09-19,7.5,1.97,7.2,7.6,1,1,14.78,14.8,14.800000190734863,1.6484392578125
UPWK,UPWK250919C00010000,Call,2025-09-19,10.0,1.48,4.7,5.1,2,82,14.78,14.8,14.800000190734863,1.0390673046875003
UPWK,UPWK250919C00012500,Call,2025-09-19,12.5,1.18,1.9,2.45,6,959,14.78,14.8,14.800000190734863,0.6074258007812501
UPWK,UPWK250919C00015000,Call,2025-09-19,15.0,0.99,0.5,0.55,30,1831,14.78,14.8,14.800000190734863,0.42383388671875
UPWK,UPWK250919C00017500,Call,2025-09-19,17.5,0.85,0.0,0.1,15,177,14.78,14.8,14.800000190734863,0.5117236328125
UPWK,UPWK250919C00020000,Call,2025-09-19,20.0,0.74,0.0,0.1,10,44,14.78,14.8,14.800000190734863,0.6757844921875001
UPWK,UPWK250919P00010000,Put,2025-09-19,10.0,1.48,0.0,0.1,5,196,14.78,14.8,14.800000190734863,0.8984385156249999
UPWK,UPWK250919P00012500,Put,2025-09-19,12.5,1.18,0.0,0.15,5,252,14.78,14.8,14.800000190734863,0.6074258007812501
UPWK,UPWK250919P00015000,Put,2025-09-19,15.0,0.99,0.6,0.65,63,166,14.78,14.8,14.800000190734863,0.35742830078125
UPWK,UPWK250919P00017500,Put,2025-09-19,17.5,0.85,2.45,2.75,0,0,14.78,14.8,14.800000190734863,0.42969320312500003
UPWK,UPWK251017C00002500,Call,2025-10-17,2.5,5.92,10.0,11.7,0,1,14.78,14.8,14.800000190734863,1.0000000000000003e-05
UPWK,UPWK251017C00005000,Call,2025-10-17,5.0,2.96,9.4,10.8,3,21,14.78,14.8,14.800000190734863,2.1953170117187497
UPWK,UPWK251017C00007500,Call,2025-10-17,7.5,1.97,5.2,6.8,1,3,14.78,14.8,14.800000190734863,1.0000000000000003e-05
UPWK,UPWK251017C00010000,Call,2025-10-17,10.0,1.48,4.8,5.1,1,69,14.78,14.8,14.800000190734863,0.7773459765625
UPWK,UPWK251017C00012500,Call,2025-10-17,12.5,1.18,2.5,2.6,6,1893,14.78,14.8,14.800000190734863,0.5293015820312501
UPWK,UPWK251017C00015000,Call,2025-10-17,15.0,0.99,0.75,0.85,73,3508,14.78,14.8,14.800000190734863,0.42236905761718746
UPWK,UPWK251017C00017500,Call,2025-10-17,17.5,0.85,0.15,0.2,1,2326,14.78,14.8,14.800000190734863,0.42774009765625004
UPWK,UPWK251017C00020000,Call,2025-10-17,20.0,0.74,0.05,0.15,48,2026,14.78,14.8,14.800000190734863,0.5312546875
UPWK,UPWK251017C00022500,Call,2025-10-17,22.5,0.66,0.0,0.2,1,221,14.78,14.8,14.800000190734863,0.6796907031250001
UPWK,UPWK251017C00025000,Call,2025-10-17,25.0,0.59,0.0,0.75,5,31,14.78,14.8,14.800000190734863,1.08984830078125
UPWK,UPWK251017C00030000,Call,2025-10-17,30.0,0.49,0.0,0.5,0,30,14.78,14.8,14.800000190734863,1.2109414453124998
UPWK,UPWK251017P00005000,Put,2025-10-17,5.0,2.96,0.0,0.75,1,1,14.78,14.8,14.800000190734863,2.3378947802734364
UPWK,UPWK251017P00007500,Put,2025-10-17,7.5,1.97,0.0,0.1,7,150,14.78,14.8,14.800000190734863,0.9804689453125001
UPWK,UPWK251017P00010000,Put,2025-10-17,10.0,1.48,0.0,0.55,1,484,14.78,14.8,14.800000190734863,0.9238288867187501
UPWK,UPWK251017P00012500,Put,2025-10-17,12.5,1.18,0.1,0.2,11,445,14.78,14.8,14.800000190734863,0.45508357421875
UPWK,UPWK251017P00015000,Put,2025-10-17,15.0,0.99,0.85,0.95,3,558,14.78,14.8,14.800000190734863,0.37793590820312495
UPWK,UPWK251017P00017500,Put,2025-10-17,17.5,0.85,2.45,2.85,6,39,14.78,14.8,14.800000190734863,0.39063109375
UPWK,UPWK251017P00020000,Put,2025-10-17,20.0,0.74,4.8,5.3,1,267,14.78,14.8,14.800000190734863,0.5312546875
UPWK,UPWK260116C00002500,Call,2026-01-16,2.5,5.92,11.4,13.6,1,7,14.78,14.8,14.800000190734863,1.92578162109375
UPWK,UPWK260116C00005000,Call,2026-01-16,5.0,2.96,9.7,10.2,20,56,14.78,14.8,14.800000190734863,1.1171919140625
UPWK,UPWK260116C00007500,Call,2026-01-16,7.5,1.97,7.4,7.6,1,413,14.78,14.8,14.800000190734863,0.7929708203125
UPWK,UPWK260116C00010000,Call,2026-01-16,10.0,1.48,5.1,5.3,2,323,14.78,14.8,14.800000190734863,0.629886513671875
UPWK,UPWK260116C00012500,Call,2026-01-16,12.5,1.18,3.1,3.3,10,985,14.78,14.8,14.800000190734863,0.5390671093750001
UPWK,UPWK260116C00015000,Call,2026-01-16,15.0,0.99,1.7,1.8,25,2029,14.78,14.8,14.800000190734863,0.5122119091796875
UPWK,UPWK260116C00017500,Call,2026-01-16,17.5,0.85,0.8,0.9,18,2843,14.78,14.8,14.800000190734863,0.4892629199218751
UPWK,UPWK260116C00020000,Call,2026-01-16,20.0,0.74,0.35,0.45,1,2755,14.78,14.8,14.800000190734863,0.4892629199218751
UPWK,UPWK260116C00022500,Call,2026-01-16,22.5,0.66,0.15,0.25,1,775,14.78,14.8,14.800000190734863,0.506840869140625
UPWK,UPWK260116C00025000,Call,2026-01-16,25.0,0.59,0.05,0.35,1,811,14.78,14.8,14.800000190734863,0.561527822265625
UPWK,UPWK260116C00027500,Call,2026-01-16,27.5,0.54,0.0,0.7,10,74,14.78,14.8,14.800000190734863,0.7216824707031251
UPWK,UPWK260116C00030000,Call,2026-01-16,30.0,0.49,0.0,0.75,126,907,14.78,14.8,14.800000190734863,0.8027363476562499
UPWK,UPWK260116C00035000,Call,2026-01-16,35.0,0.42,0.0,0.35,20,37,14.78,14.8,14.800000190734863,0.7841818457031251
UPWK,UPWK260116P00002500,Put,2026-01-16,2.5,5.92,0.0,1.35,0,1000,14.78,14.8,14.800000190734863,2.792971767578125
UPWK,UPWK260116P00005000,Put,2026-01-16,5.0,2.96,0.0,0.7,5,221,14.78,14.8,14.800000190734863,1.3828155859374998
UPWK,UPWK260116P00007500,Put,2026-01-16,7.5,1.97,0.0,0.15,400,5293,14.78,14.8,14.800000190734863,0.6367223828125
UPWK,UPWK260116P00010000,Put,2026-01-16,10.0,1.48,0.15,0.25,50,525,14.78,14.8,14.800000190734863,0.507817421875
UPWK,UPWK260116P00012500,Put,2026-01-16,12.5,1.18,0.55,0.7,7,601,14.78,14.8,14.800000190734863,0.47022014160156256
UPWK,UPWK260116P00015000,Put,2026-01-16,15.0,0.99,1.6,1.95,2,4699,14.78,14.8,14.800000190734863,0.499028447265625
UPWK,UPWK260116P00017500,Put,2026-01-16,17.5,0.85,3.2,3.4,3,222,14.78,14.8,14.800000190734863,0.42969320312500003
UPWK,UPWK260116P00020000,Put,2026-01-16,20.0,0.74,5.3,5.5,2,397,14.78,14.8,14.800000190734863,0.428716650390625
UPWK,UPWK260116P00022500,Put,2026-01-16,22.5,0.66,0.0,0.0,14,252,14.78,14.8,14.800000190734863,1.0000000000000003e-05
UPWK,UPWK260116P00025000,Put,2026-01-16,25.0,0.59,9.5,10.0,2,55,14.78,14.8,14.800000190734863,1.0000000000000003e-05
UPWK,UPWK260116P00030000,Put,2026-01-16,30.0,0.49,15.1,15.8,0,0,14.78,14.8,14.800000190734863,0.7314479980468749
UPWK,UPWK260417C00012500,Call,2026-04-17,12.5,1.18,3.6,3.8,10,9,14.78,14.8,14.800000190734863,0.5502974658203126
UPWK,UPWK260417C00015000,Call,2026-04-17,15.0,0.99,2.25,2.4,1,103,14.78,14.8,14.800000190734863,0.5127001855468749
UPWK,UPWK260417C00017500,Call,2026-04-17,17.5,0.85,1.35,1.5,2,15,14.78,14.8,14.800000190734863,0.5151415673828125
UPWK,UPWK260417C00020000,Call,2026-04-17,20.0,0.74,0.75,0.9,1,9,14.78,14.8,14.800000190734863,0.5024463818359376
UPWK,UPWK260417C00022500,Call,2026-04-17,22.5,0.66,0.45,0.6,8,7,14.78,14.8,14.800000190734863,0.514653291015625
UPWK,UPWK260417C00025000,Call,2026-04-17,25.0,0.59,0.0,1.05,23,26,14.78,14.8,14.800000190734863,0.5659223095703125
UPWK,UPWK260417P00012500,Put,2026-04-17,12.5,1.18,0.9,1.05,24,23,14.78,14.8,14.800000190734863,0.46094289062500005
UPWK,UPWK270115C00002500,Call,2027-01-15,2.5,5.92,12.3,12.8,2,37,14.78,14.8,14.800000190734863,1.08203583984375
UPWK,UPWK270115C00005000,Call,2027-01-15,5.0,2.96,7.4,11.0,3,11,14.78,14.8,14.800000190734863,1.1396527392578126
UPWK,UPWK270115C00007500,Call,2027-01-15,7.5,1.97,7.9,8.7,1,64,14.78,14.8,14.800000190734863,0.7143583251953125
UPWK,UPWK270115C00010000,Call,2027-01-15,10.0,1.48,6.2,6.5,7,174,14.78,14.8,14.800000190734863,0.6084023535156251
UPWK,UPWK270115C00012500,Call,2027-01-15,12.5,1.18,4.7,5.0,1,363,14.78,14.8,14.800000190734863,0.5700726586914062
UPWK,UPWK270115C00015000,Call,2027-01-15,15.0,0.99,3.5,3.8,5,202,14.78,14.8,14.800000190734863,0.5441940112304688
UPWK,UPWK270115C00017500,Call,2027-01-15,17.5,0.85,2.5,2.95,5,168,14.78,14.8,14.800000190734863,0.5268602001953125
UPWK,UPWK270115C00020000,Call,2027-01-15,20.0,0.74,1.9,2.1,12,362,14.78,14.8,14.800000190734863,0.5105029418945313
UPWK,UPWK270115C00022500,Call,2027-01-15,22.5,0.66,1.4,1.6,5,48,14.78,14.8,14.800000190734863,0.5043994873046875
UPWK,UPWK270115C00025000,Call,2027-01-15,25.0,0.59,1.05,1.2,10,47,14.78,14.8,14.800000190734863,0.5117236328125
UPWK,UPWK270115C00030000,Call,2027-01-15,30.0,0.49,0.5,0.8,1,326,14.78,14.8,14.800000190734863,0.52539537109375
UPWK,UPWK270115P00002500,Put,2027-01-15,2.5,5.92,0.0,0.2,5,1815,14.78,14.8,14.800000190734863,0.8789074609374999
UPWK,UPWK270115P00007500,Put,2027-01-15,7.5,1.97,0.0,0.55,4,4,14.78,14.8,14.800000190734863,0.5678754150390625
UPWK,UPWK270115P00010000,Put,2027-01-15,10.0,1.48,0.9,1.05,3,98,14.78,14.8,14.800000190734863,0.4978077563476563
UPWK,UPWK270115P00012500,Put,2027-01-15,12.5,1.18,1.75,2.9,4,240,14.78,14.8,14.800000190734863,0.5319871020507813
UPWK,UPWK270115P00015000,Put,2027-01-15,15.0,0.99,2.85,3.2,6,35,14.78,14.8,14.800000190734863,0.44775942871093743
UPWK,UPWK270115P00017500,Put,2027-01-15,17.5,0.85,4.3,4.7,4,18,14.78,14.8,14.800000190734863,0.422857333984375
UPWK,UPWK270115P00020000,Put,2027-01-15,20.0,0.74,6.1,7.8,10,25,14.78,14.8,14.800000190734863,0.5979044116210939
UPWK,UPWK270115P00022500,Put,2027-01-15,22.5,0.66,0.0,0.0,0,0,14.78,14.8,14.800000190734863,1.0000000000000003e-05
UPWK,UPWK270115P00025000,Put,2027-01-15,25.0,0.59,11.1,13.4,5,10,14.78,14.8,14.800000190734863,0.6467320483398438
UPWK,UPWK270115P00030000,Put,2027-01-15,30.0,0.49,15.8,17.5,3,3,14.78,14.8,14.800000190734863,0.6445348046875
