Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
CENX,CENX251219C00032000,Call,2025-12-19,32.0,0.67,0.5,0.7,44,64,19.15,23.5,22.3799991607666,0.5839885351562499
CENX,CENX251219C00029000,Call,2025-12-19,29.0,0.74,0.85,1.05,1,17,19.15,23.5,22.3799991607666,0.5712933496093751
CENX,CENX260116P00015000,Put,2026-01-16,15.0,1.42,0.35,0.5,1,152,19.15,23.5,22.3799991607666,0.5722699023437501
CENX,CENX250919P00019000,Put,2025-09-19,19.0,1.12,0.1,0.15,20,320,19.15,23.5,22.3799991607666,0.5097705273437501
CENX,CENX250919C00026000,Call,2025-09-19,26.0,0.8200000000000001,0.2,0.3,3,345,19.15,23.5,22.3799991607666,0.561527822265625
CENX,CENX260320P00015000,Put,2026-03-20,15.0,1.42,0.55,0.75,6,90,19.15,23.5,22.3799991607666,0.5483443603515626
CENX,CENX251219C00031000,Call,2025-12-19,31.0,0.6900000000000001,0.6,0.8,4,68,19.15,23.5,22.3799991607666,0.5805706005859376
CENX,CENX251219C00028000,Call,2025-12-19,28.0,0.76,1.0,1.2,10,16,19.15,23.5,22.3799991607666,0.5639692041015626
CENX,CENX251017P00020000,Put,2025-10-17,20.0,1.07,0.6,0.7,2,10,19.15,23.5,22.3799991607666,0.5136767382812499
CENX,CENX260320P00018000,Put,2026-03-20,18.0,1.18,1.3,1.5,4,9,19.15,23.5,22.3799991607666,0.5210008837890624
CENX,CENX260116C00035000,Call,2026-01-16,35.0,0.61,0.35,0.6,2,5042,19.15,23.5,22.3799991607666,0.5654340332031251
CENX,CENX251017C00027000,Call,2025-10-17,27.0,0.79,0.45,0.6,5,115,19.15,23.5,22.3799991607666,0.5625043750000001
CENX,CENX270115C00035000,Call,2027-01-15,35.0,0.61,2.55,2.95,1,11,19.15,23.5,22.3799991607666,0.5695843823242188
CENX,CENX250919C00012000,Call,2025-09-19,12.0,1.78,10.3,12.2,1,22,19.15,23.5,22.3799991607666,2.529300551757812
CENX,CENX250919C00025000,Call,2025-09-19,25.0,0.85,0.3,0.45,10,1841,19.15,23.5,22.3799991607666,0.5410202148437502
CENX,CENX250919P00020000,Put,2025-09-19,20.0,1.07,0.2,0.3,10,2771,19.15,23.5,22.3799991607666,0.5214891601562499
CENX,CENX270115C00027000,Call,2027-01-15,27.0,0.79,4.3,4.9,1,15,19.15,23.5,22.3799991607666,0.5870402624511719
CENX,CENX251219P00017000,Put,2025-12-19,17.0,1.25,0.5,0.6,25,49,19.15,23.5,22.3799991607666,0.5312546875
CENX,CENX250919P00027000,Put,2025-09-19,27.0,0.79,4.6,5.1,2,9,19.15,23.5,22.3799991607666,0.6347692773437501
CENX,CENX260116C00030000,Call,2026-01-16,30.0,0.71,0.9,1.1,1,92,19.15,23.5,22.3799991607666,0.5585981640625001
CENX,CENX251017C00026000,Call,2025-10-17,26.0,0.8200000000000001,0.6,0.75,6,199,19.15,23.5,22.3799991607666,0.5507857421875001
