Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
OPK,OPK260116C00003500,Call,2026-01-16,3.5,0.4,0.0,0.1,1,663,1.39,1.43,1.4199999570846558,1.0312548437500002
OPK,OPK260116P00001000,Put,2026-01-16,1.0,1.41,0.0,0.1,5,794,1.39,1.43,1.4199999570846558,0.64062859375
OPK,OPK251219C00002500,Call,2025-12-19,2.5,0.56,0.0,0.45,10,881,1.39,1.43,1.4199999570846558,1.5000025
OPK,OPK251219C00002000,Call,2025-12-19,2.0,0.7000000000000001,0.0,0.1,1,2114,1.39,1.43,1.4199999570846558,0.6250037500000001
OPK,OPK250919C00002000,Call,2025-09-19,2.0,0.7000000000000001,0.0,0.05,1,2219,1.39,1.43,1.4199999570846558,1.125004375
OPK,OPK250919P00001500,Put,2025-09-19,1.5,0.94,0.0,0.15,3,3100,1.39,1.43,1.4199999570846558,0.7187528125
OPK,OPK270115C00003000,Call,2027-01-15,3.0,0.47,0.0,0.15,2,3246,1.39,1.43,1.4199999570846558,0.5390671093750001
OPK,OPK260116C00003000,Call,2026-01-16,3.0,0.47,0.0,0.05,5,3652,1.39,1.43,1.4199999570846558,0.7656273437500001
OPK,OPK250919C00003000,Call,2025-09-19,3.0,0.47,0.0,0.1,4,5821,1.39,1.43,1.4199999570846558,2.250004375
OPK,OPK250919C00001500,Call,2025-09-19,1.5,0.94,0.0,0.05,400,6220,1.39,1.43,1.4199999570846558,0.57812921875
OPK,OPK260116C00002000,Call,2026-01-16,2.0,0.7000000000000001,0.0,0.1,4,6604,1.39,1.43,1.4199999570846558,0.5546919531250001
OPK,OPK260320C00001500,Call,2026-03-20,1.5,0.94,0.1,0.25,1,110,1.39,1.43,1.4199999570846558,0.6679720703125002
OPK,OPK270115C00000500,Call,2027-01-15,0.5,2.82,0.55,1.55,3,248,1.39,1.43,1.4199999570846558,1.1640666796875
OPK,OPK251017C00001500,Call,2025-10-17,1.5,0.94,0.05,0.1,2,400,1.39,1.43,1.4199999570846558,0.507817421875
OPK,OPK251017C00001000,Call,2025-10-17,1.0,1.41,0.3,0.55,1,202,1.39,1.43,1.4199999570846558,0.5625043750000001
OPK,OPK270115C00002500,Call,2027-01-15,2.5,0.56,0.1,0.2,3,644,1.39,1.43,1.4199999570846558,0.5937540625000001
OPK,OPK270115C00003500,Call,2027-01-15,3.5,0.4,0.05,0.1,3,1579,1.39,1.43,1.4199999570846558,0.6054726953125001
OPK,OPK260116C00001500,Call,2026-01-16,1.5,0.94,0.1,0.2,32,20816,1.39,1.43,1.4199999570846558,0.51562984375
OPK,OPK270115C00001500,Call,2027-01-15,1.5,0.94,0.25,0.4,2,3436,1.39,1.43,1.4199999570846558,0.5390671093750001
OPK,OPK251219C00001500,Call,2025-12-19,1.5,0.94,0.1,0.15,125,1245,1.39,1.43,1.4199999570846558,0.500005
OPK,OPK251219C00001000,Call,2025-12-19,1.0,1.41,0.35,0.5,1,546,1.39,1.43,1.4199999570846558,0.87500125
OPK,OPK270115P00002000,Put,2027-01-15,2.0,0.7000000000000001,0.65,0.8,3,138,1.39,1.43,1.4199999570846558,0.57812921875
OPK,OPK270115P00002500,Put,2027-01-15,2.5,0.56,1.1,1.3,20,81,1.39,1.43,1.4199999570846558,0.5429733203125001
OPK,OPK260320C00001000,Call,2026-03-20,1.0,1.41,0.45,0.55,50,205,1.39,1.43,1.4199999570846558,0.6562534375000001
OPK,OPK270115C00002000,Call,2027-01-15,2.0,0.7000000000000001,0.2,0.25,5,2719,1.39,1.43,1.4199999570846558,0.585941640625
OPK,OPK251219P00002000,Put,2025-12-19,2.0,0.7000000000000001,0.6,0.7,9,264,1.39,1.43,1.4199999570846558,0.70312796875
OPK,OPK260116P00002000,Put,2026-01-16,2.0,0.7000000000000001,0.65,0.75,200,248,1.39,1.43,1.4199999570846558,0.79687703125
OPK,OPK250919C00001000,Call,2025-09-19,1.0,1.41,0.4,0.45,2,774,1.39,1.43,1.4199999570846558,0.8125018749999999
OPK,OPK260116C00001000,Call,2026-01-16,1.0,1.41,0.45,0.5,8,1853,1.39,1.43,1.4199999570846558,0.6718782812500002
OPK,OPK270115C00001000,Call,2027-01-15,1.0,1.41,0.6,0.65,3,2394,1.39,1.43,1.4199999570846558,0.6914093359375001
