Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
NVAX,NVAX250829C00001500,Call,2025-08-29,1.5,5.07,4.45,7.9,1,88,7.58,7.64,7.579999923706055,14.562500898437502
NVAX,NVAX250829C00002000,Call,2025-08-29,2.0,3.8000000000000003,4.45,7.05,55,74,7.58,7.64,7.579999923706055,13.9375012890625
NVAX,NVAX250829C00002500,Call,2025-08-29,2.5,3.04,3.1,6.75,35,79,7.58,7.64,7.579999923706055,34.500004609375
NVAX,NVAX250829C00003000,Call,2025-08-29,3.0,2.54,4.3,6.6,34,3,7.58,7.64,7.579999923706055,18.68750416015625
NVAX,NVAX250829C00003500,Call,2025-08-29,3.5,2.17,2.2,6.1,0,3,7.58,7.64,7.579999923706055,6.812501484375
NVAX,NVAX250829C00004000,Call,2025-08-29,4.0,1.9000000000000001,2.88,5.6,0,10,7.58,7.64,7.579999923706055,12.1875023828125
NVAX,NVAX250829C00004500,Call,2025-08-29,4.5,1.69,2.54,5.1,0,10,7.58,7.64,7.579999923706055,11.171878017578127
NVAX,NVAX250829C00005500,Call,2025-08-29,5.5,1.3800000000000001,2.0,2.11,40,50,7.58,7.64,7.579999923706055,2.718753203125
NVAX,NVAX250829C00006000,Call,2025-08-29,6.0,1.27,0.0,3.6,1,4,7.58,7.64,7.579999923706055,3.843750390625
NVAX,NVAX250829C00006500,Call,2025-08-29,6.5,1.17,0.83,1.18,1,75,7.58,7.64,7.579999923706055,2.156254609375
NVAX,NVAX250829C00007000,Call,2025-08-29,7.0,1.09,0.57,0.62,7,139,7.58,7.64,7.579999923706055,0.7656273437500001
NVAX,NVAX250829C00007500,Call,2025-08-29,7.5,1.01,0.18,0.21,432,640,7.58,7.64,7.579999923706055,0.6796907031250001
NVAX,NVAX250829C00008000,Call,2025-08-29,8.0,0.9500000000000001,0.05,0.06,1546,17193,7.58,7.64,7.579999923706055,0.85937640625
NVAX,NVAX250829C00008500,Call,2025-08-29,8.5,0.9,0.01,0.03,102,1168,7.58,7.64,7.579999923706055,1.0625046875000002
NVAX,NVAX250829C00009000,Call,2025-08-29,9.0,0.85,0.0,0.01,20,419,7.58,7.64,7.579999923706055,1.125004375
NVAX,NVAX250829C00009500,Call,2025-08-29,9.5,0.8,0.0,0.06,4,5346,7.58,7.64,7.579999923706055,1.9375003125
NVAX,NVAX250829C00010000,Call,2025-08-29,10.0,0.76,0.0,0.01,10,2737,7.58,7.64,7.579999923706055,1.6875015625
NVAX,NVAX250829C00010500,Call,2025-08-29,10.5,0.72,0.0,0.03,1,98,7.58,7.64,7.579999923706055,2.2500043749999996
NVAX,NVAX250829C00011000,Call,2025-08-29,11.0,0.6900000000000001,0.0,0.01,11,369,7.58,7.64,7.579999923706055,2.1250046874999997
NVAX,NVAX250829C00011500,Call,2025-08-29,11.5,0.66,0.0,0.01,1,182,7.58,7.64,7.579999923706055,2.3750040624999995
NVAX,NVAX250829C00012000,Call,2025-08-29,12.0,0.63,0.0,0.02,1,1286,7.58,7.64,7.579999923706055,2.81250296875
NVAX,NVAX250829C00012500,Call,2025-08-29,12.5,0.61,0.0,0.3,2,2,7.58,7.64,7.579999923706055,5.046878691406249
NVAX,NVAX250829C00013000,Call,2025-08-29,13.0,0.59,0.0,0.21,1,717,7.58,7.64,7.579999923706055,4.875003906249999
NVAX,NVAX250829C00014000,Call,2025-08-29,14.0,0.54,0.0,2.13,0,1,7.58,7.64,7.579999923706055,11.109378056640626
NVAX,NVAX250829C00014500,Call,2025-08-29,14.5,0.52,0.0,2.13,0,4,7.58,7.64,7.579999923706055,11.390627880859373
NVAX,NVAX250829C00015000,Call,2025-08-29,15.0,0.51,0.0,2.13,1,736,7.58,7.64,7.579999923706055,11.664065209960937
NVAX,NVAX250829C00017000,Call,2025-08-29,17.0,0.45,0.0,0.01,11,146,7.58,7.64,7.579999923706055,4.2500046875
NVAX,NVAX250829P00001500,Put,2025-08-29,1.5,5.07,0.0,1.27,1,1,7.58,7.64,7.579999923706055,27.906251279296878
NVAX,NVAX250829P00002000,Put,2025-08-29,2.0,3.8000000000000003,0.0,1.27,1,1,7.58,7.64,7.579999923706055,22.468752978515624
NVAX,NVAX250829P00005500,Put,2025-08-29,5.5,1.3800000000000001,0.0,0.02,1,10,7.58,7.64,7.579999923706055,2.1875045312499997
NVAX,NVAX250829P00006000,Put,2025-08-29,6.0,1.27,0.0,0.02,5,39,7.58,7.64,7.579999923706055,1.6875015625
NVAX,NVAX250829P00006500,Put,2025-08-29,6.5,1.17,0.0,0.01,1,187,7.58,7.64,7.579999923706055,1.0625046875000002
NVAX,NVAX250829P00007000,Put,2025-08-29,7.0,1.09,0.0,0.01,371,3060,7.58,7.64,7.579999923706055,0.6250037500000001
NVAX,NVAX250829P00007500,Put,2025-08-29,7.5,1.01,0.09,0.12,116,881,7.58,7.64,7.579999923706055,0.632816171875
NVAX,NVAX250829P00008000,Put,2025-08-29,8.0,0.9500000000000001,0.43,0.49,25,213,7.58,7.64,7.579999923706055,0.7656273437500001
NVAX,NVAX250829P00008500,Put,2025-08-29,8.5,0.9,0.9,1.16,1,214,7.58,7.64,7.579999923706055,1.765626171875
NVAX,NVAX250829P00009000,Put,2025-08-29,9.0,0.85,1.39,1.45,3,188,7.58,7.64,7.579999923706055,0.500005
NVAX,NVAX250829P00009500,Put,2025-08-29,9.5,0.8,1.9,1.95,5,114,7.58,7.64,7.579999923706055,1.4375028125
NVAX,NVAX250829P00010000,Put,2025-08-29,10.0,0.76,0.87,2.69,19,20,7.58,7.64,7.579999923706055,4.17187978515625
NVAX,NVAX250829P00010500,Put,2025-08-29,10.5,0.72,1.39,2.97,2,28,7.58,7.64,7.579999923706055,2.843752890625
NVAX,NVAX250829P00011000,Put,2025-08-29,11.0,0.6900000000000001,3.35,5.0,2,7,7.58,7.64,7.579999923706055,7.54687556640625
NVAX,NVAX250829P00011500,Put,2025-08-29,11.5,0.66,3.85,4.25,0,14,7.58,7.64,7.579999923706055,4.2812546484375
NVAX,NVAX250829P00012000,Put,2025-08-29,12.0,0.63,4.4,5.85,7,3,7.58,7.64,7.579999923706055,8.070317456054687
NVAX,NVAX250829P00012500,Put,2025-08-29,12.5,0.61,4.85,5.25,0,0,7.58,7.64,7.579999923706055,4.8593789257812485
NVAX,NVAX250829P00013000,Put,2025-08-29,13.0,0.59,5.35,7.3,0,0,7.58,7.64,7.579999923706055,9.734378916015626
NVAX,NVAX250829P00014000,Put,2025-08-29,14.0,0.54,6.35,8.4,1,0,7.58,7.64,7.579999923706055,10.578128388671878
NVAX,NVAX250829P00014500,Put,2025-08-29,14.5,0.52,6.85,8.8,0,1,7.58,7.64,7.579999923706055,10.617190864257815
NVAX,NVAX250829P00015000,Put,2025-08-29,15.0,0.51,7.35,9.4,1,0,7.58,7.64,7.579999923706055,11.132815541992189
