Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
WKC,WKC250919C00025000,Call,2025-09-19,25.0,1.06,1.4,3.6,7,1,25.13,27.9,26.809999465942383,0.5459029785156251
WKC,WKC250919C00030000,Call,2025-09-19,30.0,0.88,0.0,0.75,0,2,25.13,27.9,26.809999465942383,0.507817421875
WKC,WKC251121C00025000,Call,2025-11-21,25.0,1.06,2.35,4.7,5,16,25.13,27.9,26.809999465942383,0.5031787963867188
WKC,WKC251121C00030000,Call,2025-11-21,30.0,0.88,0.3,0.75,2,83,25.13,27.9,26.809999465942383,0.3540103662109374
WKC,WKC251121P00020000,Put,2025-11-21,20.0,1.33,0.0,1.25,1,2,25.13,27.9,26.809999465942383,0.6269568554687501
WKC,WKC251121P00025000,Put,2025-11-21,25.0,1.06,0.0,1.15,0,1,25.13,27.9,26.809999465942383,0.383795224609375
WKC,WKC251219C00020000,Call,2025-12-19,20.0,1.33,7.1,10.2,1,1,25.13,27.9,26.809999465942383,0.8647474462890624
WKC,WKC251219C00025000,Call,2025-12-19,25.0,1.06,3.4,6.7,11,12,25.13,27.9,26.809999465942383,0.7114286669921875
WKC,WKC251219C00030000,Call,2025-12-19,30.0,0.88,0.45,0.85,2,200,25.13,27.9,26.809999465942383,0.3266668896484375
WKC,WKC251219C00035000,Call,2025-12-19,35.0,0.76,0.0,1.3,10,63,25.13,27.9,26.809999465942383,0.6130409790039064
WKC,WKC251219P00015000,Put,2025-12-19,15.0,1.77,0.05,2.3,0,5,25.13,27.9,26.809999465942383,1.125004375
WKC,WKC251219P00020000,Put,2025-12-19,20.0,1.33,0.3,0.75,0,5,25.13,27.9,26.809999465942383,0.5127001855468749
WKC,WKC251219P00022500,Put,2025-12-19,22.5,1.18,0.0,0.65,1,18,25.13,27.9,26.809999465942383,0.393560751953125
WKC,WKC251219P00025000,Put,2025-12-19,25.0,1.06,0.0,2.45,0,12,25.13,27.9,26.809999465942383,0.5698285205078125
WKC,WKC260220C00030000,Call,2026-02-20,30.0,0.88,0.0,2.3,1,2,25.13,27.9,26.809999465942383,0.46851117431640626
WKC,WKC260220P00025000,Put,2026-02-20,25.0,1.06,0.0,2.05,0,1,25.13,27.9,26.809999465942383,0.39942006835937505
