Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
ZS,ZS250829C00190000,Call,2025-08-29,190.0,1.47,85.1,88.0,2,2,259.03,300.25,277.04998779296875,4.259770300292968
ZS,ZS250829C00200000,Call,2025-08-29,200.0,1.4000000000000001,75.1,78.05,2,23,259.03,300.25,277.04998779296875,3.8085942285156253
ZS,ZS250829C00210000,Call,2025-08-29,210.0,1.33,65.1,68.05,2,1,259.03,300.25,277.04998779296875,3.3310563598632807
ZS,ZS250829C00220000,Call,2025-08-29,220.0,1.27,55.1,58.0,1,37,259.03,300.25,277.04998779296875,2.836916970214843
ZS,ZS250829C00230000,Call,2025-08-29,230.0,1.22,45.1,47.75,2,3,259.03,300.25,277.04998779296875,2.2343794140624995
ZS,ZS250829C00240000,Call,2025-08-29,240.0,1.17,35.1,37.7,1,2,259.03,300.25,277.04998779296875,1.78515732421875
ZS,ZS250829C00245000,Call,2025-08-29,245.0,1.1400000000000001,30.1,33.1,1,2,259.03,300.25,277.04998779296875,1.7758800268554684
ZS,ZS250829C00250000,Call,2025-08-29,250.0,1.12,25.1,28.05,5,17,259.03,300.25,277.04998779296875,1.5322289013671875
ZS,ZS250829C00252500,Call,2025-08-29,252.5,1.11,22.6,25.55,1,6,259.03,300.25,277.04998779296875,1.4209013330078126
ZS,ZS250829C00255000,Call,2025-08-29,255.0,1.1,20.15,23.1,1,7,259.03,300.25,277.04998779296875,1.3276400805664061
ZS,ZS250829C00260000,Call,2025-08-29,260.0,1.08,15.1,18.1,1,14,259.03,300.25,277.04998779296875,1.0986373193359378
ZS,ZS250829C00262500,Call,2025-08-29,262.5,1.07,12.6,15.6,7,8,259.03,300.25,277.04998779296875,0.9819337744140625
ZS,ZS250829C00265000,Call,2025-08-29,265.0,1.06,10.1,12.95,3,20,259.03,300.25,277.04998779296875,0.8188494677734374
ZS,ZS250829C00267500,Call,2025-08-29,267.5,1.05,7.6,10.55,10,38,259.03,300.25,277.04998779296875,0.7270535107421875
ZS,ZS250829C00270000,Call,2025-08-29,270.0,1.04,5.0,7.55,5,64,259.03,300.25,277.04998779296875,0.46680220703125
ZS,ZS250829C00272500,Call,2025-08-29,272.5,1.03,2.59,5.75,4,88,259.03,300.25,277.04998779296875,0.5107470800781251
ZS,ZS250829C00275000,Call,2025-08-29,275.0,1.02,0.56,2.77,100,131,259.03,300.25,277.04998779296875,0.26563234375
ZS,ZS250829C00277500,Call,2025-08-29,277.5,1.01,0.0,0.15,240,93,259.03,300.25,277.04998779296875,0.056650058593750004
ZS,ZS250829C00280000,Call,2025-08-29,280.0,1.0,0.0,0.01,1220,409,259.03,300.25,277.04998779296875,0.0976652734375
ZS,ZS250829C00282500,Call,2025-08-29,282.5,0.99,0.0,0.03,19,137,259.03,300.25,277.04998779296875,0.19336744140625
