Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
LI,LI260618P00020000,Put,2026-06-18,20.0,1.35,2.62,4.0,593,0.5344284838867188,23.35,0.0,0.0,0.8565310492505352
LI,LI260320P00018000,Put,2026-03-20,18.0,0.98,1.69,1.0,206,0.5546919531250001,23.35,0.0,0.0,0.7708779443254817
LI,LI250912C00020500,Call,2025-09-12,20.5,2.17,2.99,2.0,25,0.6074258007812501,23.35,0.0,0.0,1.1390243902439026
LI,LI250905P00021500,Put,2025-09-05,21.5,0.05,0.08,10.0,159,0.5429733203125001,23.35,0.0,0.0,0.9207708779443254
LI,LI251010P00023000,Put,2025-10-10,23.0,1.03,1.45,10.0,41,0.5297898583984376,23.35,0.0,0.0,0.9850107066381156
LI,LI251003C00028000,Call,2025-10-03,28.0,0.23,0.33,1.0,56,0.543949873046875,23.35,0.0,0.0,0.8339285714285715
LI,LI250912C00027000,Call,2025-09-12,27.0,0.08,0.12,2.0,149,0.57812921875,23.35,0.0,0.0,0.8648148148148148
LI,LI250905C00026000,Call,2025-09-05,26.0,0.05,0.09,12.0,1459,0.6562534375000001,23.35,0.0,0.0,0.8980769230769231
LI,LI250926C00030000,Call,2025-09-26,30.0,0.09,0.15,8.0,637,0.6152382226562501,23.35,0.0,0.0,0.7783333333333334
LI,LI260320C00029000,Call,2026-03-20,29.0,1.62,2.03,1.0,21,0.5261277856445312,23.35,0.0,0.0,0.8051724137931034
LI,LI250912C00026000,Call,2025-09-12,26.0,0.16,0.21,2.0,44,0.5585981640625001,23.35,0.0,0.0,0.8980769230769231
LI,LI250919C00029000,Call,2025-09-19,29.0,0.07,0.12,105.0,2442,0.6132851171875001,23.35,0.0,0.0,0.8051724137931034
LI,LI250905P00028000,Put,2025-09-05,28.0,4.6,5.6,1.0,19,1.6386736816406249,23.35,0.0,0.0,1.1991434689507494
LI,LI251003C00027000,Call,2025-10-03,27.0,0.31,0.43,2.0,141,0.5185595019531251,23.35,0.0,0.0,0.8648148148148148
LI,LI270115P00013000,Put,2027-01-15,13.0,0.85,1.11,1.0,59,0.5307664111328125,23.35,0.0,0.0,0.556745182012848
LI,LI250905P00024500,Put,2025-09-05,24.5,1.31,1.65,16.0,41,0.6914093359375001,23.35,0.0,0.0,1.0492505353319057
LI,LI260320C00032000,Call,2026-03-20,32.0,1.22,1.62,1.0,98,0.5546919531250001,23.35,0.0,0.0,0.7296875
LI,LI250926C00028000,Call,2025-09-26,28.0,0.19,0.24,9.0,61,0.5664105859375,23.35,0.0,0.0,0.8339285714285715
LI,LI250905C00020500,Call,2025-09-05,20.5,2.64,3.2,,31,0.7812521875,23.35,0.0,0.0,1.1390243902439026
LI,LI250905C00020000,Call,2025-09-05,20.0,3.25,3.9,,26,1.2324257128906249,23.35,0.0,0.0,1.1675
LI,LI260618C00020000,Call,2026-06-18,20.0,6.05,7.45,1.0,42,0.6438023901367188,23.35,0.0,0.0,1.1675
LI,LI250912C00026500,Call,2025-09-12,26.5,0.13,0.16,12.0,42,0.57812921875,23.35,0.0,0.0,0.8811320754716981
LI,LI251003C00025000,Call,2025-10-03,25.0,0.76,1.01,18.0,189,0.543949873046875,23.35,0.0,0.0,0.934
LI,LI250912P00021000,Put,2025-09-12,21.0,0.1,0.13,10.0,130,0.5117236328125,23.35,0.0,0.0,0.899357601713062
LI,LI251003C00023000,Call,2025-10-03,23.0,1.51,1.82,,34,0.534184345703125,23.35,0.0,0.0,1.0152173913043478
LI,LI251003C00026000,Call,2025-10-03,26.0,0.49,0.6,52.0,57,0.5127001855468749,23.35,0.0,0.0,0.8980769230769231
LI,LI250905C00022500,Call,2025-09-05,22.5,1.08,1.44,10.0,348,0.710940390625,23.35,0.0,0.0,1.037777777777778
LI,LI251010C00025000,Call,2025-10-10,25.0,0.88,1.07,118.0,62,0.524418818359375,23.35,0.0,0.0,0.934
LI,LI251003P00025000,Put,2025-10-03,25.0,2.11,2.42,1.0,19,0.500005,23.35,0.0,0.0,1.070663811563169
LI,LI250905C00025500,Call,2025-09-05,25.5,0.08,0.1,20.0,129,0.6093789062500001,23.35,0.0,0.0,0.915686274509804
LI,LI260320C00045000,Call,2026-03-20,45.0,0.33,0.46,30.0,1379,0.584965087890625,23.35,0.0,0.0,0.518888888888889
LI,LI250926P00020000,Put,2025-09-26,20.0,0.16,0.21,202.0,387,0.507817421875,23.35,0.0,0.0,0.8565310492505352
LI,LI260320P00036000,Put,2026-03-20,36.0,10.9,12.55,,25,1.0000000000000004e-05,23.35,0.0,0.0,1.5417558886509637
LI,LI250912C00024500,Call,2025-09-12,24.5,0.4,0.48,62.0,79,0.5205126074218749,23.35,0.0,0.0,0.953061224489796
LI,LI250905P00026500,Put,2025-09-05,26.5,3.1,3.7,,72,1.0644578027343752,23.35,0.0,0.0,1.1349036402569592
LI,LI250919C00024500,Call,2025-09-19,24.5,0.61,0.75,1.0,152,0.5361374511718751,23.35,0.0,0.0,0.953061224489796
LI,LI250926C00024000,Call,2025-09-26,24.0,0.85,1.02,11.0,85,0.5239305419921875,23.35,0.0,0.0,0.9729166666666668
LI,LI250919C00028000,Call,2025-09-19,28.0,0.11,0.15,3816.0,1983,0.57812921875,23.35,0.0,0.0,0.8339285714285715
LI,LI260618C00035000,Call,2026-06-18,35.0,1.35,1.68,117.0,249,0.5395553857421876,23.35,0.0,0.0,0.6671428571428571
LI,LI260320C00035000,Call,2026-03-20,35.0,0.89,1.16,8.0,1044,0.5598188549804688,23.35,0.0,0.0,0.6671428571428571
LI,LI251219P00017000,Put,2025-12-19,17.0,0.35,0.42,49.0,124,0.5224657128906249,23.35,0.0,0.0,0.728051391862955
LI,LI250912P00021500,Put,2025-09-12,21.5,0.17,0.2,8.0,78,0.500005,23.35,0.0,0.0,0.9207708779443254
LI,LI251003P00021000,Put,2025-10-03,21.0,0.41,0.49,15.0,120,0.5097705273437501,23.35,0.0,0.0,0.899357601713062
LI,LI251017C00029000,Call,2025-10-17,29.0,0.31,0.36,1.0,58,0.5410202148437502,23.35,0.0,0.0,0.8051724137931034
LI,LI260116C00033000,Call,2026-01-16,33.0,0.56,0.72,1.0,1314,0.523442265625,23.35,0.0,0.0,0.7075757575757576
LI,LI251003P00023000,Put,2025-10-03,23.0,1.11,1.26,8.0,37,0.514653291015625,23.35,0.0,0.0,0.9850107066381156
LI,LI250905P00026000,Put,2025-09-05,26.0,2.66,2.98,3.0,27,0.8437515624999999,23.35,0.0,0.0,1.113490364025696
LI,LI251017P00019000,Put,2025-10-17,19.0,0.21,0.25,9.0,166,0.5097705273437501,23.35,0.0,0.0,0.8137044967880085
LI,LI260320P00020000,Put,2026-03-20,20.0,1.61,2.1,210.0,2473,0.5122119091796875,23.35,0.0,0.0,0.8565310492505352
LI,LI250905C00025000,Call,2025-09-05,25.0,0.12,0.15,107.0,724,0.5800823242187501,23.35,0.0,0.0,0.934
LI,LI250912C00025500,Call,2025-09-12,25.5,0.22,0.25,3.0,43,0.5351608984375,23.35,0.0,0.0,0.915686274509804
LI,LI251219C00029000,Call,2025-12-19,29.0,1.0,1.2,70.0,238,0.5542036767578126,23.35,0.0,0.0,0.8051724137931034
LI,LI260116P00018000,Put,2026-01-16,18.0,0.62,0.73,110.0,146,0.5107470800781251,23.35,0.0,0.0,0.7708779443254817
LI,LI251003C00024000,Call,2025-10-03,24.0,1.09,1.27,112.0,110,0.5224657128906249,23.35,0.0,0.0,0.9729166666666668
LI,LI251219C00028000,Call,2025-12-19,28.0,0.99,1.24,195.0,1079,0.5112353564453125,23.35,0.0,0.0,0.8339285714285715
LI,LI260116C00031000,Call,2026-01-16,31.0,0.81,0.96,1.0,212,0.5214891601562499,23.35,0.0,0.0,0.753225806451613
LI,LI260116C00034000,Call,2026-01-16,34.0,0.53,0.64,27.0,387,0.5366257275390626,23.35,0.0,0.0,0.6867647058823529
LI,LI260618C00032000,Call,2026-06-18,32.0,1.84,2.29,136.0,1004,0.5481002221679689,23.35,0.0,0.0,0.7296875
LI,LI260320P00019000,Put,2026-03-20,19.0,1.2,1.46,20.0,570,0.5107470800781251,23.35,0.0,0.0,0.8137044967880085
LI,LI251003P00022000,Put,2025-10-03,22.0,0.69,0.76,2.0,24,0.4882863671875,23.35,0.0,0.0,0.9421841541755888
LI,LI250926C00022000,Call,2025-09-26,22.0,1.96,2.25,7.0,105,0.5478560839843751,23.35,0.0,0.0,1.0613636363636365
LI,LI260320P00040000,Put,2026-03-20,40.0,15.05,16.3,,14,1.0000000000000004e-05,23.35,0.0,0.0,1.7130620985010705
LI,LI251003C00022000,Call,2025-10-03,22.0,2.08,2.29,2.0,26,0.5185595019531251,23.35,0.0,0.0,1.0613636363636365
LI,LI250905C00022000,Call,2025-09-05,22.0,1.35,1.53,3.0,96,0.6054726953125001,23.35,0.0,0.0,1.0613636363636365
LI,LI260116C00029000,Call,2026-01-16,29.0,1.21,1.39,10.0,192,0.5346726220703125,23.35,0.0,0.0,0.8051724137931034
LI,LI260116C00026000,Call,2026-01-16,26.0,1.91,2.19,28.0,200,0.5317429638671876,23.35,0.0,0.0,0.8980769230769231
LI,LI250919C00025500,Call,2025-09-19,25.5,0.37,0.41,74.0,53,0.523442265625,23.35,0.0,0.0,0.915686274509804
LI,LI250905P00022000,Put,2025-09-05,22.0,0.12,0.15,231.0,5826,0.5429733203125001,23.35,0.0,0.0,0.9421841541755888
LI,LI250926P00025000,Put,2025-09-26,25.0,2.11,2.29,1.0,24,0.506840869140625,23.35,0.0,0.0,1.070663811563169
LI,LI250926C00027000,Call,2025-09-26,27.0,0.29,0.33,6.0,174,0.5488326367187502,23.35,0.0,0.0,0.8648148148148148
LI,LI270115P00027000,Put,2027-01-15,27.0,6.75,7.55,2.0,94,0.4770560107421875,23.35,0.0,0.0,1.1563169164882223
LI,LI260116P00017000,Put,2026-01-16,17.0,0.46,0.52,40.0,150,0.5048877636718749,23.35,0.0,0.0,0.728051391862955
LI,LI260116C00035000,Call,2026-01-16,35.0,0.47,0.57,25.0,2917,0.543949873046875,23.35,0.0,0.0,0.6671428571428571
LI,LI250919P00021000,Put,2025-09-19,21.0,0.21,0.25,251.0,1417,0.507817421875,23.35,0.0,0.0,0.899357601713062
LI,LI250912P00022000,Put,2025-09-12,22.0,0.26,0.3,44.0,408,0.4882863671875,23.35,0.0,0.0,0.9421841541755888
LI,LI260116C00027000,Call,2026-01-16,27.0,1.62,1.85,22.0,285,0.5273484765625001,23.35,0.0,0.0,0.8648148148148148
LI,LI260320P00034000,Put,2026-03-20,34.0,10.55,11.5,1.0,39,0.5022022436523439,23.35,0.0,0.0,1.45610278372591
LI,LI270115P00035000,Put,2027-01-15,35.0,11.9,13.5,47.0,226,0.4470270141601562,23.35,0.0,0.0,1.4989293361884368
LI,LI250926P00021000,Put,2025-09-26,21.0,0.32,0.37,2.0,565,0.506840869140625,23.35,0.0,0.0,0.899357601713062
LI,LI270115C00040000,Call,2027-01-15,40.0,1.83,2.12,39.0,627,0.5302781347656251,23.35,0.0,0.0,0.58375
LI,LI250926P00022000,Put,2025-09-26,22.0,0.58,0.64,7.0,75,0.4960987890625,23.35,0.0,0.0,0.9421841541755888
LI,LI251017C00030000,Call,2025-10-17,30.0,0.24,0.28,351.0,901,0.5546919531250001,23.35,0.0,0.0,0.7783333333333334
LI,LI270115C00017000,Call,2027-01-15,17.0,8.55,9.4,5.0,66,0.5649457568359376,23.35,0.0,0.0,1.373529411764706
LI,LI250912C00025000,Call,2025-09-12,25.0,0.3,0.33,45.0,72,0.5214891601562499,23.35,0.0,0.0,0.934
LI,LI260618C00030000,Call,2026-06-18,30.0,2.22,2.52,25.0,306,0.5349167602539062,23.35,0.0,0.0,0.7783333333333334
LI,LI250919P00020000,Put,2025-09-19,20.0,0.1,0.12,3.0,4066,0.5136767382812499,23.35,0.0,0.0,0.8565310492505352
LI,LI251219C00033000,Call,2025-12-19,33.0,0.5,0.57,3.0,508,0.5546919531250001,23.35,0.0,0.0,0.7075757575757576
LI,LI250919C00021500,Call,2025-09-19,21.5,2.13,2.31,,47,0.5117236328125,23.35,0.0,0.0,1.086046511627907
LI,LI250905P00023000,Put,2025-09-05,23.0,0.37,0.42,224.0,437,0.5097705273437501,23.35,0.0,0.0,0.9850107066381156
LI,LI250905P00027000,Put,2025-09-05,27.0,3.3,3.7,16.0,264,0.7656273437500001,23.35,0.0,0.0,1.1563169164882223
LI,LI260618P00030000,Put,2026-06-18,30.0,8.15,9.2,20.0,415,0.5576216113281252,23.35,0.0,0.0,1.284796573875803
LI,LI260320C00028000,Call,2026-03-20,28.0,2.01,2.15,1.0,28,0.5283250292968751,23.35,0.0,0.0,0.8339285714285715
LI,LI250905C00021000,Call,2025-09-05,21.0,2.38,2.54,1.0,26,0.7539087109375,23.35,0.0,0.0,1.111904761904762
LI,LI250926C00023000,Call,2025-09-26,23.0,1.34,1.48,3.0,155,0.526371923828125,23.35,0.0,0.0,1.0152173913043478
LI,LI250905C00017000,Call,2025-09-05,17.0,6.25,6.65,,23,1.7265638671875,23.35,0.0,0.0,1.373529411764706
LI,LI250926C00026000,Call,2025-09-26,26.0,0.44,0.48,41.0,88,0.5361374511718751,23.35,0.0,0.0,0.8980769230769231
