Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
MARA,MARA251017P00013000,Put,2025-10-17,13.0,0.8170681513404163,0.4,0.43,23.0,710,11.78,19.85,16.06,0.7158231542968749,2025-10-17,0.12046543463381246,15.910545501832674,-0.20203277102776607,0.7049920321667155,0.7262551058529056,0.7156746064919164,0.02126307368619018,-0.17423940424787843,0.9920926439887644,0.7156746064919164,0.06170120811664288,0.6410092317443054,0.6570024741085586,0.7213788055261717
MARA,MARA270617C00027000,Call,2027-06-17,27.0,1.5614643604890244,3.3,3.5,92.0,241,11.78,19.85,16.06,0.7063017651367188,2027-06-17,1.78507871321013,17.291460940897846,0.4456240735862104,0.6655315484558092,0.6892773823483895,0.6774083898659986,0.023745833892580337,0.4841121186793068,0.9390467042788966,0.6774083898659984,0.819140716174868,1.0070210831412179,,0.7213788055261717
MARA,MARA250912P00015500,Put,2025-09-12,15.5,0.9788754505022775,0.42,0.45,695.0,700,11.78,19.85,16.06,0.6210975390625001,2025-09-12,0.024640657084188913,15.83449660735356,-0.021350865686620677,0.5835071766631611,0.6149577015592291,0.5992426203700497,0.03145052489606803,-0.3920376642240577,0.8306906382326603,0.5992426203700497,0.008848255886684933,0.4355419513737808,0.3467823075266985,0.7213788055261717
MARA,MARA251017C00022000,Call,2025-10-17,22.0,1.3827307176530124,0.32,0.35,250.0,5483,11.78,19.85,16.06,0.7832052929687501,2025-10-17,0.12046543463381246,15.910545501832674,0.32406032486901315,0.8093693087069914,0.8318537268885708,0.8207096413734956,0.022484418181579424,0.1598160577529245,1.137695805707616,0.8207096413734956,0.08114121801371695,0.633843735258662,,0.7213788055261717
MARA,MARA251003C00019000,Call,2025-10-03,19.0,1.1964673573669729,0.43,0.47,76.0,5183,11.78,19.85,16.06,0.71679970703125,2025-10-03,0.08213552361396304,15.880082212867627,0.17937334622813,0.757916807290705,0.7861830825351505,0.7721333893397496,0.02826627524444547,0.2419812006131702,1.0703577419031014,0.7721333893397496,0.04896837543599913,1.0965990133481596,,0.7213788055261717
MARA,MARA260918C00037000,Call,2026-09-18,37.0,2.2209607908538813,1.16,1.24,5.0,710,11.78,19.85,16.06,0.7392604199218749,2026-09-18,1.0403832991101984,16.659456642534785,0.7979398909311024,0.7185174524278636,0.7344712613968436,0.7265391249883518,0.01595380896898002,0.24002658799372928,1.0071534115261622,0.7265391249883517,0.5491757920677867,0.8072151858315353,0.3973554465611078,0.7213788055261717
MARA,MARA260918C00027000,Call,2026-09-18,27.0,1.6207011176501296,1.99,2.15,115.0,2156,11.78,19.85,16.06,0.71679970703125,2026-09-18,1.0403832991101984,16.659456642534785,0.48285884429120707,0.6880016202045081,0.7141530443831412,0.7011173546543383,0.026151424178633143,0.3753814537496349,0.9719128830558659,0.7011173546543381,0.5114165834333986,0.26405933930656744,0.561473040650387,0.7213788055261717
MARA,MARA260918C00032000,Call,2026-09-18,32.0,1.9208309542520052,1.52,1.61,2.0,311,11.78,19.85,16.06,0.7307155834960937,2026-09-18,1.0403832991101984,16.659456642534785,0.6527578810866044,0.7086129245970113,0.7246863857881917,0.7166795725522527,0.01607346119118036,0.29893949701437966,0.9934857623513191,0.7166795725522522,0.534371667874601,0.4421838349857922,,0.7213788055261717
MARA,MARA260320C00029000,Call,2026-03-20,29.0,1.7846677267700515,1.04,1.1,5.0,290,11.78,19.85,16.06,0.8081073876953124,2026-03-20,0.5420944558521561,16.249523407074282,0.5792322504362539,0.7996770988983712,0.8159151637196447,0.8078312232994063,0.016238064821273435,0.249372886471516,1.1198433016203968,0.8081938303555585,0.35408377535963936,0.8854846853462502,,0.7213788055261717
MARA,MARA260918C00035000,Call,2026-09-18,35.0,2.100908856213131,1.29,1.37,2.0,463,11.78,19.85,16.06,0.7358424853515625,2026-09-18,1.0403832991101984,16.659456642534785,0.7423700397762917,0.7149735068656486,0.7302181848721344,0.7226311726681517,0.015244678006485768,0.2615282581172728,1.0017360742128631,0.7226311726681534,0.5432838013701989,0.5401830192516215,,0.7213788055261717
MARA,MARA251010C00019500,Call,2025-10-10,19.5,1.226777220495837,0.46,0.5,23.0,5010,11.78,19.85,16.06,0.7216824707031251,2025-10-10,0.10130047912388775,15.895306559505988,0.2043905848558945,0.7547245591826174,0.7804377489852385,0.7676549192982739,0.02571318980262116,0.23749580653388647,1.0641495333902256,0.7676549192982739,0.05969577215481193,0.5024359816331491,,0.7213788055261717
MARA,MARA260918C00040000,Call,2026-09-18,40.0,2.4010386928150065,0.99,1.07,22.0,2822,11.78,19.85,16.06,0.743166630859375,2026-09-18,1.0403832991101984,16.659456642534785,0.8759014324008142,0.7222705576262304,0.7394220059891395,0.7309087525836344,0.01715144836290916,0.21124044133946923,1.0132107389133946,0.7309087525836347,0.5558014777529876,0.39031148732199306,0.0,0.7213788055261717
MARA,MARA251017C00021000,Call,2025-10-17,21.0,1.3198793213960571,0.4,0.43,68.0,1647,11.78,19.85,16.06,0.7597680273437502,2025-10-17,0.12046543463381246,15.910545501832674,0.2775403092341202,0.787926323803532,0.8078211464828127,0.7979348313593939,0.019894822679280666,0.1938863549521737,1.1061245842638563,0.7979348313593939,0.07670034164065148,1.0389000002751334,0.5602753571649187,0.7213788055261717
MARA,MARA251003P00017500,Put,2025-10-03,17.5,1.102009408101159,2.02,2.16,22.0,1039,11.78,19.85,16.06,0.6269568554687501,2025-10-03,0.08213552361396304,15.880082212867627,0.09713524799115783,0.5356039266772854,0.6234940732041859,0.5801097306259003,0.08789014652690053,-0.6918586473846099,0.8041679713652938,0.5801097306259003,0.0276408459603166,0.6288274464044229,0.291515434453396,0.7213788055261717
MARA,MARA251219C00028000,Call,2025-12-19,28.0,1.7447270964529698,0.51,0.55,106.0,2559,11.78,19.85,16.06,0.842775009765625,2025-12-19,0.2929500342231348,16.04835510202369,0.5565981517064348,0.8457075577039755,0.8644805151735556,0.8551657858853207,0.018772957469580076,0.16574976662609836,1.1854600929972778,0.857317086186881,0.2153161033009504,1.0709612078727169,,0.7213788055261717
MARA,MARA260116C00031000,Call,2026-01-16,31.0,1.924272270401809,0.56,0.6,25.0,1340,11.78,19.85,16.06,0.858399853515625,2026-01-16,0.36960985626283366,16.109986344877726,0.6545478549143925,0.8580290648293033,0.8748726666626763,0.8665112193527587,0.016843601833372968,0.16376599055371288,1.201187521333854,0.8659274877403752,0.2771447115490439,1.0114128996690899,1.0257421790317387,0.7213788055261717
