Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
KPTI,KPTI250919C00002500,Call,2025-09-19,2.5,3.8,4.4,,2,3.3437516406249994,6.78,5.81,7.88,2.712
KPTI,KPTI250919C00005000,Call,2025-09-19,5.0,1.85,2.4,1.0,382,1.9296878515625,6.78,5.81,7.88,1.356
KPTI,KPTI250919C00007500,Call,2025-09-19,7.5,0.7,0.85,6.0,179,1.74609501953125,6.78,5.81,7.88,0.904
KPTI,KPTI250919C00010000,Call,2025-09-19,10.0,0.0,0.55,,3,1.7773448632812499,6.78,5.81,7.88,0.678
KPTI,KPTI250919C00012500,Call,2025-09-19,12.5,0.0,0.35,,50,2.0625048437499998,6.78,5.81,7.88,0.5424
KPTI,KPTI250919P00002500,Put,2025-09-19,2.5,0.0,0.1,6.0,419,2.718753203125,6.78,5.81,7.88,0.3687315634218289
KPTI,KPTI250919P00005000,Put,2025-09-19,5.0,0.0,0.45,25.0,435,1.609376953125,6.78,5.81,7.88,0.7374631268436578
KPTI,KPTI250919P00007500,Put,2025-09-19,7.5,1.35,1.85,10.0,98,1.9218753906250001,6.78,5.81,7.88,1.1061946902654867
KPTI,KPTI251017C00002500,Call,2025-10-17,2.5,4.3,4.9,,4,2.82031544921875,6.78,5.81,7.88,2.712
KPTI,KPTI251017C00005000,Call,2025-10-17,5.0,2.75,3.4,1.0,24,2.582034794921875,6.78,5.81,7.88,1.356
KPTI,KPTI251017C00007500,Call,2025-10-17,7.5,1.8,2.4,13.0,312,2.4980506298828127,6.78,5.81,7.88,0.904
KPTI,KPTI251017C00010000,Call,2025-10-17,10.0,1.1,1.6,3.0,34,2.3261760595703116,6.78,5.81,7.88,0.678
KPTI,KPTI251017C00012500,Call,2025-10-17,12.5,0.65,1.4,,1,2.3925821435546872,6.78,5.81,7.88,0.5424
KPTI,KPTI251017P00002500,Put,2025-10-17,2.5,0.25,0.6,101.0,127,3.144533388671875,6.78,5.81,7.88,0.3687315634218289
KPTI,KPTI251017P00005000,Put,2025-10-17,5.0,1.2,1.7,3.0,491,2.8027373681640624,6.78,5.81,7.88,0.7374631268436578
KPTI,KPTI251017P00007500,Put,2025-10-17,7.5,2.6,3.3,1.0,36,2.6406283984375003,6.78,5.81,7.88,1.1061946902654867
KPTI,KPTI251017P00010000,Put,2025-10-17,10.0,4.4,5.1,,10,2.5156287109374995,6.78,5.81,7.88,1.4749262536873156
KPTI,KPTI251121C00002500,Call,2025-11-21,2.5,2.45,3.1,5.0,11,1.0000000000000003e-05,6.78,5.81,7.88,2.712
KPTI,KPTI251121C00005000,Call,2025-11-21,5.0,3.6,4.4,7.0,554,2.9843775390625,6.78,5.81,7.88,1.356
KPTI,KPTI251121C00007500,Call,2025-11-21,7.5,2.95,3.8,3.0,4539,3.0117212207031248,6.78,5.81,7.88,0.904
KPTI,KPTI251121C00010000,Call,2025-11-21,10.0,2.35,3.2,1.0,1605,2.9003933740234373,6.78,5.81,7.88,0.678
KPTI,KPTI251121C00012500,Call,2025-11-21,12.5,1.85,2.75,1.0,84,2.8144560888671872,6.78,5.81,7.88,0.5424
KPTI,KPTI251121C00015000,Call,2025-11-21,15.0,2.0,2.45,408.0,845,2.9843775390625,6.78,5.81,7.88,0.452
KPTI,KPTI251121P00002500,Put,2025-11-21,2.5,0.85,1.0,193.0,2340,3.449220126953125,6.78,5.81,7.88,0.3687315634218289
KPTI,KPTI251121P00005000,Put,2025-11-21,5.0,2.55,2.8,210.0,6816,3.55468861328125,6.78,5.81,7.88,0.7374631268436578
KPTI,KPTI251121P00007500,Put,2025-11-21,7.5,3.9,4.6,32.0,361,3.16406458984375,6.78,5.81,7.88,1.1061946902654867
KPTI,KPTI251121P00010000,Put,2025-11-21,10.0,5.9,6.6,1.0,572,3.1210959472656246,6.78,5.81,7.88,1.4749262536873156
KPTI,KPTI260220C00002500,Call,2026-02-20,2.5,4.8,5.8,3.0,130,2.50781623046875,6.78,5.81,7.88,2.712
KPTI,KPTI260220C00005000,Call,2026-02-20,5.0,4.0,4.7,20.0,230,2.345707260742187,6.78,5.81,7.88,1.356
KPTI,KPTI260220C00007500,Call,2026-02-20,7.5,3.3,4.2,11.0,30,2.3222698193359372,6.78,5.81,7.88,0.904
KPTI,KPTI260220C00010000,Call,2026-02-20,10.0,2.7,3.6,20.0,64,2.214848212890624,6.78,5.81,7.88,0.678
KPTI,KPTI260220C00012500,Call,2026-02-20,12.5,2.35,3.2,55.0,178,2.1972701318359373,6.78,5.81,7.88,0.5424
KPTI,KPTI260220C00015000,Call,2026-02-20,15.0,1.9,2.85,,1,2.128910927734375,6.78,5.81,7.88,0.452
KPTI,KPTI260220P00002500,Put,2026-02-20,2.5,0.85,1.65,20.0,51,2.8710965722656248,6.78,5.81,7.88,0.3687315634218289
KPTI,KPTI260220P00005000,Put,2026-02-20,5.0,2.45,3.0,4.0,211,2.4843787890625,6.78,5.81,7.88,0.7374631268436578
KPTI,KPTI260220P00007500,Put,2026-02-20,7.5,4.3,5.0,20.0,41,2.452152307128906,6.78,5.81,7.88,1.1061946902654867
