Strike,Type,Expiry,IV Slope
5.0,Call,2025-10-17,-2.6244587433460067
5.0,Call,2026-01-16,-0.3775312954732722
5.0,Call,2027-01-15,-0.07784539539285458
5.0,Call,2027-12-17,-0.03309473325322717
5.0,Put,2025-10-17,-1.0132544705784183
5.0,Put,2026-01-16,-0.09947922871722033
5.0,Put,2027-01-15,-0.0037587213785106625
5.0,Put,2027-12-17,0.035426259857517295
3.0,Call,2025-10-17,-4.6097650278356666
3.0,Call,2026-01-16,0.594403691824491
3.0,Call,2027-01-15,-0.12035670781272635
3.0,Call,2027-12-17,-0.08324131680176153
3.0,Put,2026-01-16,0.1995552999052576
3.0,Put,2026-04-17,-0.2359881052072164
3.0,Put,2027-01-15,-0.02597787018953474
3.0,Put,2027-12-17,-0.0056959279856288484
10.0,Put,2027-12-17,-0.20458667156317062
8.0,Call,2027-01-15,-0.19678757724342483
8.0,Put,2025-10-17,-8.457122808420939
8.0,Put,2026-01-16,-1.6099633762564367
8.0,Put,2027-01-15,-0.11195852711494086
6.0,Call,2026-01-16,-0.9419880775242634
6.0,Call,2026-04-17,-0.2295109845682866
6.0,Put,2025-10-17,-4.535655268542367
6.0,Put,2026-01-16,-0.603224760262052
6.0,Put,2026-04-17,-0.011921837044292597
4.0,Call,2025-10-17,1.2425841080794275
4.0,Call,2026-01-16,-0.13280967088013876
4.0,Put,2025-10-17,-0.10542475454195595
4.0,Put,2026-01-16,0.10273702615433138
7.0,Call,2027-12-17,-0.0902224731793486
7.0,Put,2025-10-17,-7.231593050506902
7.0,Put,2026-01-16,-1.052159242820347
