Ticker,Strike,Expiry,Type,Bid,Ask,Volume,Open Interest
PAR,40.0,19/12/2025,Put,1.05,3.1,101,"1,452"
PAR,85.0,16/01/2026,Call,0.0,2.3,90,107
PAR,50.0,19/12/2025,Call,3.9,5.4,62,61
PAR,50.0,17/10/2025,Put,0.8,4.6,55,95
PAR,50.0,16/01/2026,Put,3.4,6.4,40,42
PAR,80.0,19/12/2025,Call,0.0,2.35,29,44
PAR,65.0,17/04/2026,Call,0.6,4.3,20,22
PAR,45.0,19/09/2025,Put,0.3,1.35,13,23
PAR,115.0,19/12/2025,Call,0.0,0.8,12,96
PAR,55.0,17/07/2026,Call,4.7,8.0,10,11
ALRM,25.0,19/12/2025,Put,0.0,0.75,10,10
ALRM,62.5,19/09/2025,Call,0.0,2.85,7,15
ALRM,60.0,20/03/2026,Call,3.7,5.2,5,2
ALRM,52.5,19/09/2025,Put,0.1,0.85,2,7
ALRM,67.5,19/12/2025,Call,0.05,1.2,1,6
ALRM,62.5,19/12/2025,Put,5.9,10.0,1,1
ALRM,55.0,19/09/2025,Put,0.25,0.85,1,5
ALRM,57.5,19/09/2025,Call,0.4,2.7,1,11
ALRM,70.0,19/12/2025,Call,0.0,1.05,1,8
ALRM,65.0,19/12/2025,Call,0.2,2.55,1,87
EYE,20.0,17/10/2025,Call,2.5,2.8,20,"1,188"
EYE,20.0,16/01/2026,Put,1.5,1.65,17,78
EYE,25.0,19/09/2025,Put,3.0,3.2,12,72
EYE,25.0,17/04/2026,Call,2.4,2.6,11,12
EYE,17.5,16/01/2026,Put,0.75,1.05,10,18
EYE,20.0,15/01/2027,Call,7.6,11.0,10,27
EYE,22.5,17/10/2025,Put,1.45,1.65,9,"2,104"
EYE,22.5,15/01/2027,Call,5.3,6.0,6,6
EYE,20.0,19/09/2025,Put,0.2,0.3,6,7
EYE,17.5,16/01/2026,Call,5.4,5.8,4,12
MITT,7.0,21/11/2025,Put,0.05,0.45,20,70
MITT,9.0,21/11/2025,Call,0.0,0.05,4,78
MITT,8.0,21/11/2025,Call,0.05,0.25,3,206
MITT,7.0,19/09/2025,Put,0.0,0.2,2,38
MITT,6.0,21/11/2025,Put,0.0,0.15,2,93
MITT,8.0,20/02/2026,Call,0.1,0.2,2,221
MITT,8.0,19/09/2025,Put,0.4,0.9,1,2
MITT,7.0,20/02/2026,Put,0.0,0.4,1,17
MITT,8.0,20/02/2026,Put,0.65,1.4,1,15
MITT,9.0,20/02/2026,Call,0.05,0.2,1,323
LYFT,16.0,05/09/2025,Put,0.07,0.08,"12,365","4,306"
LYFT,20.0,16/01/2026,Call,1.23,1.28,"3,677","6,896"
LYFT,17.0,17/10/2025,Call,1.06,1.09,"2,799","14,719"
LYFT,16.5,05/09/2025,Call,0.51,0.55,"2,476","4,242"
LYFT,17.0,05/09/2025,Call,0.26,0.28,"2,294","1,029"
LYFT,17.0,05/09/2025,Put,0.43,0.46,"2,240",314
LYFT,15.0,19/09/2025,Call,1.98,2.01,"2,234","17,182"
LYFT,17.0,12/09/2025,Call,0.49,0.51,"1,931","2,407"
LYFT,17.0,21/11/2025,Call,1.88,1.9,"1,562","1,702"
LYFT,17.5,19/09/2025,Put,1.1,1.14,"1,554",63
SE,155.0,17/10/2025,Put,1.39,1.48,"1,019",854
SE,170.0,17/10/2025,Call,14.2,14.75,954,"2,947"
SE,195.0,26/09/2025,Call,1.2,1.5,895,"1,940"
SE,170.0,19/09/2025,Call,10.9,11.5,724,"5,847"
SE,160.0,19/09/2025,Put,0.49,0.62,643,"1,234"
SE,180.0,17/10/2025,Call,8.4,8.8,423,"5,561"
SE,180.0,05/09/2025,Call,1.86,2.08,349,163
SE,185.0,05/09/2025,Call,0.52,0.7,313,352
SE,190.0,05/09/2025,Call,0.12,0.18,271,818
SE,160.0,19/12/2025,Put,7.55,7.8,220,338
ITRI,105.0,19/12/2025,Put,2.15,3.6,211,202
ITRI,125.0,19/09/2025,Put,3.1,7.1,33,56
ITRI,125.0,20/02/2026,Call,7.3,11.4,14,14
ITRI,105.0,21/11/2025,Put,1.1,5.0,10,10
ITRI,120.0,19/09/2025,Call,1.9,6.0,5,5
ITRI,105.0,20/02/2026,Put,2.15,6.1,5,6
ITRI,115.0,19/12/2025,Call,16.0,18.6,4,4
ITRI,110.0,19/12/2025,Put,2.2,6.5,4,19
ITRI,125.0,19/12/2025,Call,19.2,23.0,3,13
ITRI,110.0,21/11/2025,Put,1.8,6.2,3,16
EVH,15.0,16/01/2026,Put,5.2,5.6,"1,070","1,071"
EVH,15.0,16/01/2026,Call,0.2,0.45,152,546
EVH,17.5,19/09/2025,Call,0.0,0.4,95,120
EVH,30.0,19/12/2025,Call,0.0,0.1,37,"2,710"
EVH,12.5,17/12/2027,Call,1.65,4.4,30,29
EVH,7.5,16/01/2026,Call,2.6,3.7,20,55
EVH,7.5,17/10/2025,Put,0.15,0.35,20,27
EVH,5.0,16/01/2026,Put,0.15,0.45,16,42
EVH,7.5,15/01/2027,Put,0.0,5.0,15,63
EVH,12.5,19/12/2025,Call,0.0,0.85,14,76
JBLU,6.0,19/09/2025,Call,0.12,0.13,"16,579","27,289"
JBLU,5.5,05/09/2025,Call,0.12,0.14,"10,291","2,169"
JBLU,6.0,17/10/2025,Call,0.3,0.33,"2,660","4,552"
JBLU,5.0,05/09/2025,Put,0.02,0.03,"1,808","1,757"
JBLU,5.0,12/09/2025,Put,0.06,0.09,985,"1,620"
JBLU,5.0,05/09/2025,Call,0.5,0.53,884,"2,368"
JBLU,4.0,20/03/2026,Put,0.34,0.38,741,"5,871"
JBLU,15.0,15/01/2027,Call,0.16,0.2,631,"3,561"
JBLU,7.0,16/01/2026,Call,0.37,0.4,573,"27,212"
JBLU,5.5,12/09/2025,Call,0.24,0.27,527,"1,220"
RCL,355.0,19/09/2025,Call,10.35,10.9,654,377
RCL,350.0,19/09/2025,Call,13.05,13.6,368,619
RCL,310.0,17/10/2025,Put,4.45,4.65,278,173
RCL,350.0,17/10/2025,Put,15.4,15.8,165,497
RCL,360.0,16/01/2026,Put,33.45,34.7,158,72
RCL,360.0,17/10/2025,Call,15.4,15.75,150,138
RCL,420.0,18/06/2026,Call,26.1,27.2,150,179
RCL,360.0,17/10/2025,Put,20.35,20.75,113,367
RCL,355.0,05/09/2025,Put,5.15,5.5,104,68
RCL,120.0,15/01/2027,Put,2.32,2.75,90,193
VECO,20.0,19/12/2025,Put,0.0,1.9,100,107
VECO,13.0,16/01/2026,Call,10.2,12.9,72,8
VECO,35.0,19/12/2025,Put,10.4,12.2,40,13
VECO,18.0,19/09/2025,Call,5.3,7.7,36,25
VECO,30.0,19/12/2025,Put,5.9,7.5,30,5
VECO,28.0,19/09/2025,Put,4.0,4.9,30,16
VECO,10.0,17/10/2025,Call,13.1,15.8,28,34
VECO,32.0,17/10/2025,Put,7.8,9.0,24,4
VECO,16.0,17/10/2025,Call,7.9,10.6,24,26
VECO,30.0,17/04/2026,Call,0.85,2.55,20,21
MTSI,145.0,21/11/2025,Call,3.7,5.9,229,230
MTSI,130.0,19/09/2025,Call,4.6,5.2,103,18
MTSI,150.0,21/11/2025,Call,2.55,4.5,80,80
MTSI,115.0,21/11/2025,Put,1.75,5.4,43,40
MTSI,120.0,19/09/2025,Call,12.0,13.6,32,8
MTSI,120.0,19/09/2025,Put,0.65,1.1,25,12
MTSI,135.0,19/09/2025,Put,5.9,6.6,25,225
MTSI,110.0,19/12/2025,Put,21.0,24.1,10,10
MTSI,140.0,21/11/2025,Call,5.7,7.4,8,111
MTSI,140.0,19/09/2025,Call,0.9,1.55,7,9
W,75.0,15/01/2027,Put,17.75,18.15,"2,500","2,510"
W,85.0,21/11/2025,Call,6.45,6.65,238,261
W,72.0,12/09/2025,Put,0.89,0.96,218,"1,555"
W,95.0,16/01/2026,Call,5.55,5.85,209,"2,816"
W,75.0,19/09/2025,Put,2.42,2.46,196,"1,100"
W,67.5,19/12/2025,Put,5.15,5.4,193,501
W,25.0,17/12/2027,Put,2.88,3.1,179,"1,921"
W,110.0,18/06/2026,Call,7.25,7.7,175,260
W,105.0,21/11/2025,Call,2.16,2.3,164,165
W,45.0,17/12/2027,Call,44.65,45.6,160,269
UBER,90.0,05/09/2025,Put,0.41,0.42,"9,586","2,619"
UBER,100.0,19/09/2025,Call,0.62,0.65,"2,935","35,514"
UBER,95.0,05/09/2025,Call,0.5,0.53,"2,285","1,941"
UBER,94.0,05/09/2025,Call,0.81,0.84,"2,008","2,079"
UBER,110.0,21/11/2025,Call,1.73,1.79,"1,337","5,787"
UBER,100.0,17/10/2025,Call,1.88,1.92,"1,333","8,515"
UBER,97.0,05/09/2025,Call,0.16,0.18,"1,307","1,558"
UBER,93.0,05/09/2025,Call,1.26,1.29,"1,246","2,016"
UBER,72.5,20/03/2026,Put,2.44,2.51,"1,211","1,558"
UBER,90.0,19/09/2025,Put,1.52,1.57,"1,137","6,829"
TREE,60.0,21/11/2025,Put,3.4,4.2,250,47
TREE,30.0,16/01/2026,Call,38.2,39.4,45,163
TREE,70.0,19/09/2025,Call,1.85,2.5,37,396
TREE,45.0,16/01/2026,Call,23.9,26.0,30,86
TREE,45.0,16/01/2026,Put,1.2,1.65,30,66
TREE,65.0,19/09/2025,Put,1.45,1.9,23,20
TREE,70.0,17/10/2025,Put,5.0,6.3,23,26
TREE,55.0,16/01/2026,Put,3.1,3.5,22,12
TREE,40.0,17/10/2025,Call,26.4,30.4,22,124
TREE,95.0,16/01/2026,Call,2.2,2.6,21,73
XERS,7.5,17/10/2025,Call,0.55,0.95,513,"1,431"
XERS,2.5,17/10/2025,Call,5.4,5.5,500,"2,460"
XERS,5.0,17/04/2026,Call,2.95,3.7,27,124
XERS,7.5,16/01/2026,Put,0.0,1.35,20,141
XERS,7.5,19/09/2025,Call,0.5,0.65,17,674
XERS,7.5,16/01/2026,Call,0.0,1.7,14,"1,116"
XERS,10.0,17/04/2026,Call,0.6,0.95,12,122
XERS,5.0,19/09/2025,Call,2.85,3.1,12,37
XERS,5.0,17/10/2025,Call,2.85,3.1,6,"1,900"
XERS,5.0,16/01/2026,Put,0.0,0.55,5,141
FRT,75.0,20/02/2026,Put,0.3,0.85,20,80
FRT,95.0,19/09/2025,Call,4.4,5.1,13,"1,340"
FRT,110.0,20/02/2026,Call,0.0,1.95,10,33
FRT,90.0,21/11/2025,Put,0.0,2.95,10,28
FRT,95.0,20/02/2026,Call,5.7,9.5,10,26
FRT,55.0,20/02/2026,Call,43.4,46.0,10,3
FRT,100.0,20/02/2026,Put,3.8,7.4,10,10
FRT,95.0,21/11/2025,Put,2.1,2.85,9,"1,004"
FRT,105.0,17/10/2025,Call,0.35,0.6,7,41
FRT,100.0,20/02/2026,Call,2.5,6.4,7,619
ENPH,45.0,19/09/2025,Call,0.23,0.27,"1,071","9,442"
ENPH,30.0,19/09/2025,Put,0.21,0.26,"1,050","12,618"
ENPH,55.0,19/09/2025,Put,17.95,18.1,"1,030",299
ENPH,40.0,19/09/2025,Call,0.98,1.18,901,"8,455"
ENPH,40.0,21/11/2025,Call,3.9,4.0,687,"4,016"
ENPH,39.0,05/09/2025,Call,0.27,0.29,613,665
ENPH,40.0,05/09/2025,Call,0.12,0.14,598,"2,227"
ENPH,32.5,19/09/2025,Put,0.53,0.58,522,118
ENPH,35.0,19/09/2025,Call,3.25,3.45,460,"6,335"
ENPH,45.0,17/10/2025,Call,0.96,1.01,406,"4,331"
PCT,22.0,21/11/2025,Call,0.3,0.45,"1,451","1,051"
PCT,13.0,19/09/2025,Put,0.45,0.55,"1,016","1,969"
PCT,14.0,12/09/2025,Call,0.45,0.55,716,22
PCT,13.5,05/09/2025,Put,0.25,0.35,429,89
PCT,14.0,05/09/2025,Put,0.5,0.6,402,54
PCT,25.0,18/06/2026,Call,1.2,1.35,214,156
PCT,10.0,15/01/2027,Call,6.0,6.8,210,"8,530"
PCT,20.0,16/01/2026,Call,0.8,0.85,205,"10,584"
PCT,5.0,15/01/2027,Put,0.6,0.75,200,"26,341"
PCT,27.0,16/01/2026,Call,0.25,0.4,200,"16,948"
BBIO,50.0,19/09/2025,Call,2.45,3.7,"1,548","1,087"
BBIO,45.0,16/01/2026,Put,4.5,5.1,"1,261",900
BBIO,50.0,20/02/2026,Call,8.6,9.5,500,253
BBIO,40.0,16/01/2026,Put,2.8,3.3,492,73
BBIO,55.0,19/09/2025,Call,0.85,1.1,449,708
BBIO,37.5,16/01/2026,Put,2.05,2.6,326,113
BBIO,52.5,19/09/2025,Call,1.5,1.9,184,"1,290"
BBIO,55.0,17/10/2025,Call,2.25,2.85,162,28
BBIO,50.0,17/10/2025,Call,4.0,4.8,134,69
BBIO,42.5,16/01/2026,Call,11.6,12.5,100,130
AAL,14.0,21/11/2025,Call,0.98,1.0,"19,888","100,938"
AAL,14.0,26/09/2025,Call,0.4,0.43,"18,568","36,061"
AAL,13.0,05/09/2025,Put,0.07,0.09,"8,051","6,457"
AAL,20.0,15/01/2027,Put,8.45,8.6,"7,005","7,054"
AAL,13.5,05/09/2025,Call,0.17,0.19,"5,817","18,449"
AAL,14.5,19/09/2025,Call,0.21,0.23,"5,458","2,173"
AAL,14.0,17/10/2025,Call,0.64,0.66,"5,427","7,249"
AAL,14.0,12/09/2025,Call,0.23,0.25,"3,924","3,442"
AAL,10.0,19/12/2025,Put,0.21,0.24,"3,101","50,312"
AAL,13.0,05/09/2025,Call,0.47,0.49,"2,776","3,178"
IART,15.0,20/03/2026,Call,0.85,4.7,20,20
IART,12.5,20/03/2026,Call,2.6,5.7,6,6
IART,15.0,19/09/2025,Call,0.55,1.15,6,220
IART,30.0,19/12/2025,Put,16.3,19.1,5,5
IART,20.0,20/03/2026,Call,0.4,2.75,5,10
IART,25.0,19/12/2025,Call,0.0,2.3,3,45
IART,10.0,19/12/2025,Call,4.7,7.3,2,66
IART,12.5,20/03/2026,Put,0.0,3.1,1,12
IART,12.5,19/12/2025,Put,0.0,2.6,1,10
IART,15.0,17/10/2025,Put,0.5,1.35,1,2
TCOM,70.0,19/09/2025,Put,1.05,1.15,945,"1,654"
TCOM,85.0,16/01/2026,Call,2.05,2.2,681,"1,038"
TCOM,105.0,15/01/2027,Call,3.5,4.0,254,"1,965"
TCOM,75.0,19/09/2025,Call,0.7,0.85,249,"1,505"
TCOM,75.0,17/10/2025,Call,1.8,1.9,190,"1,047"
TCOM,75.0,19/12/2025,Put,6.6,6.8,161,92
TCOM,65.0,19/09/2025,Call,6.8,7.0,114,"3,544"
TCOM,75.0,19/09/2025,Put,3.9,4.1,105,287
TCOM,95.0,20/03/2026,Call,1.45,1.85,100,101
TCOM,95.0,15/01/2027,Call,5.3,5.8,80,"1,846"
FSLY,7.5,05/09/2025,Call,0.1,0.2,175,445
FSLY,8.0,26/09/2025,Put,0.7,0.8,141,193
FSLY,22.5,15/01/2027,Call,0.1,0.25,119,"2,393"
FSLY,7.0,12/09/2025,Call,0.55,0.6,83,371
FSLY,7.5,12/09/2025,Call,0.2,0.3,77,132
FSLY,9.0,26/09/2025,Call,0.05,0.1,75,157
FSLY,7.5,12/09/2025,Put,0.25,0.35,70,86
FSLY,8.0,12/09/2025,Call,0.05,0.1,55,337
FSLY,17.5,15/01/2027,Call,0.3,0.45,51,399
FSLY,7.5,19/12/2025,Call,1.0,1.1,42,"7,326"
WELL,90.0,19/09/2025,Put,0.0,0.55,318,"1,029"
WELL,165.0,15/01/2027,Call,21.3,22.7,302,14
WELL,170.0,19/12/2025,Put,8.3,8.7,100,177
WELL,145.0,19/09/2025,Call,21.7,24.5,77,84
WELL,165.0,15/01/2027,Put,11.5,16.5,48,52
WELL,200.0,16/01/2026,Call,0.4,1.4,46,73
WELL,160.0,16/01/2026,Call,15.0,15.3,41,168
WELL,145.0,15/01/2027,Put,5.5,10.5,40,49
WELL,240.0,15/01/2027,Call,1.05,2.05,31,16
WELL,170.0,17/10/2025,Call,4.3,4.5,31,101
CSGS,70.0,19/12/2025,Call,0.0,4.8,8,21
CSGS,75.0,19/12/2025,Call,0.0,4.8,1,2
CSGS,55.0,20/03/2026,Put,0.0,4.8,1,2
CSGS,70.0,20/03/2026,Call,0.0,4.8,1,11
CSGS,70.0,19/09/2025,Call,0.0,3.9,1,13
CSGS,60.0,19/09/2025,Call,2.8,7.5,1,5
LPSN,1.0,15/01/2027,Call,0.3,0.65,429,"5,602"
LPSN,1.5,15/01/2027,Put,0.7,1.7,300,230
LPSN,3.0,15/01/2027,Put,2.1,2.3,207,207
LPSN,0.5,17/10/2025,Call,0.35,0.5,50,273
LPSN,1.0,19/09/2025,Call,0.05,0.1,32,"6,706"
LPSN,1.5,15/01/2027,Call,0.3,0.4,32,911
LPSN,1.0,16/01/2026,Call,0.2,0.25,32,"4,377"
LPSN,1.5,19/09/2025,Call,0.0,0.05,21,"5,155"
LPSN,2.0,16/01/2026,Call,0.05,0.1,20,"2,450"
LPSN,1.5,16/01/2026,Call,0.05,0.15,19,"3,292"
GDS,36.0,17/10/2025,Call,1.75,1.95,"1,505","1,564"
GDS,30.0,19/12/2025,Put,3.0,3.3,"1,500","1,502"
GDS,33.0,19/09/2025,Put,1.7,1.9,974,"1,228"
GDS,39.0,16/01/2026,Call,3.2,3.6,500,500
GDS,28.0,19/09/2025,Put,0.2,0.3,202,"1,966"
GDS,30.0,20/02/2026,Put,3.9,4.1,200,250
GDS,32.0,17/10/2025,Call,3.3,3.6,166,"5,553"
GDS,40.0,19/09/2025,Call,0.2,0.25,130,"1,231"
GDS,33.0,21/11/2025,Call,4.2,4.6,107,13
GDS,32.0,19/09/2025,Call,2.25,2.45,107,287
PODD,330.0,18/06/2026,Call,50.3,58.8,500,503
PODD,190.0,19/09/2025,Put,0.0,4.8,443,443
PODD,340.0,19/09/2025,Put,4.6,6.4,57,109
PODD,320.0,18/06/2026,Put,21.6,30.0,40,45
PODD,370.0,20/03/2026,Put,42.1,45.6,39,39
PODD,350.0,19/09/2025,Call,4.9,6.3,29,131
PODD,200.0,16/01/2026,Put,9.6,14.4,28,33
PODD,380.0,19/09/2025,Call,5.8,11.5,25,27
PODD,380.0,19/12/2025,Call,8.6,13.8,25,25
PODD,320.0,19/12/2025,Put,9.8,12.0,22,16
MGPI,20.0,19/12/2025,Put,0.0,2.55,20,42
MGPI,25.0,19/12/2025,Put,0.95,1.25,14,91
MGPI,60.0,19/12/2025,Call,2.2,2.8,12,6
MGPI,35.0,19/12/2025,Call,0.85,1.05,11,88
MGPI,30.0,19/12/2025,Call,2.2,2.95,6,137
MGPI,22.5,19/09/2025,Put,0.0,0.95,6,70
MGPI,35.0,17/10/2025,Call,0.1,0.3,5,10
MGPI,25.0,19/09/2025,Put,0.1,0.35,5,212
MGPI,17.5,19/12/2025,Call,10.8,13.6,5,5
MGPI,45.0,19/12/2025,Call,0.0,0.8,5,20
RPD,25.0,16/01/2026,Put,5.4,5.6,"2,179","2,241"
RPD,25.0,19/12/2025,Put,5.3,5.5,"1,908","2,831"
RPD,21.0,20/03/2026,Call,2.85,3.0,600,601
RPD,30.0,16/01/2026,Put,9.8,10.0,503,218
RPD,15.0,21/11/2025,Put,0.25,0.45,450,158
RPD,19.0,16/01/2026,Call,3.2,3.4,280,250
RPD,26.0,19/12/2025,Call,0.6,0.75,230,230
RPD,40.0,16/01/2026,Call,0.0,0.5,145,357
RPD,22.5,16/01/2026,Put,3.6,3.8,130,231
RPD,30.0,16/01/2026,Call,0.3,0.45,120,"2,928"
AORT,45.0,19/09/2025,Call,0.0,2.6,23,30
AORT,40.0,19/09/2025,Call,2.8,6.5,10,13
AORT,45.0,16/01/2026,Call,1.6,6.0,10,11
AORT,40.0,17/04/2026,Put,0.65,5.5,5,9
AORT,35.0,16/01/2026,Call,8.4,13.0,2,15
AORT,35.0,17/10/2025,Call,7.8,11.5,2,7
AORT,45.0,17/10/2025,Put,0.9,4.9,1,3
AORT,35.0,16/01/2026,Put,0.05,4.4,1,5
AORT,40.0,16/01/2026,Put,0.1,4.8,1,6
AORT,40.0,16/01/2026,Call,4.4,9.0,1,18
VSH,15.0,16/01/2026,Put,1.55,1.7,100,195
VSH,20.0,16/01/2026,Call,0.2,0.35,64,109
VSH,35.0,19/12/2025,Call,0.0,0.3,50,218
VSH,15.0,18/12/2026,Call,2.8,3.1,32,92
VSH,15.0,18/12/2026,Put,2.45,4.1,30,21
VSH,20.0,19/12/2025,Call,0.15,0.25,22,94
VSH,15.0,19/12/2025,Put,1.45,1.55,20,39
VSH,22.5,16/01/2026,Call,0.05,0.2,20,23
VSH,17.5,18/12/2026,Call,1.45,2.1,17,27
VSH,12.5,17/10/2025,Put,0.15,0.25,12,88
ABBV,215.0,19/09/2025,Call,2.22,2.55,614,789
ABBV,210.0,05/09/2025,Put,0.78,0.97,355,129
ABBV,220.0,05/09/2025,Call,0.02,0.05,315,218
ABBV,185.0,15/01/2027,Put,12.1,12.45,307,340
ABBV,250.0,15/01/2027,Call,7.9,10.95,301,210
ABBV,215.0,05/09/2025,Call,0.37,0.5,262,463
ABBV,207.5,05/09/2025,Put,0.35,0.67,243,228
ABBV,217.5,05/09/2025,Call,0.09,0.13,242,211
ABBV,212.5,05/09/2025,Call,1.2,1.45,233,465
ABBV,195.0,19/09/2025,Call,17.4,17.75,221,"1,760"
NEO,8.0,20/02/2026,Call,1.8,2.0,"1,004",357
NEO,22.0,19/12/2025,Call,0.0,0.95,"1,000",900
NEO,14.0,21/11/2025,Call,0.0,0.15,202,430
NEO,10.0,19/09/2025,Call,0.1,0.25,141,"3,392"
NEO,10.0,17/10/2025,Call,0.3,0.4,133,61
NEO,10.0,19/12/2025,Call,0.7,0.85,126,"1,256"
NEO,9.0,19/09/2025,Call,0.4,0.5,109,194
NEO,13.0,19/12/2025,Call,0.0,0.15,70,325
NEO,8.0,19/09/2025,Put,0.15,0.25,56,76
NEO,9.0,19/12/2025,Call,1.1,1.2,53,384
GES,17.0,19/09/2025,Call,0.0,0.05,699,"1,832"
GES,11.0,19/09/2025,Put,0.0,0.05,150,476
GES,6.0,19/09/2025,Put,0.0,0.05,140,160
GES,16.0,19/09/2025,Put,0.0,0.05,131,"2,127"
GES,20.0,20/03/2026,Call,0.05,4.8,98,102
GES,10.0,19/09/2025,Put,0.0,0.05,75,"1,307"
GES,12.0,19/09/2025,Call,4.8,5.0,57,369
GES,14.0,16/01/2026,Put,0.05,0.2,44,"2,002"
GES,16.0,17/10/2025,Put,0.0,0.1,25,370
GES,22.75,16/01/2026,Put,5.8,8.5,16,779
QTWO,90.0,20/02/2026,Call,2.65,4.2,265,5
QTWO,90.0,20/02/2026,Put,15.1,16.3,132,10
QTWO,120.0,20/02/2026,Call,0.05,1.5,100,78
QTWO,65.0,21/11/2025,Put,1.0,1.9,82,82
QTWO,75.0,21/11/2025,Put,4.0,4.4,72,78
QTWO,75.0,19/09/2025,Put,1.35,1.55,50,"1,006"
QTWO,70.0,21/11/2025,Put,1.95,2.55,50,62
QTWO,95.0,20/02/2026,Call,1.2,4.0,7,13
QTWO,95.0,20/02/2026,Put,18.9,20.0,7,7
QTWO,80.0,20/02/2026,Call,6.3,7.6,5,6
OMCL,35.0,17/10/2025,Call,0.65,0.9,20,213
OMCL,30.0,19/12/2025,Call,2.8,7.0,19,29
OMCL,35.0,19/12/2025,Call,0.3,4.5,10,34
OMCL,30.0,19/12/2025,Put,0.55,4.4,10,10
OMCL,40.0,17/10/2025,Call,0.15,0.35,9,65
OMCL,35.0,19/09/2025,Call,0.0,2.35,8,31
OMCL,25.0,19/09/2025,Put,0.0,1.35,5,6
OMCL,20.0,17/10/2025,Put,0.0,0.6,5,11
OMCL,30.0,20/02/2026,Call,4.1,8.0,5,5
OMCL,35.0,19/12/2025,Put,2.85,6.9,4,9
PENN,20.0,19/09/2025,Call,0.75,0.85,"2,164","19,537"
PENN,26.0,19/09/2025,Call,0.03,0.1,"1,601","4,455"
PENN,35.0,15/01/2027,Call,0.51,1.14,230,570
PENN,24.0,17/10/2025,Put,8.7,9.95,228,230
PENN,19.0,12/09/2025,Call,1.19,1.25,132,15
PENN,22.5,16/01/2026,Call,1.29,1.35,130,"3,809"
PENN,20.0,05/09/2025,Call,0.32,0.47,119,181
PENN,17.5,15/01/2027,Put,1.52,2.71,99,180
PENN,16.0,17/10/2025,Call,4.1,4.25,80,398
PENN,17.0,18/09/2026,Put,1.75,2.23,64,64
HRTG,20.0,19/09/2025,Put,0.1,0.25,86,212
HRTG,12.5,19/12/2025,Call,11.0,11.4,33,22
HRTG,20.0,17/10/2025,Call,3.8,4.1,16,29
HRTG,25.0,19/12/2025,Call,1.9,2.05,16,"2,016"
HRTG,25.0,19/09/2025,Call,0.3,0.45,11,142
HRTG,17.5,19/09/2025,Call,5.8,8.0,10,41
HRTG,20.0,19/12/2025,Put,0.9,2.0,10,57
HRTG,20.0,19/12/2025,Call,4.6,5.3,10,165
HRTG,10.0,19/09/2025,Put,0.0,0.95,4,409
HRTG,15.0,19/09/2025,Call,8.3,8.7,3,104
NVMI,240.0,20/02/2026,Put,29.4,31.1,802,262
NVMI,300.0,20/02/2026,Call,11.5,13.7,500,503
NVMI,250.0,21/11/2025,Put,26.1,29.4,250,420
NVMI,300.0,21/11/2025,Call,4.6,6.9,150,414
NVMI,170.0,20/02/2026,Put,4.8,8.1,105,106
NVMI,280.0,19/09/2025,Put,41.3,44.0,41,25
NVMI,190.0,20/02/2026,Put,9.0,12.3,32,32
NVMI,230.0,20/02/2026,Put,17.8,21.3,22,25
NVMI,310.0,20/02/2026,Call,9.5,13.1,16,16
NVMI,220.0,21/11/2025,Put,11.8,15.0,16,2
GTLS,185.0,19/12/2025,Put,0.0,2.25,505,596
GTLS,190.0,19/12/2025,Put,0.0,2.45,505,518
GTLS,210.0,17/10/2025,Call,0.05,0.35,400,451
GTLS,190.0,20/03/2026,Put,0.0,1.75,300,24
GTLS,200.0,20/03/2026,Put,0.7,3.7,191,80
GTLS,195.0,20/03/2026,Put,0.0,3.3,183,82
GTLS,165.0,19/12/2025,Call,34.7,38.8,142,22
GTLS,190.0,19/09/2025,Put,0.0,0.7,90,103
GTLS,200.0,19/12/2025,Put,0.05,4.1,30,18
GTLS,200.0,19/09/2025,Call,0.05,0.95,15,211
BFH,57.5,19/09/2025,Put,0.0,0.45,747,773
BFH,55.0,19/09/2025,Put,0.0,0.3,533,273
BFH,62.5,19/09/2025,Put,0.8,1.15,533,534
BFH,40.0,19/12/2025,Put,0.3,1.05,132,78
BFH,72.5,21/11/2025,Call,1.7,3.5,117,100
BFH,67.5,17/10/2025,Call,2.25,2.75,31,37
BFH,52.5,19/09/2025,Put,0.0,0.15,30,141
BFH,42.5,19/09/2025,Put,0.0,2.15,30,55
BFH,50.0,21/11/2025,Put,0.35,0.8,20,59
BFH,60.0,19/09/2025,Call,6.0,7.3,17,190
EB,2.5,19/09/2025,Put,0.0,0.15,80,94
EB,5.0,19/12/2025,Call,0.0,0.25,50,851
EB,2.5,19/12/2025,Put,0.1,0.25,10,"10,425"
EB,2.5,17/10/2025,Call,0.2,0.35,10,"3,010"
EB,5.0,17/10/2025,Call,0.0,0.1,7,193
EB,2.5,17/10/2025,Put,0.0,0.15,6,34
EB,2.5,16/01/2026,Put,0.1,0.3,2,29
EB,2.5,16/01/2026,Call,0.35,0.45,2,148
EB,5.0,16/01/2026,Call,0.0,0.1,1,195
