Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
GEO,GEO250905P00020500,Put,2025-09-05,20.5,0.1,0.25,2.0,32,0.5195360546875,21.05,21.03,21.06,0.9738717339667458
GEO,GEO251219C00035000,Call,2025-12-19,35.0,0.05,0.2,20.0,153,0.53320779296875,21.05,21.03,21.06,0.6014285714285714
GEO,GEO250919C00027000,Call,2025-09-19,27.0,0.0,0.2,1.0,5999,0.7460962890625,21.05,21.03,21.06,0.7796296296296297
GEO,GEO250926C00024500,Call,2025-09-26,24.5,0.15,0.25,,8,0.526371923828125,21.05,21.03,21.06,0.8591836734693877
GEO,GEO260116C00045000,Call,2026-01-16,45.0,0.0,0.05,3.0,6636,0.51562984375,21.05,21.03,21.06,0.4677777777777778
GEO,GEO250912P00019000,Put,2025-09-12,19.0,0.05,0.15,4.0,88,0.523442265625,21.05,21.03,21.06,0.9026128266033254
GEO,GEO250919C00035000,Call,2025-09-19,35.0,0.0,0.5,60.0,8901,1.5468772656249998,21.05,21.03,21.06,0.6014285714285714
GEO,GEO260116C00040000,Call,2026-01-16,40.0,0.0,0.05,2.0,9818,0.492192578125,21.05,21.03,21.06,0.52625
GEO,GEO251017C00029000,Call,2025-10-17,29.0,0.05,0.15,1.0,111,0.5546919531250001,21.05,21.03,21.06,0.7258620689655173
GEO,GEO250919C00028000,Call,2025-09-19,28.0,0.0,0.2,4.0,14173,0.8242205078124999,21.05,21.03,21.06,0.7517857142857143
GEO,GEO250912C00023000,Call,2025-09-12,23.0,0.1,0.2,6.0,24,0.5214891601562499,21.05,21.03,21.06,0.915217391304348
GEO,GEO250926C00025000,Call,2025-09-26,25.0,0.1,0.2,27.0,28,0.5273484765625001,21.05,21.03,21.06,0.8420000000000001
GEO,GEO250912P00021000,Put,2025-09-12,21.0,0.6,1.0,1.0,12,0.5937540625000001,21.05,21.03,21.06,0.997624703087886
GEO,GEO250905C00022500,Call,2025-09-05,22.5,0.05,0.1,2.0,44,0.632816171875,21.05,21.03,21.06,0.9355555555555556
GEO,GEO250905C00024000,Call,2025-09-05,24.0,0.05,0.1,17.0,54,1.0234423828125,21.05,21.03,21.06,0.8770833333333333
GEO,GEO250919P00018000,Put,2025-09-19,18.0,0.05,0.15,3.0,419,0.5488326367187502,21.05,21.03,21.06,0.8551068883610451
GEO,GEO260116C00037000,Call,2026-01-16,37.0,0.05,0.25,1.0,3227,0.532231240234375,21.05,21.03,21.06,0.568918918918919
GEO,GEO260417C00040000,Call,2026-04-17,40.0,0.2,0.35,1.0,34,0.5117236328125,21.05,21.03,21.06,0.52625
GEO,GEO251219C00034000,Call,2025-12-19,34.0,0.1,0.2,10.0,79,0.5273484765625001,21.05,21.03,21.06,0.6191176470588236
GEO,GEO251003C00023000,Call,2025-10-03,23.0,0.55,0.75,2.0,7,0.5537154003906251,21.05,21.03,21.06,0.915217391304348
GEO,GEO260116P00017000,Put,2026-01-16,17.0,0.8,1.15,3.0,11,0.5429733203125001,21.05,21.03,21.06,0.8076009501187649
GEO,GEO250905P00020000,Put,2025-09-05,20.0,0.05,0.1,15.0,105,0.5351608984375,21.05,21.03,21.06,0.9501187648456056
GEO,GEO251219P00016000,Put,2025-12-19,16.0,0.45,0.6,7.0,7,0.5478560839843751,21.05,21.03,21.06,0.7600950118764845
GEO,GEO251017P00017000,Put,2025-10-17,17.0,0.2,0.3,18.0,18,0.55273884765625,21.05,21.03,21.06,0.8076009501187649
GEO,GEO250905C00021500,Call,2025-09-05,21.5,0.15,0.3,37.0,137,0.5351608984375,21.05,21.03,21.06,0.9790697674418604
GEO,GEO251219C00029000,Call,2025-12-19,29.0,0.35,0.55,1.0,28,0.5214891601562499,21.05,21.03,21.06,0.7258620689655173
GEO,GEO270115P00037000,Put,2027-01-15,37.0,9.6,13.1,10.0,10,1.0000000000000004e-05,21.05,21.03,21.06,1.7577197149643704
GEO,GEO250912P00020500,Put,2025-09-12,20.5,0.4,0.6,,24,0.5410202148437502,21.05,21.03,21.06,0.9738717339667458
GEO,GEO250926C00023500,Call,2025-09-26,23.5,0.3,0.4,2.0,11,0.526371923828125,21.05,21.03,21.06,0.8957446808510638
GEO,GEO250912C00022500,Call,2025-09-12,22.5,0.2,0.25,2.0,7,0.5097705273437501,21.05,21.03,21.06,0.9355555555555556
GEO,GEO251017C00027000,Call,2025-10-17,27.0,0.15,0.25,1.0,108,0.5400436621093752,21.05,21.03,21.06,0.7796296296296297
GEO,GEO250919C00025000,Call,2025-09-19,25.0,0.05,0.15,3.0,14459,0.5644574804687501,21.05,21.03,21.06,0.8420000000000001
GEO,GEO260320C00032000,Call,2026-03-20,32.0,0.75,0.95,2.0,9,0.5576216113281252,21.05,21.03,21.06,0.6578125
GEO,GEO250905C00021000,Call,2025-09-05,21.0,0.3,0.55,76.0,421,0.52539537109375,21.05,21.03,21.06,1.0023809523809524
GEO,GEO260320P00019000,Put,2026-03-20,19.0,2.0,2.7,10.0,21,0.559574716796875,21.05,21.03,21.06,0.9026128266033254
GEO,GEO250905C00022000,Call,2025-09-05,22.0,0.05,0.1,26.0,1024,0.5312546875,21.05,21.03,21.06,0.956818181818182
GEO,GEO250919C00024000,Call,2025-09-19,24.0,0.1,0.25,79.0,8257,0.5449264257812501,21.05,21.03,21.06,0.8770833333333333
GEO,GEO250905P00021000,Put,2025-09-05,21.0,0.25,0.35,5.0,33,0.492192578125,21.05,21.03,21.06,0.997624703087886
GEO,GEO260417C00035000,Call,2026-04-17,35.0,0.55,0.8,1.0,55,0.5468795312500001,21.05,21.03,21.06,0.6014285714285714
GEO,GEO260116C00031000,Call,2026-01-16,31.0,0.3,0.45,1.0,83,0.52539537109375,21.05,21.03,21.06,0.6790322580645162
GEO,GEO250912P00020000,Put,2025-09-12,20.0,0.25,0.4,115.0,168,0.5410202148437502,21.05,21.03,21.06,0.9501187648456056
GEO,GEO250919P00019500,Put,2025-09-19,19.5,0.3,0.4,14.0,24,0.5312546875,21.05,21.03,21.06,0.9263657957244656
GEO,GEO270115P00008000,Put,2027-01-15,8.0,0.15,0.35,2.0,10401,0.5585981640625001,21.05,21.03,21.06,0.3800475059382422
GEO,GEO260116C00027000,Call,2026-01-16,27.0,0.8,1.7,2.0,4407,0.5937540625000001,21.05,21.03,21.06,0.7796296296296297
