Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
JAMF,JAMF250919C00015000,Call,2025-09-19,15.0,0.0,0.2,5.0,235.0,1.4921900390624998,9.13,6.48,11.53,0.6086666666666667
JAMF,JAMF250919C00012500,Call,2025-09-19,12.5,0.0,0.25,1.0,369.0,1.140629296875,9.13,6.48,11.53,0.7304
JAMF,JAMF250919C00010000,Call,2025-09-19,10.0,0.0,0.1,1.0,521.0,0.4726615234375,9.13,6.48,11.53,0.913
JAMF,JAMF260320C00012500,Call,2026-03-20,12.5,0.2,0.45,3.0,20.0,0.5097705273437501,9.13,6.48,11.53,0.7304
JAMF,JAMF251219C00015000,Call,2025-12-19,15.0,0.05,0.2,4.0,269.0,0.62305064453125,9.13,6.48,11.53,0.6086666666666667
JAMF,JAMF251219C00012500,Call,2025-12-19,12.5,0.1,0.25,9.0,199.0,0.5576216113281252,9.13,6.48,11.53,0.7304
JAMF,JAMF251017C00010000,Call,2025-10-17,10.0,0.2,0.3,5.0,25.0,0.4804739453125,9.13,6.48,11.53,0.913
JAMF,JAMF251219P00007500,Put,2025-12-19,7.5,0.25,0.45,1.0,436.0,0.5312546875,9.13,6.48,11.53,0.8214676889375684
JAMF,JAMF251017C00007500,Call,2025-10-17,7.5,1.5,1.85,,12.0,0.6718782812500002,9.13,6.48,11.53,1.2173333333333334
JAMF,JAMF251219P00015000,Put,2025-12-19,15.0,2.35,2.9,1.0,16.0,1.0000000000000004e-05,9.13,6.48,11.53,1.6429353778751368
JAMF,JAMF251219P00010000,Put,2025-12-19,10.0,1.3,1.55,1.0,47.0,0.5117236328125,9.13,6.48,11.53,1.0952902519167578
JAMF,JAMF250919P00010000,Put,2025-09-19,10.0,0.95,1.1,4.0,54.0,0.5664105859375,9.13,6.48,11.53,1.0952902519167578
JAMF,JAMF251219C00005000,Call,2025-12-19,5.0,3.9,4.4,1.0,35.0,0.5625043750000001,9.13,6.48,11.53,1.826
JAMF,JAMF251219C00010000,Call,2025-12-19,10.0,0.55,0.65,1.0,798.0,0.4960987890625,9.13,6.48,11.53,0.913
JAMF,JAMF260320C00005000,Call,2026-03-20,5.0,4.0,4.4,2.0,114.0,0.5312546875,9.13,6.48,11.53,1.826
JAMF,JAMF260320C00007500,Call,2026-03-20,7.5,2.1,2.35,1.0,331.0,0.5127001855468749,9.13,6.48,11.53,1.2173333333333334
JAMF,JAMF250919C00007500,Call,2025-09-19,7.5,1.5,1.65,5.0,180.0,0.5468795312500001,9.13,6.48,11.53,1.2173333333333334
JAMF,JAMF260320C00010000,Call,2026-03-20,10.0,0.9,1.0,8.0,568.0,0.497075341796875,9.13,6.48,11.53,0.913
JAMF,JAMF251219C00007500,Call,2025-12-19,7.5,1.9,2.1,4.0,479.0,0.5449264257812501,9.13,6.48,11.53,1.2173333333333334
