Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
MSFT,MSFT251003C00550000,Call,2025-10-03,550.0,0.65,0.69,18.0,317,0.1892170922851562,503.81,502.03,508.97,0.9160181818181818
MSFT,MSFT251017P00550000,Put,2025-10-17,550.0,43.65,46.45,1.0,406,0.1313563427734375,503.81,502.03,508.97,1.0916813878247753
MSFT,MSFT260116P00310000,Put,2026-01-16,310.0,0.62,0.67,1.0,1807,0.3863586755371093,503.81,502.03,508.97,0.6153113276830551
MSFT,MSFT251003P00450000,Put,2025-10-03,450.0,1.02,1.07,15.0,106,0.2595288891601562,503.81,502.03,508.97,0.8931938627657252
MSFT,MSFT251219P00330000,Put,2025-12-19,330.0,0.67,0.72,2.0,1134,0.3881897119140625,503.81,502.03,508.97,0.6550088326948651
MSFT,MSFT251003P00435000,Put,2025-10-03,435.0,0.59,0.62,43.0,127,0.2866282275390625,503.81,502.03,508.97,0.8634207340068677
MSFT,MSFT261218P00315000,Put,2026-12-18,315.0,4.8,5.1,1.0,379,0.298713067626953,503.81,502.03,508.97,0.6252357039360076
MSFT,MSFT250905C00415000,Call,2025-09-05,415.0,88.75,92.05,7.0,36,1.3994170654296876,503.81,502.03,508.97,1.214
MSFT,MSFT250926C00430000,Call,2025-09-26,430.0,75.35,78.5,10.0,57,0.5002491381835938,503.81,502.03,508.97,1.1716511627906976
MSFT,MSFT260116C00660000,Call,2026-01-16,660.0,0.71,0.76,1.0,862,0.2262040270996093,503.81,502.03,508.97,0.7633484848484848
MSFT,MSFT270115P00250000,Put,2027-01-15,250.0,1.94,2.06,1.0,388,0.3361882788085937,503.81,502.03,508.97,0.4962188126476251
MSFT,MSFT260618P00280000,Put,2026-06-18,280.0,1.32,1.4,3.0,354,0.3532169171142577,503.81,502.03,508.97,0.5557650701653402
MSFT,MSFT250926C00545000,Call,2025-09-26,545.0,0.52,0.55,21.0,272,0.1882405395507812,503.81,502.03,508.97,0.9244220183486238
MSFT,MSFT260220P00350000,Put,2026-02-20,350.0,2.0,2.11,1.0,224,0.3294134442138671,503.81,502.03,508.97,0.6947063377066751
MSFT,MSFT251219C00645000,Call,2025-12-19,645.0,0.59,0.63,1.0,777,0.2290116162109375,503.81,502.03,508.97,0.7811007751937985
MSFT,MSFT251219C00640000,Call,2025-12-19,640.0,0.68,0.72,2.0,336,0.2279129943847656,503.81,502.03,508.97,0.787203125
MSFT,MSFT260918P00320000,Put,2026-09-18,320.0,3.8,3.95,5.0,51,0.3039620385742187,503.81,502.03,508.97,0.6351600801889601
MSFT,MSFT270115C00780000,Call,2027-01-15,780.0,4.6,4.8,1.0,76,0.243324217224121,503.81,502.03,508.97,0.6459102564102565
MSFT,MSFT261218P00610000,Put,2026-12-18,610.0,108.35,112.05,2.0,30,0.1479272219848633,503.81,502.03,508.97,1.2107739028602051
MSFT,MSFT261218P00325000,Put,2026-12-18,325.0,5.5,5.85,1.0,548,0.2926706475830077,503.81,502.03,508.97,0.6450844564419126
MSFT,MSFT251017C00575000,Call,2025-10-17,575.0,0.42,0.45,2.0,1160,0.2009357250976562,503.81,502.03,508.97,0.8761913043478261
MSFT,MSFT250926P00535000,Put,2025-09-26,535.0,29.45,30.8,1.0,98,1.0000000000000004e-05,503.81,502.03,508.97,1.0619082590659177
MSFT,MSFT260220P00345000,Put,2026-02-20,345.0,1.82,1.93,1.0,412,0.3341131042480468,503.81,502.03,508.97,0.6847819614537226
MSFT,MSFT250912C00455000,Call,2025-09-12,455.0,49.4,51.45,2.0,64,0.5356491748046875,503.81,502.03,508.97,1.1072747252747253
