Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
NICE,NICE250919C00110000,Call,2025-09-19,110.0,25.3,28.8,,2,0.9106454248046875,137.23,136.28,175.82,1.2475454545454545
NICE,NICE250919C00115000,Call,2025-09-19,115.0,20.3,23.9,2.0,5,0.7915059912109376,137.23,136.28,175.82,1.193304347826087
NICE,NICE250919C00120000,Call,2025-09-19,120.0,15.5,19.1,1.0,6,0.6840851904296876,137.23,136.28,175.82,1.1435833333333332
NICE,NICE250919C00125000,Call,2025-09-19,125.0,12.3,13.5,1.0,32,0.46802289794921875,137.23,136.28,175.82,1.09784
NICE,NICE250919C00130000,Call,2025-09-19,130.0,6.8,9.4,6.0,38,0.43237872314453124,137.23,136.28,175.82,1.0556153846153846
NICE,NICE250919C00135000,Call,2025-09-19,135.0,5.0,5.4,1.0,115,0.35767243896484374,137.23,136.28,175.82,1.0165185185185184
NICE,NICE250919C00140000,Call,2025-09-19,140.0,2.75,3.3,12.0,229,0.38147591186523433,137.23,136.28,175.82,0.9802142857142856
NICE,NICE250919C00145000,Call,2025-09-19,145.0,1.2,1.7,3.0,122,0.3764710791015625,137.23,136.28,175.82,0.9464137931034482
NICE,NICE250919C00150000,Call,2025-09-19,150.0,0.55,0.75,7.0,427,0.3679262426757813,137.23,136.28,175.82,0.9148666666666666
NICE,NICE250919C00155000,Call,2025-09-19,155.0,0.0,0.4,2.0,256,0.38867798828125,137.23,136.28,175.82,0.8853548387096773
NICE,NICE250919C00160000,Call,2025-09-19,160.0,0.0,0.95,1.0,74,0.5742230078125,137.23,136.28,175.82,0.8576874999999999
NICE,NICE250919C00165000,Call,2025-09-19,165.0,0.0,0.95,4.0,172,0.5532271240234375,137.23,136.28,175.82,0.8316969696969696
NICE,NICE250919C00170000,Call,2025-09-19,170.0,0.0,0.4,1.0,60,0.526371923828125,137.23,136.28,175.82,0.807235294117647
NICE,NICE250919C00175000,Call,2025-09-19,175.0,0.0,1.85,1.0,90,0.7924825439453125,137.23,136.28,175.82,0.7841714285714285
NICE,NICE250919C00180000,Call,2025-09-19,180.0,0.0,0.05,4.0,43,0.52539537109375,137.23,136.28,175.82,0.7623888888888888
NICE,NICE250919C00185000,Call,2025-09-19,185.0,0.0,1.35,2.0,14,0.86132951171875,137.23,136.28,175.82,0.7417837837837837
NICE,NICE250919C00190000,Call,2025-09-19,190.0,0.0,0.7,10.0,24,0.8125018749999999,137.23,136.28,175.82,0.7222631578947368
NICE,NICE250919C00195000,Call,2025-09-19,195.0,0.0,0.05,,37,0.6093789062500001,137.23,136.28,175.82,0.7037435897435896
NICE,NICE250919C00200000,Call,2025-09-19,200.0,0.0,0.0,,2,0.2500075,137.23,136.28,175.82,0.6861499999999999
NICE,NICE250919C00210000,Call,2025-09-19,210.0,0.0,0.45,,1,0.9414068359375,137.23,136.28,175.82,0.6534761904761904
NICE,NICE250919C00220000,Call,2025-09-19,220.0,0.0,0.5,,7,1.0410204199218753,137.23,136.28,175.82,0.6237727272727273
NICE,NICE250919P00100000,Put,2025-09-19,100.0,0.0,1.35,,2,0.96289099609375,137.23,136.28,175.82,0.7287036362311449
NICE,NICE250919P00105000,Put,2025-09-19,105.0,0.0,2.2,1.0,7,0.9492192578124999,137.23,136.28,175.82,0.7651388180427021
NICE,NICE250919P00110000,Put,2025-09-19,110.0,0.0,2.25,1.0,33,0.8256853369140623,137.23,136.28,175.82,0.8015739998542594
NICE,NICE250919P00115000,Put,2025-09-19,115.0,0.0,1.45,6.0,75,0.6186561572265626,137.23,136.28,175.82,0.8380091816658166
NICE,NICE250919P00120000,Put,2025-09-19,120.0,0.0,0.4,1.0,63,0.43164630859375,137.23,136.28,175.82,0.8744443634773739
NICE,NICE250919P00125000,Put,2025-09-19,125.0,0.55,0.85,14.0,2699,0.407232490234375,137.23,136.28,175.82,0.9108795452889311
