Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
FUBO,FUBO251010C00003500,Call,2025-10-10,3.5,0.41,0.61,15.0,80,0.8554701953125,3.71,3.71,3.71,1.06
FUBO,FUBO250926C00005000,Call,2025-09-26,5.0,0.04,0.08,411.0,2485,0.9687503125,3.71,3.71,3.71,0.742
FUBO,FUBO260220C00008000,Call,2026-02-20,8.0,0.15,0.23,115.0,256,0.937500625,3.71,3.71,3.71,0.46375
FUBO,FUBO260220P00002000,Put,2026-02-20,2.0,0.06,0.09,10.0,317,0.7460962890625,3.71,3.71,3.71,0.5390835579514824
FUBO,FUBO250912C00003000,Call,2025-09-12,3.0,0.59,0.82,1.0,124,1.625001875,3.71,3.71,3.71,1.2366666666666666
FUBO,FUBO251010C00004500,Call,2025-10-10,4.5,0.12,0.17,333.0,202,0.8164080859374999,3.71,3.71,3.71,0.8244444444444444
FUBO,FUBO260116C00012000,Call,2026-01-16,12.0,0.07,0.13,8.0,11866,1.1796916015625,3.71,3.71,3.71,0.3091666666666666
FUBO,FUBO250919C00006000,Call,2025-09-19,6.0,0.02,0.03,2.0,850,1.3125034374999998,3.71,3.71,3.71,0.6183333333333333
FUBO,FUBO260116P00002000,Put,2026-01-16,2.0,0.04,0.07,156.0,17896,0.7656273437500001,3.71,3.71,3.71,0.5390835579514824
FUBO,FUBO250919C00005000,Call,2025-09-19,5.0,0.03,0.05,52.0,8563,1.0312548437500002,3.71,3.71,3.71,0.742
FUBO,FUBO251121P00002500,Put,2025-11-21,2.5,0.07,0.1,11.0,653,0.8007832421875,3.71,3.71,3.71,0.6738544474393531
FUBO,FUBO251121C00007000,Call,2025-11-21,7.0,0.11,0.15,50.0,291,1.08984830078125,3.71,3.71,3.71,0.53
FUBO,FUBO251017P00003000,Put,2025-10-17,3.0,0.07,0.1,54.0,754,0.6953155468750001,3.71,3.71,3.71,0.8086253369272237
FUBO,FUBO260220C00010000,Call,2026-02-20,10.0,0.12,0.19,16.0,5797,1.041020419921875,3.71,3.71,3.71,0.371
FUBO,FUBO260220C00012000,Call,2026-02-20,12.0,0.1,0.15,12.0,2306,1.1054732226562505,3.71,3.71,3.71,0.3091666666666666
FUBO,FUBO260116C00010000,Call,2026-01-16,10.0,0.08,0.13,3.0,11514,1.0625046875000002,3.71,3.71,3.71,0.371
FUBO,FUBO260220P00002500,Put,2026-02-20,2.5,0.15,0.2,10.0,344,0.71679970703125,3.71,3.71,3.71,0.6738544474393531
FUBO,FUBO250905P00003500,Put,2025-09-05,3.5,0.02,0.03,593.0,4093,0.73437765625,3.71,3.71,3.71,0.9433962264150944
FUBO,FUBO251121C00009000,Call,2025-11-21,9.0,0.07,0.09,10.0,189,1.2109414453124998,3.71,3.71,3.71,0.4122222222222222
FUBO,FUBO251003C00004500,Call,2025-10-03,4.5,0.1,0.14,24.0,1496,0.8359391406249999,3.71,3.71,3.71,0.8244444444444444
FUBO,FUBO251003P00003500,Put,2025-10-03,3.5,0.18,0.22,109.0,100,0.70312796875,3.71,3.71,3.71,0.9433962264150944
FUBO,FUBO250905C00004000,Call,2025-09-05,4.0,0.02,0.03,5945.0,15003,0.8437515624999999,3.71,3.71,3.71,0.9275
FUBO,FUBO250912C00004500,Call,2025-09-12,4.5,0.03,0.04,149.0,990,0.95312546875,3.71,3.71,3.71,0.8244444444444444
FUBO,FUBO250912P00003500,Put,2025-09-12,3.5,0.07,0.09,408.0,1607,0.6875031250000001,3.71,3.71,3.71,0.9433962264150944
FUBO,FUBO251121C00006000,Call,2025-11-21,6.0,0.15,0.2,239.0,9384,1.0078174609375,3.71,3.71,3.71,0.6183333333333333
FUBO,FUBO251017C00005000,Call,2025-10-17,5.0,0.12,0.15,302.0,1916,0.9257819921875,3.71,3.71,3.71,0.742
FUBO,FUBO251017C00005500,Call,2025-10-17,5.5,0.1,0.12,10.0,500,1.01953615234375,3.71,3.71,3.71,0.6745454545454546
FUBO,FUBO251121C00005500,Call,2025-11-21,5.5,0.19,0.24,23.0,4169,0.9687503125,3.71,3.71,3.71,0.6745454545454546
FUBO,FUBO251003C00003500,Call,2025-10-03,3.5,0.39,0.46,47.0,417,0.7382838671874999,3.71,3.71,3.71,1.06
