Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
INSM,INSM251219P00060000,Put,2025-12-19,60.0,0.1,2.35,1.0,2363,1.0166064794921876,143.5,143.2,143.79,0.4181184668989547
INSM,INSM270115P00080000,Put,2027-01-15,80.0,3.0,7.9,1.0,51,0.5120288055419921,143.5,143.2,143.79,0.5574912891986062
INSM,INSM260220P00100000,Put,2026-02-20,100.0,1.85,5.1,1.0,60,0.5229539892578124,143.5,143.2,143.79,0.6968641114982579
INSM,INSM250919P00115000,Put,2025-09-19,115.0,0.05,0.3,1.0,2096,0.5449264257812501,143.5,143.2,143.79,0.8013937282229965
INSM,INSM270115P00100000,Put,2027-01-15,100.0,7.0,12.0,1.0,16,0.5173388110351562,143.5,143.2,143.79,0.6968641114982579
INSM,INSM250919P00105000,Put,2025-09-19,105.0,0.1,0.55,11.0,1740,0.81445498046875,143.5,143.2,143.79,0.7317073170731707
INSM,INSM251121P00097500,Put,2025-11-21,97.5,0.9,2.0,5.0,66,0.6198768481445314,143.5,143.2,143.79,0.6794425087108014
INSM,INSM270115P00105000,Put,2027-01-15,105.0,8.6,13.2,20.0,10,0.5005848281860351,143.5,143.2,143.79,0.7317073170731707
INSM,INSM260116C00180000,Call,2026-01-16,180.0,4.4,6.7,7.0,10,0.5076343182373046,143.5,143.2,143.79,0.7972222222222223
INSM,INSM251219P00062500,Put,2025-12-19,62.5,0.8,1.9,1.0,122,0.9953613745117188,143.5,143.2,143.79,0.4355400696864111
INSM,INSM270115P00110000,Put,2027-01-15,110.0,10.1,14.8,2.0,9,0.490666714477539,143.5,143.2,143.79,0.7665505226480837
INSM,INSM251017P00135000,Put,2025-10-17,135.0,2.55,4.7,2.0,37,0.4242000939941406,143.5,143.2,143.79,0.940766550522648
INSM,INSM250919P00125000,Put,2025-09-19,125.0,0.2,0.6,20.0,1219,0.48242705078125,143.5,143.2,143.79,0.8710801393728222
INSM,INSM251219P00105000,Put,2025-12-19,105.0,1.5,2.6,4.0,47,0.5373581420898439,143.5,143.2,143.79,0.7317073170731707
INSM,INSM260116C00185000,Call,2026-01-16,185.0,3.4,5.4,30.0,26,0.4924977508544922,143.5,143.2,143.79,0.7756756756756756
INSM,INSM260220C00180000,Call,2026-02-20,180.0,5.8,8.7,18.0,18,0.5112353564453125,143.5,143.2,143.79,0.7972222222222223
INSM,INSM250919C00160000,Call,2025-09-19,160.0,0.35,0.8,814.0,495,0.424810439453125,143.5,143.2,143.79,0.896875
INSM,INSM251121P00125000,Put,2025-11-21,125.0,3.8,4.9,5.0,7,0.4779104943847656,143.5,143.2,143.79,0.8710801393728222
INSM,INSM260220C00190000,Call,2026-02-20,190.0,5.0,7.0,1.0,16,0.51562984375,143.5,143.2,143.79,0.7552631578947369
INSM,INSM251017P00115000,Put,2025-10-17,115.0,0.8,1.9,4.0,1019,0.5283250292968751,143.5,143.2,143.79,0.8013937282229965
INSM,INSM270115P00125000,Put,2027-01-15,125.0,15.5,20.5,5.0,10,0.4661918615722656,143.5,143.2,143.79,0.8710801393728222
INSM,INSM251219P00100000,Put,2025-12-19,100.0,1.15,2.15,1.0,204,0.5236864038085938,143.5,143.2,143.79,0.6968641114982579
INSM,INSM251219P00135000,Put,2025-12-19,135.0,7.4,9.6,,9,0.4455011505126953,143.5,143.2,143.79,0.940766550522648
INSM,INSM251121P00105000,Put,2025-11-21,105.0,1.3,2.75,1.0,784,0.5773968041992188,143.5,143.2,143.79,0.7317073170731707
INSM,INSM251219P00125000,Put,2025-12-19,125.0,4.6,6.2,1.0,16,0.4646659979248047,143.5,143.2,143.79,0.8710801393728222
INSM,INSM251121P00100000,Put,2025-11-21,100.0,1.05,2.1,477.0,642,0.600712000732422,143.5,143.2,143.79,0.6968641114982579
INSM,INSM251121C00175000,Call,2025-11-21,175.0,2.05,2.9,24.0,27,0.4397028686523437,143.5,143.2,143.79,0.82
INSM,INSM250919P00110000,Put,2025-09-19,110.0,0.1,0.2,7.0,839,0.6210975390625001,143.5,143.2,143.79,0.7665505226480837
INSM,INSM260116P00130000,Put,2026-01-16,130.0,6.9,8.9,10.0,12,0.442388388671875,143.5,143.2,143.79,0.9059233449477352
INSM,INSM251121P00140000,Put,2025-11-21,140.0,7.0,9.5,9.0,21,0.4223690576171874,143.5,143.2,143.79,0.975609756097561
INSM,INSM260220P00105000,Put,2026-02-20,105.0,3.2,5.7,4.0,475,0.516606396484375,143.5,143.2,143.79,0.7317073170731707
INSM,INSM270115C00180000,Call,2027-01-15,180.0,18.3,22.0,,8,0.5052234536743164,143.5,143.2,143.79,0.7972222222222223
INSM,INSM251121P00120000,Put,2025-11-21,120.0,2.85,4.5,1.0,268,0.5316208947753907,143.5,143.2,143.79,0.8362369337979094
INSM,INSM260220C00175000,Call,2026-02-20,175.0,6.9,9.8,1.0,86,0.5116320809936524,143.5,143.2,143.79,0.82
INSM,INSM251219P00150000,Put,2025-12-19,150.0,13.8,16.7,2.0,13,0.4154111193847656,143.5,143.2,143.79,1.0452961672473868
INSM,INSM270115P00140000,Put,2027-01-15,140.0,22.5,27.0,2.0,12,0.4388178677368164,143.5,143.2,143.79,0.975609756097561
INSM,INSM260116P00135000,Put,2026-01-16,135.0,8.8,10.7,1.0,15,0.4307307904052735,143.5,143.2,143.79,0.940766550522648
INSM,INSM251121P00110000,Put,2025-11-21,110.0,1.7,3.0,1.0,3134,0.5374802111816408,143.5,143.2,143.79,0.7665505226480837
INSM,INSM251017P00140000,Put,2025-10-17,140.0,4.9,6.0,3.0,20,0.3842835009765625,143.5,143.2,143.79,0.975609756097561
INSM,INSM251017P00110000,Put,2025-10-17,110.0,0.5,0.8,1.0,1062,0.5046436254882812,143.5,143.2,143.79,0.7665505226480837
INSM,INSM260220P00140000,Put,2026-02-20,140.0,12.9,15.0,1.0,9,0.4329280340576171,143.5,143.2,143.79,0.975609756097561
INSM,INSM260116P00140000,Put,2026-01-16,140.0,10.9,12.8,10.0,11,0.4208126766967773,143.5,143.2,143.79,0.975609756097561
INSM,INSM270115C00087500,Call,2027-01-15,87.5,26.6,31.0,1.0,10,1.0000000000000004e-05,143.5,143.2,143.79,1.64
INSM,INSM270115C00155000,Call,2027-01-15,155.0,26.8,31.0,9.0,10,0.500005,143.5,143.2,143.79,0.9258064516129032
INSM,INSM251219C00065000,Call,2025-12-19,65.0,21.1,24.5,2.0,11,1.0000000000000004e-05,143.5,143.2,143.79,2.207692307692308
INSM,INSM260220C00160000,Call,2026-02-20,160.0,11.6,14.2,2.0,29,0.5207872628784179,143.5,143.2,143.79,0.896875
INSM,INSM251017P00150000,Put,2025-10-17,150.0,9.9,11.5,3.0,12,0.3809876354980468,143.5,143.2,143.79,1.0452961672473868
INSM,INSM251121P00115000,Put,2025-11-21,115.0,2.25,3.5,1.0,1902,0.5073291455078125,143.5,143.2,143.79,0.8013937282229965
INSM,INSM251017C00165000,Call,2025-10-17,165.0,1.3,1.6,1729.0,45,0.3829407409667968,143.5,143.2,143.79,0.8696969696969697
INSM,INSM251121C00075000,Call,2025-11-21,75.0,25.3,29.3,18.0,15,1.0000000000000004e-05,143.5,143.2,143.79,1.913333333333333
INSM,INSM270115C00062500,Call,2027-01-15,62.5,27.1,31.0,4.0,12,1.0000000000000004e-05,143.5,143.2,143.79,2.296
INSM,INSM260220C00135000,Call,2026-02-20,135.0,21.9,25.5,3.0,18,0.5062305236816407,143.5,143.2,143.79,1.0629629629629629
INSM,INSM270115C00145000,Call,2027-01-15,145.0,31.0,35.5,1.0,14,0.5121813919067383,143.5,143.2,143.79,0.9896551724137932
INSM,INSM251017P00130000,Put,2025-10-17,130.0,2.3,3.3,217.0,1401,0.4381159704589844,143.5,143.2,143.79,0.9059233449477352
INSM,INSM251017C00115000,Call,2025-10-17,115.0,28.3,32.1,2.0,12,0.5661664477539063,143.5,143.2,143.79,1.2478260869565216
INSM,INSM251121C00065000,Call,2025-11-21,65.0,14.6,17.1,10.0,25,1.0000000000000004e-05,143.5,143.2,143.79,2.207692307692308
INSM,INSM251219C00180000,Call,2025-12-19,180.0,2.85,3.3,20.0,20,0.4295711340332031,143.5,143.2,143.79,0.7972222222222223
INSM,INSM260220C00165000,Call,2026-02-20,165.0,10.0,12.5,2.0,150,0.5154467401123046,143.5,143.2,143.79,0.8696969696969697
INSM,INSM251121C00087500,Call,2025-11-21,87.5,17.2,19.7,2.0,22,1.0000000000000004e-05,143.5,143.2,143.79,1.64
INSM,INSM250919C00155000,Call,2025-09-19,155.0,0.9,1.1,26.0,131,0.37500625,143.5,143.2,143.79,0.9258064516129032
INSM,INSM251017C00110000,Call,2025-10-17,110.0,33.7,36.8,1.0,8,0.6530796411132813,143.5,143.2,143.79,1.3045454545454545
INSM,INSM260220C00155000,Call,2026-02-20,155.0,13.4,16.0,10.0,84,0.5246019219970703,143.5,143.2,143.79,0.9258064516129032
INSM,INSM260116C00175000,Call,2026-01-16,175.0,5.2,6.0,1.0,38,0.4515435705566406,143.5,143.2,143.79,0.82
INSM,INSM260220C00170000,Call,2026-02-20,170.0,8.7,11.0,2.0,399,0.5113574255371094,143.5,143.2,143.79,0.8441176470588235
INSM,INSM251017P00120000,Put,2025-10-17,120.0,1.1,1.45,7.0,1204,0.461919443359375,143.5,143.2,143.79,0.8362369337979094
INSM,INSM250919C00150000,Call,2025-09-19,150.0,1.9,2.25,908.0,78,0.3815979809570312,143.5,143.2,143.79,0.9566666666666668
INSM,INSM251219C00115000,Call,2025-12-19,115.0,31.5,35.6,1.0,23,0.5477340148925782,143.5,143.2,143.79,1.2478260869565216
INSM,INSM251121C00067500,Call,2025-11-21,67.5,34.0,37.5,9.0,12,1.0000000000000004e-05,143.5,143.2,143.79,2.1259259259259258
INSM,INSM260116C00072500,Call,2026-01-16,72.5,12.8,14.5,15.0,26,1.0000000000000004e-05,143.5,143.2,143.79,1.9793103448275864
INSM,INSM270115C00095000,Call,2027-01-15,95.0,59.0,64.0,3.0,8,0.5844768115234374,143.5,143.2,143.79,1.5105263157894735
INSM,INSM251219C00120000,Call,2025-12-19,120.0,27.7,31.6,1.0,34,0.530400203857422,143.5,143.2,143.79,1.1958333333333333
INSM,INSM251017C00135000,Call,2025-10-17,135.0,12.3,14.5,3.0,89,0.4959767199707031,143.5,143.2,143.79,1.0629629629629629
INSM,INSM270115C00165000,Call,2027-01-15,165.0,23.2,25.3,6.0,10,0.4934743035888672,143.5,143.2,143.79,0.8696969696969697
INSM,INSM250919P00130000,Put,2025-09-19,130.0,0.8,1.05,3.0,1904,0.44727115234375,143.5,143.2,143.79,0.9059233449477352
INSM,INSM251219C00067500,Call,2025-12-19,67.5,34.6,38.2,3.0,15,1.0000000000000004e-05,143.5,143.2,143.79,2.1259259259259258
INSM,INSM251219C00155000,Call,2025-12-19,155.0,8.7,9.6,3.0,15,0.4532525378417968,143.5,143.2,143.79,0.9258064516129032
INSM,INSM260220C00140000,Call,2026-02-20,140.0,19.8,22.3,14.0,28,0.5325974475097657,143.5,143.2,143.79,1.025
INSM,INSM260116C00155000,Call,2026-01-16,155.0,10.2,11.7,5.0,50,0.4647270324707031,143.5,143.2,143.79,0.9258064516129032
INSM,INSM260116C00160000,Call,2026-01-16,160.0,8.7,9.9,5.0,43,0.4587456469726563,143.5,143.2,143.79,0.896875
INSM,INSM260116C00085000,Call,2026-01-16,85.0,47.9,51.8,3.0,9,1.0000000000000004e-05,143.5,143.2,143.79,1.688235294117647
INSM,INSM251121C00160000,Call,2025-11-21,160.0,4.9,5.5,2.0,29,0.4240169903564453,143.5,143.2,143.79,0.896875
INSM,INSM270115C00150000,Call,2027-01-15,150.0,29.0,33.5,8.0,69,0.509495871887207,143.5,143.2,143.79,0.9566666666666668
INSM,INSM251017C00160000,Call,2025-10-17,160.0,2.05,2.35,9.0,55,0.3792786682128906,143.5,143.2,143.79,0.896875
INSM,INSM251121C00082500,Call,2025-11-21,82.5,22.8,24.9,14.0,13,1.0000000000000004e-05,143.5,143.2,143.79,1.7393939393939395
INSM,INSM270115C00050000,Call,2027-01-15,50.0,56.0,61.0,10.0,12,1.0000000000000004e-05,143.5,143.2,143.79,2.87
INSM,INSM260116C00135000,Call,2026-01-16,135.0,20.2,23.2,3.0,67,0.506840869140625,143.5,143.2,143.79,1.0629629629629629
INSM,INSM260116C00170000,Call,2026-01-16,170.0,6.1,7.1,17.0,108,0.4530694342041016,143.5,143.2,143.79,0.8441176470588235
INSM,INSM251219C00170000,Call,2025-12-19,170.0,4.4,5.0,1.0,52,0.4304256176757813,143.5,143.2,143.79,0.8441176470588235
INSM,INSM251017C00130000,Call,2025-10-17,130.0,15.9,18.2,8.0,72,0.5251512329101562,143.5,143.2,143.79,1.103846153846154
INSM,INSM251017C00120000,Call,2025-10-17,120.0,24.0,27.3,3.0,62,0.5268602001953125,143.5,143.2,143.79,1.1958333333333333
INSM,INSM250919C00135000,Call,2025-09-19,135.0,9.7,12.0,17.0,959,0.579105771484375,143.5,143.2,143.79,1.0629629629629629
INSM,INSM251017C00155000,Call,2025-10-17,155.0,3.1,3.5,44.0,51,0.3813538427734374,143.5,143.2,143.79,0.9258064516129032
INSM,INSM251121C00170000,Call,2025-11-21,170.0,2.9,3.3,26.0,67,0.4201718139648437,143.5,143.2,143.79,0.8441176470588235
INSM,INSM251219C00110000,Call,2025-12-19,110.0,36.0,39.7,3.0,25,0.5780681842041016,143.5,143.2,143.79,1.3045454545454545
INSM,INSM260220C00150000,Call,2026-02-20,150.0,14.9,17.9,8.0,493,0.5266770965576173,143.5,143.2,143.79,0.9566666666666668
INSM,INSM250919P00140000,Put,2025-09-19,140.0,2.8,3.2,70.0,105,0.3890441955566406,143.5,143.2,143.79,0.975609756097561
INSM,INSM251219C00090000,Call,2025-12-19,90.0,21.6,23.7,1.0,25,1.0000000000000004e-05,143.5,143.2,143.79,1.5944444444444446
INSM,INSM251219C00130000,Call,2025-12-19,130.0,21.4,24.1,2.0,65,0.5089770782470704,143.5,143.2,143.79,1.103846153846154
INSM,INSM251219P00065000,Put,2025-12-19,65.0,5.9,7.2,183.0,1411,1.4968286877441406,143.5,143.2,143.79,0.4529616724738676
INSM,INSM260220C00130000,Call,2026-02-20,130.0,25.6,28.5,1.0,57,0.5271043383789062,143.5,143.2,143.79,1.103846153846154
INSM,INSM260220C00080000,Call,2026-02-20,80.0,64.7,68.5,8.0,8,0.7276638562011719,143.5,143.2,143.79,1.79375
INSM,INSM251121C00097500,Call,2025-11-21,97.5,46.2,50.0,1.0,20,0.6860382958984376,143.5,143.2,143.79,1.471794871794872
INSM,INSM251219C00160000,Call,2025-12-19,160.0,7.2,7.8,2.0,21,0.4445245977783203,143.5,143.2,143.79,0.896875
INSM,INSM251121C00095000,Call,2025-11-21,95.0,37.6,40.8,10.0,23,1.0000000000000004e-05,143.5,143.2,143.79,1.5105263157894735
INSM,INSM270115C00070000,Call,2027-01-15,70.0,78.5,83.0,1.0,8,0.6673617248535157,143.5,143.2,143.79,2.05
INSM,INSM270115C00140000,Call,2027-01-15,140.0,33.3,37.4,2.0,106,0.5148058773803711,143.5,143.2,143.79,1.025
INSM,INSM260220C00085000,Call,2026-02-20,85.0,59.7,63.9,10.0,15,0.6800569104003908,143.5,143.2,143.79,1.688235294117647
INSM,INSM250919C00090000,Call,2025-09-19,90.0,52.0,55.8,3.0,17,1.19141029296875,143.5,143.2,143.79,1.5944444444444446
INSM,INSM251017P00125000,Put,2025-10-17,125.0,1.65,1.95,432.0,960,0.4279842358398438,143.5,143.2,143.79,0.8710801393728222
INSM,INSM260116C00115000,Call,2026-01-16,115.0,33.6,37.0,2.0,55,0.5601240277099608,143.5,143.2,143.79,1.2478260869565216
INSM,INSM270115C00135000,Call,2027-01-15,135.0,35.7,39.8,20.0,100,0.5205736419677733,143.5,143.2,143.79,1.0629629629629629
INSM,INSM250919P00150000,Put,2025-09-19,150.0,8.0,9.0,5.0,153,0.40430283203125,143.5,143.2,143.79,1.0452961672473868
INSM,INSM250919P00135000,Put,2025-09-19,135.0,1.55,1.8,313.0,645,0.411138701171875,143.5,143.2,143.79,0.940766550522648
INSM,INSM270115C00092500,Call,2027-01-15,92.5,61.0,66.0,30.0,30,0.5958902716064454,143.5,143.2,143.79,1.5513513513513513
INSM,INSM270115C00110000,Call,2027-01-15,110.0,49.3,53.9,2.0,48,0.5551802294921876,143.5,143.2,143.79,1.3045454545454545
INSM,INSM260116C00067500,Call,2026-01-16,67.5,34.1,37.0,21.0,35,1.0000000000000004e-05,143.5,143.2,143.79,2.1259259259259258
INSM,INSM260116C00065000,Call,2026-01-16,65.0,35.4,39.0,3.0,75,1.0000000000000004e-05,143.5,143.2,143.79,2.207692307692308
INSM,INSM251017C00100000,Call,2025-10-17,100.0,42.8,46.3,10.0,36,0.7221707470703125,143.5,143.2,143.79,1.435
INSM,INSM270115C00080000,Call,2027-01-15,80.0,70.5,75.5,1.0,23,0.6371496246337891,143.5,143.2,143.79,1.79375
INSM,INSM270115C00085000,Call,2027-01-15,85.0,66.5,71.5,25.0,28,0.6162758099365235,143.5,143.2,143.79,1.688235294117647
INSM,INSM260116C00120000,Call,2026-01-16,120.0,30.3,33.1,8.0,81,0.5492598785400393,143.5,143.2,143.79,1.1958333333333333
INSM,INSM260220C00110000,Call,2026-02-20,110.0,39.3,42.8,50.0,74,0.5847819842529296,143.5,143.2,143.79,1.3045454545454545
INSM,INSM260116C00125000,Call,2026-01-16,125.0,27.0,29.3,1.0,64,0.5339402075195312,143.5,143.2,143.79,1.148
INSM,INSM270115C00175000,Call,2027-01-15,175.0,20.9,22.2,6.0,21,0.4890492990112305,143.5,143.2,143.79,0.82
INSM,INSM270115C00082500,Call,2027-01-15,82.5,68.5,73.5,30.0,38,0.6267737518310548,143.5,143.2,143.79,1.7393939393939395
INSM,INSM270115C00130000,Call,2027-01-15,130.0,38.2,42.3,30.0,207,0.5262803720092774,143.5,143.2,143.79,1.103846153846154
INSM,INSM260220C00092500,Call,2026-02-20,92.5,53.2,57.3,50.0,51,0.6466710137939453,143.5,143.2,143.79,1.5513513513513513
INSM,INSM270115C00097500,Call,2027-01-15,97.5,57.6,62.2,5.0,60,0.5819743951416017,143.5,143.2,143.79,1.471794871794872
INSM,INSM260220C00115000,Call,2026-02-20,115.0,35.7,38.5,50.0,61,0.5623212713623047,143.5,143.2,143.79,1.2478260869565216
INSM,INSM260220C00097500,Call,2026-02-20,97.5,49.2,52.8,50.0,50,0.6257971990966797,143.5,143.2,143.79,1.471794871794872
INSM,INSM260220C00095000,Call,2026-02-20,95.0,51.0,55.0,5.0,67,0.6304358245849608,143.5,143.2,143.79,1.5105263157894735
INSM,INSM260220C00070000,Call,2026-02-20,70.0,73.6,77.7,,20,0.7788108056640625,143.5,143.2,143.79,2.05
INSM,INSM260116C00145000,Call,2026-01-16,145.0,14.7,15.9,32.0,84,0.4752860089111328,143.5,143.2,143.79,0.9896551724137932
INSM,INSM251219C00080000,Call,2025-12-19,80.0,63.5,67.3,2.0,27,0.7991963439941407,143.5,143.2,143.79,1.79375
INSM,INSM251219C00070000,Call,2025-12-19,70.0,61.5,64.9,6.0,21,1.0000000000000004e-05,143.5,143.2,143.79,2.05
INSM,INSM251219C00095000,Call,2025-12-19,95.0,49.3,53.1,22.0,73,0.6689486230468751,143.5,143.2,143.79,1.5105263157894735
INSM,INSM260116C00165000,Call,2026-01-16,165.0,7.3,8.3,13.0,1843,0.4525811578369141,143.5,143.2,143.79,0.8696969696969697
INSM,INSM251219C00087500,Call,2025-12-19,87.5,56.5,59.6,20.0,22,0.7121610815429689,143.5,143.2,143.79,1.64
INSM,INSM251219C00150000,Call,2025-12-19,150.0,10.6,11.4,5.0,71,0.4539239178466796,143.5,143.2,143.79,0.9566666666666668
INSM,INSM251219C00145000,Call,2025-12-19,145.0,13.1,13.7,31.0,13,0.4623466851806641,143.5,143.2,143.79,0.9896551724137932
INSM,INSM260116C00100000,Call,2026-01-16,100.0,45.8,49.6,2.0,127,0.6268347863769532,143.5,143.2,143.79,1.435
INSM,INSM270115C00100000,Call,2027-01-15,100.0,55.5,60.5,3.0,196,0.5722699023437501,143.5,143.2,143.79,1.435
INSM,INSM260116C00075000,Call,2026-01-16,75.0,57.3,60.7,8.0,34,1.0000000000000004e-05,143.5,143.2,143.79,1.913333333333333
INSM,INSM270115C00105000,Call,2027-01-15,105.0,52.6,56.9,60.0,128,0.5636640313720704,143.5,143.2,143.79,1.3666666666666667
INSM,INSM251219C00135000,Call,2025-12-19,135.0,18.5,19.7,5.0,48,0.5003101727294923,143.5,143.2,143.79,1.0629629629629629
INSM,INSM260116C00150000,Call,2026-01-16,150.0,12.6,13.6,13.0,113,0.4674735870361328,143.5,143.2,143.79,0.9566666666666668
INSM,INSM251121C00155000,Call,2025-11-21,155.0,6.5,6.9,22.0,41,0.4229794030761719,143.5,143.2,143.79,0.9258064516129032
INSM,INSM251121C00080000,Call,2025-11-21,80.0,63.2,66.7,1.0,29,0.868165380859375,143.5,143.2,143.79,1.79375
INSM,INSM260220C00100000,Call,2026-02-20,100.0,47.4,50.9,1.0,90,0.6263465100097658,143.5,143.2,143.79,1.435
INSM,INSM260116C00130000,Call,2026-01-16,130.0,23.3,25.3,2.0,196,0.5034229345703125,143.5,143.2,143.79,1.103846153846154
INSM,INSM260220C00125000,Call,2026-02-20,125.0,28.9,31.8,5.0,484,0.5422409057617189,143.5,143.2,143.79,1.148
INSM,INSM260116C00090000,Call,2026-01-16,90.0,54.7,58.5,10.0,79,0.6837189831542969,143.5,143.2,143.79,1.5944444444444446
INSM,INSM260116C00110000,Call,2026-01-16,110.0,38.3,41.1,1.0,106,0.5985147570800782,143.5,143.2,143.79,1.3045454545454545
