Ticker,Date,Open,High,Low,Close,Realised_Vol_Close_30,Realised_Vol_Close_60,Realised_Vol_Close_100,Realised_Vol_Close_180,Realised_Vol_Close_252,Vol_of_Vol_100d,Vol_of_Vol_100d_Percentile,Kurtosis_100d
PI,2017-07-21,54.369998931884766,54.369998931884766,51.77000045776367,52.40999984741211,89.7785834643666,75.91122856332106,62.50626498493762,71.18230862884697,75.33117359473522,7.14,35.0,-1.27
PI,2017-07-24,52.400001525878906,54.0,51.56999969482422,53.150001525878906,78.7366099948048,75.6343764063009,62.34830377682064,71.14014214251722,74.90278558121392,7.04,33.0,-1.28
PI,2017-07-25,53.09000015258789,53.09000015258789,51.630001068115234,52.349998474121094,76.66019685149014,75.16406425826722,62.389976925925254,71.17511001455473,74.92569284456448,6.94,35.0,-1.29
PI,2017-07-26,52.459999084472656,54.0,52.0,53.0099983215332,76.62090567270144,74.16153071795894,62.395240427929885,70.54256943617884,74.66878008586872,6.84,36.0,-1.29
PI,2017-07-27,53.0099983215332,55.68000030517578,49.70000076293945,50.33000183105469,78.33696117152633,74.87574364367302,62.76965870222494,70.66935807939277,74.81098046478273,6.73,39.0,-1.31
PI,2017-07-28,49.86000061035156,51.486000061035156,49.20000076293945,50.77000045776367,78.35431183658676,74.82871099528904,62.50448585254753,70.4616999005991,74.79239467944652,6.67,38.0,-1.29
PI,2017-07-31,51.06999969482422,51.29999923706055,48.9010009765625,49.13999938964844,59.55772977903734,74.95945479162164,62.80648353535276,69.5007164093327,74.87756754856908,6.61,41.0,-1.27
PI,2017-08-01,48.93000030517578,50.426998138427734,48.369998931884766,50.09000015258789,59.91435163121708,73.21420147875793,62.767246247003484,69.5034011469367,74.61014353759697,6.54,40.0,-1.25
PI,2017-08-02,50.619998931884766,50.72800064086914,47.25299835205078,49.04999923706055,59.909535869210565,71.54206608017863,62.849773843124254,69.5579692156644,74.6240464569716,6.47,43.0,-1.23
PI,2017-08-03,49.29999923706055,49.56999969482422,47.220001220703125,47.91999816894531,60.16959518789435,71.68645249365314,62.82292563650098,69.47607446048846,74.59752198991781,6.4,43.0,-1.21
PI,2017-08-04,38.0,39.81999969482422,36.20000076293945,37.52000045776367,91.99087454999204,87.846809151146,74.05522213808854,75.23236769417818,78.58814171737272,6.39,95.0,-1.21
PI,2017-08-07,38.0099983215332,39.41999816894531,36.20000076293945,37.040000915527344,88.34509307654412,87.87692466311387,74.0736542823043,75.12301874178901,78.59904749089789,6.38,97.0,-1.22
PI,2017-08-08,37.38999938964844,38.25,37.04499816894531,37.41999816894531,88.35482778712168,87.89501584267818,74.08315383119961,75.09206305402188,78.55386027861687,6.37,98.0,-1.22
PI,2017-08-09,37.45000076293945,38.099998474121094,36.130001068115234,36.56999969482422,83.66813945330523,86.75087047691198,74.19226571199498,74.26347195922372,78.59367049965175,6.37,99.0,-1.22
PI,2017-08-10,36.04999923706055,36.41999816894531,33.31999969482422,33.61000061035156,85.09907368492922,88.0079886833706,75.46145018982739,74.94329945338235,79.06572079463282,6.39,100.0,-1.21
PI,2017-08-11,33.63999938964844,34.63999938964844,33.63999938964844,33.77000045776367,83.78234862232591,87.89480449549059,75.45881328695334,74.93849368414556,79.06575693840514,6.41,99.0,-1.2
PI,2017-08-14,34.209999084472656,34.48899841308594,33.22999954223633,33.58000183105469,83.07556035584457,87.85650089577807,75.38268244822261,74.90194735500609,79.06893520284484,6.43,98.0,-1.19
