Strike,Type,Expiry,IV Slope
57.5,Call,2025-10-17,-1.7849351967013212
57.5,Call,2025-12-19,0.37099842987024234
57.5,Call,2026-04-17,0.029001330725158
52.5,Call,2025-12-19,-0.21566109626013166
52.5,Call,2026-01-16,-0.3728011296129164
50.0,Call,2025-12-19,-0.27213647304058247
35.0,Call,2025-12-19,
35.0,Call,2026-01-16,
37.5,Put,2026-01-16,-2.211528387168173
55.0,Call,2025-10-17,-1.5839787952936777
55.0,Call,2026-01-16,0.3368212126073793
55.0,Call,2026-04-17,-0.14890395634822268
40.0,Put,2025-12-19,-0.01613115470206091
45.0,Call,2026-01-16,-0.43772875254977184
60.0,Call,2026-01-16,0.2390301567728664
