Strike,Type,Expiry,IV Slope
79.0,Call,2025-09-19,-3.6733251875592074
79.0,Call,2025-09-26,-1.3607102759755365
62.5,Call,2025-10-17,
62.5,Call,2025-11-21,0.15887370956160735
62.5,Call,2025-12-19,-0.5244830878215478
62.5,Call,2026-01-16,-0.1468762982856814
62.5,Call,2026-03-20,-0.06401620079115868
62.5,Call,2026-06-18,-0.07299229575305502
62.5,Call,2026-09-18,-0.07534043275421949
62.5,Call,2027-01-15,-0.052085141386308285
62.5,Put,2025-10-17,-0.8169431058941361
62.5,Put,2025-11-21,0.1494529940652073
62.5,Put,2025-12-19,-0.20670920377747679
62.5,Put,2026-01-16,-0.06148803178272488
62.5,Put,2026-03-20,0.08474670872403506
62.5,Put,2026-06-18,-0.03771569607929363
62.5,Put,2026-09-18,0.025007052222166253
62.5,Put,2027-01-15,-0.06901792725781772
57.5,Call,2025-10-17,
57.5,Call,2025-12-19,
57.5,Call,2026-01-16,
57.5,Call,2026-03-20,
57.5,Call,2026-06-18,
57.5,Call,2026-09-18,
57.5,Call,2027-01-15,
57.5,Put,2026-01-16,-0.13297659768762365
57.5,Put,2026-03-20,-0.0655543691522213
57.5,Put,2026-06-18,0.023223546204530862
57.5,Put,2026-09-18,0.00857808872514008
57.5,Put,2027-01-15,0.03428475471292172
77.0,Call,2025-09-26,-0.6232933723797013
77.0,Call,2025-10-03,-0.012311803918503362
77.0,Put,2025-09-12,-52.2688982947221
100.0,Call,2027-01-15,-0.07898589253393146
95.0,Call,2026-03-20,-0.1604202110597908
95.0,Call,2026-06-18,-0.00971580199084706
95.0,Call,2026-09-18,-0.021463424636614086
95.0,Call,2027-01-15,-0.015534962819163375
74.0,Call,2025-09-12,-8.814477625294666
74.0,Call,2025-09-19,0.20867238671755245
74.0,Call,2025-09-26,-0.25139719115978104
74.0,Call,2025-10-03,-1.9009203442361213
74.0,Put,2025-09-12,
74.0,Put,2025-09-19,
74.0,Put,2025-09-26,-0.14146332564125633
74.0,Put,2025-10-03,0.22445018787857718
37.5,Call,2027-01-15,
76.0,Call,2025-09-26,-0.3927555426949124
76.0,Call,2025-10-03,-0.6056630248648431
76.0,Put,2025-09-19,-1.7945862403117958
76.0,Put,2025-10-03,-1.3080026068292645
55.0,Call,2026-01-16,
55.0,Call,2026-03-20,
55.0,Call,2026-06-18,
55.0,Call,2026-09-18,
55.0,Call,2027-01-15,
55.0,Put,2026-06-18,-0.035693876586033284
