Strike,Type,Expiry,IV Slope
15.0,Call,2026-03-20,-0.33056016394796156
15.0,Call,2027-01-15,-0.06833708598703957
10.0,Call,2025-10-17,-1.8497961586984073
10.0,Call,2025-12-19,-0.08864396914474829
10.0,Call,2026-03-20,-0.18669996099861869
10.0,Call,2026-05-15,-0.080162598911161
5.0,Call,2025-10-17,
5.0,Call,2025-12-19,
5.0,Call,2026-03-20,-0.41063088878612314
5.0,Put,2026-03-20,-0.18630842045496435
4.0,Call,2025-12-19,-12.316870417431605
4.0,Call,2026-03-20,
7.0,Call,2025-10-17,-0.0067090097126137095
7.0,Call,2025-12-19,0.3304502324481986
7.0,Call,2026-03-20,-0.08119495788117344
7.0,Put,2025-10-17,0.26988178411222097
7.0,Put,2025-12-19,0.06082580690348268
11.0,Call,2025-10-17,-1.9591951020956013
11.0,Call,2025-12-19,-0.27067384642395415
11.0,Call,2026-03-20,-0.21323929768090027
11.0,Put,2025-12-19,-0.8504664061049259
14.0,Call,2026-03-20,-0.2943768866999608
9.0,Call,2025-10-17,-0.9955129337606817
9.0,Call,2025-12-19,0.14465701077643606
9.0,Call,2026-03-20,-0.18753782121978296
9.0,Put,2025-12-19,-0.3333735469219639
9.0,Put,2026-03-20,0.0631481834101578
12.0,Call,2026-03-20,-0.18435689357600352
12.0,Call,2027-01-15,-0.06760023430571577
6.0,Call,2025-10-17,
6.0,Call,2025-12-19,0.457819090711341
6.0,Call,2026-03-20,-0.050797808362133046
6.0,Put,2026-03-20,-0.13785614372756605
13.0,Call,2026-03-20,-0.29905535872002215
8.0,Call,2025-10-17,-0.9902763949105505
8.0,Call,2025-12-19,0.2617884765296405
8.0,Call,2026-03-20,-0.0883685301045143
8.0,Put,2025-10-17,-1.0840865700120161
8.0,Put,2025-12-19,-0.01126047844540778
8.0,Put,2026-03-20,-0.0799909759263675
3.0,Call,2025-12-19,
