Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
BABA,BABA250905C00080000,Call,2025-09-05,80.0,50.45,51.2,1.0,6,3.480470048828125,130.92,130.9,131.0,1.6364999999999998
BABA,BABA250905C00085000,Call,2025-09-05,85.0,45.6,46.1,1.0,2,2.886721533203125,130.92,130.9,131.0,1.540235294117647
BABA,BABA250905C00090000,Call,2025-09-05,90.0,39.9,41.75,1.0,1,3.41406396484375,130.92,130.9,131.0,1.4546666666666666
BABA,BABA250905C00095000,Call,2025-09-05,95.0,35.55,36.8,3.0,19,2.3632853417968747,130.92,130.9,131.0,1.3781052631578945
BABA,BABA250905C00100000,Call,2025-09-05,100.0,30.8,31.1,8.0,130,1.484377578125,130.92,130.9,131.0,1.3092
BABA,BABA250905C00105000,Call,2025-09-05,105.0,25.7,26.65,2.0,79,1.724610751953125,130.92,130.9,131.0,1.2468571428571427
BABA,BABA250905C00106000,Call,2025-09-05,106.0,24.8,25.25,6.0,12,1.4257841210937499,130.92,130.9,131.0,1.2350943396226415
BABA,BABA250905C00107000,Call,2025-09-05,107.0,23.3,24.35,1.0,3,1.78515732421875,130.92,130.9,131.0,1.2235514018691587
BABA,BABA250905C00108000,Call,2025-09-05,108.0,22.5,23.25,1.0,62,1.623048759765625,130.92,130.9,131.0,1.212222222222222
BABA,BABA250905C00109000,Call,2025-09-05,109.0,21.65,22.95,1.0,38,1.607423837890625,130.92,130.9,131.0,1.2011009174311926
BABA,BABA250905C00110000,Call,2025-09-05,110.0,20.85,21.8,12.0,226,1.5664084179687499,130.92,130.9,131.0,1.190181818181818
BABA,BABA250905C00111000,Call,2025-09-05,111.0,19.8,20.15,1.0,85,1.0468797656250002,130.92,130.9,131.0,1.1794594594594594
BABA,BABA250905C00112000,Call,2025-09-05,112.0,17.9,20.0,5.0,88,0.914063359375,130.92,130.9,131.0,1.1689285714285713
BABA,BABA250905C00113000,Call,2025-09-05,113.0,17.2,18.25,6.0,465,1.3085972070312497,130.92,130.9,131.0,1.15858407079646
BABA,BABA250905C00114000,Call,2025-09-05,114.0,16.15,17.25,1.0,34,1.2460975195312498,130.92,130.9,131.0,1.1484210526315788
BABA,BABA250905C00115000,Call,2025-09-05,115.0,15.9,16.5,29.0,552,1.140629296875,130.92,130.9,131.0,1.1384347826086956
BABA,BABA250905C00116000,Call,2025-09-05,116.0,14.9,16.25,20.0,79,1.3378939355468746,130.92,130.9,131.0,1.1286206896551723
BABA,BABA250905C00117000,Call,2025-09-05,117.0,13.6,15.25,8.0,141,1.1796916015624999,130.92,130.9,131.0,1.1189743589743588
BABA,BABA250905C00118000,Call,2025-09-05,118.0,12.9,13.5,17.0,301,0.9589847851562499,130.92,130.9,131.0,1.1094915254237288
BABA,BABA250905C00119000,Call,2025-09-05,119.0,11.9,12.15,5.0,234,0.7304714453125,130.92,130.9,131.0,1.1001680672268908
BABA,BABA250905C00120000,Call,2025-09-05,120.0,10.9,11.1,48.0,2064,0.6445348046875,130.92,130.9,131.0,1.091
BABA,BABA250905C00121000,Call,2025-09-05,121.0,9.9,10.4,6.0,557,0.7382838671874999,130.92,130.9,131.0,1.08198347107438
BABA,BABA250905C00122000,Call,2025-09-05,122.0,8.9,9.15,101.0,1360,0.570316796875,130.92,130.9,131.0,1.0731147540983605
BABA,BABA250905C00123000,Call,2025-09-05,123.0,7.9,8.15,32.0,1402,0.51758294921875,130.92,130.9,131.0,1.0643902439024389
BABA,BABA250905C00124000,Call,2025-09-05,124.0,6.95,7.15,145.0,2132,0.5566450585937501,130.92,130.9,131.0,1.055806451612903
BABA,BABA250905C00125000,Call,2025-09-05,125.0,6.0,6.2,225.0,2810,0.5224657128906249,130.92,130.9,131.0,1.0473599999999998
BABA,BABA250905C00126000,Call,2025-09-05,126.0,4.9,5.2,159.0,572,0.45703667968750006,130.92,130.9,131.0,1.039047619047619
BABA,BABA250905C00127000,Call,2025-09-05,127.0,3.85,4.25,214.0,1101,0.41211525390625,130.92,130.9,131.0,1.0308661417322833
BABA,BABA250905C00128000,Call,2025-09-05,128.0,3.2,3.35,859.0,1187,0.37793590820312495,130.92,130.9,131.0,1.0228125
