Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
HOPE,HOPE250919C00002500,Call,2025-09-19,2.5,8.0,10.4,,0.0,6.593751757812501,11.26,11.21,11.29,4.504
HOPE,HOPE250919C00007500,Call,2025-09-19,7.5,3.1,5.4,1.0,1.0,2.3125042187499996,11.26,11.21,11.29,1.5013333333333334
HOPE,HOPE250919C00010000,Call,2025-09-19,10.0,0.85,2.9,7.0,20.0,1.2851598242187499,11.26,11.21,11.29,1.126
HOPE,HOPE250919C00012500,Call,2025-09-19,12.5,0.0,0.5,1.0,19.0,0.70898728515625,11.26,11.21,11.29,0.9007999999999999
HOPE,HOPE250919C00015000,Call,2025-09-19,15.0,0.0,0.0,1.0,1.0,0.2500075,11.26,11.21,11.29,0.7506666666666667
HOPE,HOPE250919C00020000,Call,2025-09-19,20.0,0.0,1.65,,1.0,2.9101589746093754,11.26,11.21,11.29,0.563
HOPE,HOPE250919P00007500,Put,2025-09-19,7.5,0.0,1.8,,2.0,3.03906490234375,11.26,11.21,11.29,0.6660746003552398
HOPE,HOPE250919P00010000,Put,2025-09-19,10.0,0.0,1.9,1.0,21.0,1.6953140234375002,11.26,11.21,11.29,0.8880994671403197
HOPE,HOPE250919P00012500,Put,2025-09-19,12.5,0.2,3.4,,0.0,1.0781296093750001,11.26,11.21,11.29,1.1101243339253997
HOPE,HOPE251219C00010000,Call,2025-12-19,10.0,1.4,1.7,4.0,167.0,0.4101621484375,11.26,11.21,11.29,1.126
HOPE,HOPE251219C00012500,Call,2025-12-19,12.5,0.0,0.0,1.0,60.0,0.062509375,11.26,11.21,11.29,0.9007999999999999
HOPE,HOPE251219C00015000,Call,2025-12-19,15.0,0.0,0.0,1.0,1.0,0.12500875,11.26,11.21,11.29,0.7506666666666667
HOPE,HOPE251219P00007500,Put,2025-12-19,7.5,0.0,2.3,,1.0,1.334964262695312,11.26,11.21,11.29,0.6660746003552398
HOPE,HOPE260320C00002500,Call,2026-03-20,2.5,6.0,10.2,,0.0,3.3046892382812496,11.26,11.21,11.29,4.504
HOPE,HOPE260320C00015000,Call,2026-03-20,15.0,0.0,3.6,,1.0,0.8876964355468748,11.26,11.21,11.29,0.7506666666666667
HOPE,HOPE260320P00010000,Put,2026-03-20,10.0,0.0,0.0,,1.0,0.062509375,11.26,11.21,11.29,0.8880994671403197
