Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
BBIO,BBIO250919C00025000,Call,2025-09-19,25.0,26.3,30.3,1.0,14,3.691407021484375,53.38,52.77,53.82,2.1352
BBIO,BBIO250919C00035000,Call,2025-09-19,35.0,12.6,16.4,,2,1.0000000000000003e-05,53.38,52.77,53.82,1.5251428571428571
BBIO,BBIO250919C00037500,Call,2025-09-19,37.5,14.8,17.5,25.0,12,1.1679729101562502,53.38,52.77,53.82,1.4234666666666667
BBIO,BBIO250919C00040000,Call,2025-09-19,40.0,11.3,15.4,6.0,16,1.85546947265625,53.38,52.77,53.82,1.3345
BBIO,BBIO250919C00042500,Call,2025-09-19,42.5,10.5,11.6,44.0,73,0.7382838671874999,53.38,52.77,53.82,1.256
BBIO,BBIO250919C00045000,Call,2025-09-19,45.0,8.1,9.3,5.0,336,0.6875031250000001,53.38,52.77,53.82,1.1862222222222223
BBIO,BBIO250919C00047500,Call,2025-09-19,47.5,5.8,6.9,29.0,172,0.58789474609375,53.38,52.77,53.82,1.1237894736842107
BBIO,BBIO250919C00050000,Call,2025-09-19,50.0,3.1,5.4,514.0,2360,0.5327195166015625,53.38,52.77,53.82,1.0676
BBIO,BBIO250919C00052500,Call,2025-09-19,52.5,2.1,3.0,25.0,1500,0.5029346582031251,53.38,52.77,53.82,1.0167619047619048
BBIO,BBIO250919C00055000,Call,2025-09-19,55.0,1.3,2.75,623.0,1005,0.6523472265625001,53.38,52.77,53.82,0.9705454545454546
BBIO,BBIO250919C00060000,Call,2025-09-19,60.0,0.1,0.55,15.0,169,0.5048877636718749,53.38,52.77,53.82,0.8896666666666667
BBIO,BBIO250919C00065000,Call,2025-09-19,65.0,0.0,0.25,12.0,65,0.5918009570312501,53.38,52.77,53.82,0.8212307692307693
BBIO,BBIO250919C00070000,Call,2025-09-19,70.0,0.0,0.0,1.0,31,0.2500075,53.38,52.77,53.82,0.7625714285714286
BBIO,BBIO250919P00035000,Put,2025-09-19,35.0,0.0,0.95,,4,1.5400413623046876,53.38,52.77,53.82,0.6556762832521543
BBIO,BBIO250919P00037500,Put,2025-09-19,37.5,0.0,0.95,2.0,2079,1.334964262695312,53.38,52.77,53.82,0.7025103034844511
