Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
CNMD,CNMD250919C00050000,Call,2025-09-19,50.0,4.2,7.1,1.0,2,0.5820354296875,54.97,52.61,57.5,1.0994
CNMD,CNMD250919C00055000,Call,2025-09-19,55.0,0.0,3.1,5.0,30,0.725588681640625,54.97,52.61,57.5,0.9994545454545455
CNMD,CNMD250919C00060000,Call,2025-09-19,60.0,0.05,1.5,5.0,17,0.5649457568359376,54.97,52.61,57.5,0.9161666666666667
CNMD,CNMD250919P00045000,Put,2025-09-19,45.0,0.0,1.4,,10,0.9663089306640625,54.97,52.61,57.5,0.8186283427323995
CNMD,CNMD250919P00050000,Put,2025-09-19,50.0,0.0,2.25,15.0,18,0.7260769580078125,54.97,52.61,57.5,0.9095870474804439
CNMD,CNMD250919P00055000,Put,2025-09-19,55.0,0.0,3.3,,9,0.7653832055664063,54.97,52.61,57.5,1.0005457522284882
CNMD,CNMD251017C00060000,Call,2025-10-17,60.0,0.1,3.2,,1,0.6887238159179689,54.97,52.61,57.5,0.9161666666666667
CNMD,CNMD251017P00040000,Put,2025-10-17,40.0,0.0,2.2,,10,0.9018564501953125,54.97,52.61,57.5,0.7276696379843551
CNMD,CNMD251017P00045000,Put,2025-10-17,45.0,0.0,2.35,,5,0.6709017285156251,54.97,52.61,57.5,0.8186283427323995
CNMD,CNMD251121C00050000,Call,2025-11-21,50.0,5.0,9.2,1.0,1,0.6696810375976563,54.97,52.61,57.5,1.0994
CNMD,CNMD251121C00055000,Call,2025-11-21,55.0,3.4,5.0,1.0,3,0.49878430908203125,54.97,52.61,57.5,0.9994545454545455
CNMD,CNMD251121C00060000,Call,2025-11-21,60.0,0.9,3.9,,1,0.5799602551269532,54.97,52.61,57.5,0.9161666666666667
CNMD,CNMD251121C00065000,Call,2025-11-21,65.0,0.0,0.0,1.0,4,0.062509375,54.97,52.61,57.5,0.8456923076923076
CNMD,CNMD251121C00070000,Call,2025-11-21,70.0,0.1,1.75,3.0,582,0.5961954443359375,54.97,52.61,57.5,0.7852857142857143
