Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
F,F251017P00008000,Put,2025-10-17,8.0,0.01,0.02,1.0,3576,0.5625043750000001,11.74,11.72,11.73,0.6814310051107325
F,F271217P00005000,Put,2027-12-17,5.0,0.17,0.29,2.0,605,0.469731865234375,11.74,11.72,11.73,0.4258943781942078
F,F251219C00019850,Call,2025-12-19,19.85,0.01,0.02,12.0,4255,0.45313046875,11.74,11.72,11.73,0.5914357682619648
F,F261218P00016820,Put,2026-12-18,16.82,5.65,8.0,3.0,86,0.5986368261718751,11.74,11.72,11.73,1.432708688245315
F,F260320C00017000,Call,2026-03-20,17.0,0.07,0.13,2.0,2567,0.35742830078125,11.74,11.72,11.73,0.6905882352941176
F,F251219C00019670,Call,2025-12-19,19.67,0.01,0.02,3.0,7766,0.445318046875,11.74,11.72,11.73,0.5968479918657854
F,F251121C00016000,Call,2025-11-21,16.0,0.02,0.03,1.0,216,0.367193828125,11.74,11.72,11.73,0.73375
F,F261218C00021820,Call,2026-12-18,21.82,0.1,0.18,75.0,2582,0.35938140625,11.74,11.72,11.73,0.538038496791934
F,F250926P00010000,Put,2025-09-26,10.0,0.02,0.03,8.0,261,0.4335994140625,11.74,11.72,11.73,0.8517887563884157
F,F251219C00016670,Call,2025-12-19,16.67,0.02,0.04,3.0,11454,0.36524072265625,11.74,11.72,11.73,0.7042591481703658
F,F260116C00019670,Call,2026-01-16,19.67,0.01,0.02,1.0,17180,0.398443515625,11.74,11.72,11.73,0.5968479918657854
F,F270115P00017000,Put,2027-01-15,17.0,6.6,8.75,2.0,60,0.7114286669921875,11.74,11.72,11.73,1.4480408858603069
F,F261218C00021670,Call,2026-12-18,21.67,0.06,0.11,3.0,6529,0.3212958496093749,11.74,11.72,11.73,0.5417628057221966
F,F260116C00021670,Call,2026-01-16,21.67,0.01,0.02,100.0,24153,0.4570366796875,11.74,11.72,11.73,0.5417628057221966
F,F261218C00019850,Call,2026-12-18,19.85,0.09,0.16,1.0,5317,0.3115303222656249,11.74,11.72,11.73,0.5914357682619648
F,F251010P00010000,Put,2025-10-10,10.0,0.03,0.04,5.0,88,0.35938140625,11.74,11.72,11.73,0.8517887563884157
F,F270115P00004850,Put,2027-01-15,4.85,0.1,0.18,20.0,8088,0.51758294921875,11.74,11.72,11.73,0.4131175468483816
F,F271217P00007000,Put,2027-12-17,7.0,0.29,0.53,331.0,10867,0.3862366064453124,11.74,11.72,11.73,0.596252129471891
F,F251219C00015000,Call,2025-12-19,15.0,0.08,0.14,91.0,6436,0.372076591796875,11.74,11.72,11.73,0.7826666666666667
F,F260116P00014820,Put,2026-01-16,14.82,4.0,6.95,1.0,10578,1.1987344750976563,11.74,11.72,11.73,1.262350936967632
F,F271217C00017000,Call,2027-12-17,17.0,0.42,0.67,12.0,2672,0.2885813330078124,11.74,11.72,11.73,0.6905882352941176
F,F271217C00020000,Call,2027-12-17,20.0,0.26,0.39,2.0,973,0.2968820312499999,11.74,11.72,11.73,0.587
F,F260116C00019820,Call,2026-01-16,19.82,0.04,0.07,3.0,13367,0.492192578125,11.74,11.72,11.73,0.5923309788092835
F,F261218C00019670,Call,2026-12-18,19.67,0.1,0.17,5.0,9000,0.3115303222656249,11.74,11.72,11.73,0.5968479918657854
F,F260116C00016670,Call,2026-01-16,16.67,0.03,0.05,130.0,11547,0.33789724609375,11.74,11.72,11.73,0.7042591481703658
F,F260320C00005000,Call,2026-03-20,5.0,4.4,5.5,191.0,69,1.0000000000000004e-05,11.74,11.72,11.73,2.348
F,F260116C00007850,Call,2026-01-16,7.85,2.61,4.05,7.0,4512,0.5371140039062501,11.74,11.72,11.73,1.4955414012738857
F,F251219P00015000,Put,2025-12-19,15.0,3.4,4.9,147.0,1222,0.75586181640625,11.74,11.72,11.73,1.2776831345826234
F,F260116P00015000,Put,2026-01-16,15.0,4.8,6.95,20.0,1430,1.292484006347656,11.74,11.72,11.73,1.2776831345826234
F,F260116C00016820,Call,2026-01-16,16.82,0.08,0.13,2.0,15148,0.42383388671875,11.74,11.72,11.73,0.6979785969084423
F,F250919C00008000,Call,2025-09-19,8.0,1.25,1.79,24.0,1455,1.0000000000000004e-05,11.74,11.72,11.73,1.4675
F,F261218C00024670,Call,2026-12-18,24.67,0.05,0.08,50.0,14489,0.3505924316406249,11.74,11.72,11.73,0.4758816376165383
F,F261218C00014820,Call,2026-12-18,14.82,0.32,0.49,5.0,6146,0.2641675146484374,11.74,11.72,11.73,0.7921727395411606
F,F270115P00015000,Put,2027-01-15,15.0,4.95,6.3,1.0,153,0.62305064453125,11.74,11.72,11.73,1.2776831345826234
F,F261218C00019820,Call,2026-12-18,19.82,0.15,0.23,290.0,7303,0.3388737988281249,11.74,11.72,11.73,0.5923309788092835
F,F250926P00010500,Put,2025-09-26,10.5,0.03,0.04,2.0,423,0.3515689843749999,11.74,11.72,11.73,0.8943781942078365
