Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
NOG,NOG260116C00042000,Call,2026-01-16,42.0,0.15,0.5,5.0,333,0.579105771484375,24.84,24.73,25.39,0.5914285714285714
NOG,NOG250919C00029000,Call,2025-09-19,29.0,0.05,0.15,1.0,394,0.5546919531250001,24.84,24.73,25.39,0.856551724137931
NOG,NOG251121C00035000,Call,2025-11-21,35.0,0.1,0.25,15.0,181,0.526371923828125,24.84,24.73,25.39,0.7097142857142857
NOG,NOG251219P00018000,Put,2025-12-19,18.0,0.4,0.55,16.0,6,0.567387138671875,24.84,24.73,25.39,0.7246376811594203
NOG,NOG251017P00020000,Put,2025-10-17,20.0,0.25,0.35,20.0,10,0.5800823242187501,24.84,24.73,25.39,0.8051529790660226
NOG,NOG250919C00020000,Call,2025-09-19,20.0,4.4,6.5,3.0,17,1.2919957275390623,24.84,24.73,25.39,1.242
NOG,NOG251219P00033000,Put,2025-12-19,33.0,7.5,9.6,1.0,7,0.7133817724609376,24.84,24.73,25.39,1.328502415458937
NOG,NOG251121P00018000,Put,2025-11-21,18.0,0.25,0.35,18.0,16,0.5751995605468749,24.84,24.73,25.39,0.7246376811594203
NOG,NOG250919P00022000,Put,2025-09-19,22.0,0.1,0.2,5.0,342,0.5351608984375,24.84,24.73,25.39,0.8856682769726248
NOG,NOG251121P00019000,Put,2025-11-21,19.0,0.4,0.5,16.0,6,0.5698285205078125,24.84,24.73,25.39,0.7648953301127214
NOG,NOG260515P00017000,Put,2026-05-15,17.0,1.0,1.3,,9,0.570316796875,24.84,24.73,25.39,0.6843800322061192
NOG,NOG251121C00032000,Call,2025-11-21,32.0,0.25,0.45,5.0,252,0.5039112109375,24.84,24.73,25.39,0.77625
NOG,NOG250919C00028000,Call,2025-09-19,28.0,0.1,0.2,26.0,817,0.5117236328125,24.84,24.73,25.39,0.8871428571428571
NOG,NOG260320P00015000,Put,2026-03-20,15.0,0.45,0.55,14.0,7,0.5922892333984376,24.84,24.73,25.39,0.6038647342995169
NOG,NOG251219P00034000,Put,2025-12-19,34.0,8.9,11.2,,11,0.6210975390625001,24.84,24.73,25.39,1.3687600644122384
