Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
FSLY,FSLY250919C00010000,Call,2025-09-19,10.0,0.0,0.05,3.0,2113.0,0.914063359375,7.52,7.27,7.55,0.752
FSLY,FSLY260116C00020000,Call,2026-01-16,20.0,0.0,0.2,3.0,3037.0,0.92187578125,7.52,7.27,7.55,0.376
FSLY,FSLY260116C00017500,Call,2026-01-16,17.5,0.0,0.15,2.0,5708.0,0.7812521875,7.52,7.27,7.55,0.4297142857142857
FSLY,FSLY251010C00008000,Call,2025-10-10,8.0,0.2,0.35,4.0,12.0,0.5136767382812499,7.52,7.27,7.55,0.94
FSLY,FSLY250919P00007000,Put,2025-09-19,7.0,0.05,0.15,2.0,118.0,0.5507857421875001,7.52,7.27,7.55,0.9308510638297872
FSLY,FSLY270115P00002500,Put,2027-01-15,2.5,0.15,1.5,1.0,2625.0,1.35547197265625,7.52,7.27,7.55,0.3324468085106383
FSLY,FSLY250912P00007500,Put,2025-09-12,7.5,0.1,0.25,8.0,91.0,0.5273484765625001,7.52,7.27,7.55,0.9973404255319148
FSLY,FSLY251024C00008000,Call,2025-10-24,8.0,0.3,0.5,5.0,18.0,0.5507857421875001,7.52,7.27,7.55,0.94
FSLY,FSLY250926C00006000,Call,2025-09-26,6.0,1.0,1.75,15.0,25.0,1.2460975195312498,7.52,7.27,7.55,1.2533333333333332
FSLY,FSLY250926P00007000,Put,2025-09-26,7.0,0.1,0.2,5.0,71.0,0.5312546875,7.52,7.27,7.55,0.9308510638297872
FSLY,FSLY251219C00015000,Call,2025-12-19,15.0,0.05,0.15,4.0,889.0,0.804689453125,7.52,7.27,7.55,0.5013333333333333
FSLY,FSLY251010P00007000,Put,2025-10-10,7.0,0.2,0.3,4.0,15.0,0.5351608984375,7.52,7.27,7.55,0.9308510638297872
FSLY,FSLY270115C00002500,Call,2027-01-15,2.5,4.0,7.8,10.0,129.0,1.40234673828125,7.52,7.27,7.55,3.008
FSLY,FSLY251219C00012500,Call,2025-12-19,12.5,0.05,0.15,1.0,2010.0,0.6445348046875,7.52,7.27,7.55,0.6015999999999999
FSLY,FSLY251219P00005000,Put,2025-12-19,5.0,0.1,0.25,22.0,692.0,0.726565234375,7.52,7.27,7.55,0.6648936170212766
FSLY,FSLY260116C00015000,Call,2026-01-16,15.0,0.05,0.15,1.0,5341.0,0.7148466015625,7.52,7.27,7.55,0.5013333333333333
FSLY,FSLY250926C00004000,Call,2025-09-26,4.0,3.4,4.1,5.0,5.0,2.58594103515625,7.52,7.27,7.55,1.88
FSLY,FSLY260320C00012500,Call,2026-03-20,12.5,0.2,0.35,5.0,299.0,0.6152382226562501,7.52,7.27,7.55,0.6015999999999999
FSLY,FSLY260116C00012500,Call,2026-01-16,12.5,0.1,0.2,1.0,1694.0,0.63086306640625,7.52,7.27,7.55,0.6015999999999999
FSLY,FSLY250912C00004000,Call,2025-09-12,4.0,3.4,3.9,2.0,5.0,4.2500046875,7.52,7.27,7.55,1.88
FSLY,FSLY250919C00008000,Call,2025-09-19,8.0,0.1,0.15,67.0,214.0,0.5468795312500001,7.52,7.27,7.55,0.94
FSLY,FSLY251003C00008000,Call,2025-10-03,8.0,0.2,0.25,32.0,25.0,0.5117236328125,7.52,7.27,7.55,0.94
FSLY,FSLY270115C00017500,Call,2027-01-15,17.5,0.3,0.45,1.0,449.0,0.579105771484375,7.52,7.27,7.55,0.4297142857142857
FSLY,FSLY251003P00008000,Put,2025-10-03,8.0,0.65,0.75,3.0,8.0,0.5039112109375,7.52,7.27,7.55,1.0638297872340423
FSLY,FSLY260320P00005000,Put,2026-03-20,5.0,0.3,0.45,1.0,489.0,0.7050810742187501,7.52,7.27,7.55,0.6648936170212766
FSLY,FSLY270115C00022500,Call,2027-01-15,22.5,0.15,0.25,306.0,2384.0,0.5888712988281251,7.52,7.27,7.55,0.3342222222222222
FSLY,FSLY250926C00007000,Call,2025-09-26,7.0,0.6,0.7,1.0,11.0,0.5839885351562499,7.52,7.27,7.55,1.0742857142857145
FSLY,FSLY250926C00003000,Call,2025-09-26,3.0,4.4,5.1,10.0,10.0,3.531251171875,7.52,7.27,7.55,2.5066666666666664
FSLY,FSLY260116P00005000,Put,2026-01-16,5.0,0.2,0.3,1.0,1011.0,0.7304714453125,7.52,7.27,7.55,0.6648936170212766
FSLY,FSLY250919P00007500,Put,2025-09-19,7.5,0.2,0.3,68.0,1016.0,0.570316796875,7.52,7.27,7.55,0.9973404255319148
FSLY,FSLY251024C00007000,Call,2025-10-24,7.0,0.8,0.95,,20.0,0.5566450585937501,7.52,7.27,7.55,1.0742857142857145
FSLY,FSLY251017P00007500,Put,2025-10-17,7.5,0.45,0.55,10.0,39.0,0.51562984375,7.52,7.27,7.55,0.9973404255319148
FSLY,FSLY270115C00005000,Call,2027-01-15,5.0,2.65,3.7,13.0,473.0,0.5722699023437501,7.52,7.27,7.55,1.504
FSLY,FSLY250912C00007500,Call,2025-09-12,7.5,0.15,0.2,247.0,213.0,0.5390671093750001,7.52,7.27,7.55,1.0026666666666666
FSLY,FSLY250912P00008000,Put,2025-09-12,8.0,0.5,0.55,1.0,5.0,0.5468795312500001,7.52,7.27,7.55,1.0638297872340423
FSLY,FSLY250926C00008000,Call,2025-09-26,8.0,0.15,0.2,26.0,272.0,0.5195360546875,7.52,7.27,7.55,0.94
FSLY,FSLY251017C00005000,Call,2025-10-17,5.0,2.35,2.65,1.0,10.0,1.0625046875000002,7.52,7.27,7.55,1.504
FSLY,FSLY250919C00007000,Call,2025-09-19,7.0,0.55,0.65,2.0,30.0,0.500005,7.52,7.27,7.55,1.0742857142857145
FSLY,FSLY270115C00020000,Call,2027-01-15,20.0,0.25,0.35,7.0,1437.0,0.5996133789062501,7.52,7.27,7.55,0.376
FSLY,FSLY250919C00006500,Call,2025-09-19,6.5,0.95,1.1,1.0,24.0,0.789064609375,7.52,7.27,7.55,1.156923076923077
FSLY,FSLY251219C00010000,Call,2025-12-19,10.0,0.25,0.35,8.0,2010.0,0.6171913281250001,7.52,7.27,7.55,0.752
FSLY,FSLY250919P00008000,Put,2025-09-19,8.0,0.55,0.65,17.0,80.0,0.5351608984375,7.52,7.27,7.55,1.0638297872340423
FSLY,FSLY270115C00015000,Call,2027-01-15,15.0,0.5,0.65,4.0,1161.0,0.58789474609375,7.52,7.27,7.55,0.5013333333333333
FSLY,FSLY260116C00010000,Call,2026-01-16,10.0,0.3,0.4,3.0,3601.0,0.5820354296875,7.52,7.27,7.55,0.752
