Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
BE,BE250912C00060000,Call,2025-09-12,60.0,1.1226085990062038,0.5,0.65,714.0,1775.0,53.46,53.39,53.44,1.0078174609375,2025-09-12,0.008213552361396304,53.4469449575884,0.1156550833988197,1.2394027069808056,1.3584464009850463,1.3002365157367213,0.11904369400424075,0.17812081349346076,1.7167121242231798,1.2999038030055978,0.013878849257235452,0.41963889134418475,0.4633050432240285,0.757399273524141
BE,BE251017P00038000,Put,2025-10-17,38.0,0.7075870925895035,0.9,1.1,149.0,332.0,53.46,53.39,53.44,0.9516606396484374,2025-10-17,0.10403832991101986,53.70363648230813,-0.3458945579743767,0.95480065518352,1.0180685408018115,0.9870211717040775,0.06326788561829155,-0.10644484230039808,1.3031715321187427,0.9872825182480381,0.10140894535756644,,0.5131519526185623,0.757399273524141
BE,BE251003C00075000,Call,2025-10-03,75.0,1.3992325271107402,1.1,1.35,2.0,379.0,53.46,53.39,53.44,1.125492653808594,2025-10-03,0.06570841889117043,53.60081226446806,0.3359238913865408,1.1278534035699266,1.2015488604115032,1.1654259207984348,0.07369545684157663,0.16475687181247956,1.538720674203668,1.1651618054475665,0.08920588306357835,0.0,,0.757399273524141
BE,BE250926P00044000,Put,2025-09-26,44.0,0.8216700689632105,1.1,1.25,13.0,42.0,53.46,53.39,53.44,0.989257919921875,2025-09-26,0.04654346338124572,53.54947400666491,-0.19641634045601222,1.0268534374862335,1.0794931527843896,1.053414878402487,0.05263971529815614,-0.16406182255593715,1.3908316461686057,1.053414878402487,0.05164848570205435,0.0,0.0,0.757399273524141
BE,BE250926C00070000,Call,2025-09-26,70.0,1.3072023824414711,1.15,1.25,10.0,11.0,53.46,53.39,53.44,1.1318402783203123,2025-09-26,0.04654346338124572,53.54947400666491,0.26788926767508553,1.1748360946194292,1.2078549453551206,1.1914679027712072,0.03301885073569144,0.1804480603961922,1.5731041003345123,1.1838443380322325,0.06523007825803306,0.0,,0.757399273524141
BE,BE260116P00027000,Put,2026-01-16,27.0,0.49653511507169823,0.8,1.0,230.0,759.0,53.46,53.39,53.44,0.8798840136718749,2026-01-16,0.3531827515400411,54.37681884009609,-0.7001010727778842,0.8783845706216284,0.9325647150135866,0.9061308426733581,0.054180144391958174,-0.058285172045833056,1.1963714177558904,0.9062095401530983,0.2900392313640498,0.5553654443437892,0.9709017930621412,0.757399273524141
BE,BE250919C00068000,Call,2025-09-19,68.0,1.271071160668281,0.7,0.85,1.0,337.0,53.46,53.39,53.44,1.15234798828125,2025-09-19,0.02737850787132101,53.49818492007024,0.23985997857732944,1.2218319604048788,1.2954825711602636,1.259365827945803,0.0736506107553847,0.14757795619436775,1.6627502454366463,1.2598525359185984,0.04345594557865908,0.6099256489641904,,0.757399273524141
BE,BE251121P00032000,Put,2025-11-21,32.0,0.593014722122842,0.95,1.15,202.0,372.0,53.46,53.39,53.44,0.9633792724609376,2025-11-21,0.1998631074606434,53.96156082845318,-0.522536053778517,0.962703928541691,1.0187446568005571,0.991256240410786,0.05604072825886619,-0.08065009694109537,1.3087631254232923,0.990355762311648,0.19602664236523926,1.3409726202667875,0.0,0.757399273524141
BE,BE250926P00046000,Put,2025-09-26,46.0,0.8590187084615382,1.55,1.75,10.0,43.0,53.46,53.39,53.44,0.9775392871093752,2025-09-26,0.04654346338124572,53.54947400666491,-0.15196457788517848,1.0120575575588444,1.0714233716229031,1.0419285675729704,0.05936581406405872,-0.2152206658138731,1.3756661829432826,1.041928567572969,0.05052828851120933,0.0,0.9580478176478288,0.757399273524141
BE,BE260220P00028000,Put,2026-02-20,28.0,0.5124640752577734,1.3,1.55,2.0,239.0,53.46,53.39,53.44,0.8544936425781251,2026-02-20,0.4490075290896646,54.637976302857496,-0.6685246674844906,0.8590794455807854,0.9074441013089919,0.8836550984120051,0.048364655728206474,-0.07706472146000609,1.1666965222984726,0.883958728269003,0.35084686504696594,0.7346087450150154,0.9716971165344699,0.757399273524141
