Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
CHEF,CHEF250919C00060000,Call,2025-09-19,60.0,4.0,7.2,21.0,21,0.5449264257812501,64.84,64.33,64.84,1.0806666666666667
CHEF,CHEF250919C00065000,Call,2025-09-19,65.0,1.3,1.6,1.0,10,0.35742830078125,64.84,64.33,64.84,0.9975384615384616
CHEF,CHEF250919C00070000,Call,2025-09-19,70.0,0.0,0.3,6.0,12,0.375982802734375,64.84,64.33,64.84,0.9262857142857144
CHEF,CHEF250919P00045000,Put,2025-09-19,45.0,0.0,0.0,,1,0.500005,64.84,64.33,64.84,0.6940160394818014
CHEF,CHEF250919P00055000,Put,2025-09-19,55.0,0.05,1.75,15.0,60,0.9389654541015625,64.84,64.33,64.84,0.8482418260333128
CHEF,CHEF250919P00060000,Put,2025-09-19,60.0,0.1,1.25,1.0,165,0.5190477783203125,64.84,64.33,64.84,0.9253547193090684
CHEF,CHEF250919P00065000,Put,2025-09-19,65.0,0.45,2.9,5.0,30,0.6005899316406251,64.84,64.33,64.84,1.0024676125848242
CHEF,CHEF250919P00070000,Put,2025-09-19,70.0,5.2,7.1,3.0,4,0.586918193359375,64.84,64.33,64.84,1.0795805058605799
CHEF,CHEF251017C00035000,Call,2025-10-17,35.0,27.7,31.7,,1,1.7153334545898438,64.84,64.33,64.84,1.8525714285714288
CHEF,CHEF251017C00040000,Call,2025-10-17,40.0,0.0,0.0,6.0,3,1.0000000000000003e-05,64.84,64.33,64.84,1.621
CHEF,CHEF251017C00045000,Call,2025-10-17,45.0,0.0,0.0,6.0,2,1.0000000000000003e-05,64.84,64.33,64.84,1.4408888888888889
CHEF,CHEF251017C00055000,Call,2025-10-17,55.0,8.2,10.1,1.0,4,0.35596347167968745,64.84,64.33,64.84,1.178909090909091
CHEF,CHEF251017C00060000,Call,2025-10-17,60.0,5.5,6.4,1.0,5,0.4194393994140625,64.84,64.33,64.84,1.0806666666666667
CHEF,CHEF251017C00065000,Call,2025-10-17,65.0,1.6,4.3,1.0,35,0.5114794946289063,64.84,64.33,64.84,0.9975384615384616
CHEF,CHEF251017C00070000,Call,2025-10-17,70.0,0.0,0.0,18.0,36,0.062509375,64.84,64.33,64.84,0.9262857142857144
CHEF,CHEF251017C00075000,Call,2025-10-17,75.0,0.0,0.0,1.0,3,0.12500875,64.84,64.33,64.84,0.8645333333333334
CHEF,CHEF251017C00080000,Call,2025-10-17,80.0,0.05,1.35,1.0,31,0.5278367529296876,64.84,64.33,64.84,0.8105
CHEF,CHEF251017C00085000,Call,2025-10-17,85.0,0.0,0.0,,1,0.2500075,64.84,64.33,64.84,0.7628235294117648
CHEF,CHEF251017P00035000,Put,2025-10-17,35.0,0.0,1.5,3.0,4,1.3276400805664061,64.84,64.33,64.84,0.5397902529302899
CHEF,CHEF251017P00045000,Put,2025-10-17,45.0,0.0,1.55,5.0,64,0.87695435546875,64.84,64.33,64.84,0.6940160394818014
CHEF,CHEF251017P00050000,Put,2025-10-17,50.0,0.0,1.15,1.0,8,0.6215858154296876,64.84,64.33,64.84,0.771128932757557
CHEF,CHEF251017P00055000,Put,2025-10-17,55.0,0.25,1.25,1.0,6,0.5815471533203125,64.84,64.33,64.84,0.8482418260333128
CHEF,CHEF251017P00060000,Put,2025-10-17,60.0,0.7,1.2,2.0,33,0.367193828125,64.84,64.33,64.84,0.9253547193090684
CHEF,CHEF251017P00065000,Put,2025-10-17,65.0,1.55,4.2,1.0,57,0.4809622216796875,64.84,64.33,64.84,1.0024676125848242
CHEF,CHEF251017P00070000,Put,2025-10-17,70.0,4.7,7.4,2.0,5,0.48828636718750007,64.84,64.33,64.84,1.0795805058605799
CHEF,CHEF251219C00030000,Call,2025-12-19,30.0,22.7,25.3,1.0,2,1.0000000000000003e-05,64.84,64.33,64.84,2.1613333333333333
CHEF,CHEF251219C00040000,Call,2025-12-19,40.0,0.0,0.0,3.0,3,1.0000000000000003e-05,64.84,64.33,64.84,1.621
CHEF,CHEF251219C00050000,Call,2025-12-19,50.0,14.6,16.9,3.0,97,0.5944864770507813,64.84,64.33,64.84,1.2968000000000002
CHEF,CHEF251219C00055000,Call,2025-12-19,55.0,11.6,12.2,1.0,40,0.47852083984375,64.84,64.33,64.84,1.178909090909091
CHEF,CHEF251219C00060000,Call,2025-12-19,60.0,7.8,8.4,1.0,27,0.42847251220703125,64.84,64.33,64.84,1.0806666666666667
CHEF,CHEF251219C00065000,Call,2025-12-19,65.0,4.8,5.4,1.0,28,0.39893179199218753,64.84,64.33,64.84,0.9975384615384616
CHEF,CHEF251219C00070000,Call,2025-12-19,70.0,2.7,3.1,285.0,478,0.3706117626953125,64.84,64.33,64.84,0.9262857142857144
CHEF,CHEF251219C00075000,Call,2025-12-19,75.0,1.1,1.85,35.0,321,0.37244279907226563,64.84,64.33,64.84,0.8645333333333334
CHEF,CHEF251219C00080000,Call,2025-12-19,80.0,0.35,1.9,100.0,210,0.4606987524414063,64.84,64.33,64.84,0.8105
CHEF,CHEF251219C00085000,Call,2025-12-19,85.0,0.05,1.85,35.0,201,0.5288133056640626,64.84,64.33,64.84,0.7628235294117648
CHEF,CHEF251219P00030000,Put,2025-12-19,30.0,0.0,0.25,30.0,124,0.710940390625,64.84,64.33,64.84,0.4626773596545342
CHEF,CHEF251219P00035000,Put,2025-12-19,35.0,0.0,1.4,1.0,0,0.813478427734375,64.84,64.33,64.84,0.5397902529302899
CHEF,CHEF251219P00040000,Put,2025-12-19,40.0,0.0,2.15,7.0,30,0.7460962890625,64.84,64.33,64.84,0.6169031462060456
CHEF,CHEF251219P00045000,Put,2025-12-19,45.0,3.2,3.6,,10,0.9177254321289063,64.84,64.33,64.84,0.6940160394818014
CHEF,CHEF251219P00050000,Put,2025-12-19,50.0,0.75,0.95,7.0,306,0.44946839599609373,64.84,64.33,64.84,0.771128932757557
CHEF,CHEF251219P00055000,Put,2025-12-19,55.0,1.5,3.8,200.0,91,0.5069629382324219,64.84,64.33,64.84,0.8482418260333128
CHEF,CHEF251219P00060000,Put,2025-12-19,60.0,2.35,2.95,100.0,101,0.3790345300292969,64.84,64.33,64.84,0.9253547193090684
CHEF,CHEF251219P00065000,Put,2025-12-19,65.0,4.3,5.9,1.0,104,0.4239559558105469,64.84,64.33,64.84,1.0024676125848242
CHEF,CHEF251219P00070000,Put,2025-12-19,70.0,6.1,7.8,4.0,5,0.3354558642578125,64.84,64.33,64.84,1.0795805058605799
CHEF,CHEF260116C00050000,Call,2026-01-16,50.0,17.6,21.2,,2,0.7633080310058593,64.84,64.33,64.84,1.2968000000000002
CHEF,CHEF260116C00055000,Call,2026-01-16,55.0,12.0,14.4,1.0,1,0.5086719055175781,64.84,64.33,64.84,1.178909090909091
CHEF,CHEF260116C00060000,Call,2026-01-16,60.0,7.5,9.2,1.0,4,0.43677321044921874,64.84,64.33,64.84,1.0806666666666667
CHEF,CHEF260116C00065000,Call,2026-01-16,65.0,5.4,6.1,1.0,106,0.3991759301757813,64.84,64.33,64.84,0.9975384615384616
CHEF,CHEF260116C00070000,Call,2026-01-16,70.0,1.7,5.4,5.0,8,0.4801077380371094,64.84,64.33,64.84,0.9262857142857144
CHEF,CHEF260116C00075000,Call,2026-01-16,75.0,0.0,0.0,1.0,37,0.062509375,64.84,64.33,64.84,0.8645333333333334
CHEF,CHEF260116C00080000,Call,2026-01-16,80.0,0.0,0.0,,1,0.062509375,64.84,64.33,64.84,0.8105
CHEF,CHEF260116C00085000,Call,2026-01-16,85.0,0.05,1.0,1.0,4,0.38403936279296874,64.84,64.33,64.84,0.7628235294117648
CHEF,CHEF260116C00090000,Call,2026-01-16,90.0,0.0,2.1,,1,0.5500533276367189,64.84,64.33,64.84,0.7204444444444444
CHEF,CHEF260116P00035000,Put,2026-01-16,35.0,0.05,1.75,3.0,4,0.7680687255859376,64.84,64.33,64.84,0.5397902529302899
CHEF,CHEF260116P00040000,Put,2026-01-16,40.0,0.4,1.55,,0,0.6435582519531251,64.84,64.33,64.84,0.6169031462060456
CHEF,CHEF260116P00045000,Put,2026-01-16,45.0,0.05,2.05,1.0,1,0.5293015820312501,64.84,64.33,64.84,0.6940160394818014
CHEF,CHEF260116P00050000,Put,2026-01-16,50.0,0.75,1.95,8.0,42,0.51562984375,64.84,64.33,64.84,0.771128932757557
CHEF,CHEF260116P00055000,Put,2026-01-16,55.0,1.45,2.3,1.0,15,0.4193173303222656,64.84,64.33,64.84,0.8482418260333128
CHEF,CHEF260116P00060000,Put,2026-01-16,60.0,3.8,5.7,,2,0.5311326184082032,64.84,64.33,64.84,0.9253547193090684
CHEF,CHEF260116P00065000,Put,2026-01-16,65.0,5.9,7.9,,0,0.5059863854980469,64.84,64.33,64.84,1.0024676125848242
CHEF,CHEF260116P00070000,Put,2026-01-16,70.0,8.0,11.4,2.0,2,0.5347946911621093,64.84,64.33,64.84,1.0795805058605799
