Strike,Type,Expiry,IV Slope
2320.0,Call,2026-01-16,
2320.0,Put,2026-03-20,-1.5421822996896288
2400.0,Call,2026-06-18,
2400.0,Call,2027-01-15,
2400.0,Put,2026-01-16,-1.1609050871705393
2400.0,Put,2027-01-15,-0.1501699147023862
2300.0,Call,2026-06-18,
2300.0,Put,2026-06-18,-2.409534827173349
2300.0,Put,2027-12-17,-0.1476807550433092
4600.0,Call,2025-12-19,-1.186862910501532
4600.0,Call,2026-01-16,-0.06450320671344785
4600.0,Call,2026-06-18,-0.04952173514483792
4600.0,Call,2027-01-15,
4600.0,Call,2027-12-17,
4600.0,Put,2025-12-19,-0.17007058478625448
4600.0,Put,2026-01-16,-0.06693749416890507
4600.0,Put,2026-03-20,0.011295939033944326
4600.0,Put,2026-06-18,0.013217661120233525
4600.0,Put,2027-01-15,0.3043783759027436
4600.0,Put,2027-12-17,-0.05511875540069844
2500.0,Call,2027-01-15,
2500.0,Put,2026-01-16,0.4597944545081938
2500.0,Put,2027-01-15,-0.20842791003637257
4450.0,Call,2025-12-19,-3.70166530197355
4450.0,Call,2026-12-18,-0.06172267674874291
4450.0,Call,2027-12-17,-0.08316965807412087
4450.0,Put,2026-01-16,-0.8458945773006527
4450.0,Put,2026-03-20,-0.01010365060218164
4450.0,Put,2026-12-18,0.23438971972025363
4450.0,Put,2027-01-15,-0.5479722619043836
4450.0,Put,2027-12-17,-0.12575342875972612
5440.0,Put,2025-09-19,-3.0777113457874754
5440.0,Put,2025-10-03,-0.25135358484027226
2140.0,Call,2026-06-18,
8000.0,Call,2027-01-15,-0.024140274463784264
8000.0,Call,2027-12-17,-0.019389194261404008
3800.0,Call,2025-12-19,
3800.0,Call,2026-01-16,4.342798949010187
3800.0,Call,2026-06-18,
3800.0,Call,2027-01-15,
3800.0,Put,2026-01-16,0.6382563764548036
3800.0,Put,2026-06-18,-0.17458145284255744
3800.0,Put,2026-12-18,-0.020921545934055503
3800.0,Put,2027-01-15,-0.005250879706467152
3800.0,Put,2027-12-17,0.006882727546874681
2200.0,Put,2026-12-18,-1.696344053834031
5740.0,Call,2025-09-19,-3.4173095770743593
3610.0,Put,2026-01-16,-1.1003285895701878
4500.0,Call,2025-10-17,-2.268438340762316
4500.0,Call,2025-12-19,-0.7797153589449861
4500.0,Call,2026-01-16,3.554879836053469
4500.0,Call,2026-03-20,-1.6952987652089255
4500.0,Call,2026-06-18,
4500.0,Call,2027-01-15,
4500.0,Call,2027-12-17,-0.04825632898733436
4500.0,Put,2025-11-21,-1.2704467603778717
4500.0,Put,2025-12-19,-0.02596112082209543
4500.0,Put,2026-01-16,-0.17383055493806626
4500.0,Put,2026-03-20,-0.014521701684816557
4500.0,Put,2026-06-18,0.06263338285289008
4500.0,Put,2026-12-18,-0.016133977263639878
4500.0,Put,2027-01-15,0.0020820834589599575
4500.0,Put,2027-06-17,0.014532799797907517
4500.0,Put,2027-12-17,0.010741117002901309
2800.0,Put,2026-01-16,-0.9863982705335756
2800.0,Put,2026-06-18,-0.04562822962407895
2800.0,Put,2026-12-18,-0.31475639534803357
2800.0,Put,2027-01-15,0.17417646910613177
2120.0,Call,2026-01-16,
2100.0,Put,2025-12-19,-6.7655759321688675
2100.0,Put,2026-12-18,-0.6393575042995144
2100.0,Put,2027-01-15,0.061664457719016984
3490.0,Put,2026-01-16,-2.8651011476162007
2650.0,Call,2027-12-17,
7800.0,Call,2026-03-20,-1.4727227833008785
7800.0,Call,2026-06-18,-0.07574169119209134
7800.0,Call,2026-12-18,0.00399957543223425
7800.0,Call,2027-01-15,-0.05039712903317261
2900.0,Put,2025-12-19,-2.401440381652811
2900.0,Put,2026-06-18,-0.9895935214117377
2900.0,Put,2027-01-15,-0.04706406605466313
2900.0,Put,2027-12-17,-0.021942123041894662
8300.0,Call,2026-12-18,-0.021475314826799246
8300.0,Call,2027-09-17,0.007088988107400115
8300.0,Call,2027-12-17,-0.07903899149802349
4300.0,Call,2025-10-17,
4300.0,Call,2025-12-19,
4300.0,Call,2026-01-16,
4300.0,Call,2026-06-18,-0.0904542489727259
4300.0,Call,2026-12-18,-0.15767242908863915
4300.0,Call,2027-01-15,
4300.0,Call,2027-12-17,
4300.0,Put,2025-11-21,-1.8739359448070332
4300.0,Put,2025-12-19,-0.3053949598731914
4300.0,Put,2026-01-16,0.0443289316749423
4300.0,Put,2026-03-20,-0.0184023912713472
4300.0,Put,2026-06-18,0.0031653093113229724
4300.0,Put,2026-12-18,0.11871689705587922
4300.0,Put,2027-01-15,-0.7859225309079894
4300.0,Put,2027-06-17,0.07347454124706171
2700.0,Call,2026-01-16,
2700.0,Call,2026-06-18,
2700.0,Put,2026-01-16,-1.0697092143805846
2700.0,Put,2027-01-15,-0.18517393579055255
2350.0,Put,2026-01-16,-5.651476015466645
3500.0,Call,2026-03-20,
3500.0,Call,2026-06-18,-1.2869063506843104
3500.0,Put,2026-06-18,-0.07901441048883794
3500.0,Put,2026-12-18,-0.032872168222737225
3500.0,Put,2027-01-15,0.0145347180045974
3500.0,Put,2027-06-17,0.042635619147570476
3500.0,Put,2027-12-17,-0.02949435766599388
7500.0,Call,2026-04-17,0.056727992788785944
7500.0,Call,2026-06-18,0.011834670010131065
7500.0,Call,2026-12-18,-0.015485528666048718
7500.0,Call,2027-01-15,-0.03949880446065058
7500.0,Call,2027-09-17,-0.008085955906226924
7500.0,Call,2027-12-17,-0.007213320499451598
8600.0,Call,2026-12-18,-0.003137155204702277
8600.0,Call,2027-01-15,-0.07865356256076546
8600.0,Call,2027-09-17,-0.009206192760545797
8600.0,Call,2027-12-17,-0.014044943305718633
4800.0,Call,2025-10-17,-2.308741245985899
4800.0,Call,2025-12-19,1.2377765538987153
4800.0,Call,2026-01-16,-0.8614027418641617
4800.0,Call,2026-03-20,-1.0272654567983373
4800.0,Call,2026-12-18,0.05797146992915262
4800.0,Put,2025-11-21,0.38494111660215224
4800.0,Put,2025-12-19,-0.15097547530680216
4800.0,Put,2026-01-16,-0.08391045288995813
4800.0,Put,2026-03-20,0.0474001618690328
4800.0,Put,2026-06-18,0.008823581574536684
4800.0,Put,2026-12-18,0.03560881061229548
4800.0,Put,2027-01-15,1.2790801334116797
3530.0,Put,2026-01-16,-4.323006410233011
3950.0,Call,2026-01-16,-0.02126457341852732
3950.0,Call,2026-06-18,
3950.0,Put,2026-06-18,-0.14742792367892013
