Strike,Type,Expiry,IV Slope
28.0,Call,2025-09-26,0.09663399428083227
28.0,Call,2025-10-17,-0.6933147931776996
28.0,Call,2025-12-19,-0.2618121823954323
28.0,Call,2026-01-16,-0.10465348782915222
28.0,Call,2026-03-20,-0.1210279984349115
28.0,Call,2027-12-17,-0.007427419289334633
28.0,Put,2025-09-26,0.8741750543897814
28.0,Put,2025-10-03,2.9684733047342826
28.0,Put,2025-10-17,-1.4324346278582873
28.0,Put,2025-12-19,-0.21254630418416284
28.0,Put,2026-01-16,-0.11031056150260243
28.0,Put,2026-03-20,-0.05399836151233007
40.0,Call,2025-12-19,-0.2685829661640872
40.0,Call,2026-01-16,-0.10640058166241997
40.0,Call,2026-03-20,-0.07724101466519483
40.0,Call,2026-04-17,0.13926842837578093
40.0,Call,2026-06-18,-0.04542774593500882
40.0,Call,2026-09-18,-0.01838816148017803
40.0,Call,2026-12-18,-0.0018234438926624352
40.0,Call,2027-01-15,0.023834975007430325
40.0,Call,2027-12-17,0.000647539836132511
40.0,Put,2027-01-15,0.035728394413021614
37.0,Call,2025-10-17,-1.2602014252558762
37.0,Call,2025-12-19,-0.19222935039566807
37.0,Call,2026-01-16,-0.09852093288752593
37.0,Call,2026-03-20,-0.06160861882378102
37.0,Call,2026-06-18,0.006168210918105016
37.0,Call,2026-09-18,-0.003425648526695719
37.0,Call,2027-12-17,-0.005195489030043718
37.0,Put,2026-03-20,-0.053552379383485525
20.0,Call,2025-10-17,-7.430354765890507
20.0,Call,2025-12-19,-1.1436951681187717
20.0,Call,2026-01-16,-0.16035995843512854
20.0,Call,2026-03-20,0.2572650905129401
20.0,Call,2026-06-18,-0.4774167783742644
20.0,Call,2026-12-18,-0.18041017957428215
20.0,Call,2027-01-15,1.150716314905048
20.0,Call,2027-12-17,-0.06168579499461815
20.0,Put,2026-06-18,0.01034592318175055
20.0,Put,2026-12-18,-0.013016343980748838
20.0,Put,2027-01-15,0.021565324569534906
15.0,Call,2025-10-17,-13.500861777185918
15.0,Call,2025-12-19,-3.0717496753975477
15.0,Call,2026-01-16,1.243709226414394
15.0,Call,2026-03-20,-0.2625879476014159
15.0,Call,2026-04-17,-0.23063901595035516
15.0,Call,2026-06-18,
15.0,Call,2026-09-18,
15.0,Call,2026-12-18,
15.0,Call,2027-01-15,
15.0,Put,2027-01-15,0.06743190610603443
33.0,Call,2025-09-19,-3.1731802489623617
33.0,Call,2025-09-26,2.1357432178686793
33.0,Call,2025-10-03,3.2109755165242793
33.0,Call,2025-10-10,-1.5489377285507675
33.0,Call,2025-10-17,-0.962776906288608
33.0,Call,2025-12-19,-0.15721604688094573
33.0,Call,2026-01-16,-0.08422945583339375
33.0,Call,2026-03-20,-0.07151553263035287
33.0,Call,2026-04-17,0.126905348082658
33.0,Put,2025-09-19,-5.892294543486458
33.0,Put,2025-10-03,3.0328905270142084
33.0,Put,2025-10-10,-1.3855977860440742
33.0,Put,2025-10-17,-0.5113347715098493
33.0,Put,2025-12-19,-0.09784755276893295
33.0,Put,2026-01-16,-0.03312824093663912
33.0,Put,2026-03-20,-0.005836447640805933
35.0,Call,2025-10-03,2.8709073620153265
35.0,Call,2025-10-10,-1.5198600999162317
35.0,Call,2025-10-17,-0.8340690931816838
35.0,Call,2025-10-24,-0.5629811191507792
35.0,Call,2025-12-19,-0.11957024520037948
35.0,Call,2026-01-16,-0.10466998674959006
35.0,Call,2026-03-20,-0.06196638350698836
35.0,Call,2026-04-17,0.12567497276031345
35.0,Call,2026-06-18,-0.024743019363562272
35.0,Call,2026-09-18,-0.014772493483524295
35.0,Call,2026-12-18,0.012829319675312279
35.0,Call,2027-01-15,-0.01224725232285524
35.0,Call,2027-12-17,-0.011504218960241496
35.0,Put,2025-10-17,
35.0,Put,2025-12-19,-0.09177050078042472
35.0,Put,2026-01-16,-0.033874512273348825
35.0,Put,2026-06-18,0.02058907401204127
35.0,Put,2026-09-18,0.01971488273234138
35.0,Put,2026-12-18,0.026971345317001804
35.0,Put,2027-01-15,0.40348540169593305
45.0,Call,2026-04-17,0.11910947583540285
45.0,Call,2026-12-18,-0.026349261533950008
45.0,Call,2027-01-15,0.007751673766070592
31.0,Call,2025-09-19,-3.9686083956124634
31.0,Call,2025-09-26,2.2133848672108427
31.0,Call,2025-10-03,2.926216199441567
31.0,Call,2025-10-10,-1.8584398468729868
31.0,Call,2025-10-17,-0.6620521090977193
31.0,Call,2025-12-19,-0.19987731164316175
31.0,Call,2026-01-16,-0.10933940747894655
31.0,Call,2026-03-20,-0.07290889774249885
31.0,Call,2026-04-17,0.1347821676114363
31.0,Put,2025-09-19,-2.70272456030617
31.0,Put,2025-09-26,2.6820366914031113
31.0,Put,2025-10-03,3.110090362437543
31.0,Put,2025-10-17,-1.052908182549377
31.0,Put,2025-12-19,-0.16156136998605855
