Strike,Type,Expiry,IV Slope
180.0,Call,2025-09-26,-26.697879919838027
180.0,Call,2025-10-17,-7.579266518268964
180.0,Call,2025-12-19,7.3536735660231995
180.0,Call,2026-01-16,31.59827779038171
180.0,Put,2026-01-16,-0.1437544597908201
180.0,Put,2026-09-18,-0.07539147601195209
180.0,Put,2027-01-15,-0.04218539017785185
450.0,Call,2026-03-20,-0.331695942591116
450.0,Call,2026-06-18,-0.06784677674259229
450.0,Call,2027-01-15,-0.026757650599164955
320.0,Call,2025-10-17,-2.1463423189791375
320.0,Call,2025-12-19,0.17611991655624348
320.0,Call,2026-01-16,-0.19503168331154577
320.0,Call,2026-03-20,0.01691827687925841
320.0,Call,2026-06-18,-0.0382996562215341
320.0,Call,2026-09-18,0.021931498695856724
320.0,Call,2027-01-15,-0.02201768042600946
320.0,Put,2025-12-19,
320.0,Put,2026-01-16,0.013110094300682329
320.0,Put,2026-03-20,0.0687445646830767
320.0,Put,2026-09-18,-0.1411837326513989
340.0,Call,2025-12-19,-1.2502934786531184
340.0,Call,2026-01-16,-0.3006907405855714
340.0,Call,2026-03-20,0.12342378021926786
340.0,Call,2027-01-15,-0.03859985680642855
340.0,Put,2026-01-16,
340.0,Put,2026-03-20,0.10918577098825985
340.0,Put,2026-09-18,0.0038722761882002397
340.0,Put,2027-01-15,-0.0035038900300215685
170.0,Call,2025-09-26,-22.765112432180366
170.0,Call,2025-10-17,-10.358600581489737
170.0,Call,2026-01-16,16.013794428879546
170.0,Call,2026-09-18,-6.526927659091755
170.0,Put,2026-01-16,-0.6967060387265203
170.0,Put,2026-03-20,0.020645322525520385
170.0,Put,2027-01-15,-0.037227610181352316
195.0,Call,2025-10-17,-9.928982322851112
195.0,Call,2026-06-18,-0.3239070546095176
195.0,Call,2026-09-18,0.04672292722630623
195.0,Put,2026-01-16,-0.2550370398613756
195.0,Put,2026-06-18,-0.013434917228374393
195.0,Put,2026-09-18,0.009212934534840077
195.0,Put,2027-01-15,-0.04688623134005366
420.0,Call,2026-01-16,-0.3181929587480712
420.0,Call,2026-03-20,-0.012556343502812529
420.0,Call,2026-06-18,-0.12208729272617086
420.0,Call,2027-01-15,-0.01943054303955916
420.0,Put,2026-06-18,
300.0,Call,2025-10-03,-4.678692255372371
300.0,Call,2025-10-17,-0.280360039784914
300.0,Call,2025-12-19,0.24327974849553213
300.0,Call,2026-01-16,-0.19823083977218078
300.0,Call,2026-03-20,0.030058996591629028
300.0,Call,2026-06-18,-0.03234480462403461
300.0,Call,2026-09-18,-0.00989093321237503
300.0,Call,2027-01-15,-0.013800504425522414
300.0,Put,2025-12-19,
300.0,Put,2026-01-16,-0.06800452213541461
300.0,Put,2026-03-20,0.12371178771516025
300.0,Put,2026-06-18,0.08521954049727211
