Strike,Type,Expiry,IV Slope
8.0,Call,2025-12-19,-4.038832746371631
8.0,Call,2026-03-20,-0.07670187157392497
7.0,Call,2025-12-19,-1.2654517771380391
7.0,Call,2026-03-20,-0.07434925615622942
7.0,Put,2025-12-19,
7.0,Put,2026-03-20,0.1091277945028599
6.0,Call,2025-10-17,-1.1434941926742364
6.0,Call,2025-12-19,-0.14543077968727944
6.0,Call,2026-03-20,0.008485017539957116
6.0,Put,2025-10-17,1.0808660786761515
6.0,Put,2025-12-19,0.22179495726535156
6.0,Put,2026-03-20,0.05371435338578099
5.0,Call,2025-12-19,-2.840054131966034
5.0,Call,2026-03-20,-0.15933542865309763
4.0,Call,2026-03-20,-5.551614870597116
