Strike,Type,Expiry,IV Slope
82.5,Call,2025-12-19,0.3836575000828351
82.5,Call,2026-01-16,-0.37272342146674037
82.5,Call,2026-03-20,0.06320198329524696
82.5,Call,2026-06-18,-0.14825458200783972
82.5,Call,2026-09-18,-0.2625955782810632
82.5,Call,2027-01-15,0.24843177356668747
82.5,Put,2026-01-16,-0.7788519306938928
82.5,Put,2026-06-18,-0.15220483833547613
110.0,Call,2026-06-18,-0.07893297081045102
110.0,Call,2027-01-15,-0.05346236762428183
62.5,Call,2025-10-17,-3.5819474256675266
62.5,Call,2025-12-19,-0.15781923267522469
62.5,Call,2026-01-16,-0.2799869647694096
62.5,Call,2026-03-20,0.2726130786000316
62.5,Call,2026-06-18,-0.33833616000146716
62.5,Call,2027-01-15,0.008058372361865886
62.5,Put,2025-12-19,0.2566621624962494
62.5,Put,2026-01-16,-0.1793402362370645
62.5,Put,2026-06-18,0.03540078262126427
62.5,Put,2026-09-18,0.3803028748854516
62.5,Put,2027-01-15,-0.3125729670850758
85.0,Call,2025-12-19,0.10577970743315
85.0,Call,2026-01-16,0.23076529724114073
85.0,Call,2026-03-20,0.1655810553693531
85.0,Call,2026-06-18,-0.13164800505130328
85.0,Call,2027-01-15,-0.03347730142196352
85.0,Put,2026-04-17,0.028438755739943634
85.0,Put,2026-06-18,0.6947795689226919
90.0,Call,2026-03-20,0.25588500257099706
90.0,Call,2026-04-17,-0.6786587187464309
90.0,Call,2026-06-18,0.08381821292262845
90.0,Call,2026-09-18,-0.1170450939504906
90.0,Call,2027-01-15,0.0034435791071160218
50.0,Call,2026-01-16,-0.3784521642112815
50.0,Call,2027-01-15,-0.054564843717727206
50.0,Put,2026-01-16,-0.34970293187968354
50.0,Put,2027-01-15,-0.04001557384587167
72.5,Call,2025-10-17,-0.8503481853279271
72.5,Call,2025-12-19,0.42297257360585533
72.5,Call,2026-01-16,-0.30220030756886684
72.5,Call,2026-04-17,-0.00769325728932192
72.5,Call,2026-09-18,0.028311849239099088
72.5,Call,2027-01-15,-0.0949257807903146
72.5,Put,2025-10-17,-0.26124860609768025
72.5,Put,2025-12-19,0.413845129136381
72.5,Put,2026-01-16,-0.20831501046902173
72.5,Put,2026-04-17,0.03645402260393299
72.5,Put,2026-06-18,0.1286391875014663
72.5,Put,2027-01-15,-0.016064173156701722
55.0,Call,2026-01-16,-0.8922869607804829
55.0,Call,2027-01-15,-0.019124430064773705
55.0,Put,2026-01-16,-0.19518399852643098
55.0,Put,2026-06-18,-0.0501319662353248
55.0,Put,2027-01-15,0.0644937510566553
100.0,Call,2026-01-16,-0.38887385577295275
100.0,Call,2026-06-18,-0.07509952179092626
100.0,Call,2026-09-18,-0.00044884066919641794
100.0,Call,2027-01-15,0.03579732972212766
60.0,Call,2025-10-17,
60.0,Call,2025-12-19,
60.0,Call,2026-01-16,-1.249237381838057
60.0,Call,2026-06-18,0.2483608914929164
60.0,Call,2027-01-15,-0.14026594996336797
60.0,Put,2026-01-16,-0.27395679659177397
60.0,Put,2026-03-20,0.08375997234023748
60.0,Put,2026-04-17,-0.06463911398599179
60.0,Put,2027-01-15,-0.030298328976227994
95.0,Call,2026-01-16,-0.420084975178794
95.0,Call,2026-03-20,0.12115318505824951
95.0,Call,2026-06-18,-0.4195926556632731
95.0,Call,2026-09-18,0.23946501085015964
95.0,Call,2027-01-15,-0.03691550555855706
87.5,Call,2026-01-16,-0.04875482781734925
87.5,Call,2026-03-20,0.16304719695547834
87.5,Call,2026-09-18,-0.03797024652913589
65.0,Call,2025-10-17,
65.0,Call,2025-12-19,1.1073369408216842
65.0,Call,2026-01-16,-0.7494324955310726
65.0,Call,2026-03-20,-0.025230419290696065
65.0,Call,2026-06-18,0.02272960569709861
65.0,Call,2027-01-15,-0.04546552966433093
65.0,Put,2025-12-19,-0.20773188263920359
65.0,Put,2026-01-16,-0.21803062066948145
65.0,Put,2026-04-17,0.028812975468022806
65.0,Put,2026-09-18,0.040357168209282576
65.0,Put,2027-01-15,0.01777535096631105
75.0,Call,2025-10-17,-0.08721666830761958
75.0,Call,2025-12-19,0.39891147364384244
75.0,Call,2026-01-16,-0.29725797764733114
75.0,Call,2026-03-20,0.010885726278065432
75.0,Call,2026-04-17,0.08596220175823255
75.0,Call,2026-06-18,-0.0337974408331667
75.0,Call,2026-09-18,-0.3984871429619851
75.0,Call,2027-01-15,0.2137311007014515
75.0,Put,2025-10-17,-0.3725107999770743
75.0,Put,2025-12-19,0.7250871668922639
75.0,Put,2026-01-16,-0.8761517837297533
75.0,Put,2026-03-20,0.14642634766456464
75.0,Put,2026-09-18,0.6983129715098968
75.0,Put,2027-01-15,-0.9068128068423745
77.5,Call,2025-10-17,-0.3466528289205523
77.5,Call,2025-12-19,0.4263063987226772
77.5,Call,2026-01-16,-0.3260655985980554
77.5,Call,2026-03-20,0.24281758470887072
77.5,Call,2026-06-18,-0.46128098676944884
77.5,Call,2026-09-18,-0.09633156302562881
77.5,Call,2027-01-15,0.24019830191328387
77.5,Put,2025-10-17,-0.7027284655474282
77.5,Put,2026-01-16,1.2925569122182068
77.5,Put,2026-03-20,-1.4344584207673161
77.5,Put,2026-04-17,-0.1740069917033637
77.5,Put,2026-06-18,0.8856658464399974
77.5,Put,2027-01-15,-0.2291361342493881
57.5,Call,2025-10-17,
57.5,Call,2025-12-19,
57.5,Call,2026-01-16,-0.018012450971066213
57.5,Call,2027-01-15,0.023296454707563755
57.5,Put,2026-01-16,-0.34948386774630513
57.5,Put,2026-03-20,0.014133940494951423
